,날짜,시가,고가,저가,종가,거래량
0,2016-11-18,36000,38950,33900,35900,20007019
1,2016-11-21,35800,36400,34400,34500,4133962
2,2016-11-22,35400,37300,34500,36900,4432520
3,2016-11-23,36250,36450,35300,35350,2028435
4,2016-11-24,35600,36350,35350,35400,1381254
5,2016-11-25,35700,36050,34600,34900,1331139
6,2016-11-28,35000,35200,34400,35000,803050
7,2016-11-29,34550,35150,34550,34850,668216
8,2016-11-30,34850,35100,33450,33450,1004454
9,2016-12-01,33850,34800,33350,34100,749451
10,2016-12-02,34200,34250,32650,33400,932763
11,2016-12-05,33500,35100,33400,34800,827683
12,2016-12-06,34900,35400,34350,34900,442595
13,2016-12-07,34800,35350,34300,34800,456565
14,2016-12-08,35000,35700,34800,35600,675789
15,2016-12-09,35700,36500,35450,36400,762544
16,2016-12-12,36600,37150,36050,37050,677993
17,2016-12-13,36850,37000,35950,36000,430253
18,2016-12-14,36350,36400,35450,35550,326736
19,2016-12-15,35850,36250,35450,35550,294079
20,2016-12-16,35800,36300,35400,35900,338946
21,2016-12-19,35950,35950,34900,35000,328479
22,2016-12-20,35050,35750,34650,34800,414926
23,2016-12-21,35200,35550,33900,34050,534943
24,2016-12-22,34200,35200,34150,35000,518874
25,2016-12-23,34900,35450,34900,35300,228060
26,2016-12-26,35100,35550,34800,35000,222362
27,2016-12-27,34700,35050,34500,35050,256961
28,2016-12-28,34850,35650,34700,35600,234724
29,2016-12-29,35500,35950,35300,35850,143474
30,2017-01-02,35600,35800,35150,35400,169698
31,2017-01-03,35300,35950,34950,34950,289959
32,2017-01-04,35300,36000,35050,35600,326835
33,2017-01-05,35850,36150,35650,36000,356017
34,2017-01-06,36000,36950,36000,36450,489562
35,2017-01-09,36700,37000,36600,36850,378344
36,2017-01-10,36750,37100,36250,37000,551778
37,2017-01-11,37200,38000,36800,36900,482966
38,2017-01-12,37150,37150,36000,36050,476870
39,2017-01-13,36250,36300,36000,36200,256722
40,2017-01-16,36300,36550,35850,36550,364354
41,2017-01-17,36550,36700,35900,36100,296441
42,2017-01-18,36000,36050,35250,35250,339913
43,2017-01-19,35250,35400,34800,34900,302177
44,2017-01-20,35050,35750,34900,35650,297584
45,2017-01-23,35750,35750,34450,34650,374972
46,2017-01-24,34650,34850,34100,34400,243454
47,2017-01-25,34650,35150,34400,34700,329759
48,2017-01-26,35100,37850,35050,37450,1125650
49,2017-01-31,37450,37650,36800,37000,286897
50,2017-02-01,36850,37100,36200,36750,303592
51,2017-02-02,36600,38200,36100,36200,560216
52,2017-02-03,36400,37600,36150,37250,379194
53,2017-02-06,37500,38000,37150,37650,361782
54,2017-02-07,37800,38300,37100,37900,280490
55,2017-02-08,37500,37800,37100,37500,324772
56,2017-02-09,37250,37450,35450,35850,614183
57,2017-02-10,36200,36700,35700,36100,449485
58,2017-02-13,36350,36400,35400,35500,382714
59,2017-02-14,35700,36250,35250,35900,385727
60,2017-02-15,36150,37150,35900,36850,633872
61,2017-02-16,35850,36000,34650,35400,1489517
62,2017-02-17,35500,35900,35200,35650,272106
63,2017-02-20,35650,35650,35100,35200,255590
64,2017-02-21,35100,35450,35100,35250,302835
65,2017-02-22,35400,36150,35250,35850,321454
66,2017-02-23,35900,36150,35400,35650,314634
67,2017-02-24,35500,35500,35050,35300,384796
68,2017-02-27,35400,35950,35200,35900,273379
69,2017-02-28,35650,36950,35500,36900,550678
70,2017-03-02,37800,37800,36250,36300,584725
71,2017-03-03,36200,36200,35600,35950,327058
72,2017-03-06,35850,36300,35600,36050,121508
73,2017-03-07,36100,37200,35900,36900,411346
74,2017-03-08,36900,37000,36400,36500,249673
75,2017-03-09,36500,36800,36100,36250,329282
76,2017-03-10,36250,36800,36050,36650,207350
77,2017-03-13,36650,36950,36400,36900,172560
78,2017-03-14,36800,37150,36500,37150,262164
79,2017-03-15,36950,37550,36850,37500,307607
80,2017-03-16,37800,38700,37800,38600,631488
81,2017-03-17,38250,40250,38150,40200,743734
82,2017-03-20,40400,40800,39550,39850,408966
83,2017-03-21,39650,39850,38550,38600,523740
84,2017-03-22,37950,38300,37350,38000,491760
85,2017-03-23,37800,38450,37750,38050,307058
86,2017-03-24,38100,38350,37500,37650,265593
87,2017-03-27,37750,37750,36000,36200,584304
88,2017-03-28,36300,36750,36050,36350,385187
89,2017-03-29,36700,37000,36400,36850,327055
90,2017-03-30,37200,37200,36550,37100,206329
91,2017-03-31,36950,37100,36500,36700,136500
92,2017-04-03,36650,36650,36000,36350,150914
93,2017-04-04,36350,36600,35800,35800,227896
94,2017-04-05,36200,36850,36150,36850,243073
95,2017-04-06,36650,37400,36600,37250,253300
96,2017-04-07,37300,37550,36950,37450,180823
97,2017-04-10,37300,37550,36550,36850,198120
98,2017-04-11,36850,37800,36850,37700,261079
