,날짜,시가,고가,저가,종가,거래량
0,2001-02-02,2124,2198,1805,1806,1410960
1,2001-02-05,1535,1588,1535,1535,1925069
2,2001-02-06,1476,1641,1444,1477,6554774
3,2001-02-07,1513,1519,1338,1392,4159990
4,2001-02-08,1391,1439,1333,1376,4209958
5,2001-02-09,1354,1402,1327,1328,2563759
6,2001-02-12,1327,1365,1285,1291,3581077
7,2001-02-13,1290,1306,1189,1206,4466820
8,2001-02-14,1211,1349,1179,1259,5287147
9,2001-02-15,1322,1327,1200,1200,2357534
10,2001-02-16,1221,1242,1184,1206,3222265
11,2001-02-19,1189,1242,1189,1211,2023339
12,2001-02-20,1253,1391,1237,1392,5566780
13,2001-02-21,1380,1497,1327,1349,4040634
14,2001-02-22,1333,1349,1258,1301,2293775
15,2001-02-23,1301,1327,1290,1301,943458
16,2001-02-26,1285,1322,1264,1264,1314413
17,2001-02-27,1269,1290,1226,1227,1283555
18,2001-02-28,1211,1226,1205,1222,730869
19,2001-03-02,1211,1226,1184,1190,885592
20,2001-03-05,1157,1179,1115,1163,1001333
21,2001-03-06,1189,1295,1179,1222,3412393
22,2001-03-07,1211,1242,1179,1179,1155652
23,2001-03-08,1205,1248,1184,1211,1771871
24,2001-03-09,1200,1226,1184,1195,828479
25,2001-03-12,1179,1189,1147,1147,887814
26,2001-03-13,1094,1115,1072,1084,796454
27,2001-03-14,1099,1115,1083,1094,1068942
28,2001-03-15,1041,1115,1041,1084,2124291
29,2001-03-16,1083,1094,1067,1073,1082225
30,2001-03-19,1051,1152,1051,1126,2883401
31,2001-03-20,1157,1184,1131,1147,1537885
32,2001-03-21,1136,1184,1115,1158,1055255
33,2001-03-22,1147,1327,1147,1312,6077293
34,2001-03-23,1253,1354,1168,1179,5928077
35,2001-03-26,1189,1280,1168,1206,3404985
36,2001-03-27,1205,1290,1184,1200,4088446
37,2001-03-28,1226,1232,1168,1179,1141588
38,2001-03-29,1184,1205,1157,1179,723281
39,2001-03-30,1168,1195,1131,1153,954463
40,2001-04-02,1157,1163,1126,1147,545560
41,2001-04-03,1157,1205,1136,1206,1452154
42,2001-04-04,1205,1221,1179,1200,656868
43,2001-04-06,1232,1359,1221,1312,3869239
44,2001-04-09,1343,1508,1343,1508,4968239
45,2001-04-10,1593,1678,1492,1678,10154528
46,2001-04-11,1678,1795,1625,1625,8800897
47,2001-04-12,1625,1858,1598,1795,10505075
48,2001-04-13,1848,1986,1704,1763,17545501
49,2001-04-16,1784,1864,1774,1822,6143999
50,2001-04-17,1837,1949,1837,1901,5301248
51,2001-04-18,1922,1954,1864,1896,4619792
52,2001-04-19,1912,2050,1901,2008,9613552
53,2001-04-20,2039,2050,1943,1971,2427515
54,2001-04-23,1943,1975,1827,1848,4069054
55,2001-04-24,1816,1885,1758,1827,2327100
56,2001-04-25,1827,1943,1805,1832,5025578
57,2001-04-26,1604,1832,1604,1742,1790153
58,2001-04-27,1763,1784,1678,1732,2084650
59,2001-04-30,1752,1774,1742,1763,1086019
60,2001-05-02,1720,1837,1720,1795,1940178
61,2001-05-03,1827,1885,1795,1854,1587646
62,2001-05-04,1832,1853,1800,1854,1257828
63,2001-05-07,1864,1896,1827,1880,1310629
64,2001-05-08,1864,1890,1832,1864,1171231
65,2001-05-09,1864,1986,1858,1901,2620477
66,2001-05-10,1901,2145,1885,2034,6314151
67,2001-05-11,2018,2113,1997,2050,2727021
68,2001-05-14,2050,2172,2050,2125,2516955
69,2001-05-15,2135,2390,2135,2247,3172439
70,2001-05-16,2241,2358,2108,2156,5218945
71,2001-05-17,2278,2289,2145,2162,1348416
72,2001-05-18,2151,2156,2055,2093,1278001
73,2001-05-21,2092,2214,2076,2093,3653525
74,2001-05-22,2124,2135,2055,2066,1477816
75,2001-05-23,2071,2098,2050,2056,1164999
76,2001-05-24,2055,2092,2039,2050,1052308
77,2001-05-25,2071,2087,2050,2061,900277
78,2001-05-28,2103,2161,2087,2103,1396764
79,2001-05-29,2108,2161,2092,2125,1497698
80,2001-05-30,2156,2177,2098,2114,1177746
81,2001-05-31,2082,2103,2050,2056,944578
82,2001-06-01,2060,2193,1986,2167,2905928
83,2001-06-04,2188,2337,2124,2220,6092299
84,2001-06-05,2252,2278,2113,2114,1794803
85,2001-06-07,2071,2167,2071,2151,1188449
86,2001-06-08,2113,2230,2113,2162,1715596
87,2001-06-11,2140,2204,2140,2156,918634
88,2001-06-12,2145,2305,2129,2300,2134627
89,2001-06-13,2305,2390,2262,2295,2809701
90,2001-06-14,2273,2602,2273,2422,5894037
91,2001-06-15,2422,2512,2406,2454,3210075
92,2001-06-18,2506,2671,2459,2576,6036495
93,2001-06-19,2565,2708,2565,2587,4161045
94,2001-06-20,2650,2650,2368,2385,2234234
95,2001-06-21,2390,2475,2305,2433,2171058
96,2001-06-22,2368,2491,2368,2411,2069908
97,2001-06-25,2437,2491,2427,2433,1103519
98,2001-06-26,2485,2506,2395,2417,1238040
99,2001-06-27,2411,2422,2262,2273,1144487
100,2001-06-28,2273,2379,2198,2326,1528659
101,2001-06-29,2368,2427,2347,2353,791145
102,2001-07-02,2411,2411,2347,2369,700726
103,2001-07-03,2352,2390,2347,2358,523956
104,2001-07-04,2358,2358,2305,2326,520661
105,2001-07-05,2326,2352,2299,2305,369365
106,2001-07-06,2283,2294,2230,2252,469460
107,2001-07-09,2182,2182,2039,2093,665274
108,2001-07-10,2092,2145,2071,2114,525067
109,2001-07-11,2060,2092,1928,2071,684798
110,2001-07-12,2092,2225,2092,2167,691303
111,2001-07-13,2294,2315,2135,2178,1099527
112,2001-07-16,2257,2283,2161,2178,963867
113,2001-07-18,2198,2262,2188,2252,1034121
114,2001-07-19,2204,2368,2204,2369,2000370
115,2001-07-20,2363,2411,2289,2289,955715
116,2001-07-23,2283,2289,1991,2040,985857
117,2001-07-24,2018,2082,1858,2024,974212
118,2001-07-25,1997,2050,1912,1912,530574
119,2001-07-26,1943,2028,1943,2018,608698
120,2001-07-27,2124,2156,2066,2071,566562
121,2001-07-30,2103,2177,2076,2109,836556
122,2001-07-31,2124,2177,2087,2146,720184
123,2001-08-01,2172,2294,2135,2220,1583089
124,2001-08-02,2257,2315,2236,2284,1220738
125,2001-08-03,2315,2384,2305,2380,1016809
126,2001-08-06,2294,2422,2294,2411,802940
127,2001-08-07,2390,2443,2347,2427,918399
128,2001-08-08,2432,2464,2374,2390,669896
129,2001-08-09,2305,2379,2305,2321,759571
130,2001-08-10,2321,2416,2321,2411,603972
131,2001-08-13,2432,2496,2395,2411,803740
132,2001-08-14,2422,2475,2406,2443,576466
133,2001-08-16,2411,2528,2390,2512,972424
134,2001-08-17,2522,2538,2464,2496,537107
135,2001-08-20,2453,2496,2379,2491,632957
136,2001-08-21,2549,2549,2437,2486,590840
137,2001-08-22,2475,2475,2379,2380,556584
138,2001-08-23,2315,2432,2315,2385,671525
139,2001-08-24,2342,2374,2252,2284,465102
140,2001-08-27,2315,2437,2220,2220,1013863
141,2001-08-28,2283,2315,2209,2225,1011877
142,2001-08-29,2337,2337,2082,2125,1480772
143,2001-08-30,2108,2156,1997,2125,976952
144,2001-08-31,1997,2331,1997,2151,2531631
145,2001-09-03,2151,2220,2124,2135,823575
146,2001-09-04,2161,2220,2113,2167,950593
147,2001-09-05,2145,2172,2129,2130,484484
148,2001-09-06,2129,2145,2113,2135,600574
149,2001-09-07,2082,2188,2082,2183,685918
150,2001-09-10,2124,2172,2124,2156,544412
151,2001-09-11,2140,2177,2098,2125,494519
152,2001-09-12,1805,1805,1805,1806,201660
153,2001-09-13,1604,1837,1604,1795,1447410
154,2001-09-14,1843,1843,1566,1604,1023785
155,2001-09-17,1604,1604,1380,1381,1050171
156,2001-09-18,1487,1588,1465,1588,2620966
157,2001-09-19,1646,1821,1614,1822,5182410
158,2001-09-20,1821,1880,1699,1785,2469096
159,2001-09-21,1742,1795,1667,1700,1133379
160,2001-09-24,1704,1752,1673,1710,895919
161,2001-09-25,1763,1805,1582,1615,1157393
162,2001-09-26,1614,1667,1572,1604,659777
163,2001-09-27,1582,1619,1561,1609,453203
164,2001-09-28,1646,1673,1598,1652,656115
165,2001-10-04,1699,1752,1673,1732,1077518
166,2001-10-05,1752,1752,1683,1689,654477
167,2001-10-08,1710,1938,1673,1939,3039480
168,2001-10-09,2028,2092,1827,1939,5383985
169,2001-10-10,2018,2044,1922,1923,2482435
170,2001-10-11,1997,1997,1901,1923,1544324
171,2001-10-12,1943,1954,1896,1933,1125509
172,2001-10-15,1954,1986,1912,1928,1137229
173,2001-10-16,1928,1965,1917,1933,838354
174,2001-10-17,1938,1954,1922,1939,657583
175,2001-10-18,1943,2013,1890,1933,1332657
176,2001-10-19,1912,1954,1912,1923,542077
177,2001-10-22,1938,1959,1922,1960,606655
178,2001-10-23,1965,1986,1928,1933,620795
179,2001-10-24,1901,1954,1901,1912,403367
180,2001-10-25,1943,1954,1896,1912,494783
181,2001-10-26,1922,1933,1896,1896,353653
182,2001-10-29,1890,1975,1885,1896,1391737
183,2001-10-30,1890,1890,1827,1832,576400
184,2001-10-31,1784,1869,1784,1848,445832
185,2001-11-01,1821,1880,1821,1848,330335
186,2001-11-02,1848,1890,1837,1859,616012
187,2001-11-05,1890,1890,1864,1875,362973
188,2001-11-06,1912,1912,1880,1891,580589
189,2001-11-07,1922,2050,1922,2018,2501328
190,2001-11-08,2013,2028,1949,1976,796397
191,2001-11-09,1954,2002,1928,1944,885093
192,2001-11-12,1943,1991,1922,1960,905060
193,2001-11-13,1965,2092,1949,2040,2553630
194,2001-11-14,2060,2113,2044,2071,1597247
195,2001-11-15,2092,2204,2060,2103,1799209
196,2001-11-16,2103,2156,2060,2103,1161611
197,2001-11-19,2135,2294,2135,2241,2357270
198,2001-11-20,2411,2411,2092,2178,2339714
199,2001-11-21,2230,2262,2156,2210,1133614
200,2001-11-22,2177,2209,2145,2156,796482
201,2001-11-23,2113,2230,2113,2231,1161714
202,2001-11-26,2246,2469,2220,2390,3614722
203,2001-11-27,2400,2432,2305,2337,1981636
204,2001-11-28,2422,2522,2305,2326,4279855
205,2001-11-29,2294,2485,2167,2310,3863450
206,2001-11-30,2315,2400,2225,2316,3712229
207,2001-12-03,2321,2342,2236,2241,2220386
