,날짜,시가,고가,저가,종가,거래량
0,2000-10-25,4120,4636,3962,3971,5462050
1,2000-10-26,3891,3906,3375,3401,3274750
2,2000-10-27,3447,3594,3368,3404,2404710
3,2000-10-30,3408,3601,3408,3428,1301010
4,2000-10-31,3399,3423,3209,3329,1094300
5,2000-11-01,3351,3487,3305,3448,1349550
6,2000-11-02,3368,3487,3348,3448,766200
7,2000-11-03,3463,3629,3423,3464,868250
8,2000-11-06,3431,3498,3408,3432,632260
9,2000-11-07,3411,3431,3368,3369,486810
10,2000-11-08,3329,3392,3296,3345,371680
11,2000-11-09,3368,3368,3296,3301,298440
12,2000-11-10,3320,3344,3233,3250,359630
13,2000-11-13,3178,3201,3122,3194,685430
14,2000-11-14,3178,3237,3130,3226,347400
15,2000-11-15,3209,3249,3197,3226,421080
16,2000-11-16,3197,3217,3182,3206,175770
17,2000-11-17,3178,3182,3137,3139,312950
18,2000-11-20,3137,3158,3103,3103,218390
19,2000-11-21,3091,3091,2904,3036,548690
20,2000-11-22,3035,3170,3035,3170,419690
21,2000-11-23,3098,3193,3062,3143,255910
22,2000-11-24,3094,3146,3079,3147,265240
23,2000-11-27,3170,3170,3126,3127,115130
24,2000-11-28,3122,3158,3110,3147,252460
25,2000-11-29,3122,3122,3051,3107,131650
26,2000-11-30,3086,3114,3051,3115,153970
27,2000-12-01,3091,3149,3027,3147,216450
28,2000-12-04,3146,3146,3043,3091,188840
29,2000-12-05,3082,3122,3055,3091,93650
30,2000-12-06,3122,3122,3082,3091,147340
31,2000-12-07,3058,3110,3011,3012,230050
32,2000-12-08,3019,3043,2987,2996,153590
33,2000-12-11,2995,3019,2995,3012,176080
34,2000-12-12,3019,3027,2971,3012,441060
35,2000-12-13,3241,3463,3170,3464,1891940
36,2000-12-14,3634,3883,3514,3646,2447990
37,2000-12-15,3408,3653,3375,3483,933040
38,2000-12-18,3312,3408,3182,3345,578690
39,2000-12-19,3193,3296,3051,3298,542330
40,2000-12-20,3178,3185,2896,2933,449070
41,2000-12-21,3019,3074,2663,3075,346240
42,2000-12-22,3019,3091,2774,2774,235410
43,2000-12-26,2789,2995,2686,2996,446680
44,2001-01-02,2892,3051,2853,2973,132830
45,2001-01-03,2853,2971,2853,2897,199620
46,2001-01-04,3011,3158,2932,2968,626280
47,2001-01-05,2956,3070,2940,3052,434610
48,2001-01-08,3082,3233,3027,3170,462690
49,2001-01-09,3122,3384,3074,3384,471610
50,2001-01-10,3329,3384,3130,3170,408510
51,2001-01-11,3197,3221,3137,3170,223350
52,2001-01-12,3051,3233,3051,3163,398870
53,2001-01-15,3170,3201,3091,3151,355250
