,날짜,시가,고가,저가,종가,거래량
0,2006-06-08,17256,19258,17256,17949,751249
1,2006-06-09,18430,18568,17290,17604,151760
2,2006-06-12,17326,17809,17256,17259,96222
3,2006-06-13,16635,17429,16635,17259,87877
4,2006-06-14,17118,19845,16981,19847,116140
5,2006-06-15,21848,22815,21538,22816,126099
6,2006-06-16,26232,26232,23678,26234,432122
7,2006-06-19,26991,29200,24920,25957,654755
8,2006-06-20,25679,29820,24677,29823,861957
9,2006-06-21,32307,34275,31479,34276,410047
10,2006-06-22,37761,37898,29269,33344,1230886
11,2006-06-23,31443,32030,28371,28373,369981
12,2006-06-26,26231,29199,25333,26958,592145
13,2006-06-27,27336,27957,25679,25854,271697
14,2006-06-28,24850,25644,23539,23541,230209
15,2006-06-29,24092,25367,23815,23887,287298
16,2006-06-30,24504,27128,23987,25681,573625
17,2006-07-03,26232,26266,24955,24956,188108
18,2006-07-04,25196,25920,24229,24715,179760
19,2006-07-05,23816,24368,23608,23678,110549
20,2006-07-06,23539,24298,22538,22920,117448
21,2006-07-07,23056,23228,21123,21228,247753
22,2006-07-10,19189,19949,18050,18053,1448692
23,2006-07-11,17947,18983,17603,18846,1001525
24,2006-07-12,19191,19259,18327,18329,582230
25,2006-07-13,17879,18535,17707,17811,417508
26,2006-07-14,17463,17533,16807,17259,360469
27,2006-07-18,16980,17878,16877,17294,450752
28,2006-07-19,17326,17602,16670,16672,322237
29,2006-07-20,17155,18431,17016,17500,520888
30,2006-07-21,17119,17257,16566,16913,285671
31,2006-07-24,16980,17981,16773,17604,328516
32,2006-07-25,17913,18224,17395,17397,213288
33,2006-07-26,17533,17636,16912,17121,171993
34,2006-07-27,17256,17533,17118,17431,176366
35,2006-07-28,17429,17739,17256,17259,179540
36,2006-07-31,17533,17602,16980,17121,123851
37,2006-08-01,17118,17395,16980,16982,112808
38,2006-08-02,16981,16981,16740,16913,98045
39,2006-08-03,17015,17118,16429,16499,152465
40,2006-08-04,16497,16739,15910,16154,158590
41,2006-08-07,16153,16153,15566,15601,150458
42,2006-08-08,15601,16014,15601,15913,114205
43,2006-08-09,15772,16049,15600,16016,95760
44,2006-08-10,15910,15945,15668,15844,87058
45,2006-08-11,15808,16809,15601,16223,277356
46,2006-08-14,16326,17051,16223,16913,219160
47,2006-08-16,17084,17119,16429,16430,127960
48,2006-08-17,16428,16532,15945,16189,125109
49,2006-08-18,16152,16462,16014,16154,78770
50,2006-08-21,16083,16359,15806,15844,100690
51,2006-08-22,15738,16014,15634,15809,112255
52,2006-08-23,15841,16117,15738,16016,123152
53,2006-08-24,16118,16152,15841,16154,121440
54,2006-08-25,16289,16635,15910,16016,214579
55,2006-08-28,16084,16118,15634,15740,103840
56,2006-08-29,15877,15877,15497,15601,111615
57,2006-08-30,15600,15806,15565,15809,83765
58,2006-08-31,15841,16221,15600,16120,177984
59,2006-09-01,16153,16257,15877,16085,99040
60,2006-09-04,16221,16704,16014,16499,253316
61,2006-09-05,16670,16981,16429,16742,215511
62,2006-09-06,16842,16842,16289,16293,117515
63,2006-09-07,16014,16326,16014,16085,76776
64,2006-09-08,16084,16430,16014,16223,83654
65,2006-09-11,16289,16429,15979,15981,73295
66,2006-09-12,15530,15530,13597,14221,735147
67,2006-09-13,14185,14565,13564,14014,288115
68,2006-09-14,14046,14634,14013,14360,257437
69,2006-09-15,14667,15357,14529,15188,392993
70,2006-09-18,15221,15394,14876,15084,142035
