,날짜,시가,고가,저가,종가,거래량
0,2006-02-09,385070,390113,369943,373152,602402
1,2006-02-10,374985,375902,366734,370860,168489
2,2006-02-13,370860,371318,364900,364901,156342
3,2006-02-14,359399,364900,353440,360775,77682
4,2006-02-15,365817,366275,360774,364901,50368
5,2006-02-16,368109,380486,364900,372235,50953
6,2006-02-17,372235,372693,369026,369943,29851
7,2006-02-20,368567,382320,368567,379570,64746
8,2006-02-21,378194,380945,374068,376819,75098
9,2006-02-22,375902,379569,374527,377278,38167
10,2006-02-23,377277,383695,374985,380487,75155
11,2006-02-24,376819,377736,371318,373152,46817
12,2006-02-27,372235,375902,370401,373152,51172
13,2006-02-28,376819,388738,376361,385071,195046
14,2006-03-02,378194,379569,375444,378195,87704
15,2006-03-03,378653,380945,369026,369485,57456
16,2006-03-06,368567,370860,368109,368568,54984
17,2006-03-07,368567,369484,360774,360775,62154
18,2006-03-08,360316,363525,358024,361233,34461
19,2006-03-09,360774,363983,359399,361233,23690
20,2006-03-10,358941,367651,358941,366734,29237
21,2006-03-13,365817,367192,363983,365817,27088
22,2006-03-14,363983,372693,363983,368568,49057
23,2006-03-15,368109,368109,360316,361233,45872
24,2006-03-16,361233,363525,358482,359400,31586
25,2006-03-17,358941,363066,357565,363067,25110
26,2006-03-20,358024,362608,358024,361233,20839
27,2006-03-21,362150,363983,361233,362150,35564
28,2006-03-22,358482,360316,357565,358024,15206
29,2006-03-23,358024,358482,349314,349314,56230
30,2006-03-24,349314,351606,346563,351148,24770
31,2006-03-27,351148,351606,346105,347022,38375
32,2006-03-28,344271,344271,340146,340146,42290
33,2006-03-29,339229,349772,339229,346105,24116
34,2006-03-30,349772,350231,347939,348398,29168
35,2006-03-31,350689,365817,349314,364901,135138
36,2006-04-03,364900,371776,363066,371777,70644
37,2006-04-04,369484,369484,362608,365359,81371
38,2006-04-05,365359,380945,364900,376819,111646
39,2006-04-06,376819,386446,376819,382321,142593
40,2006-04-07,375902,378194,374985,374986,92474
41,2006-04-10,379570,379570,370401,370402,54079
42,2006-04-11,367192,372693,367192,368568,49623
43,2006-04-12,366734,372235,366734,370402,45083
44,2006-04-13,369943,383237,368109,377736,54399
45,2006-04-14,371318,374068,369484,371777,20335
46,2006-04-17,372235,373610,371318,373611,14730
47,2006-04-18,371318,373610,370401,370402,20915
48,2006-04-19,369484,371318,364900,364901,68066
49,2006-04-20,364900,366734,352981,354357,60347
50,2006-04-21,361691,367192,360316,364442,40576
51,2006-04-24,364442,369484,364442,367193,38972
52,2006-04-25,366734,373152,365817,366734,43184
53,2006-04-26,374527,375444,368109,371318,46675
54,2006-04-27,371318,373152,370860,371777,25352
55,2006-04-28,371776,373152,352064,361233,89910
56,2006-05-02,357107,363066,355732,356191,104556
57,2006-05-03,355732,358482,354357,357566,64847
58,2006-05-04,356649,356649,349314,349314,102753
59,2006-05-08,350689,351148,343813,344272,90188
60,2006-05-09,342896,342896,337853,341063,101357
61,2006-05-10,341521,349772,341521,347939,59237
62,2006-05-11,343813,355732,343813,352065,43196
63,2006-05-12,349314,350689,346563,346564,21458
64,2006-05-15,346563,352981,344271,351148,54964
65,2006-05-16,348397,349772,345647,346564,42731
66,2006-05-17,346563,351148,345647,347022,39328
67,2006-05-18,344271,345647,340604,343813,46019
68,2006-05-19,343813,348397,342438,347481,37194
69,2006-05-22,344730,349314,326393,331436,79214
70,2006-05-23,327310,327768,310348,313099,121447
71,2006-05-24,313099,316766,300722,308057,86946
72,2006-05-25,310807,314016,308515,309890,106129
73,2006-05-26,307139,317683,307139,311266,149029
74,2006-05-29,315391,322726,314474,319517,36325
75,2006-05-30,321350,324559,319517,320893,46818
76,2006-06-01,313557,318142,312182,317225,75462
77,2006-06-02,320892,325476,319058,321809,64935
78,2006-06-05,324559,329144,323643,326394,53645
79,2006-06-07,322726,339687,322726,334187,73255
80,2006-06-08,338312,341062,322726,329144,124149
81,2006-06-09,326393,326393,315391,319976,60322
82,2006-06-12,315391,319058,312182,317225,44395
83,2006-06-13,316308,322267,311724,314933,38937
84,2006-06-14,309890,321809,309432,320893,34732
85,2006-06-15,320892,324101,320434,322726,42982
86,2006-06-16,323643,334186,323643,328227,29748
87,2006-06-19,326393,330060,326393,326394,17758
88,2006-06-20,330060,332811,325935,330061,22705
89,2006-06-21,333728,333728,323643,323643,23546
90,2006-06-22,325476,331436,324559,327310,19214
91,2006-06-23,328227,328227,320892,327310,6957
92,2006-06-26,323184,330060,323184,326852,13343
93,2006-06-27,324559,328227,323643,325477,12600
94,2006-06-28,322726,329602,322726,325477,14544
95,2006-06-29,330977,334645,326851,331895,31570
96,2006-06-30,333728,342896,333728,338312,53498
97,2006-07-03,338312,338312,330060,330519,29860
98,2006-07-04,333728,336937,330060,330061,11271
99,2006-07-05,330060,332811,325935,328686,15444
100,2006-07-06,330060,333728,327768,328686,19968
101,2006-07-07,330977,333728,329144,331895,34671
102,2006-07-10,331436,344271,330060,341521,56994
103,2006-07-11,344730,344730,336478,340604,18834
104,2006-07-12,344730,348856,340146,346564,30388
