,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,18100,19650,18000,19650,577820
1,2000-01-05,20900,22550,20000,22550,3175700
2,2000-01-06,22550,23200,19300,20000,2043320
3,2000-01-07,20500,23000,20050,23000,2889260
4,2000-01-10,25400,26350,23050,23050,4805940
5,2000-01-11,22700,25300,21800,23950,2899010
6,2000-01-12,23250,24800,22250,23000,1907640
7,2000-01-13,22950,23300,21550,22000,1511450
8,2000-01-14,22000,22300,20200,20300,1194730
9,2000-01-17,20500,21650,20150,21000,1141480
10,2000-01-18,21000,21800,20350,21100,877900
11,2000-01-19,21000,22700,20600,21300,1707730
12,2000-01-20,21100,22300,20300,21100,1177010
13,2000-01-21,20900,22500,20600,21800,2153880
14,2000-01-24,22500,24650,22300,23000,3367170
15,2000-01-25,22500,23850,22200,22500,1946380
16,2000-01-26,23400,24100,22400,24100,1944000
17,2000-01-27,24700,27700,24550,25600,9064190
18,2000-01-28,25350,26400,24750,25600,3122780
19,2000-01-31,26100,27350,25700,26600,3441510
20,2000-02-01,27000,27200,26200,26200,1579100
21,2000-02-02,25800,28200,25700,26850,2925130
22,2000-02-03,26750,27700,25600,25700,2114320
23,2000-02-07,25600,26450,25300,25800,1502500
24,2000-02-08,27500,27900,26200,26600,1990990
25,2000-02-09,27000,28600,26700,28600,3233720
26,2000-02-10,28800,29500,27600,27700,2457940
27,2000-02-11,28450,31400,27300,30450,5329540
28,2000-02-14,29900,30750,27750,28300,2467070
29,2000-02-15,28500,28600,24100,24100,1810570
30,2000-02-16,24300,25300,23200,24550,1451910
31,2000-02-17,25000,28200,25000,28200,3156100
32,2000-02-18,29900,32300,29200,30200,4619620
33,2000-02-21,29200,31300,29200,29200,2755900
34,2000-02-22,29800,30500,27050,29000,1769480
35,2000-02-23,29000,31100,28250,29000,1897160
36,2000-02-24,29500,30400,28900,29300,1199550
37,2000-02-25,28500,29300,28000,28100,1027530
38,2000-02-28,26700,27400,24800,25000,975400
39,2000-02-29,26000,26700,24600,25400,1125070
40,2000-03-02,26400,28300,26000,26900,1790800
41,2000-03-03,26500,27300,25400,25600,1060900
42,2000-03-06,26500,26950,25650,26000,773600
43,2000-03-07,25300,29500,25200,27500,2057670
44,2000-03-08,28000,28800,26600,26800,1159870
45,2000-03-09,27100,27700,26700,26750,878250
46,2000-03-10,27100,28200,26400,26700,1222650
47,2000-03-13,26700,27450,25350,25500,681400
48,2000-03-14,25000,25500,23500,24000,634910
49,2000-03-15,22500,23150,21800,22050,796750
50,2000-03-16,24500,24600,22200,22500,1249380
51,2000-03-17,23000,23400,22000,22100,626100
52,2000-03-20,21800,22900,21000,22150,481390
53,2000-03-21,21500,22150,21400,21600,489820
54,2000-03-22,22200,22950,21800,22350,816220
55,2000-03-23,23050,23600,21800,21800,808830
56,2000-03-24,22500,22800,21650,21800,770450
57,2000-03-27,21800,22200,21350,21600,561530
58,2000-03-28,21700,22200,21300,21400,711670
59,2000-03-29,21000,22100,20700,20800,768290
60,2000-03-30,20800,21450,20800,21100,726680
61,2000-03-31,20900,21100,20000,20000,612550
62,2000-04-03,19600,20000,17200,17300,951850
63,2000-04-04,17400,18500,17100,17700,1225790
64,2000-04-06,18000,18200,16550,16550,705120
65,2000-04-07,17500,17750,17100,17400,1004540
66,2000-04-10,18000,20000,17600,20000,1454530
67,2000-04-11,20900,21350,19400,20150,2135670
68,2000-04-12,19700,20200,19150,19800,783140
69,2000-04-14,19000,19400,18350,18600,431320
70,2000-04-17,15850,16800,15850,15850,794260
71,2000-04-18,17500,17550,16050,16900,740330
72,2000-04-19,17800,18350,17000,18000,787870
73,2000-04-20,17500,17950,17250,17650,355010
74,2000-04-21,17750,18300,17300,18000,425910
75,2000-04-24,18000,18700,17700,17700,464740
76,2000-04-25,17500,17700,16700,17100,384020
77,2000-04-26,17500,17700,16150,16600,341770
78,2000-04-27,16300,16600,15500,15950,406260
79,2000-04-28,15600,16850,15600,16300,907370
80,2000-05-02,16700,17300,16600,16650,628250
81,2000-05-03,16700,17050,16200,17000,458490
82,2000-05-04,16800,18250,16500,17500,980990
83,2000-05-08,18700,18750,17350,17450,568250
84,2000-05-09,17450,17500,16900,17150,274150
85,2000-05-10,16800,17000,16600,16900,213910
86,2000-05-12,16600,16850,16350,16600,284890
87,2000-05-15,16200,16200,15200,15200,368840
88,2000-05-16,15000,15750,14600,15700,578360
89,2000-05-17,15700,16350,13700,14000,1026180
90,2000-05-18,13300,13500,11950,12200,685590
91,2000-05-19,12400,12500,11200,12400,507690
92,2000-05-22,12000,12300,10900,10900,455180
93,2000-05-23,10300,11200,10300,10650,399820
94,2000-05-24,10300,11900,9800,11400,1115070
95,2000-05-25,11700,12650,11450,12300,1238590
96,2000-05-26,11750,11900,10700,10700,561280
97,2000-05-29,10300,12300,10300,12300,1422580
98,2000-05-30,13700,13900,13000,13000,1381030
99,2000-05-31,13700,14250,13200,13600,1484970
100,2000-06-01,13200,14350,13100,14000,1637050
101,2000-06-02,14700,14800,13700,14100,1342650
102,2000-06-05,14700,15900,14350,15400,1466240
103,2000-06-07,15500,17300,15450,16400,1393310
104,2000-06-08,16450,16800,15100,15550,1202910
105,2000-06-09,15200,16350,15150,15700,747170
106,2000-06-12,16500,18050,16150,18050,3008550
107,2000-06-13,17700,18750,16750,16900,3788640
108,2000-06-14,17500,17500,16100,16200,1092150
109,2000-06-15,15900,16000,14250,14500,1043070
110,2000-06-16,14000,15150,14000,14500,980600
111,2000-06-19,14050,15100,14000,15100,953280
112,2000-06-20,16000,16550,14600,15150,2470420
113,2000-06-21,15100,15500,14700,15000,897210
114,2000-06-22,15450,15600,14800,15500,685350
115,2000-06-23,15000,15350,14900,15050,379240
116,2000-06-26,15450,16150,15300,15700,1002390
117,2000-06-27,15500,15500,15000,15300,723400
118,2000-06-28,15100,15400,15050,15200,597790
119,2000-06-29,15500,15500,14800,15200,666070
120,2000-06-30,15000,15100,14750,14900,350470
121,2000-07-03,14900,15200,14700,15100,473470
