,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,5401,5401,4900,4900,6900
1,2000-01-05,4900,4919,4900,4900,220
2,2000-01-06,5150,5150,4823,4920,490
3,2000-01-07,4900,4996,4823,4997,8310
4,2000-01-10,4861,5169,4861,5170,610
5,2000-01-11,5227,5787,5112,5788,11460
6,2000-01-12,5787,6636,5633,6367,17110
7,2000-01-13,6405,6559,6366,6367,4420
8,2000-01-14,6385,6597,6308,6559,5010
9,2000-01-17,6558,6751,6404,6675,8910
10,2000-01-18,6597,6751,6481,6559,1610
11,2000-01-19,6712,6712,6520,6559,26880
12,2000-01-20,6076,6346,5980,6212,11790
13,2000-01-21,6172,6192,6018,6193,1360
14,2000-01-24,6289,6366,6289,6367,410
15,2000-01-25,6366,6405,6173,6328,10750
16,2000-01-26,6192,6366,6192,6367,1050
17,2000-01-27,6365,6558,6365,6559,2790
18,2000-01-28,6173,6308,6173,6309,3670
19,2000-01-31,6192,6501,6134,6367,5640
20,2000-02-01,6539,6829,6366,6675,7350
21,2000-02-02,6655,6655,6558,6559,200
22,2000-02-03,6443,6482,6250,6367,560
23,2000-02-07,6501,6501,6173,6367,320
24,2000-02-08,6211,6539,6115,6212,630
25,2000-02-09,6154,6327,5864,5865,1030
26,2000-02-10,5980,5980,5787,5807,1110
27,2000-02-11,5845,5845,5208,5209,1010
28,2000-02-14,5208,5208,4919,5055,1060
29,2000-02-15,5053,5150,4861,5132,1100
30,2000-02-16,5169,5169,4764,4785,780
31,2000-02-17,4687,5498,4687,5498,720
32,2000-02-18,6173,6173,5401,5440,390
33,2000-02-21,5401,5556,5073,5363,1450
34,2000-02-22,5749,5787,4996,5016,500
35,2000-02-23,5421,5459,4900,4900,3380
36,2000-02-24,5227,5246,4976,5074,1580
37,2000-02-25,5324,5324,4976,5209,1540
38,2000-02-28,5054,5208,5054,5209,1710
39,2000-02-29,4938,5324,4861,5209,1140
40,2000-03-02,5246,5401,5169,5209,1080
41,2000-03-03,5285,5285,5131,5209,1340
42,2000-03-06,5246,5246,5208,5248,470
43,2000-03-07,5285,5401,5169,5248,1180
44,2000-03-08,5324,5401,5246,5248,590
45,2000-03-09,5285,5401,5208,5248,840
46,2000-03-10,5246,5285,5246,5248,500
47,2000-03-13,5401,5439,4938,5209,3160
48,2000-03-14,5093,5247,5035,5035,170
49,2000-03-15,5035,5594,4919,4920,2610
50,2000-03-16,4919,5305,4919,5248,200
51,2000-03-17,5150,5285,5131,5248,120
52,2000-03-20,5246,5285,5131,5132,100
53,2000-03-21,5131,5131,5054,5055,250
54,2000-03-22,5188,5246,5188,5248,150
55,2000-03-23,5131,5285,4976,5286,1990
56,2000-03-24,5266,5285,5092,5286,540
57,2000-03-27,5324,5362,5015,5286,500
58,2000-03-28,5285,5285,5092,5286,2110
59,2000-03-29,5265,5265,5131,5132,140
60,2000-03-30,5093,5517,5093,5460,1450
61,2000-03-31,5266,5594,5266,5267,1170
62,2000-04-03,5401,5594,5324,5325,420
63,2000-04-04,5421,6115,5421,5788,3480
64,2000-04-06,5787,5902,5651,5691,860
65,2000-04-07,5633,5787,5536,5537,280
66,2000-04-10,5729,5729,5305,5383,3230
67,2000-04-11,5517,5594,5382,5402,2090
68,2000-04-12,5362,5420,5246,5248,1930
69,2000-04-14,5208,5208,5015,5093,1190
70,2000-04-17,4938,5035,4514,4514,1670
71,2000-04-18,4571,4919,4571,4707,2020
72,2000-04-19,5247,5247,4842,4977,560
73,2000-04-20,4803,4977,4629,4842,5660
74,2000-04-21,5015,5227,5015,5228,1650
75,2000-04-24,5324,5324,5131,5132,90
76,2000-04-25,4938,5093,4938,5016,390
77,2000-04-26,5054,5054,5016,5016,340
78,2000-04-27,5015,5324,5015,5267,750
79,2000-04-28,5305,5305,5092,5286,310
80,2000-05-02,5285,5401,5015,5093,1500
81,2000-05-03,5131,5227,5053,5132,141
82,2000-05-04,5131,5169,5015,5093,1870
83,2000-05-08,5092,5382,5092,5132,820
84,2000-05-09,5131,5150,5131,5132,990
85,2000-05-10,5188,5285,5131,5132,180
86,2000-05-12,5169,5324,5092,5286,380
87,2000-05-15,5401,5401,5131,5286,1020
88,2000-05-16,5363,5401,5285,5325,340
89,2000-05-17,5246,5285,5169,5286,900
90,2000-05-18,5324,5324,5169,5170,320
91,2000-05-19,5208,5382,5208,5383,3280
92,2000-05-22,5517,5517,5344,5402,7210
93,2000-05-23,4822,5401,4822,5113,2650
94,2000-05-24,5111,5401,4822,5113,4090
95,2000-05-25,5324,5517,5170,5402,5090
96,2000-05-26,5439,5439,5246,5248,500
97,2000-05-29,5247,5363,5247,5363,320
98,2000-05-30,5517,5594,5363,5440,3310
99,2000-05-31,5208,5594,5208,5402,2190
100,2000-06-01,5556,5556,5285,5402,1990
101,2000-06-02,5401,5478,5324,5363,4570
102,2000-06-05,5516,5845,5401,5614,7460
103,2000-06-07,5787,5787,5517,5691,6180
104,2000-06-08,5555,5729,5208,5209,11240
105,2000-06-09,5324,5439,5208,5228,7280
106,2000-06-12,5227,5401,5111,5132,7110
107,2000-06-13,5093,5131,4938,4997,3940
108,2000-06-14,4996,5054,4900,4939,711
109,2000-06-15,4958,5093,4861,4939,1050
110,2000-06-16,5016,5073,5016,5016,1210
111,2000-06-19,5035,5131,5016,5035,410
112,2000-06-20,5016,5016,4707,4939,7580
113,2000-06-21,5015,5015,4861,4900,1940
114,2000-06-22,4900,4900,4823,4900,790
115,2000-06-23,4938,4938,4803,4939,770
116,2000-06-26,4823,4977,4823,4958,790
117,2000-06-27,4958,4977,4861,4939,770
118,2000-06-28,4938,4977,4900,4977,830
119,2000-06-29,5016,5016,4938,4939,1800
120,2000-06-30,4938,4977,4900,4977,390
121,2000-07-03,5016,5035,4938,5035,2960
122,2000-07-04,4861,5382,4861,4977,3470
123,2000-07-05,5016,5016,4861,4977,3640
124,2000-07-06,5016,5016,4900,4977,1920
125,2000-07-07,5015,5015,4919,4920,4280
126,2000-07-10,4976,4976,4706,4785,4480
127,2000-07-11,4880,4899,4783,4785,780
128,2000-07-12,4784,4823,4745,4823,290
129,2000-07-13,4803,4803,4648,4785,1520
130,2000-07-14,4668,4745,4648,4746,1090
131,2000-07-18,4668,4706,4590,4707,460
132,2000-07-19,4706,4706,4552,4611,720
133,2000-07-20,4630,4630,4553,4572,1020
134,2000-07-21,4590,4590,4552,4592,200
135,2000-07-24,4630,4630,4514,4514,740
136,2000-07-25,4514,4514,4456,4514,1290
137,2000-07-26,4514,4610,4437,4495,120
138,2000-07-27,4495,4495,4475,4495,240
139,2000-07-28,4360,4475,4360,4399,1140
140,2000-07-31,4398,4398,4050,4244,3010
141,2000-08-01,4301,4301,4224,4244,6162
142,2000-08-02,4243,4359,4243,4244,4058
143,2000-08-03,4360,4360,4051,4051,9330
144,2000-08-04,4090,4147,4051,4090,14782
145,2000-08-07,4089,4089,3935,3936,1360
146,2000-08-08,3916,3993,3897,3936,13250
147,2000-08-09,3858,3993,3858,3936,6880
148,2000-08-10,3877,3954,3858,3955,2000
149,2000-08-11,3974,4147,3955,4013,6410
150,2000-08-14,4167,4167,3954,3974,3350
151,2000-08-16,4012,4109,3993,4090,1770
152,2000-08-17,4090,4205,4032,4090,2190
153,2000-08-18,4167,4167,4051,4090,2010
154,2000-08-21,4147,4166,4089,4109,4580
155,2000-08-22,4089,4166,4089,4148,2660
156,2000-08-23,4109,4186,4090,4090,1760
157,2000-08-24,4109,4109,4012,4051,2180
158,2000-08-25,4089,4147,4070,4129,2050
159,2000-08-28,4166,4243,4166,4244,2210
160,2000-08-29,4244,4437,4224,4437,5830
161,2000-08-30,4475,4475,4301,4437,2730
162,2000-08-31,4398,4398,4205,4360,1180
163,2000-09-01,4127,4436,4127,4322,700
164,2000-09-04,4320,4320,4205,4244,1220
165,2000-09-05,4166,4282,4127,4167,2540
166,2000-09-06,4166,4205,4127,4206,270
167,2000-09-07,4204,4243,4108,4109,670
168,2000-09-08,4128,4128,4032,4032,530
169,2000-09-14,3935,3935,3781,3936,1190
170,2000-09-15,3858,3935,3823,3824,751
171,2000-09-18,3823,3858,3395,3588,2240
172,2000-09-19,3587,3664,3587,3666,1050
173,2000-09-20,3664,3849,3664,3743,1180
174,2000-09-21,3741,3757,3607,3704,520
175,2000-09-22,3703,3703,3549,3666,1590
176,2000-09-25,3896,3896,3819,3851,110
177,2000-09-26,3742,3799,3703,3801,470
178,2000-09-27,3780,3853,3780,3808,530
179,2000-09-28,3858,3858,3780,3808,2650
180,2000-09-29,3858,3858,3780,3781,5170
181,2000-10-02,3780,3780,3703,3704,3440
182,2000-10-04,3664,3664,3595,3627,2550
183,2000-10-05,3626,3626,3549,3627,2840
184,2000-10-06,3395,3545,3395,3492,8780
185,2000-10-09,3545,3545,3395,3395,2110
186,2000-10-10,3395,3549,3395,3511,6820
187,2000-10-11,3511,3530,3472,3511,6270
188,2000-10-12,3395,3530,3395,3511,3530
189,2000-10-13,3511,3511,3434,3511,4200
190,2000-10-16,3549,3684,3549,3685,2130
191,2000-10-17,3611,3611,3538,3608,430
192,2000-10-18,3588,3588,3507,3550,2460
193,2000-10-19,3549,3741,3549,3627,1040
194,2000-10-20,3665,3704,3588,3608,1470
195,2000-10-23,3607,3607,3549,3608,1370
196,2000-10-24,3626,3626,3568,3627,781
197,2000-10-25,3781,3781,3588,3608,910
198,2000-10-26,3664,3664,3529,3627,310
199,2000-10-27,3569,3611,3569,3608,330
200,2000-10-30,3569,3607,3515,3531,1400
201,2000-10-31,3530,3626,3530,3588,10400
202,2000-11-01,3591,3761,3591,3743,2160
203,2000-11-02,3664,3741,3622,3685,3120
204,2000-11-03,3664,3703,3510,3700,1000
205,2000-11-06,3626,3630,3626,3627,120
206,2000-11-07,3587,3645,3587,3627,660
207,2000-11-08,3588,3588,3588,3588,50
208,2000-11-09,3588,3665,3569,3592,2240
209,2000-11-10,3592,3623,3588,3596,890
210,2000-11-13,3684,3684,3553,3588,3360
211,2000-11-14,3588,3858,3588,3859,3780
212,2000-11-15,3896,4166,3838,4167,17700
213,2000-11-16,4185,4282,4089,4244,10180
214,2000-11-17,4127,4243,4070,4244,1520
215,2000-11-20,4166,4359,4089,4244,5921
216,2000-11-21,4282,4320,3935,4244,3490
217,2000-11-22,4224,4224,4012,4071,5100
