,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7000,7000,6120,6551,2840
1,2000-01-05,6790,6790,6700,6701,120
2,2000-01-06,6500,6700,6500,6651,130
3,2000-01-07,6500,6550,6200,6501,410
4,2000-01-10,6550,7240,6300,6961,580
5,2000-01-11,6900,6950,6670,6671,50
6,2000-01-12,6670,7180,6670,7001,1090
7,2000-01-13,7300,7300,6900,6981,4800
8,2000-01-14,6980,6980,6950,6981,2450
9,2000-01-17,6810,6970,6810,6951,1140
10,2000-01-18,6950,7170,6350,6951,8110
11,2000-01-19,6900,6900,6630,6631,860
12,2000-01-20,6260,6300,5800,6301,890
13,2000-01-21,6130,6560,6100,6561,670
14,2000-01-24,6310,6400,6300,6401,310
15,2000-01-25,6120,6600,6120,6601,300
16,2000-01-26,6300,6490,6300,6491,20
17,2000-01-27,6450,6550,6450,6551,330
18,2000-01-28,6550,6550,6250,6531,1030
19,2000-01-31,6450,6450,6450,6451,20
20,2000-02-01,6300,6600,6300,6301,360
21,2000-02-02,5730,6670,5730,6501,340
22,2000-02-03,6510,6680,6500,6681,720
23,2000-02-07,6800,7100,6680,7101,700
24,2000-02-08,7200,7300,6800,6801,240
25,2000-02-09,7150,7150,6810,6811,140
26,2000-02-10,7200,7200,6510,7001,270
27,2000-02-11,6900,6900,6710,6711,1240
28,2000-02-14,6710,6710,6700,6701,170
29,2000-02-15,6500,6500,6250,6301,3810
30,2000-02-16,6300,6300,6000,6001,440
31,2000-02-17,6000,6180,5950,5951,1410
32,2000-02-18,6050,6100,5880,5881,1880
33,2000-02-21,5900,5900,5560,5580,1390
34,2000-02-22,5560,5580,5400,5450,3400
35,2000-02-23,5510,6260,5510,6131,1800
36,2000-02-24,6300,6430,6090,6201,1460
37,2000-02-25,6020,6400,6020,6061,970
38,2000-02-28,5910,6200,5900,6201,1280
39,2000-02-29,6100,6500,6100,6501,5240
40,2000-03-02,6470,6590,6450,6591,260
41,2000-03-03,6330,6400,6100,6201,290
42,2000-03-06,6200,6300,6100,6221,2370
43,2000-03-07,6300,6300,6010,6071,3870
44,2000-03-08,6100,6100,5950,5991,2660
45,2000-03-09,6140,6140,5700,5981,3020
46,2000-03-10,6000,6130,5950,6081,2710
47,2000-03-13,6080,6200,5960,6001,10610
48,2000-03-14,6190,6300,6050,6191,7130
49,2000-03-15,6340,6340,6110,6251,8080
50,2000-03-16,6340,6350,6000,6001,6680
51,2000-03-17,6100,6480,6100,6101,2560
52,2000-03-20,6300,6350,6000,6031,9040
53,2000-03-21,6040,6100,5950,5961,1670
54,2000-03-22,6000,6140,5950,6131,3870
55,2000-03-23,6200,6200,5800,5911,6980
56,2000-03-24,6000,6100,5920,5940,3680
57,2000-03-27,6100,6300,5990,6001,9530
58,2000-03-28,6000,6800,6000,6701,23230
59,2000-03-29,6700,6900,6360,6451,17010
60,2000-03-30,6610,7100,6450,6741,12680
61,2000-03-31,6580,6850,6540,6671,4090
62,2000-04-03,6800,7100,6700,6831,9840
63,2000-04-04,6850,6990,6700,6751,5230
64,2000-04-06,6610,6700,6550,6551,8510
65,2000-04-07,6550,6620,6400,6501,5460
66,2000-04-10,6500,6850,6500,6711,9070
67,2000-04-11,7000,7000,6710,6711,5370
68,2000-04-12,6750,6850,6710,6851,3660
69,2000-04-14,6850,6870,6750,6851,2450
70,2000-04-17,6500,6750,6300,6401,3330
71,2000-04-18,6440,6700,6440,6601,2520
72,2000-04-19,6800,7090,6750,6801,12580
73,2000-04-20,6800,6950,6550,6701,5590
74,2000-04-21,6840,7000,6680,6781,6090
75,2000-04-24,7100,7100,6800,6801,8870
76,2000-04-25,6800,7500,6800,7401,9200
77,2000-04-26,7500,7800,7120,7241,9980
78,2000-04-27,7100,7350,7000,7011,12600
79,2000-04-28,6900,7340,6900,7191,5430
80,2000-05-02,7150,7160,7000,7051,9133
81,2000-05-03,6950,7250,6920,7141,26250
82,2000-05-04,7200,7280,7050,7061,5610
83,2000-05-08,7060,7200,7000,7091,6720
84,2000-05-09,7090,7200,6910,6911,8170
85,2000-05-10,6980,6980,6750,6811,3130
86,2000-05-12,6870,7090,6820,6851,5160
87,2000-05-15,6850,6850,6500,6701,4400
88,2000-05-16,6800,6800,6580,6801,3660
89,2000-05-17,6950,7200,6650,6771,8040
90,2000-05-18,6500,6730,6400,6701,3180
91,2000-05-19,6600,7000,6600,6901,2880
