,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,15500,16300,15400,15900,93140
1,2000-01-05,15900,16100,14450,15200,239560
2,2000-01-06,16000,16200,14500,14700,210390
3,2000-01-07,14500,16900,14500,16900,382700
4,2000-01-10,17600,19400,17400,18700,624300
5,2000-01-11,20000,21300,19500,20650,919130
6,2000-01-12,20650,20650,18300,19000,209940
7,2000-01-13,19000,19700,18200,19050,211770
8,2000-01-14,19700,19900,18100,18200,99940
9,2000-01-17,17700,18450,17600,17700,119840
10,2000-01-18,18150,19500,17900,18500,236530
11,2000-01-19,18150,18600,17550,17800,127790
12,2000-01-20,17700,18200,16450,17600,95180
13,2000-01-21,16800,17400,16350,16500,89620
14,2000-01-24,15900,16900,15350,16150,550970
15,2000-01-25,15600,16100,14900,14900,185480
16,2000-01-26,15500,15600,14700,15600,685400
17,2000-01-27,15700,17800,15400,17400,503510
18,2000-01-28,17300,18350,16800,17400,298990
19,2000-01-31,17300,17300,16900,17200,95110
20,2000-02-01,17500,18150,17300,17900,98740
21,2000-02-02,18000,18900,17700,18600,107490
22,2000-02-03,18400,18950,18000,18700,119120
23,2000-02-07,18600,19450,18300,18700,177290
24,2000-02-08,18350,18900,17700,18300,112400
25,2000-02-09,18000,18450,18000,18300,132680
26,2000-02-10,18300,18350,17000,17000,94040
27,2000-02-11,17900,17900,16800,17800,123850
28,2000-02-14,18200,19500,16500,16700,270500
29,2000-02-15,16800,17650,16600,17000,129150
30,2000-02-16,17500,17800,16000,17500,73620
31,2000-02-17,16550,17950,16550,17800,79910
32,2000-02-18,17300,17500,16300,16700,166580
33,2000-02-21,15100,16400,15100,15800,85470
34,2000-02-22,15500,16200,15000,15000,78650
35,2000-02-23,15000,16400,14800,15200,190040
36,2000-02-24,15500,15900,15100,15750,109880
37,2000-02-25,15200,16100,15200,15200,95120
38,2000-02-28,15000,15850,15000,15150,121290
39,2000-02-29,15400,15550,15000,15500,157510
40,2000-03-02,15600,16000,15400,16000,192100
41,2000-03-03,16500,16500,15100,15600,133850
42,2000-03-06,15950,16250,15500,16000,273370
43,2000-03-07,16000,16300,15500,15550,171770
44,2000-03-08,15500,15600,15200,15500,127280
45,2000-03-09,15650,15800,14500,14500,330880
46,2000-03-10,15450,15700,14900,15200,284370
47,2000-03-13,14800,15400,14700,14750,170640
48,2000-03-14,14500,15000,14200,14300,139390
49,2000-03-15,14200,14450,13550,13600,192690
50,2000-03-16,13900,14200,13600,13800,156860
51,2000-03-17,14400,15850,14400,15500,777190
52,2000-03-20,15300,15400,14300,14500,159100
53,2000-03-21,15000,15450,14700,14900,224170
54,2000-03-22,14900,15300,14300,14650,280290
55,2000-03-23,14750,14950,14400,14550,112010
56,2000-03-24,14600,15150,14300,15000,194400
57,2000-03-27,15000,15000,14500,14500,122390
58,2000-03-28,14750,14950,14500,14700,110170
59,2000-03-29,14500,14600,14000,14100,503160
60,2000-03-30,14600,15450,14350,14700,593740
61,2000-03-31,15000,16100,14800,15150,678380
62,2000-04-03,15700,15950,15000,15650,595810
63,2000-04-04,15700,16200,15100,15650,401220
64,2000-04-06,15300,15500,14450,14450,206960
65,2000-04-07,14050,14650,13700,14100,451810
66,2000-04-10,14000,14700,13800,14250,697330
67,2000-04-11,14400,14500,14000,14300,334630
68,2000-04-12,14100,14300,13850,14100,191230
69,2000-04-14,13700,13750,13300,13600,120060
70,2000-04-17,12900,12900,11600,12400,267500
71,2000-04-18,13400,13400,11550,12550,359460
72,2000-04-19,12900,13600,12000,12100,367770
73,2000-04-20,12400,12500,12000,12450,143490
74,2000-04-21,12600,12800,12200,12600,118150
75,2000-04-24,12600,12700,12150,12200,84470
76,2000-04-25,12000,12200,11800,12000,92730
77,2000-04-26,12200,12350,11400,12000,202190
78,2000-04-27,11500,12000,10850,11400,323850
79,2000-04-28,11600,12600,11300,11600,509690
80,2000-05-02,11500,11750,11050,11150,264500
81,2000-05-03,11300,11300,10850,11000,369320
82,2000-05-04,10850,10900,10500,10650,427170
83,2000-05-08,10650,10800,10450,10450,295750
84,2000-05-09,10050,10900,10050,10400,748510
85,2000-05-10,10750,10950,10500,10650,419160
86,2000-05-12,10500,10550,9450,9700,532090
87,2000-05-15,9220,9420,8300,8320,400920
88,2000-05-16,8430,8620,8100,8480,216340
89,2000-05-17,8550,8700,7210,7210,759140
90,2000-05-18,7200,7280,6800,7150,414920
91,2000-05-19,7100,7110,6620,6800,369220
92,2000-05-22,6510,6740,6000,6010,340770
93,2000-05-23,5820,6250,5820,6080,332670
94,2000-05-24,6340,6970,5950,6610,574880
95,2000-05-25,6890,7600,6720,7600,615470
96,2000-05-26,8190,8590,7310,7310,1473520
97,2000-05-29,7230,7900,7100,7650,680390
98,2000-05-30,7790,8300,7790,8050,469280
99,2000-05-31,8300,8500,8100,8400,627300
100,2000-06-01,8110,8290,7860,8000,243950
101,2000-06-02,8250,8600,7950,8020,378910
102,2000-06-05,8050,8770,8050,8650,613610
103,2000-06-07,8700,9300,8600,8720,624180
104,2000-06-08,8680,8700,7730,7810,671520
105,2000-06-09,7550,7700,7200,7500,518030
106,2000-06-12,7500,8000,7230,8000,1284030
107,2000-06-13,7890,7890,7310,7350,511200
108,2000-06-14,7450,7590,7060,7150,283880
109,2000-06-15,7000,7100,6750,6830,258430
110,2000-06-16,6650,7450,6650,7400,416810
111,2000-06-19,7200,7500,7050,7210,211280
112,2000-06-20,7210,7400,7050,7230,149200
113,2000-06-21,7400,7700,7370,7450,381210
114,2000-06-22,7700,7700,7320,7600,399470
115,2000-06-23,7350,7700,7350,7700,176300
116,2000-06-26,7520,7650,7490,7500,183640
117,2000-06-27,7600,7610,7330,7550,237750
118,2000-06-28,7600,8200,7580,7910,468100
119,2000-06-29,8100,8400,7500,7500,396840
120,2000-06-30,7690,7800,7390,7470,271030
121,2000-07-03,7610,8330,7520,8150,683720
122,2000-07-04,8400,8470,8000,8190,385160
123,2000-07-05,8200,8650,7910,8600,519920
124,2000-07-06,8700,9750,8700,9150,1424010
125,2000-07-07,9200,9300,8700,8900,1032600
126,2000-07-10,9000,9200,8700,8800,628070
127,2000-07-11,8800,9400,8500,8650,833060
128,2000-07-12,8510,8880,8400,8620,353810
129,2000-07-13,8620,8620,8090,8100,1012610
130,2000-07-14,8170,8390,8030,8140,740350
131,2000-07-18,8270,8270,7700,7760,432740
132,2000-07-19,7570,7780,7260,7350,386370
