,날짜,시가,고가,저가,종가,거래량
0,2011-06-29,53100,58700,50300,57000,2292207
1,2011-06-30,56000,56600,52200,54800,740039
2,2011-07-01,54800,57400,53700,57000,484983
3,2011-07-04,57000,57700,55800,55800,154045
4,2011-07-05,55300,55500,53500,54000,396287
5,2011-07-06,54200,54200,52800,53200,137933
6,2011-07-07,53900,53900,52800,52800,120379
7,2011-07-08,52600,53000,50600,52700,302665
8,2011-07-11,53300,53900,52700,53200,161198
9,2011-07-12,52000,52700,51300,51300,106168
10,2011-07-13,52000,56700,51700,55400,399216
11,2011-07-14,55300,58800,54300,58200,544710
12,2011-07-15,58600,59300,57000,59200,251048
13,2011-07-18,59400,63000,58500,61700,317576
14,2011-07-19,61000,62300,60400,61600,229024
15,2011-07-20,62500,62800,60900,61900,155930
16,2011-07-21,62400,64500,61500,64000,230561
17,2011-07-22,65000,65000,63400,63900,164196
18,2011-07-25,64000,67000,63900,66600,335742
19,2011-07-26,67300,68500,65700,67700,183721
20,2011-07-27,67000,69000,67000,68700,107500
21,2011-07-28,68000,70500,67800,70400,156121
22,2011-07-29,70400,72100,66400,67900,206530
23,2011-08-01,68000,69400,65200,68300,162267
24,2011-08-02,68300,70700,68300,70700,158109
25,2011-08-03,69700,70100,67500,69400,124116
26,2011-08-04,70000,70000,68000,68300,40504
27,2011-08-05,64700,70300,62600,68300,112561
28,2011-08-08,66500,69000,65100,66000,100363
29,2011-08-09,64800,68700,60600,63000,147695
30,2011-08-10,66000,66500,62900,64700,154472
31,2011-08-11,61200,66200,61200,66200,76174
32,2011-08-12,67000,71900,66800,70100,163498
33,2011-08-16,72000,74100,71000,71700,103141
34,2011-08-17,71500,75900,71200,75000,81096
35,2011-08-18,74500,86000,72100,82000,130680
36,2011-08-19,79000,87000,72200,73000,161291
37,2011-08-22,73000,76800,69500,69500,91347
38,2011-08-23,71000,71400,63400,66500,253495
39,2011-08-24,66900,67600,62200,64700,165419
40,2011-08-25,66100,69700,64700,64700,142191
41,2011-08-26,65900,71700,65500,71700,208845
42,2011-08-29,72200,73300,69400,69400,269197
43,2011-08-30,70000,70800,68600,69900,382796
44,2011-08-31,70500,75800,69100,73400,334791
45,2011-09-01,73700,77000,73400,75900,239308
46,2011-09-02,76200,79400,76000,78000,284753
47,2011-09-05,78400,78400,73700,74000,175536
48,2011-09-06,73000,77400,73000,77200,153557
49,2011-09-07,78300,80500,76700,80400,274280
50,2011-09-08,79900,81600,78000,80000,120084
51,2011-09-09,80900,83700,79500,81600,89827
52,2011-09-14,82000,82500,76000,76000,76611
53,2011-09-15,78000,78900,72000,75700,127488
54,2011-09-16,76900,78000,74200,76500,168925
55,2011-09-19,77400,77400,74000,74000,62382
56,2011-09-20,74000,76800,71500,76800,78955
57,2011-09-21,77500,80700,76100,80700,128152
58,2011-09-22,78500,83100,78100,81600,93141
59,2011-09-23,78500,82900,78500,81200,141290
60,2011-09-26,82100,85500,75000,81200,151540
61,2011-09-27,85000,86300,83500,84400,73228
62,2011-09-28,85200,85400,80100,82000,119837
63,2011-09-29,82500,84200,81800,84000,120915
64,2011-09-30,85000,85500,80500,85200,94486
65,2011-10-04,81200,85800,81000,84000,75888
66,2011-10-05,84100,84900,78000,79600,124411
67,2011-10-06,81100,82000,73700,76300,185718
68,2011-10-07,77000,77700,73500,75300,196544
69,2011-10-10,77000,80800,75300,79600,113824
70,2011-10-11,81000,81500,76200,78900,221321
71,2011-10-12,77900,80800,77500,79600,101754
72,2011-10-13,79600,81000,78500,78500,79917
73,2011-10-14,78400,80700,78200,80700,73335
74,2011-10-17,81400,83000,79400,83000,129768
75,2011-10-18,82900,86500,81900,86500,161213
76,2011-10-19,86100,94900,86100,91800,281900
77,2011-10-20,91500,91600,87100,87100,113552
78,2011-10-21,88300,91500,87100,90300,132520
79,2011-10-24,88200,91500,88200,89100,81306
80,2011-10-25,89200,90000,86000,87800,51969
81,2011-10-26,88100,89700,87000,89700,50503
82,2011-10-27,89700,90000,85800,87300,103575
83,2011-10-28,89400,89400,78100,84600,561699
84,2011-10-31,84500,86000,80600,84900,147788
85,2011-11-01,83100,85200,82000,84300,106269
86,2011-11-02,82500,84900,81600,83700,99798
87,2011-11-03,84800,87200,83700,85000,105907
88,2011-11-04,87200,89500,84600,89100,139349
89,2011-11-07,90300,91100,89100,89500,64056
90,2011-11-08,90300,91400,87100,89900,44857
91,2011-11-09,89300,90000,86100,87800,123195
92,2011-11-10,85000,87800,85000,87700,93807
93,2011-11-11,87200,89000,85700,89000,71271
94,2011-11-14,91000,95000,89600,93600,162239
95,2011-11-15,94400,94400,91600,92500,85617
96,2011-11-16,92000,93600,90500,91500,62850
97,2011-11-17,91500,92300,89200,90600,59178
98,2011-11-18,90500,92000,88400,89600,72470
99,2011-11-21,88300,91000,88300,90300,59898
100,2011-11-22,88300,90900,88300,89900,32038
101,2011-11-23,89600,90900,86600,87000,71100
102,2011-11-24,91000,94000,74000,75900,2275966
103,2011-11-25,74500,79000,68400,72000,1342383
104,2011-11-28,72000,80600,71500,76900,992012
105,2011-11-29,76900,78300,70400,72100,1346257
106,2011-11-30,71800,79800,71100,74400,1887376
107,2011-12-01,77200,77500,72200,72200,824795
108,2011-12-02,66200,79900,66200,77700,2071623
109,2011-12-05,77600,78500,75800,77200,483484
110,2011-12-06,77900,78400,74000,75000,375981
111,2011-12-07,75000,75400,72600,74000,340725
112,2011-12-08,74000,79400,73000,79300,610687
113,2011-12-09,79200,84600,77500,82700,511762
114,2011-12-12,88000,89300,82700,83000,748713
115,2011-12-13,81700,84300,80900,83300,212906
116,2011-12-14,83400,84400,81500,81900,165156
117,2011-12-15,80000,88800,80000,86000,459344
118,2011-12-16,85500,88500,83500,83500,216233
119,2011-12-19,83500,85100,74400,80000,287877
120,2011-12-20,80000,82400,79800,81000,86151
121,2011-12-21,79800,82700,79700,79900,158195
122,2011-12-22,79200,81000,79100,79900,69809
123,2011-12-23,81400,81400,79600,79800,59462
124,2011-12-26,80600,81900,79500,80000,65736
125,2011-12-27,80000,81100,78700,79000,73175
126,2011-12-28,79300,79900,77500,78000,41025
127,2011-12-29,78000,81000,77500,80900,57786
128,2012-01-02,80200,81500,78400,80200,87821
129,2012-01-03,80100,80600,79300,80600,108435
130,2012-01-04,80500,81600,78800,78800,96960
131,2012-01-05,79000,79400,77400,78300,77680
132,2012-01-06,79000,79300,77300,77700,43526
133,2012-01-09,77700,78100,76500,77400,36627
134,2012-01-10,76900,77700,76800,77100,81136
135,2012-01-11,77600,77700,73600,74900,168334
136,2012-01-12,75100,75400,71900,72800,249704
137,2012-01-13,73400,74500,72900,73400,175193
138,2012-01-16,73000,74300,72500,72800,72409
139,2012-01-17,73500,75500,73000,75300,131457
140,2012-01-18,75300,76100,73700,74500,86536
141,2012-01-19,76100,79400,75400,77000,268831
142,2012-01-20,77000,77000,74800,75900,146162
143,2012-01-25,76500,76500,74600,74600,66943
144,2012-01-26,74100,76800,73700,76800,155817
145,2012-01-27,76700,76800,75300,75700,75532
146,2012-01-30,75700,76300,74600,75400,77485
147,2012-01-31,76000,77300,75400,76000,87364
148,2012-02-01,76800,84900,76700,81300,303238
149,2012-02-02,83400,85100,81600,83000,276148
150,2012-02-03,82500,83100,79500,80800,149812
151,2012-02-06,80400,81600,76800,77000,160607
152,2012-02-07,77200,78300,77100,77500,72010
153,2012-02-08,77300,77500,74800,74800,215651
154,2012-02-09,74800,75600,73200,74300,152716
155,2012-02-10,75500,76000,73700,74400,216674
156,2012-02-13,74400,75600,74100,75000,71033
157,2012-02-14,75200,75900,74300,74800,50981
158,2012-02-15,75700,76600,75000,75900,83607
159,2012-02-16,76500,77000,75500,76800,75881
160,2012-02-17,77500,78800,76000,76000,84062
161,2012-02-20,76000,76000,74600,75000,70091
162,2012-02-21,75800,75800,74400,74700,55915
163,2012-02-22,74700,75800,74600,75200,44735
164,2012-02-23,75600,77000,74900,76500,90457
165,2012-02-24,76000,76900,75200,75600,55460
166,2012-02-27,64300,64300,64300,64300,65170
167,2012-02-28,54700,57700,54700,57500,3599321
168,2012-02-29,58100,61300,57700,58800,1085938
169,2012-03-02,58400,61700,57300,61500,508948
170,2012-03-05,61300,61600,60000,61100,253587
171,2012-03-06,60800,62400,60800,62300,138817
172,2012-03-07,61200,62800,61200,62300,145460
173,2012-03-08,62400,62400,60600,61000,163875
174,2012-03-09,61000,61400,59300,60000,286117
175,2012-03-12,60800,63400,60500,61000,195757
176,2012-03-13,60000,60100,58800,59900,241081
177,2012-03-14,60400,60500,59600,59900,149701
178,2012-03-15,60000,60400,59200,59300,154348
179,2012-03-16,59700,64700,59400,63400,425664
180,2012-03-19,63200,65500,62500,63700,302908
181,2012-03-20,63700,63700,60800,61600,224038
182,2012-03-21,61700,62900,60600,62300,127634
183,2012-03-22,62600,63300,61600,62300,80948
184,2012-03-23,62500,66000,62300,63600,229513
185,2012-03-26,63100,63200,61900,62500,88826
186,2012-03-27,62300,62900,59900,61000,159356
187,2012-03-28,63300,64900,60900,61600,138319
188,2012-03-29,60800,61500,59400,60900,156653
189,2012-03-30,60400,61300,60100,60900,43460
190,2012-04-02,60900,62200,60600,61000,63057
191,2012-04-03,61900,62100,61300,61900,57947
192,2012-04-04,61600,62000,60000,60800,58869
193,2012-04-05,60000,60800,59300,60400,61772
194,2012-04-06,60000,60600,59600,60100,44826
195,2012-04-09,59600,59600,58800,58800,65408
196,2012-04-10,58800,59800,58200,58900,30878
197,2012-04-12,58500,59500,57700,59000,67545
198,2012-04-13,59000,59500,58600,59500,56687
199,2012-04-16,0,0,0,58400,100371
200,2012-04-17,0,0,0,58400,0
201,2012-04-18,0,0,0,58400,0
202,2012-04-19,0,0,0,58400,0
203,2012-04-20,0,0,0,58400,0
204,2012-04-23,0,0,0,58400,0
205,2012-04-24,0,0,0,58400,0
206,2012-04-25,0,0,0,58400,0
207,2012-04-26,0,0,0,58400,0
208,2012-04-27,0,0,0,58400,0
209,2012-04-30,0,0,0,58400,0
210,2012-05-02,60500,63900,56800,58000,553086
211,2012-05-03,58200,58400,56900,57100,108923
212,2012-05-04,59400,59600,58000,59400,153186
213,2012-05-07,59200,59300,57800,58600,75895
214,2012-05-08,58400,62600,58300,62300,188302
215,2012-05-09,62900,64100,62100,62900,132386
216,2012-05-10,62000,63500,61200,63500,90119
217,2012-05-11,63500,63900,62400,63600,70361
218,2012-05-14,64000,64500,61800,62800,90180
219,2012-05-15,62000,62800,61100,62000,113833
220,2012-05-16,63300,64300,62000,62000,196739
221,2012-05-17,62200,62900,61600,61800,70734
222,2012-05-18,60600,61100,58600,59700,128870
223,2012-05-21,59000,59900,56900,59500,158192
224,2012-05-22,59500,60600,58700,60000,68690
225,2012-05-23,60000,60700,58600,58800,49548
226,2012-05-24,58200,60100,58200,59500,52533
227,2012-05-25,59100,61300,59100,61000,56663
228,2012-05-29,61500,61700,60100,61300,51763
229,2012-05-30,60900,61300,59800,60000,55389
230,2012-05-31,59600,59700,58900,59400,30507
231,2012-06-01,59400,60400,59100,59300,56798
232,2012-06-04,57300,58700,56800,57400,67855
233,2012-06-05,57700,58200,57400,57800,47296
234,2012-06-07,58600,58700,57800,57800,101541
235,2012-06-08,58200,58200,55700,55800,165055
236,2012-06-11,56100,58600,56100,58400,83023
237,2012-06-12,57500,58400,57200,57600,48178
238,2012-06-13,57900,58000,57000,57200,42112
239,2012-06-14,57200,59000,57000,58400,72274
240,2012-06-15,58800,59900,57500,59900,61934
241,2012-06-18,61000,61300,59200,60400,119256
242,2012-06-19,60100,62000,59900,61400,102068
243,2012-06-20,61900,62200,61100,61400,67104
244,2012-06-21,59800,60600,55000,55900,578574
245,2012-06-22,55500,57700,55200,55400,270601
246,2012-06-25,56400,56400,50800,51300,588082
247,2012-06-26,50800,51800,50700,51000,158705
248,2012-06-27,51100,51300,49300,49850,220631
249,2012-06-28,49550,50100,46850,47400,434646
250,2012-06-29,46900,47850,45950,47000,369042
251,2012-07-02,47200,48350,47200,48350,212624
252,2012-07-03,49400,52600,48500,52000,709147
253,2012-07-04,53000,59600,51600,57800,1633014
254,2012-07-05,59000,61700,56700,58300,1130095
255,2012-07-06,58800,59500,57100,57700,486392
256,2012-07-09,57800,58900,56300,57900,236664
257,2012-07-10,57600,58100,56200,56600,140484
258,2012-07-11,56000,57500,55400,56600,143386
259,2012-07-12,56600,56900,55200,55700,150382
260,2012-07-13,55500,55800,52900,55000,160980
261,2012-07-16,55300,57700,54400,57100,172707
262,2012-07-17,56700,56800,55700,56000,89451
263,2012-07-18,56300,56400,52900,53100,145916
264,2012-07-19,53600,54300,50200,50700,266506
265,2012-07-20,50700,52300,49900,51900,116990
266,2012-07-23,51100,51500,50500,50800,44801
267,2012-07-24,50200,50400,48700,49050,130543
268,2012-07-25,48000,49050,47600,48000,103473
269,2012-07-26,48050,49600,48050,49100,61661
270,2012-07-27,49800,49800,48950,49100,74483
271,2012-07-30,49500,51100,49250,50000,63505
272,2012-07-31,50000,51100,50000,50200,74345
273,2012-08-01,50500,50500,49550,49900,66047
274,2012-08-02,50400,50700,49500,50600,57643
275,2012-08-03,49700,50800,49700,50200,33838
276,2012-08-06,50700,51500,50700,51400,51415
277,2012-08-07,51900,52100,51400,52000,48413
278,2012-08-08,52100,55200,52100,54900,230424
279,2012-08-09,55000,55500,53900,54700,114224
280,2012-08-10,55000,55200,54300,54800,57025
281,2012-08-13,54800,56000,54800,55500,67859
282,2012-08-14,55200,55900,55100,55400,64224
283,2012-08-16,54800,55200,54100,54900,50390
284,2012-08-17,54900,55500,53700,55300,74212
285,2012-08-20,55300,55900,54800,55900,64236
286,2012-08-21,55900,58100,55600,57500,121820
287,2012-08-22,57400,59500,56900,58900,131106
288,2012-08-23,58700,62300,58600,62300,303525
289,2012-08-24,62200,62800,61100,62400,119311
290,2012-08-27,61800,63000,61500,63000,124049
291,2012-08-28,62600,63900,62500,63600,138645
292,2012-08-29,64200,64200,60900,63000,166391
293,2012-08-30,63400,63400,61000,61000,88857
294,2012-08-31,60200,62700,60000,61800,96528
295,2012-09-03,61800,62800,60800,62600,58742
296,2012-09-04,63000,63000,62000,62000,38314
297,2012-09-05,62000,62300,60800,61300,53083
298,2012-09-06,61300,63500,61300,63000,111314
299,2012-09-07,63800,63800,62900,63300,69194
300,2012-09-10,63300,64300,62900,64000,106900
301,2012-09-11,64100,65400,63000,63000,122932
302,2012-09-12,63400,64400,62600,62900,79710
303,2012-09-13,62900,63400,62400,63300,63455
304,2012-09-14,63900,63900,62000,62100,109936
305,2012-09-17,62200,62600,60100,60600,133361
306,2012-09-18,60700,62000,60000,60900,80785
307,2012-09-19,59700,64000,59700,63900,117355
308,2012-09-20,64000,65100,63100,64400,98275
309,2012-09-21,64900,68500,64600,68500,272103
310,2012-09-24,69600,71500,69500,71000,252987
311,2012-09-25,70800,73200,69800,71600,192843
312,2012-09-26,71400,72500,70100,71300,127712
313,2012-09-27,69900,71900,69400,70900,93020
314,2012-09-28,70200,72000,70000,72000,83684
315,2012-10-02,72000,72200,71200,72000,45659
316,2012-10-04,72000,72100,69400,69600,105334
317,2012-10-05,69600,72300,68500,72000,147080
318,2012-10-08,71600,74200,71500,74000,86747
319,2012-10-09,74400,75000,73200,74000,72250
320,2012-10-10,73200,74900,73000,74000,65623
321,2012-10-11,73300,74200,71000,71700,92526
322,2012-10-12,72000,74700,71100,74200,91631
323,2012-10-15,74200,75100,73000,74700,102215
324,2012-10-16,75000,78000,74700,78000,141046
325,2012-10-17,80000,80000,75200,75200,115219
326,2012-10-18,75000,75500,70200,71300,202188
327,2012-10-19,71300,72400,68900,72000,69775
328,2012-10-22,71800,74000,70800,73700,60084
329,2012-10-23,73500,74800,73400,73400,65874
330,2012-10-24,72700,74500,71800,74500,44918
331,2012-10-25,74500,76300,73600,74700,80848
332,2012-10-26,75700,75900,72900,73600,74155
333,2012-10-29,74600,75700,73300,73800,99217
334,2012-10-30,74000,75500,73400,75400,103991
335,2012-10-31,77000,77000,74600,74900,98131
336,2012-11-01,75700,75800,73700,74400,51336
337,2012-11-02,75000,75300,72900,73200,94468
338,2012-11-05,73800,74200,72000,74000,92468
339,2012-11-06,74600,74600,72000,72500,85342
340,2012-11-07,73000,73000,71100,72000,76715
341,2012-11-08,71100,71500,68900,70700,103118
342,2012-11-09,70600,73200,69500,73000,93751
343,2012-11-12,73500,73500,72200,72600,52912
344,2012-11-13,73000,73000,72000,73000,67122
345,2012-11-14,73700,73700,69600,71100,59322
346,2012-11-15,69900,72800,69100,72300,70264
347,2012-11-16,72800,72800,70300,70300,29813
348,2012-11-19,69900,71800,69900,71100,32458
349,2012-11-20,71500,71700,70000,71000,43684
350,2012-11-21,71000,71600,70000,70400,37900
351,2012-11-22,71100,71700,70500,71300,49883
352,2012-11-23,71400,73700,71200,73400,115237
353,2012-11-26,74500,75100,73700,74600,74884
354,2012-11-27,74600,74800,73900,74400,48559
355,2012-11-28,74400,75700,74000,74200,55392
356,2012-11-29,74000,74400,72500,74100,75962
357,2012-11-30,74000,74000,72900,73900,48834
358,2012-12-03,73400,73700,71600,71800,92024
359,2012-12-04,71800,71900,70400,71300,70466
360,2012-12-05,71000,71800,70000,70100,95235
361,2012-12-06,69800,70800,66500,68000,141264
362,2012-12-07,68000,69500,67500,69300,81983
363,2012-12-10,67500,68400,64800,66400,166141
364,2012-12-11,66000,66100,62800,63000,155503
