,날짜,시가,고가,저가,종가,거래량
0,2014-10-06,42700,43000,37800,39500,558948
1,2014-10-07,39800,41600,38300,39600,164599
2,2014-10-08,39600,41400,38800,40300,134062
3,2014-10-10,40300,40600,38100,40400,119096
4,2014-10-13,40000,40400,38100,39200,119033
5,2014-10-14,39000,39300,37100,38000,129121
6,2014-10-15,38000,39000,36300,37300,121505
7,2014-10-16,36600,37800,35400,37800,173990
8,2014-10-17,37700,38300,37100,37500,55043
9,2014-10-20,38300,38700,37700,38200,70501
10,2014-10-21,37800,38200,37100,37300,73228
11,2014-10-22,38000,38300,35900,36100,139723
12,2014-10-23,35800,36800,34600,35800,125005
13,2014-10-24,36100,36500,34200,36400,116021
14,2014-10-27,36900,39100,36600,38000,133824
15,2014-10-28,38000,40000,38000,39600,126584
16,2014-10-29,40500,40600,39100,39300,69956
17,2014-10-30,39600,41000,38800,40700,99834
18,2014-10-31,40900,41200,39900,40300,62168
19,2014-11-03,40000,40000,38000,38700,101112
20,2014-11-04,38300,38700,36200,38100,127495
21,2014-11-05,38200,38900,38100,38900,58055
22,2014-11-06,38900,39100,36800,38400,1733127
23,2014-11-07,37500,38500,37300,37800,83729
24,2014-11-10,38100,39300,37300,37500,104072
25,2014-11-11,37500,39000,37500,38500,110762
26,2014-11-12,38900,39500,38100,38800,49173
27,2014-11-13,38700,39300,38500,38700,32685
28,2014-11-14,38400,38700,38000,38400,31835
29,2014-11-17,38600,38700,37300,37900,60378
30,2014-11-18,37900,38000,37200,37500,46368
31,2014-11-19,37500,37700,37000,37700,34137
32,2014-11-20,37600,37800,37300,37700,31625
33,2014-11-21,37700,38000,36400,36900,75691
34,2014-11-24,36600,37000,36100,36600,62996
35,2014-11-25,36700,37100,36200,36500,64131
36,2014-11-26,36600,37600,36100,37000,66135
37,2014-11-27,37000,38500,37000,38100,81890
38,2014-11-28,38100,38400,37400,38000,28067
39,2014-12-01,38400,38400,36600,37000,47678
40,2014-12-02,36600,37900,36600,37800,25127
41,2014-12-03,38700,38700,37900,38300,51284
42,2014-12-04,38600,39400,37700,39400,97409
43,2014-12-05,39500,39500,38600,39100,43268
44,2014-12-08,39300,39300,38100,38900,60448
45,2014-12-09,38600,38700,37900,38700,73835
46,2014-12-10,38600,38600,37500,38200,61749
47,2014-12-11,37600,38200,37100,38200,63862
48,2014-12-12,38000,38100,36700,37600,100563
49,2014-12-15,37300,37900,36800,37900,91688
50,2014-12-16,37900,38200,37400,37700,42060
51,2014-12-17,37700,38100,37400,37400,30510
52,2014-12-18,37400,37800,36600,37400,37592
53,2014-12-19,38000,38100,37100,37200,45248
54,2014-12-22,37200,37300,36700,37000,38109
55,2014-12-23,37200,37200,36400,36600,40406
56,2014-12-24,36500,36800,36400,36700,29024
57,2014-12-26,36800,37600,36700,37600,37730
58,2014-12-29,37300,37800,36300,36600,44641
59,2014-12-30,36600,36700,35800,36700,46127
60,2015-01-02,36300,36500,36000,36500,27121
61,2015-01-05,36100,36400,35800,36400,32363
62,2015-01-06,36000,36200,35500,35800,32766
63,2015-01-07,35900,35900,35000,35500,40208
64,2015-01-08,35500,36300,35500,36200,42543
65,2015-01-09,36400,36700,35200,35200,86460
66,2015-01-12,34800,35300,34600,34900,58692
67,2015-01-13,34900,34900,33800,34000,98436
68,2015-01-14,33300,34500,33300,34200,62174
69,2015-01-15,34200,34400,33500,33700,53257
70,2015-01-16,33600,33700,32500,32800,91991
71,2015-01-19,33100,33200,32599,32900,53848
72,2015-01-20,33000,33600,32900,33000,33378
73,2015-01-21,33200,33200,31800,32300,96833
74,2015-01-22,32300,32600,31700,32100,67926
75,2015-01-23,32400,32400,31400,31700,83024
76,2015-01-26,31200,32399,31200,31900,53481
77,2015-01-27,31899,33300,31700,32700,69408
78,2015-01-28,32900,33300,32599,33000,40241
79,2015-01-29,33200,34100,33000,33200,69339
80,2015-01-30,33400,33700,32600,33100,44817
81,2015-02-02,33300,33300,32600,33100,28104
82,2015-02-03,33100,33200,31599,32100,101247
83,2015-02-04,32199,32500,32100,32100,41296
84,2015-02-05,32199,32400,30099,30200,172783
85,2015-02-06,30399,30500,29100,29500,188099
86,2015-02-09,29499,29800,28900,29200,79439
87,2015-02-10,29200,30300,28300,29700,135360
88,2015-02-11,30000,30000,29100,29400,117510
89,2015-02-12,29500,29500,28600,28900,73093
90,2015-02-13,29000,29600,28600,29200,70811
91,2015-02-16,29400,29799,28700,29400,51134
92,2015-02-17,29400,30800,29100,30100,64370
