,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1137,1281,1105,1207,374690
1,2000-01-05,1171,1203,1107,1129,248950
2,2000-01-06,1139,1155,1030,1033,156550
3,2000-01-07,1044,1087,1043,1084,249390
4,2000-01-10,1059,1118,1059,1073,180790
5,2000-01-11,1064,1087,1029,1041,181910
6,2000-01-12,1017,1056,992,993,165590
7,2000-01-13,963,1014,963,1009,129520
8,2000-01-14,1017,1024,962,973,138760
9,2000-01-17,993,1001,957,977,177000
10,2000-01-18,987,995,931,932,170520
11,2000-01-19,923,923,849,849,179210
12,2000-01-20,808,865,770,849,216370
13,2000-01-21,818,891,818,825,147390
14,2000-01-24,800,860,800,802,172040
15,2000-01-25,804,855,802,811,148500
16,2000-01-26,818,897,812,866,313070
17,2000-01-27,876,996,876,995,623770
18,2000-01-28,1009,1041,960,1018,496300
19,2000-01-31,962,1098,962,1057,660390
20,2000-02-01,1087,1090,1034,1057,446360
21,2000-02-02,1049,1113,1042,1069,302330
22,2000-02-03,1060,1090,1043,1050,242580
23,2000-02-07,1053,1081,1027,1039,254040
24,2000-02-08,1010,1071,992,993,297930
25,2000-02-09,978,1017,939,973,289220
26,2000-02-10,936,984,936,941,242110
27,2000-02-11,946,968,895,905,210370
28,2000-02-14,882,935,875,883,236180
29,2000-02-15,906,995,906,945,347320
30,2000-02-16,962,1002,914,937,323620
31,2000-02-17,939,955,916,928,261750
32,2000-02-18,901,914,886,889,218320
33,2000-02-21,872,896,818,847,261630
34,2000-02-22,802,881,802,855,259960
35,2000-02-23,876,985,876,984,572170
36,2000-02-24,916,986,884,909,309480
37,2000-02-25,930,957,896,937,332540
38,2000-02-28,904,928,896,929,260610
39,2000-02-29,994,1005,947,961,385200
40,2000-03-02,931,978,929,953,279700
41,2000-03-03,953,960,882,892,141000
42,2000-03-06,899,946,852,941,327540
43,2000-03-07,903,953,896,918,200120
44,2000-03-08,914,963,899,902,325170
45,2000-03-09,886,899,867,866,470200
46,2000-03-10,867,895,844,844,284310
47,2000-03-13,854,873,806,814,291080
48,2000-03-14,797,853,797,817,290320
49,2000-03-15,820,842,802,817,237820
50,2000-03-16,834,840,802,817,220340
51,2000-03-17,846,904,834,873,438800
52,2000-03-20,861,871,834,834,192760
53,2000-03-21,818,840,804,809,195450
54,2000-03-22,822,849,810,825,326400
55,2000-03-23,818,851,801,801,1220400
56,2000-03-24,818,825,795,806,229320
57,2000-03-27,814,882,803,881,522590
58,2000-03-28,867,871,822,853,258730
59,2000-03-29,833,841,794,794,335130
60,2000-03-30,723,736,675,675,432620
61,2000-03-31,666,688,618,617,356480
62,2000-04-03,626,629,535,548,357990
63,2000-04-04,550,569,522,560,410230
64,2000-04-06,557,557,531,533,180310
65,2000-04-07,535,554,507,522,242500
66,2000-04-10,513,570,494,538,579120
67,2000-04-11,537,559,512,521,252490
68,2000-04-12,516,553,515,527,356480
69,2000-04-14,500,558,500,539,246070
70,2000-04-17,465,499,458,458,275320
71,2000-04-18,483,488,462,467,326860
72,2000-04-19,475,485,466,467,213870
73,2000-04-20,443,475,443,467,278750
74,2000-04-21,482,489,468,481,249140
75,2000-04-24,480,483,464,465,115200
76,2000-04-25,467,470,436,441,155310
77,2000-04-26,442,457,414,413,144430
78,2000-04-27,403,432,387,414,238820
79,2000-04-28,417,475,414,469,582290
80,2000-05-02,479,506,452,465,417160
81,2000-05-03,476,504,448,482,301680
82,2000-05-04,480,504,456,457,300310
83,2000-05-08,480,488,456,463,151730
84,2000-05-09,464,470,451,456,135550
85,2000-05-10,448,456,440,444,125640
86,2000-05-12,453,462,440,449,108880
87,2000-05-15,451,451,410,413,94110
88,2000-05-16,402,431,402,424,127990
89,2000-05-17,427,427,367,368,159690
90,2000-05-18,367,384,341,368,144560
91,2000-05-19,368,384,355,376,115370
92,2000-05-22,380,410,372,373,115460
