,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,10323,11803,10323,11763,1542810
1,2000-01-05,11204,11844,10803,11044,2894840
2,2000-01-06,11204,11204,10043,10164,1573760
3,2000-01-07,10484,10803,10083,10164,1729660
4,2000-01-10,10404,10645,10004,10004,1384090
5,2000-01-11,9843,10523,9723,10243,1692940
6,2000-01-12,10003,10403,9643,9763,1141620
7,2000-01-13,9643,10003,9522,9763,1510710
8,2000-01-14,9764,9803,8883,9044,1745380
9,2000-01-17,9204,9364,8563,8883,2195290
10,2000-01-18,9042,9122,8521,8523,2363580
11,2000-01-19,8282,8402,7529,7554,2263490
12,2000-01-20,7403,7554,6971,7123,2190320
13,2000-01-21,6889,7322,6729,6730,2965120
14,2000-01-24,6962,7442,6881,7050,3884110
15,2000-01-25,6802,7353,6729,7163,2075670
16,2000-01-26,7593,8202,7442,8202,2229810
17,2000-01-27,9083,9403,8724,9404,4875210
18,2000-01-28,9923,10404,9643,10004,6760150
19,2000-01-31,9363,11123,9322,10604,6089780
20,2000-02-01,11083,11083,10283,10564,3680030
21,2000-02-02,10484,11484,10283,11204,4229480
22,2000-02-03,11283,11603,10962,11243,2311750
23,2000-02-07,10962,11442,10442,10444,3922140
24,2000-02-08,10163,10883,9802,9924,3957920
25,2000-02-09,10004,10324,9523,9884,2372720
26,2000-02-10,10204,11124,9883,11044,5336370
27,2000-02-11,11203,11203,9843,10084,2822920
28,2000-02-14,9602,10763,9322,10404,3164750
29,2000-02-15,10403,10763,9643,9643,2654300
30,2000-02-16,9923,10043,9163,9684,1723560
31,2000-02-17,9523,9923,9283,9843,1873310
32,2000-02-18,9122,9922,9122,9283,2552640
33,2000-02-21,8883,9922,8442,9803,2646120
34,2000-02-22,9283,10004,9204,9203,1983930
35,2000-02-23,9922,10562,9402,10243,4462660
36,2000-02-24,9764,10324,9244,9524,2361290
37,2000-02-25,9684,9844,9204,9684,2401960
38,2000-02-28,9204,10004,9163,9843,1699390
39,2000-02-29,10164,10164,9364,9524,1535560
40,2000-03-02,9122,9723,9002,9483,3720310
41,2000-03-03,9483,9483,8403,8883,2658480
42,2000-03-06,8883,9204,8483,8924,2975960
43,2000-03-07,8642,9043,8563,8564,1688810
44,2000-03-08,8323,9244,8283,8564,3512870
45,2000-03-09,8563,8724,8083,8083,2407090
46,2000-03-10,8161,8362,7842,7842,2201030
47,2000-03-13,7843,7923,7155,7259,2349020
48,2000-03-14,6818,7514,6818,7243,2255900
49,2000-03-15,7242,7410,6970,7003,1389010
50,2000-03-16,7113,7282,6897,6987,1446830
51,2000-03-17,7516,7737,7206,7508,2134060
52,2000-03-20,7348,7427,7162,7190,1241030
53,2000-03-21,7295,7383,6800,6845,1236600
54,2000-03-22,6852,7074,6676,6703,2842160
55,2000-03-23,6544,6614,6207,6209,3048800
56,2000-03-24,6278,6349,5853,6058,2176540
57,2000-03-27,5906,6773,5748,6624,5969130
58,2000-03-28,6278,6632,6109,6226,1924120
59,2000-03-29,6030,6172,5305,5394,1947840
60,2000-03-30,5128,5571,4960,5571,1938650
61,2000-03-31,5287,5650,5287,5289,1032830
62,2000-04-03,5128,5394,4863,4864,1055120
63,2000-04-04,4951,5128,4863,5121,1358990
64,2000-04-06,4942,5040,4907,4935,728190
65,2000-04-07,4863,5022,4686,4723,3048340
66,2000-04-10,4607,5252,4430,4776,5294850
67,2000-04-11,4942,4996,4695,4749,3219640
68,2000-04-12,4916,5173,4801,4855,4664050
69,2000-04-14,4784,5191,4695,4961,4299140
70,2000-04-17,4439,4686,4218,4289,2590480
71,2000-04-18,4465,4571,4288,4373,2032130
72,2000-04-19,4376,4465,4199,4210,2005460
73,2000-04-20,4058,4209,3810,3825,2345080
74,2000-04-21,3855,3934,3731,3825,2318950
75,2000-04-24,3824,4288,3745,4006,3929100
76,2000-04-25,3961,4094,3784,3798,1775000
77,2000-04-26,3815,3922,3280,3281,1987060
78,2000-04-27,3280,3430,3023,3334,3266060
79,2000-04-28,3377,3833,3289,3834,3639390
80,2000-05-02,4062,4235,3899,4077,5116310
81,2000-05-03,4155,4686,3978,4688,4070480
82,2000-05-04,4933,5376,4704,5156,7476370
83,2000-05-08,5031,5040,4430,4439,4310880
84,2000-05-09,4421,4439,3996,4001,3359510
85,2000-05-10,3855,4032,3757,3768,2751960
86,2000-05-12,3624,3926,3580,3829,3075160
87,2000-05-15,3713,3882,3360,3361,1675630
88,2000-05-16,3448,3705,3421,3493,2024520
89,2000-05-17,3448,3563,2970,3060,1586810
90,2000-05-18,3095,3218,2882,3193,2195260
91,2000-05-19,3103,3280,2741,2741,3627760
92,2000-05-22,2758,2988,2697,2741,2890860
93,2000-05-23,2705,3095,2608,2914,3826300
94,2000-05-24,2918,3347,2837,3347,3214100
95,2000-05-25,3532,3846,3403,3847,2236840
96,2000-05-26,3669,4085,3272,3272,5724480
97,2000-05-29,3272,3762,3112,3763,5636630
98,2000-05-30,3978,4323,3665,3714,7319270
99,2000-05-31,3801,4262,3757,4113,8935170
100,2000-06-01,3978,4235,3820,3847,4207650
101,2000-06-02,4067,4288,3970,4050,5977990
102,2000-06-05,4323,4651,4199,4651,7032980
103,2000-06-07,4686,5128,4598,4802,6697420
104,2000-06-08,4819,4951,4262,4599,6044410
105,2000-06-09,4465,4784,4332,4466,4394440
106,2000-06-12,4332,4633,4332,4483,2606240
107,2000-06-13,4483,4765,4385,4422,3979320
108,2000-06-14,4465,4580,4134,4148,2056980
109,2000-06-15,4155,4275,3740,3803,2541760
110,2000-06-16,3661,3846,3603,3696,2660140
111,2000-06-19,3801,3864,3580,3582,2203840
112,2000-06-20,3652,4116,3624,4117,5552560
113,2000-06-21,4164,4633,3978,4068,8866080
114,2000-06-22,4244,4376,3987,4094,3916180
115,2000-06-23,4023,4231,3987,4157,2459230
116,2000-06-26,4288,4315,4129,4210,2154000
117,2000-06-27,4209,4651,4190,4511,5230590
118,2000-06-28,4509,5031,4483,4688,7463590
119,2000-06-29,4712,4828,4456,4599,3080590
120,2000-06-30,4669,5287,4607,5289,8381300
121,2000-07-03,5730,6074,5571,6076,13221010
122,2000-07-04,6163,6463,5748,5775,14247320
123,2000-07-05,5836,6632,5491,6633,15422140
124,2000-07-06,6808,7595,6738,7075,20390320
125,2000-07-07,7074,7472,6906,7252,11326110
126,2000-07-10,7348,8338,7260,8340,14514350
127,2000-07-11,8577,9551,8489,8666,22150610
128,2000-07-12,9108,9197,8410,8843,13226690
129,2000-07-13,8586,8931,8507,8826,8200160
130,2000-07-14,8975,9152,7764,7915,9484970
131,2000-07-18,7516,7595,6773,7136,10250210
132,2000-07-19,7224,8205,7127,8207,21283530
133,2000-07-20,8400,8640,7755,7915,24218570
134,2000-07-21,8135,8754,7914,8401,19479440
135,2000-07-24,8224,8463,7145,7340,10463610
136,2000-07-25,7162,7844,7074,7517,13391210
137,2000-07-26,7613,7684,7092,7164,8303640
138,2000-07-27,6985,7322,6773,6898,6314430
139,2000-07-28,6720,7215,6720,6810,8892400
140,2000-07-31,6985,7313,6880,7261,7369550
141,2000-08-01,7418,7595,7295,7340,8364810
142,2000-08-02,7463,7684,7278,7385,6406200
143,2000-08-03,7427,7543,7110,7429,7457780
