,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,481,618,481,597,1404955
1,2000-01-05,593,640,577,610,1042801
2,2000-01-06,633,633,556,558,694754
3,2000-01-07,559,633,559,602,1068682
4,2000-01-10,617,665,573,643,1701026
5,2000-01-11,577,651,545,612,1105418
6,2000-01-12,628,628,559,575,705830
7,2000-01-13,582,658,550,621,2354036
8,2000-01-14,601,614,559,565,1126073
9,2000-01-17,550,577,545,561,640183
10,2000-01-18,540,564,540,543,392157
11,2000-01-19,535,555,474,509,245851
12,2000-01-20,491,513,474,506,287374
13,2000-01-21,483,527,481,501,262380
14,2000-01-24,499,527,490,517,533250
15,2000-01-25,491,503,491,497,176984
16,2000-01-26,491,503,474,488,354129
17,2000-01-27,490,556,490,520,783856
18,2000-01-28,506,527,506,513,328684
19,2000-01-31,513,524,494,506,224133
20,2000-02-01,503,513,481,497,705625
21,2000-02-02,494,527,494,513,435205
22,2000-02-03,518,518,494,506,299326
23,2000-02-07,518,518,494,513,899518
24,2000-02-08,527,531,508,511,594136
25,2000-02-09,511,543,503,506,1020857
26,2000-02-10,527,527,486,497,494327
27,2000-02-11,486,527,474,520,955852
28,2000-02-14,518,518,466,492,421515
29,2000-02-15,471,481,454,459,369989
30,2000-02-16,445,471,445,451,379129
31,2000-02-17,474,491,462,478,1038695
32,2000-02-18,487,538,487,534,1456070
33,2000-02-21,532,550,497,506,1748419
34,2000-02-22,503,524,481,500,785627
35,2000-02-23,503,540,499,525,1370146
36,2000-02-24,522,564,513,525,1643667
37,2000-02-25,522,531,508,520,868455
38,2000-02-28,527,587,508,572,1955631
39,2000-02-29,577,610,568,572,2616668
40,2000-03-02,582,655,568,612,2419956
41,2000-03-03,637,637,577,587,2311484
42,2000-03-06,587,612,573,612,1194526
43,2000-03-07,608,618,587,595,1125854
44,2000-03-08,606,606,566,589,556466
45,2000-03-09,556,605,556,585,885828
46,2000-03-10,568,623,568,621,1839048
47,2000-03-13,650,683,628,663,3043822
48,2000-03-14,660,660,603,612,1269095
49,2000-03-15,577,593,568,572,1137376
50,2000-03-16,580,646,573,582,2304049
51,2000-03-17,582,596,550,579,1314333
52,2000-03-20,564,576,550,564,1453211
53,2000-03-21,543,552,529,538,507812
54,2000-03-22,527,545,518,543,1251484
55,2000-03-23,532,550,528,536,660215
56,2000-03-24,520,564,520,538,1849500
57,2000-03-27,559,559,534,536,630850
58,2000-03-28,536,573,518,575,1501925
59,2000-03-29,573,596,555,585,1918187
60,2000-03-30,582,582,555,556,825406
61,2000-03-31,550,633,540,634,1151291
62,2000-04-03,596,610,545,556,911490
63,2000-04-04,555,564,503,506,1029097
64,2000-04-06,486,513,474,478,987161
65,2000-04-07,486,499,481,482,750837
66,2000-04-10,494,508,483,495,440174
67,2000-04-11,492,492,460,472,476497
68,2000-04-12,486,486,469,474,171719
69,2000-04-14,454,474,454,472,313017
70,2000-04-17,469,469,413,414,334569
71,2000-04-18,449,449,393,414,2764951
72,2000-04-19,416,425,410,414,3366012
73,2000-04-20,413,420,412,415,1162574
74,2000-04-21,412,419,406,421,1002609
75,2000-04-24,423,435,414,423,1461257
76,2000-04-25,429,429,407,410,667366
77,2000-04-26,412,412,383,385,650850
78,2000-04-27,383,383,361,367,592570
79,2000-04-28,356,382,356,382,562595
80,2000-05-02,375,436,375,414,3950967
81,2000-05-03,430,430,391,404,1147159
82,2000-05-04,403,432,389,414,1708839
83,2000-05-08,425,425,413,417,1327374
84,2000-05-09,417,424,411,421,713870
85,2000-05-10,412,437,406,423,1414109
86,2000-05-12,417,454,413,428,2310404
87,2000-05-15,421,469,417,443,2536447
88,2000-05-16,456,456,417,426,1251484
89,2000-05-17,425,430,412,414,1543010
90,2000-05-18,399,400,375,391,968011
91,2000-05-19,379,388,367,391,742366
92,2000-05-22,388,388,361,367,954778
93,2000-05-23,365,417,347,360,2298849
94,2000-05-24,354,365,340,359,706077
95,2000-05-25,358,403,358,404,852575
96,2000-05-26,388,398,376,396,513052
97,2000-05-29,393,412,380,414,124333
98,2000-05-30,417,440,413,441,533895
99,2000-05-31,425,481,425,460,1480149
100,2000-06-01,462,467,454,464,1594975
101,2000-06-02,462,481,456,458,1427342
102,2000-06-05,456,481,454,460,1867339
103,2000-06-07,469,477,456,472,2177110
104,2000-06-08,481,527,430,455,6135495
105,2000-06-09,454,462,440,455,1863417
106,2000-06-12,458,520,458,488,9396909
107,2000-06-13,460,486,445,455,2986891
108,2000-06-14,467,467,446,455,1452349
109,2000-06-15,445,462,436,439,1622788
110,2000-06-16,440,449,437,439,856483
111,2000-06-19,435,462,434,444,1536058
112,2000-06-20,438,458,438,446,1046946
113,2000-06-21,445,499,430,433,23612416
114,2000-06-22,430,449,398,420,5592460
115,2000-06-23,407,419,407,417,2236265
116,2000-06-26,408,440,408,426,2361690
117,2000-06-27,435,435,421,433,1205609
118,2000-06-28,431,434,424,433,1030648
119,2000-06-29,437,437,425,435,895193
120,2000-06-30,437,440,428,441,640886
121,2000-07-03,454,462,441,455,2439715
122,2000-07-04,458,478,454,459,2808837
123,2000-07-05,457,467,440,458,1572555
124,2000-07-06,454,467,446,458,1559507
125,2000-07-07,456,518,456,463,12805964
126,2000-07-10,471,486,455,469,3665127
127,2000-07-11,477,477,447,451,1494549
128,2000-07-12,445,503,445,451,3647296
129,2000-07-13,454,462,438,446,1409526
130,2000-07-14,456,456,435,438,710639
131,2000-07-18,416,440,390,404,1438851
132,2000-07-19,412,412,367,377,1290865
133,2000-07-20,376,383,366,378,983885
134,2000-07-21,380,384,377,380,583926
135,2000-07-24,375,384,356,359,1109105
136,2000-07-25,356,366,356,364,224756
137,2000-07-26,361,375,361,368,616489
138,2000-07-27,367,375,348,365,329998
139,2000-07-28,361,366,353,356,336943
140,2000-07-31,347,355,343,349,502579
141,2000-08-01,346,372,343,359,568465
142,2000-08-02,356,373,356,363,618905
143,2000-08-03,361,367,356,361,428712
144,2000-08-04,359,363,354,361,671505
145,2000-08-07,345,355,341,349,324572
146,2000-08-08,346,355,346,352,232398
147,2000-08-09,350,359,349,354,358004
148,2000-08-10,352,354,346,357,418465
149,2000-08-11,359,361,347,356,462594
150,2000-08-14,355,371,353,372,806077
151,2000-08-16,380,381,366,373,421515
152,2000-08-17,371,371,361,367,388919
153,2000-08-18,363,366,356,367,439332
154,2000-08-21,359,365,354,359,178271
155,2000-08-22,356,361,356,361,87385
156,2000-08-23,361,363,353,357,370434
157,2000-08-24,353,354,349,353,326071
158,2000-08-25,355,359,350,359,404780
159,2000-08-28,356,371,347,372,1714105
160,2000-08-29,366,376,364,372,1494549
161,2000-08-30,371,371,363,367,341950
162,2000-08-31,361,366,357,363,665210
163,2000-09-01,357,380,357,368,487807
164,2000-09-04,376,388,368,389,1700622
165,2000-09-05,388,388,371,375,959097
166,2000-09-06,371,387,367,380,1428218
167,2000-09-07,388,416,379,385,2789706
168,2000-09-08,398,398,366,368,753882
169,2000-09-14,361,370,361,367,509544
170,2000-09-15,343,389,343,377,1546043
171,2000-09-18,366,367,319,328,932345
172,2000-09-19,334,372,326,358,1459526
173,2000-09-20,376,387,359,364,1209318
174,2000-09-21,363,380,343,362,791704
175,2000-09-22,361,366,344,348,382142
176,2000-09-25,348,365,348,359,390188
177,2000-09-26,366,377,363,372,1824739
178,2000-09-27,378,378,359,370,1673020
179,2000-09-28,372,374,359,376,625404
180,2000-09-29,373,397,370,375,2891433
181,2000-10-02,375,384,372,376,1946483
182,2000-10-04,374,385,374,386,2846870
183,2000-10-05,384,387,372,377,919085
184,2000-10-06,378,381,369,376,931263
185,2000-10-09,367,372,364,367,825213
186,2000-10-10,330,371,330,366,1371027
187,2000-10-11,366,374,350,363,1413865
188,2000-10-12,351,387,351,385,1762766
189,2000-10-13,384,414,361,397,4857026
190,2000-10-16,411,454,399,433,4543353
191,2000-10-17,440,462,371,382,14726113
192,2000-10-18,384,393,366,377,2527771
193,2000-10-19,375,384,366,367,2124709
194,2000-10-20,371,383,371,376,1825369
195,2000-10-23,367,376,367,377,716305
196,2000-10-24,380,432,378,434,10164706
197,2000-10-25,441,446,416,419,4763346
198,2000-10-26,414,427,398,414,1037122
199,2000-10-27,417,474,403,439,7010914
200,2000-10-30,447,458,428,433,2231449
201,2000-10-31,421,429,398,429,1502317
202,2000-11-01,428,450,423,438,1223877
203,2000-11-02,449,494,449,458,2817088
204,2000-11-03,454,481,446,482,1798652
205,2000-11-06,486,499,456,458,3061027
206,2000-11-07,460,477,458,460,2463211
207,2000-11-08,454,513,450,482,4292056
208,2000-11-09,503,508,471,488,4687477
209,2000-11-10,486,556,483,558,7279156
210,2000-11-13,592,639,580,641,9492146
211,2000-11-14,639,665,598,651,9918855
212,2000-11-15,649,687,628,634,6726777
213,2000-11-16,618,649,582,593,3839465
214,2000-11-17,601,637,571,610,4131839
215,2000-11-20,592,621,573,575,2920810
216,2000-11-21,577,610,564,575,2295385
217,2000-11-22,592,658,582,660,7501121
218,2000-11-23,642,662,559,561,5241177
219,2000-11-24,552,587,529,570,3471194
220,2000-11-27,568,587,564,565,2136675
221,2000-11-28,552,596,532,548,3422074
222,2000-11-29,540,540,477,482,1756273
223,2000-11-30,490,502,450,472,2300141
224,2000-12-01,425,513,425,504,2352099
225,2000-12-04,508,573,503,561,4672061
226,2000-12-05,564,642,564,624,9268875
227,2000-12-06,621,655,601,621,5724209
228,2000-12-07,630,697,608,674,6992002
229,2000-12-08,671,770,671,759,7887826
230,2000-12-11,777,823,752,795,5823080
231,2000-12-12,766,798,766,786,2974280
232,2000-12-13,802,876,780,836,4569454
233,2000-12-14,839,867,785,791,6559384
234,2000-12-15,802,822,674,676,5451592
235,2000-12-18,642,732,618,700,7956484
236,2000-12-19,687,745,642,658,8927349
237,2000-12-20,623,665,559,561,4345970
238,2000-12-21,513,580,486,553,7492626
239,2000-12-22,577,577,467,469,4960542
240,2000-12-26,471,499,460,469,4249458
241,2001-01-02,492,536,492,538,2868388
242,2001-01-03,562,616,557,618,5776192
243,2001-01-04,680,707,639,710,6491918
244,2001-01-05,680,750,680,720,7274428
245,2001-01-08,717,788,703,743,9434140
246,2001-01-09,750,768,724,743,4667418
247,2001-01-10,741,764,630,632,8778654
248,2001-01-11,633,655,590,656,4400912
249,2001-01-12,665,693,611,621,5703658
250,2001-01-15,604,675,604,626,7095347
251,2001-01-16,637,637,605,609,2468125
252,2001-01-17,618,678,608,639,7673032
253,2001-01-18,647,647,595,639,3132811
254,2001-01-19,642,697,620,644,14761786
255,2001-01-22,651,661,623,644,4291174
256,2001-01-26,651,675,633,641,3380194
257,2001-01-29,633,644,618,628,2732715
258,2001-01-30,628,675,613,631,9181464
259,2001-01-31,643,653,626,632,4662973
260,2001-02-01,633,661,633,651,4476166
261,2001-02-02,661,688,651,666,8930698
262,2001-02-05,685,724,633,639,19675730
263,2001-02-06,655,655,613,628,6597212
264,2001-02-07,613,630,581,589,5571169
265,2001-02-08,585,616,585,597,5052411
266,2001-02-09,586,611,586,601,3595870
267,2001-02-12,613,639,595,618,8231356
268,2001-02-13,628,628,602,609,3222139
269,2001-02-14,605,608,595,601,2419864
270,2001-02-15,604,618,595,611,2959674
271,2001-02-16,613,633,600,628,5173425
272,2001-02-19,618,642,611,616,4222880
273,2001-02-20,616,628,611,623,3398480
274,2001-02-21,623,625,595,605,2485804
275,2001-02-22,600,613,587,592,1972307
276,2001-02-23,586,618,578,601,3448263
277,2001-02-26,592,609,592,595,1704130
278,2001-02-27,602,611,592,595,2242255
279,2001-02-28,592,600,585,595,938647
280,2001-03-02,587,600,557,567,1533519
281,2001-03-05,538,553,532,536,1376586
282,2001-03-06,538,550,529,534,1112209
283,2001-03-07,534,602,534,564,7043026
284,2001-03-08,562,570,548,559,1588208
285,2001-03-09,562,566,550,553,1486098
286,2001-03-12,540,548,522,524,1074764
287,2001-03-13,494,496,472,478,1940223
288,2001-03-14,501,510,489,512,1265341
289,2001-03-15,435,508,435,503,1077756
290,2001-03-16,505,520,480,493,1040511
291,2001-03-19,492,501,467,484,692988
292,2001-03-20,492,496,475,484,924148
293,2001-03-21,485,489,472,486,754445
294,2001-03-22,482,492,467,473,1264493
295,2001-03-23,475,482,467,484,1179410
296,2001-03-26,492,505,485,503,1763477
