,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1249,1593,1249,1527,216430
1,2000-01-05,1483,1643,1464,1499,340910
2,2000-01-06,1538,1538,1388,1400,173680
3,2000-01-07,1378,1551,1378,1511,265580
4,2000-01-10,1568,1584,1465,1470,281760
5,2000-01-11,1461,1494,1420,1439,185510
6,2000-01-12,1438,1480,1401,1421,117120
7,2000-01-13,1420,1480,1321,1323,181980
8,2000-01-14,1374,1409,1346,1362,138620
9,2000-01-17,1374,1491,1360,1494,206300
10,2000-01-18,1461,1476,1420,1451,132940
11,2000-01-19,1450,1508,1407,1482,174360
12,2000-01-20,1452,1488,1378,1421,130800
13,2000-01-21,1388,1451,1367,1395,103600
14,2000-01-24,1378,1444,1366,1377,118900
15,2000-01-25,1374,1391,1303,1317,118420
16,2000-01-26,1346,1356,1314,1317,88420
17,2000-01-27,1314,1491,1303,1377,224970
18,2000-01-28,1374,1405,1346,1380,106610
19,2000-01-31,1378,1420,1351,1377,114490
20,2000-02-01,1374,1401,1363,1377,85160
21,2000-02-02,1405,1483,1380,1467,259500
22,2000-02-03,1518,1581,1480,1509,303470
23,2000-02-07,1525,1597,1525,1527,250260
24,2000-02-08,1554,1585,1450,1474,171040
25,2000-02-09,1480,1546,1452,1474,155660
26,2000-02-10,1471,1494,1366,1368,151780
27,2000-02-11,1405,1480,1317,1459,298290
28,2000-02-14,1420,1444,1353,1365,111180
29,2000-02-15,1317,1373,1317,1340,99660
30,2000-02-16,1319,1351,1287,1332,95440
31,2000-02-17,1327,1420,1327,1357,205040
32,2000-02-18,1380,1553,1380,1554,693240
33,2000-02-21,1511,1595,1450,1572,528690
34,2000-02-22,1524,1566,1388,1459,155550
35,2000-02-23,1433,1676,1433,1680,806620
36,2000-02-24,1673,1866,1613,1766,725050
37,2000-02-25,1705,1929,1705,1853,675530
38,2000-02-28,1834,1912,1764,1796,440340
39,2000-02-29,1909,1937,1823,1859,519540
40,2000-03-02,1856,2135,1796,2138,1315500
41,2000-03-03,2123,2242,1973,1979,994280
42,2000-03-06,2001,2093,1869,1925,560040
43,2000-03-07,1886,1972,1821,1839,469190
44,2000-03-08,1737,2064,1737,1991,851140
45,2000-03-09,2097,2285,2007,2287,1228940
46,2000-03-10,2317,2626,2290,2628,703820
47,2000-03-13,2840,3006,2347,2451,2564140
48,2000-03-14,2419,2814,2303,2740,1449400
49,2000-03-15,2512,2840,2457,2544,1078940
50,2000-03-16,2544,2782,2182,2542,873730
51,2000-03-17,2572,2602,2159,2161,567940
52,2000-03-20,2087,2227,2066,2114,767240
53,2000-03-21,2110,2123,1853,1916,477950
54,2000-03-22,1943,2048,1853,2009,688590
55,2000-03-23,2033,2305,2033,2307,1016100
56,2000-03-24,2446,2650,2392,2653,1061880
57,2000-03-27,2840,2840,2304,2305,1329810
58,2000-03-28,2392,2404,2198,2200,569730
59,2000-03-29,2216,2482,2216,2249,1129970
60,2000-03-30,2192,2346,2067,2094,260650
61,2000-03-31,2035,2239,2035,2094,485740
62,2000-04-03,2035,2154,1878,1964,277010
63,2000-04-04,1964,2019,1851,1960,207460
64,2000-04-06,1897,1972,1784,1819,265260
65,2000-04-07,1898,1972,1834,1913,294320
66,2000-04-10,1909,2067,1909,1947,331050
67,2000-04-11,2001,2001,1825,1850,171620
68,2000-04-12,1886,1908,1816,1897,192740
69,2000-04-14,1833,1886,1784,1819,182090
70,2000-04-17,1597,1685,1544,1546,359540
71,2000-04-18,1660,1675,1534,1558,318000
72,2000-04-19,1600,1628,1534,1537,270360
73,2000-04-20,1565,1597,1505,1546,200390
74,2000-04-21,1521,1603,1521,1583,215640
75,2000-04-24,1596,1721,1570,1634,632040
76,2000-04-25,1655,1655,1568,1583,189930
77,2000-04-26,1584,1611,1408,1460,226430
78,2000-04-27,1458,1486,1408,1442,149530
79,2000-04-28,1307,1527,1307,1518,226900
80,2000-05-02,1527,1628,1496,1598,290000
81,2000-05-03,1611,1796,1597,1693,574960
82,2000-05-04,1722,1888,1722,1831,589310
83,2000-05-08,1912,1957,1740,1756,399840
84,2000-05-09,1752,1801,1693,1696,191050
85,2000-05-10,1706,1907,1634,1786,294040
86,2000-05-12,1726,1877,1722,1786,418010
87,2000-05-15,1769,1860,1708,1772,286250
88,2000-05-16,1785,1802,1663,1683,272880
89,2000-05-17,1660,1760,1508,1583,281000
90,2000-05-18,1471,1597,1395,1423,196750
91,2000-05-19,1421,1471,1383,1474,137670
92,2000-05-22,1421,1549,1392,1442,234380
93,2000-05-23,1424,1471,1395,1412,167890
94,2000-05-24,1399,1467,1310,1412,233100
95,2000-05-25,1405,1593,1405,1568,244170
96,2000-05-26,1547,1547,1388,1405,202110
97,2000-05-29,1317,1459,1317,1415,182180
98,2000-05-30,1440,1515,1430,1492,287080
99,2000-05-31,1565,1597,1524,1537,297190
100,2000-06-01,1597,1634,1511,1638,468200
101,2000-06-02,1647,1715,1534,1563,375120
102,2000-06-05,1568,1675,1565,1598,376340
103,2000-06-07,1643,1690,1596,1655,465360
104,2000-06-08,1675,1690,1534,1537,291060
105,2000-06-09,1534,1593,1495,1498,226240
106,2000-06-12,1597,1719,1563,1722,699290
107,2000-06-13,1718,1748,1552,1570,399680
108,2000-06-14,1653,1672,1527,1562,197970
109,2000-06-15,1518,1558,1481,1483,163350
110,2000-06-16,1440,1621,1424,1509,215340
111,2000-06-19,1486,1549,1473,1477,103750
112,2000-06-20,1511,1549,1476,1520,116140
113,2000-06-21,1487,1544,1471,1506,183880
114,2000-06-22,1518,1564,1502,1539,183170
115,2000-06-23,1534,1544,1495,1520,123200
116,2000-06-26,1537,1643,1534,1568,292750
117,2000-06-27,1580,1611,1515,1537,198070
118,2000-06-28,1549,1580,1518,1537,170840
119,2000-06-29,1544,1597,1496,1598,214440
120,2000-06-30,1565,1628,1552,1631,206960
