,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,47500,51500,47500,50400,511990
1,2000-01-05,49000,49900,47000,47500,388150
2,2000-01-06,47600,48450,42900,43000,624043
3,2000-01-07,43000,43450,40700,41000,542830
4,2000-01-10,43000,43000,41200,41600,737530
5,2000-01-11,42100,43000,41550,41850,535690
6,2000-01-12,41500,41500,39500,40100,446193
7,2000-01-13,40100,42400,39600,42000,594720
8,2000-01-14,42500,45400,42000,44300,816015
9,2000-01-17,45300,45400,43100,45000,804797
10,2000-01-18,44900,44900,43600,44300,541262
11,2000-01-19,44000,44000,42500,42900,569330
12,2000-01-20,42850,48400,42050,45900,713850
13,2000-01-21,45800,47900,44700,45900,666280
14,2000-01-24,46500,47800,46100,46900,458851
15,2000-01-25,45700,46500,45100,45300,310950
16,2000-01-26,45100,45850,43700,44350,331610
17,2000-01-27,43500,45400,43050,44800,342013
18,2000-01-28,44500,45400,44000,45200,288100
19,2000-01-31,44400,45500,44050,44500,308858
20,2000-02-01,45800,47000,45600,45700,888360
21,2000-02-02,46000,46700,45200,46000,447098
22,2000-02-03,45000,46600,45000,45500,443840
23,2000-02-07,45900,46500,45500,46000,460930
24,2000-02-08,46500,46950,44850,45200,377540
25,2000-02-09,44700,45700,44500,45400,509894
26,2000-02-10,44950,45400,43200,43550,517495
27,2000-02-11,43400,44450,42300,43600,461550
28,2000-02-14,42050,43000,41300,41400,394870
29,2000-02-15,41400,41950,40500,40800,244570
30,2000-02-16,40800,41700,40400,41550,316110
31,2000-02-17,41550,42500,40800,42400,334070
32,2000-02-18,42400,43000,41000,41000,587810
33,2000-02-21,40500,40800,38600,39300,418910
34,2000-02-22,39000,40500,38000,38000,437030
35,2000-02-23,38300,40800,37100,39000,654520
36,2000-02-24,38500,39000,36750,39000,488100
37,2000-02-25,37800,38400,37400,37400,316380
38,2000-02-28,35100,36600,33000,33000,753850
39,2000-02-29,33900,34200,32150,32900,537680
40,2000-03-02,33000,36500,33000,36150,904910
41,2000-03-03,35500,35700,34050,34550,484180
42,2000-03-06,34800,37400,34200,35700,805420
43,2000-03-07,36500,37700,35650,36000,765610
44,2000-03-08,35000,36400,34550,36100,356750
45,2000-03-09,36500,36500,34500,34500,425150
46,2000-03-10,35500,36200,35200,36000,407840
47,2000-03-13,35800,35800,34200,34800,315570
48,2000-03-14,34000,34800,33800,34200,233170
49,2000-03-15,33950,34850,33100,34500,327060
50,2000-03-16,35500,36200,34700,35000,432740
51,2000-03-17,36400,40250,35800,40000,2246540
52,2000-03-20,40100,40800,37700,38600,730560
53,2000-03-21,38100,38500,37100,37300,397380
54,2000-03-22,37950,40100,37600,39000,785340
55,2000-03-23,38700,38700,36600,36800,400090
56,2000-03-24,37100,37700,36500,36800,333620
57,2000-03-27,37100,39150,36800,37800,506760
58,2000-03-28,37800,42500,37800,41900,1145770
59,2000-03-29,42000,44300,41500,43500,1499540
60,2000-03-30,44500,45900,43500,43500,1162970
61,2000-03-31,42200,43700,40700,41000,515190
62,2000-04-03,42000,42400,39500,40000,547910
63,2000-04-04,39000,41800,39000,41500,378270
64,2000-04-06,40600,41400,40550,41400,234900
65,2000-04-07,41500,44200,41400,43800,895340
66,2000-04-10,45000,46200,43050,45400,983280
67,2000-04-11,45400,47500,44000,46300,1038500
68,2000-04-12,46300,46800,45050,45350,482890
69,2000-04-14,44500,44500,43200,44000,410450
70,2000-04-17,39500,41500,38600,41000,549170
71,2000-04-18,44300,44300,41500,43100,513400
72,2000-04-19,44000,47700,43900,45100,1111220
73,2000-04-20,45550,47300,45000,46250,735000
74,2000-04-21,46900,47200,45600,46950,437410
75,2000-04-24,46800,46800,44300,44900,332160
76,2000-04-25,43200,45800,43200,45000,254860
77,2000-04-26,46500,46500,42800,42900,463140
78,2000-04-27,42000,44300,41300,42900,494970
79,2000-04-28,42900,46750,42900,46300,601370
80,2000-05-02,46500,49200,46500,48100,688650
81,2000-05-03,47800,48700,47100,48600,431830
82,2000-05-04,48000,50500,47800,49500,629090
83,2000-05-08,50600,51500,49700,50400,610180
84,2000-05-09,50400,51000,49500,50300,456850
85,2000-05-10,50300,50900,49500,50000,456280
86,2000-05-12,49100,50300,47900,49000,348390
87,2000-05-15,47500,49000,46500,47500,354910
88,2000-05-16,48100,51300,47500,50900,573410
89,2000-05-17,51600,52900,49900,49900,867300
90,2000-05-18,48150,50600,48150,49500,382270
91,2000-05-19,49500,49800,48100,49500,395960
92,2000-05-22,49000,49300,45000,45700,366020
93,2000-05-23,44700,47000,44000,44900,284690
94,2000-05-24,44000,45500,41300,44300,329250
95,2000-05-25,44700,46500,43000,44150,583810
96,2000-05-26,43500,43500,39800,39950,409380
97,2000-05-29,38000,40700,37700,39900,354750
98,2000-05-30,40500,43900,40500,43700,354960
99,2000-05-31,45700,46800,43000,43000,725310
100,2000-06-01,44400,46800,43500,45900,481740
101,2000-06-02,47300,49200,47300,48000,636790
102,2000-06-05,49000,49700,47550,48000,573600
103,2000-06-07,48000,49500,47500,49000,543490
104,2000-06-08,49400,49400,47500,47700,570510
105,2000-06-09,48600,54800,48200,53000,1091290
106,2000-06-12,54400,54400,51500,53000,805760
107,2000-06-13,52400,52400,50000,51300,366760
108,2000-06-14,51300,54000,49650,52800,737550
109,2000-06-15,51900,54300,50500,50500,399870
110,2000-06-16,50500,53800,49700,51000,463130
111,2000-06-19,50100,52900,50100,52000,334240
112,2000-06-20,53000,55800,52500,55000,782050
113,2000-06-21,55000,56700,54000,54500,494700
114,2000-06-22,55100,55800,53000,54200,295850
115,2000-06-23,53400,54000,52400,53500,281920
116,2000-06-26,54000,54500,53000,53000,343540
117,2000-06-27,53700,53900,53000,53800,292200
118,2000-06-28,54500,54800,53600,54400,284960
119,2000-06-29,54800,55000,53000,53000,334740
120,2000-06-30,53000,54000,52800,53500,171810
121,2000-07-03,53400,54000,52800,53600,233500
122,2000-07-04,54000,54400,52800,52800,200040
123,2000-07-05,53000,57300,52900,56300,379140
124,2000-07-06,56000,57500,55000,55900,328650
125,2000-07-07,57000,58000,54900,55500,249230
126,2000-07-10,55500,58000,55000,57600,417870
127,2000-07-11,57000,59500,56600,57600,567311
128,2000-07-12,57100,58200,55600,56000,252538
129,2000-07-13,56500,56900,55600,56100,251645
130,2000-07-14,56500,57500,56000,56000,237011
131,2000-07-18,56700,56700,54200,55600,169720
132,2000-07-19,54300,55000,53200,53900,192371
133,2000-07-20,53500,53900,51500,52000,230371
134,2000-07-21,52500,52600,50300,51000,344010
135,2000-07-24,49900,50700,48000,48000,240761
136,2000-07-25,47900,49800,46500,48900,299153
137,2000-07-26,48200,49900,47750,48500,264433
138,2000-07-27,48500,49500,47450,49300,136420
139,2000-07-28,48000,49300,46100,48000,230910
140,2000-07-31,47100,49500,46600,49300,116190
141,2000-08-01,48000,50500,48000,50300,187281
142,2000-08-02,49800,51200,49100,50700,150220
143,2000-08-03,51700,51700,49500,49950,145910
144,2000-08-04,49950,50400,49250,49300,139521
145,2000-08-07,49000,49000,47350,48100,108781
146,2000-08-08,48000,49500,48000,48100,263970
147,2000-08-09,49000,52500,48600,52000,403560
148,2000-08-10,52000,54500,51500,54500,514034
149,2000-08-11,53200,55200,52500,54500,307418
150,2000-08-14,55000,56100,54100,54400,188610
151,2000-08-16,55800,55800,53500,53500,165870
152,2000-08-17,53000,55500,52800,53800,277361
153,2000-08-18,53800,54600,52500,52600,186832
154,2000-08-21,52600,53400,52100,53000,94030
155,2000-08-22,54000,54800,53600,54700,212440
156,2000-08-23,55000,55100,53600,53800,113110
157,2000-08-24,54400,54500,52300,53700,176928
158,2000-08-25,53400,54000,52700,54000,69210
159,2000-08-28,54700,56000,54000,54000,185870
160,2000-08-29,54500,54500,52800,53400,113072
161,2000-08-30,53000,53000,51500,51500,339230
162,2000-08-31,51000,51100,49300,49500,465738
163,2000-09-01,49100,50400,49100,49400,109410
164,2000-09-04,48600,48950,47950,48600,153880
165,2000-09-05,48000,49600,47300,49600,86450
