,날짜,시가,고가,저가,종가,거래량
0,2014-12-18,106000,116000,99200,113000,12845103
1,2014-12-19,118000,129500,117500,129500,4551888
2,2014-12-22,135000,145500,130500,134500,4401710
3,2014-12-23,132000,137500,127000,135000,2873094
4,2014-12-24,135500,139000,132000,133000,1403337
5,2014-12-26,134500,138000,130000,135500,1648394
6,2014-12-29,140000,155000,138500,149000,4142037
7,2014-12-30,153500,158000,148500,158000,2518666
8,2015-01-02,160500,174000,158500,171000,3083018
9,2015-01-05,177000,179500,145500,145500,6436987
10,2015-01-06,143000,147500,133500,138500,4596735
11,2015-01-07,139000,140500,135000,135500,1719259
12,2015-01-08,138000,140500,133000,135000,1699199
13,2015-01-09,137500,153500,134000,150000,2971066
14,2015-01-12,149000,151500,142500,147500,1625748
15,2015-01-13,147000,149500,137000,138000,2009453
16,2015-01-14,138000,141000,135500,137000,889108
17,2015-01-15,138000,144000,136500,140500,1167317
18,2015-01-16,139500,142000,135500,136000,743075
19,2015-01-19,137000,138000,129500,131000,1115099
20,2015-01-20,132500,134500,131000,131500,620532
21,2015-01-21,132500,133000,122000,124000,1413084
22,2015-01-22,123000,130000,122500,124000,876352
23,2015-01-23,128500,132500,126500,131000,1028487
24,2015-01-26,130500,134000,129000,129500,492693
25,2015-01-27,131000,135000,130500,135000,743513
26,2015-01-28,137000,143000,137000,140000,1457183
27,2015-01-29,140500,142000,136500,137500,538392
28,2015-01-30,144000,146000,135500,136000,919086
29,2015-02-02,135500,137000,134000,135000,339084
30,2015-02-03,136500,139000,132500,138500,437428
31,2015-02-04,139500,140500,137500,137500,321206
32,2015-02-05,137500,138500,134000,136000,270183
33,2015-02-06,138500,141500,136500,138500,500370
34,2015-02-09,139000,141000,138500,138500,346906
35,2015-02-10,138500,139000,136500,136500,205298
36,2015-02-11,137000,140000,136500,140000,299268
37,2015-02-12,141000,142500,139000,139000,262841
38,2015-02-13,140500,150000,139500,147500,1408559
39,2015-02-16,150000,153500,148000,151500,878719
40,2015-02-17,150500,151000,147000,147000,437959
41,2015-02-23,149000,150000,146500,149000,285637
42,2015-02-24,149500,156000,149000,155000,801969
43,2015-02-25,156500,160000,156000,156000,700578
44,2015-02-26,157000,159000,154000,158000,372015
45,2015-02-27,157500,162000,156000,162000,456798
46,2015-03-02,162500,163500,155000,159000,561515
47,2015-03-03,159000,160000,152000,155000,593735
48,2015-03-04,154000,157000,153500,155500,326457
49,2015-03-05,155500,156500,153000,155000,252821
50,2015-03-06,155000,159000,154000,159000,373985
51,2015-03-09,158000,166000,157000,164500,739332
52,2015-03-10,165000,166500,160000,165000,708860
53,2015-03-11,160000,164500,155500,161000,1249028
54,2015-03-12,162000,163500,155500,156500,1789750
55,2015-03-13,156500,159000,153000,157500,588949
56,2015-03-16,157000,158500,152000,153000,441937
57,2015-03-17,154500,162000,154000,162000,711222
58,2015-03-18,157000,159500,150000,152000,3006255
59,2015-03-19,153500,154500,149000,154500,1291600
60,2015-03-20,153500,156500,152000,155000,670771
61,2015-03-23,155000,156000,151000,151000,501435
62,2015-03-24,151500,153000,149000,150000,400021
63,2015-03-25,150000,155000,149000,154500,498859
64,2015-03-26,150000,151500,148500,149500,589634
65,2015-03-27,150000,151500,147500,147500,382629
66,2015-03-30,148000,153500,147500,151500,508776
67,2015-03-31,152500,153000,148500,149500,326288
68,2015-04-01,150000,150000,146000,146500,385327
69,2015-04-02,146500,147000,139500,140500,993693
70,2015-04-03,140000,143000,139500,141500,437182
71,2015-04-06,142500,143000,140000,140000,291331
72,2015-04-07,140500,146000,140000,141500,393145
73,2015-04-08,141500,143000,139500,140000,279962
74,2015-04-09,140000,140500,137500,138500,328887
75,2015-04-10,139000,143000,136000,137500,690639
76,2015-04-13,138500,141000,137500,138500,355330
77,2015-04-14,139000,143000,139000,140500,441593
78,2015-04-15,143000,161500,141000,154500,2672941
79,2015-04-16,155000,167000,154500,158000,2105401
80,2015-04-17,159000,161500,153500,154500,518742
81,2015-04-20,154000,163500,153500,159500,765971
82,2015-04-21,165000,167500,162000,162500,755252
83,2015-04-22,164000,164500,157000,158500,557711
84,2015-04-23,159500,181500,157500,179000,2391819
85,2015-04-24,175500,178500,168500,169500,1298866
86,2015-04-27,171000,173000,166000,166000,543152
87,2015-04-28,164000,172500,162000,167000,667920
88,2015-04-29,166500,172500,165000,166500,472742
89,2015-04-30,161000,162500,158000,158500,767466
90,2015-05-04,159000,166500,156500,161000,370150
91,2015-05-06,160000,161000,156500,159500,387018
92,2015-05-07,146000,150000,138000,142500,2038527
93,2015-05-08,143000,146500,142500,143500,541510
94,2015-05-11,144500,146000,141000,141500,418548
95,2015-05-12,139500,144500,139500,143000,340942
96,2015-05-13,142500,151000,142500,150000,656457
97,2015-05-14,149000,152500,148500,149000,312033
98,2015-05-15,151500,158000,151000,156500,650992
99,2015-05-18,157000,159000,154000,157000,268107
100,2015-05-19,157500,161000,155500,157500,333714
101,2015-05-20,161500,163500,158000,161000,319122
102,2015-05-21,161000,162500,159500,161500,234730
103,2015-05-22,161500,164500,161500,163500,271203
104,2015-05-26,185000,188000,174500,188000,2490541
105,2015-05-27,198000,215500,188500,190500,3584837
106,2015-05-28,194000,198000,185000,186000,1334641
107,2015-05-29,185000,192000,178500,192000,1764251
108,2015-06-01,188000,191500,184000,188500,597661
109,2015-06-02,188500,191000,183000,186000,439417
110,2015-06-03,185000,187000,182000,182000,322631
111,2015-06-04,196000,198000,186000,191000,1939598
112,2015-06-05,194000,198500,192000,197000,1108781
113,2015-06-08,204500,206000,182000,183500,1125361
114,2015-06-09,184000,189500,180500,182500,698735
115,2015-06-10,185000,189000,178000,178500,880180
116,2015-06-11,184000,184000,178000,180000,456173
117,2015-06-12,179500,185000,178500,182000,331569
118,2015-06-15,180000,180000,166000,169000,561124
119,2015-06-16,171000,174000,168000,169000,359490
120,2015-06-17,171000,176500,169500,174500,272612
121,2015-06-18,176500,176500,171500,171500,179886
122,2015-06-19,175500,179500,173500,174500,262177
123,2015-06-22,174000,176000,171000,172000,150079
124,2015-06-23,173500,182500,172500,181500,364398
125,2015-06-24,182500,183000,165500,174500,632732
126,2015-06-25,172500,177000,172000,173500,261845
127,2015-06-26,171500,175500,171500,173500,181848
128,2015-06-29,172000,178000,172000,174500,280483
129,2015-06-30,179000,182000,175000,177500,415062
130,2015-07-01,179500,186000,177000,181000,550900
131,2015-07-02,186000,186000,180000,180000,418967
132,2015-07-03,180000,185000,177000,183000,430388
133,2015-07-06,178000,182000,176500,177000,259899
134,2015-07-07,180500,181500,176000,177000,302120
135,2015-07-08,177500,178500,173000,173000,263266
136,2015-07-09,172500,177000,170500,174500,308498
137,2015-07-10,174500,178500,174000,178000,220584
138,2015-07-13,184500,188000,180500,182500,382605
139,2015-07-14,183500,184000,177000,180000,464552
140,2015-07-15,181500,185000,180000,183500,414305
141,2015-07-16,185000,196000,184500,194000,1207687
142,2015-07-17,198500,203000,177500,179000,3797973
143,2015-07-20,178000,181000,173500,175000,806319
144,2015-07-21,176000,177500,171500,171500,497441
145,2015-07-22,170500,176500,170500,176000,568232
146,2015-07-23,176000,176000,172000,172500,423449
147,2015-07-24,177000,177500,169500,169500,586021
148,2015-07-27,169000,171500,166000,169500,334636
149,2015-07-28,167500,168500,165000,167000,428496
150,2015-07-29,170500,173000,168000,169500,421442
151,2015-07-30,169000,170000,163000,165000,422952
152,2015-07-31,166500,168500,165000,167500,355897
153,2015-08-03,167500,169000,167000,168000,288504
154,2015-08-04,168000,171000,168000,171000,347338
155,2015-08-05,171500,174500,168000,168000,427911
156,2015-08-06,168000,168000,160500,161000,640325
157,2015-08-07,162000,163000,153500,153500,519492
158,2015-08-10,153000,153000,148500,150500,301218
159,2015-08-11,151500,153500,149000,150500,184901
160,2015-08-12,151500,153000,144000,145500,345572
161,2015-08-13,145000,148000,145000,146000,302818
162,2015-08-17,146000,146500,144000,145500,251244
163,2015-08-18,145500,147000,141500,141500,204307
164,2015-08-19,140500,141000,130500,134000,649277
165,2015-08-20,131500,139000,131500,138000,431434
166,2015-08-21,132500,138000,132500,136500,331334
167,2015-08-24,135500,137000,128000,131000,462650
168,2015-08-25,132000,137000,128500,134000,462593
169,2015-08-26,132500,147000,131500,147000,1058195
170,2015-08-27,149500,169000,146000,157000,1464059
171,2015-08-28,159500,166500,159500,165500,759352
172,2015-08-31,169000,178000,167000,178000,1119627
173,2015-09-01,176500,177000,169000,170000,649051
174,2015-09-02,166500,176500,165500,173500,648037
175,2015-09-03,175500,176000,165500,165500,485819
176,2015-09-04,167000,169500,161000,162000,278853
177,2015-09-07,161000,164000,157000,161000,298039
178,2015-09-08,164500,171000,162500,164500,406158
179,2015-09-09,168000,168500,164000,165000,248300
180,2015-09-10,166000,170000,164000,170000,330482
181,2015-09-11,167500,169000,163000,163500,388276
182,2015-09-14,164500,165000,157500,158500,480798
183,2015-09-15,154000,165500,153000,163000,1570946
184,2015-09-16,166000,168500,164000,164500,722443
185,2015-09-17,165000,165000,160000,160000,647668
186,2015-09-18,161000,162500,159000,159500,626028
187,2015-09-21,157500,160500,156000,157500,556452
188,2015-09-22,157500,158500,153500,154500,661313
189,2015-09-23,153000,153500,146000,146500,1231958
190,2015-09-24,147500,150000,146500,147000,552672
191,2015-09-25,147000,148500,143000,147000,639607
192,2015-09-30,145000,147500,144500,146500,346373
193,2015-10-01,148000,154000,147000,153500,510523
194,2015-10-02,153000,154500,151000,151000,347397
195,2015-10-05,152500,156000,152000,152000,367466
196,2015-10-06,154500,155500,151000,151000,269731
197,2015-10-07,151500,159000,151500,158000,677524
198,2015-10-08,159500,160000,155000,158500,403214
199,2015-10-12,159000,161500,158000,159000,300959
200,2015-10-13,160500,162000,159000,160000,281381
201,2015-10-14,159500,160000,157000,158000,264488
202,2015-10-15,158000,160000,157500,159500,244405
203,2015-10-16,160500,160500,158000,159500,194917
204,2015-10-19,160000,160000,157500,157500,235668
205,2015-10-20,157000,158000,154500,156500,298202
206,2015-10-21,157000,164000,156000,159000,401592
207,2015-10-22,164500,169000,156500,157500,1802387
208,2015-10-23,159000,160500,157500,159000,362299
209,2015-10-26,159500,160000,155500,156000,387298
210,2015-10-27,156500,158500,156500,158000,225598
211,2015-10-28,158500,159000,152500,154000,360529
212,2015-10-29,154500,161000,152500,156000,612362
213,2015-10-30,156500,160000,155000,155000,354055
214,2015-11-02,156500,158500,155000,155500,194849
215,2015-11-03,156000,157500,155500,156000,223325
216,2015-11-04,156500,157000,152000,153500,439297
217,2015-11-05,153500,153500,149000,149500,483426
218,2015-11-06,151500,153000,147000,147500,430352
219,2015-11-09,147500,149000,146500,147000,215032
220,2015-11-10,147000,151000,145500,145500,309682
221,2015-11-11,144500,146500,143000,143500,306436
222,2015-11-12,144000,145500,142000,142500,286076
223,2015-11-13,141500,142000,139000,139000,324293
224,2015-11-16,137000,137500,134500,135000,352267
225,2015-11-17,138000,141500,136500,136500,362876
226,2015-11-18,136500,143500,136500,141500,418916
227,2015-11-19,144000,145000,139500,142500,402067
228,2015-11-20,143000,143000,140000,141000,284927
229,2015-11-23,145500,151500,145000,151500,919232
230,2015-11-24,151500,155500,150000,152000,721230
231,2015-11-25,152000,154000,150500,152500,363028
232,2015-11-26,154500,157000,153000,154000,403262
233,2015-11-27,154500,154500,150500,152000,258676
234,2015-11-30,149500,150000,146000,146000,608619
235,2015-12-01,147000,150500,146000,150500,244963
236,2015-12-02,151000,151500,148500,150000,197120
237,2015-12-03,148000,150000,146500,147000,221690
238,2015-12-04,144500,146500,144500,144500,216595
239,2015-12-07,146500,147500,143500,143500,174707
240,2015-12-08,144500,147500,143000,143000,260345
241,2015-12-09,144000,145000,142500,144500,168161
242,2015-12-10,144000,145500,142500,145500,250285
243,2015-12-11,145000,147000,144500,147000,297027
244,2015-12-14,144500,145000,142500,144000,311761
245,2015-12-15,144500,147000,144000,146500,263173
246,2015-12-16,148000,148500,146500,146500,308648
247,2015-12-17,147500,148000,145000,145500,281146
248,2015-12-18,145000,147500,144000,147500,335232
249,2015-12-21,146000,146500,144500,146000,311008
250,2015-12-22,147000,149500,146500,148500,442905
251,2015-12-23,149000,149500,147500,147500,278739
252,2015-12-24,148500,148500,145500,145500,345791
253,2015-12-28,138000,142500,138000,138500,829483
254,2015-12-29,140000,143000,139500,142000,275120
255,2015-12-30,142000,143000,140000,140000,270526
256,2016-01-04,140500,142000,140000,140000,280114
257,2016-01-05,139000,141500,139000,140000,265292
258,2016-01-06,141000,144000,140000,144000,435314
259,2016-01-07,143500,146000,142000,143000,266121
260,2016-01-08,141000,143000,140000,142000,291038
261,2016-01-11,141000,142000,140000,140000,264132
262,2016-01-12,142000,142500,139000,139500,233567
263,2016-01-13,140500,141500,139500,140500,272452
264,2016-01-14,138500,140000,138500,139000,268437
265,2016-01-15,140000,140000,136000,136000,317924
266,2016-01-18,136000,144000,135000,144000,627410
