,날짜,시가,고가,저가,종가,거래량
0,2016-11-10,135000,148000,125500,144000,7179018
1,2016-11-11,149500,186500,142000,161500,8140539
2,2016-11-14,165000,177500,165000,175500,2977177
3,2016-11-15,179000,181500,162500,166000,2592949
4,2016-11-16,168500,173000,163500,170000,1660976
5,2016-11-17,176500,177500,167500,167500,912260
6,2016-11-18,167000,168000,157500,168000,1312450
7,2016-11-21,167500,172000,164000,169000,642124
8,2016-11-22,170000,174000,169000,171000,568241
9,2016-11-23,172500,172500,165000,166000,459085
10,2016-11-24,165000,165500,155500,155500,837894
11,2016-11-25,154000,163500,153000,162000,702370
12,2016-11-28,161000,165500,159000,161500,411331
13,2016-11-29,157500,159000,151000,157000,893920
14,2016-11-30,156000,158500,150500,154000,2444923
15,2016-12-01,153500,154000,144000,144500,852285
16,2016-12-02,144500,146000,139000,142000,702548
17,2016-12-05,143500,146500,142000,142000,406959
18,2016-12-06,142500,148000,142500,146000,409654
19,2016-12-07,146500,152000,146500,150500,345673
20,2016-12-08,152500,154500,147000,150500,359764
21,2016-12-09,150500,150500,144500,145000,288245
22,2016-12-12,145000,148000,142500,143000,314792
23,2016-12-13,143500,145500,141000,145500,240688
24,2016-12-14,147000,147000,142500,143500,185937
25,2016-12-15,142500,144000,141000,142500,202359
26,2016-12-16,143000,144500,141500,144500,232511
27,2016-12-19,144000,151000,143000,150000,354223
28,2016-12-20,151500,153500,150000,151500,266217
29,2016-12-21,152500,153000,148000,148000,147143
30,2016-12-22,148000,149000,144000,144000,155240
31,2016-12-23,144000,146500,144000,144000,86513
32,2016-12-26,145000,145500,144000,144000,62989
33,2016-12-27,144000,147000,144000,145500,107780
34,2016-12-28,147500,155000,147000,152000,316778
35,2016-12-29,151000,152500,149500,151000,125878
36,2017-01-02,151500,158000,151000,156500,242245
37,2017-01-03,156500,158000,154500,158000,163655
38,2017-01-04,159500,161000,154500,154500,180143
39,2017-01-05,156000,158000,156000,157500,96008
40,2017-01-06,158000,158500,155500,157500,88105
41,2017-01-09,157500,158000,153000,154500,124880
42,2017-01-10,154000,154000,150500,151000,156701
43,2017-01-11,151500,161000,151500,159000,353023
44,2017-01-12,157500,158500,154500,157000,151742
45,2017-01-13,155000,158000,152500,153000,185131
46,2017-01-16,154000,154500,151000,151500,125534
47,2017-01-17,151000,154000,150000,152000,110949
48,2017-01-18,153000,153500,152000,153000,73671
49,2017-01-19,155500,156500,152000,152500,96398
50,2017-01-20,152500,155500,152000,155000,79754
51,2017-01-23,156000,156500,154000,155500,89506
52,2017-01-24,155500,156000,152500,155000,112281
53,2017-01-25,156000,156500,152500,155000,140686
54,2017-01-26,156500,164000,155500,161000,407193
55,2017-01-31,162000,164000,160500,161000,228987
56,2017-02-01,162000,163000,159500,163000,138216
57,2017-02-02,163500,173000,162500,171500,597838
58,2017-02-03,173500,176500,171500,173000,399421
59,2017-02-06,172000,172500,167000,168500,251528
60,2017-02-07,168500,172500,167000,171500,212751
61,2017-02-08,171500,172000,161500,163000,374070
62,2017-02-09,163000,166000,160500,161000,219373
63,2017-02-10,160000,161000,156000,158000,704753
64,2017-02-13,156000,159500,155500,158000,177206
65,2017-02-14,158000,159500,156500,156500,150832
66,2017-02-15,156000,161500,156000,160500,130426
67,2017-02-16,161000,162500,158500,159000,132573
68,2017-02-17,155500,160500,155000,160500,192999
69,2017-02-20,159500,161500,159000,161000,76203
70,2017-02-21,161000,166000,160500,165500,163959
71,2017-02-22,166500,167000,164000,165000,106637
72,2017-02-23,165000,168000,165000,168000,144561
73,2017-02-24,167500,168000,165000,165500,84069
74,2017-02-27,167000,167500,164000,166500,89333
75,2017-02-28,167000,168000,162500,164500,151499
76,2017-03-02,165000,166000,161000,161500,151100
77,2017-03-03,161500,163000,160500,162000,73606
78,2017-03-06,162500,165500,162000,164500,93995
79,2017-03-07,164500,168000,163500,168000,137830
80,2017-03-08,169000,172000,168000,170000,271238
81,2017-03-09,170000,171000,168000,168000,109589
82,2017-03-10,168000,171000,167000,171000,149330
83,2017-03-13,170000,173000,169500,173000,137838
84,2017-03-14,172500,175000,170000,171000,133248
85,2017-03-15,171000,173500,168500,173500,133554
86,2017-03-16,174000,176500,174000,176500,189001
87,2017-03-17,176000,181000,175500,180500,302822
88,2017-03-20,180000,188000,177000,187500,362620
89,2017-03-21,187500,199500,186500,193000,495295
90,2017-03-22,189000,195000,186000,188000,341350
91,2017-03-23,190000,193000,184000,187000,282973
92,2017-03-24,187000,192000,185500,187500,189997
93,2017-03-27,186500,187500,181000,182000,176930
94,2017-03-28,184000,186500,182500,185000,105091
95,2017-03-29,187000,188500,183000,183500,119613
96,2017-03-30,177000,180000,173000,177000,595964
97,2017-03-31,174500,175500,171000,173000,387922
98,2017-04-03,171500,177500,171500,176000,215082
99,2017-04-04,176000,177500,174000,177500,110722
100,2017-04-05,177000,182000,176500,182000,172926
101,2017-04-06,181000,182000,179000,181000,133564
102,2017-04-07,181500,182000,177000,178000,156795
103,2017-04-10,177000,177500,173500,173500,136840
104,2017-04-11,174500,177500,174000,177000,150062
105,2017-04-12,176500,180000,176000,180000,130316
106,2017-04-13,181000,181000,178500,179500,85096
107,2017-04-14,178500,180000,178000,179000,54603
108,2017-04-17,179000,181500,179000,181000,84139
109,2017-04-18,182500,182500,179500,182000,74003
110,2017-04-19,182000,186000,181000,184000,182207
111,2017-04-20,184500,185000,182000,183500,86643
112,2017-04-21,185500,191000,184500,187000,236304
113,2017-04-24,190000,190500,183000,183000,265172
114,2017-04-25,184000,185000,181000,184000,142184
115,2017-04-26,187000,187500,180500,181000,253945
116,2017-04-27,182500,183500,181000,181500,149292
117,2017-04-28,181500,182000,173500,175000,368714
118,2017-05-02,175000,179500,175000,179000,136537
119,2017-05-04,180000,180500,177000,180000,140754
120,2017-05-08,182000,184000,180500,183500,192997
121,2017-05-10,184000,184000,179500,180000,225215
122,2017-05-11,181000,186000,180000,185000,253559
123,2017-05-12,185000,185500,182500,185000,101233
124,2017-05-15,185500,187000,184000,186500,114199
125,2017-05-16,187000,187500,185000,187000,114999
126,2017-05-17,187500,189000,186000,189000,131398
127,2017-05-18,188000,191500,187000,191000,286608
128,2017-05-19,192000,192500,189000,192500,140004
129,2017-05-22,193000,194000,190000,193000,162889
130,2017-05-23,193500,196000,192500,196000,188618
131,2017-05-24,197500,200500,195500,200000,303725
132,2017-05-25,200000,206500,198500,204000,263556
133,2017-05-26,205000,215500,203000,213500,432433
134,2017-05-29,210500,219500,207000,213000,462314
135,2017-05-30,214000,215000,207500,211500,325679
136,2017-05-31,213000,220000,211000,220000,628168
137,2017-06-01,220000,229000,217500,229000,457129
138,2017-06-02,232500,237000,225000,231500,612238
139,2017-06-05,231500,232500,227000,232500,354430
140,2017-06-07,231500,245000,229000,245000,512783
141,2017-06-08,248500,254000,230000,235500,1440876
142,2017-06-09,231500,232500,223500,224500,758098
143,2017-06-12,225000,232500,225000,228500,362302
144,2017-06-13,231500,245000,231000,245000,525605
145,2017-06-14,250000,250000,237000,243500,461481
146,2017-06-15,244000,246500,237000,240000,296745
147,2017-06-16,238500,243000,236000,240000,240682
148,2017-06-19,241500,243500,238500,240500,176598
149,2017-06-20,243000,243000,233000,234000,313772
150,2017-06-21,231000,237000,226500,233000,364101
151,2017-06-22,235000,239500,232000,238000,231638
152,2017-06-23,238500,249500,238500,249000,397068
153,2017-06-26,253500,300000,252500,282500,1506559
154,2017-06-27,275000,284500,270500,283500,521770
155,2017-06-28,279500,282000,277500,281500,376723
156,2017-06-29,285000,302000,283500,297000,770998
157,2017-06-30,295500,308500,286500,292000,855923
158,2017-07-03,291000,291500,276000,280500,511043
159,2017-07-04,282000,291000,278000,289000,416925
160,2017-07-05,291500,292000,285000,289000,177422
161,2017-07-06,290000,297500,288500,289500,273210
162,2017-07-07,288500,294500,285500,290500,175545
163,2017-07-10,293000,295000,289000,291000,137978
164,2017-07-11,292000,293000,286500,289500,119973
165,2017-07-12,289000,291500,280000,280000,312073
166,2017-07-13,282500,286000,272000,275000,457163
167,2017-07-14,275000,275000,260000,266000,720080
168,2017-07-17,263500,273500,261000,267000,378941
169,2017-07-18,267500,270000,259000,260500,389625
170,2017-07-19,257000,264500,251500,263000,465486
171,2017-07-20,265500,267000,261500,264500,170384
172,2017-07-21,262500,272000,262500,270000,208794
173,2017-07-24,270000,273000,269500,273000,133454
174,2017-07-25,275000,292000,274500,287000,606363
175,2017-07-26,292500,293000,282000,285500,283123
176,2017-07-27,287500,288000,277000,278000,237334
177,2017-07-28,274000,275000,268500,270000,220740
178,2017-07-31,265500,277500,262000,272000,167656
179,2017-08-01,267000,282000,266500,280000,187075
180,2017-08-02,281500,281500,276000,279000,109780
181,2017-08-03,280000,282000,271500,279500,173952
182,2017-08-04,279500,282500,276000,278000,107470
183,2017-08-07,278000,284500,276000,280500,183737
184,2017-08-08,282000,285500,276000,277000,159977
185,2017-08-09,274000,276000,271000,271500,135577
186,2017-08-10,270000,274000,265500,269000,167318
187,2017-08-11,262000,268000,262000,264000,184944
188,2017-08-14,268500,272000,268000,271000,127107
189,2017-08-16,275000,277000,272000,273500,101161
190,2017-08-17,274000,277500,271000,272000,92617
191,2017-08-18,271000,275000,270500,273000,88407
192,2017-08-21,275500,276500,273000,274500,106156
193,2017-08-22,279000,288000,278500,286000,362272
194,2017-08-23,287500,288500,279000,281000,198686
195,2017-08-24,281000,282500,277500,279500,118942
196,2017-08-25,288000,290000,278000,280000,270676
197,2017-08-28,280000,283000,279000,280000,98871
198,2017-08-29,277500,281500,276000,281500,110252
199,2017-08-30,281500,283000,279500,282000,89762
200,2017-08-31,284500,285000,282500,283000,105048
201,2017-09-01,285000,285500,280000,280500,110519
202,2017-09-04,271000,278500,271000,276000,138525
203,2017-09-05,277000,278000,274500,275500,85742
204,2017-09-06,275500,286000,275000,284500,230105
205,2017-09-07,287000,289000,282500,284000,203062
206,2017-09-08,286500,288000,283500,284000,104874
207,2017-09-11,284000,287000,280500,286000,133946
208,2017-09-12,287500,306000,286500,305000,745221
209,2017-09-13,308000,309000,301000,303000,366284
210,2017-09-14,304500,325500,302000,324000,487784
211,2017-09-15,321000,332000,320500,326500,375992
212,2017-09-18,335500,338500,326500,328500,437031
213,2017-09-19,328500,343500,321500,338000,382530
214,2017-09-20,339500,345000,335500,338000,325216
215,2017-09-21,342000,343500,333000,335000,221715
216,2017-09-22,331000,332500,318000,318500,437563
217,2017-09-25,317000,327500,316500,326000,180341
218,2017-09-26,326000,331500,322000,325000,152216
219,2017-09-27,325500,336000,325000,334000,151342
220,2017-09-28,335500,336000,329500,330500,117609
221,2017-09-29,331500,340000,331000,337500,167608
222,2017-10-10,343000,350000,340500,348000,323238
223,2017-10-11,351500,355500,345000,347500,233466
224,2017-10-12,349000,383500,345500,377500,499172
225,2017-10-13,380000,411000,379000,388500,752840
226,2017-10-16,395000,407000,379500,394000,342657
227,2017-10-17,390000,403000,386500,399000,318314
228,2017-10-18,397500,407000,387000,389000,397420
229,2017-10-19,384500,385000,370500,377500,541149
230,2017-10-20,378000,384500,378000,381000,185542
231,2017-10-23,380500,386500,377500,378500,149412
232,2017-10-24,379000,385000,372000,381500,195224
233,2017-10-25,385000,385500,363500,365000,326323
234,2017-10-26,377500,381000,365500,370500,347627
235,2017-10-27,376000,379500,366000,377500,169742
236,2017-10-30,378000,382500,373500,374000,196506
237,2017-10-31,374000,384000,372000,384000,187491
238,2017-11-01,387000,408000,385500,406000,387331
239,2017-11-02,411000,412000,391000,392500,397030
240,2017-11-03,394000,396500,386500,395500,189577
241,2017-11-06,396000,396500,390000,394500,141828
242,2017-11-07,390500,393000,388500,389000,176109
243,2017-11-08,383500,392500,380000,387000,192252
244,2017-11-09,393500,395500,384500,385000,143261
245,2017-11-10,381000,384000,370500,375500,390431
246,2017-11-13,372000,379500,372000,378000,213496
247,2017-11-14,380500,387500,379500,382000,191107
248,2017-11-15,382000,400000,378000,394000,535712
249,2017-11-16,400000,403000,386000,394500,229731
250,2017-11-17,396500,398500,390500,396000,168530
251,2017-11-20,405000,414000,395000,395000,410101
252,2017-11-21,397500,399000,391500,392000,241959
253,2017-11-22,394500,395000,381500,383500,263188
254,2017-11-23,379000,384500,374500,382500,164874
255,2017-11-24,383000,385500,379000,379500,141989
256,2017-11-27,378000,380500,374000,374000,164922
257,2017-11-28,375000,379500,366000,366500,250924
258,2017-11-29,362500,371000,361500,364500,192022
259,2017-11-30,364500,366500,340000,342500,790554
260,2017-12-01,345500,365500,345500,363500,298111
261,2017-12-04,364000,364500,355500,358500,143005
262,2017-12-05,360500,362000,350500,355500,153209
263,2017-12-06,357000,358000,341500,344500,211105
264,2017-12-07,343500,344000,324000,329000,427710
265,2017-12-08,331000,345000,331000,337000,271505
266,2017-12-11,345000,359500,342000,358500,311770
