,날짜,시가,고가,저가,종가,거래량
0,2010-05-12,119500,121000,112500,114000,9504811
1,2010-05-13,115500,117000,115000,115500,2184611
2,2010-05-14,115000,116500,112000,114000,1769839
3,2010-05-17,112000,113500,107500,107500,2444115
4,2010-05-18,108500,110000,107000,110000,996647
5,2010-05-19,109000,110000,107500,109500,852205
6,2010-05-20,109500,111000,107500,107500,740106
7,2010-05-24,105000,106000,101500,102500,1219811
8,2010-05-25,100500,101000,95500,98000,1596770
9,2010-05-26,98000,110000,97800,110000,3451763
10,2010-05-27,107000,110000,106000,109000,1536027
11,2010-05-28,111000,111000,105500,108000,692635
12,2010-05-31,107500,110000,106000,109000,477955
13,2010-06-01,108500,109000,106000,106000,302368
14,2010-06-03,105500,107000,103000,104000,905501
15,2010-06-04,104500,105500,103000,103000,418999
16,2010-06-07,100500,102500,99800,102000,576382
17,2010-06-08,102000,104500,102000,102500,389336
18,2010-06-09,103000,104000,102000,102000,243579
19,2010-06-10,103000,104000,102000,102500,267676
20,2010-06-11,104000,105000,102500,103000,457232
21,2010-06-14,103500,104000,100500,101000,770796
22,2010-06-15,101500,101500,100000,100500,475216
23,2010-06-16,101500,101500,99900,100500,588117
24,2010-06-17,100500,103500,100000,100500,663445
25,2010-06-18,101000,102000,100000,101500,489330
26,2010-06-21,101500,102000,100000,100500,754193
27,2010-06-22,100500,101500,100000,100500,458046
28,2010-06-23,100500,101000,100000,100500,398825
29,2010-06-24,100500,101000,100000,100500,332013
30,2010-06-25,100500,107000,99900,106500,1830190
31,2010-06-28,107000,107000,105000,106500,597171
32,2010-06-29,106000,107000,102500,105000,713802
33,2010-06-30,103000,103500,102000,103500,713599
34,2010-07-01,102500,104500,101500,104000,477422
35,2010-07-02,104000,104500,102500,102500,274805
36,2010-07-05,102500,104000,102500,104000,204626
37,2010-07-06,103500,104000,102500,103000,257913
38,2010-07-07,103500,105500,103000,105000,584680
39,2010-07-08,106500,106500,104500,105000,324837
40,2010-07-09,105500,108500,104500,106500,1174862
41,2010-07-12,107500,109000,106000,108500,642435
42,2010-07-13,109000,109500,107000,107500,348934
43,2010-07-14,108000,108500,106500,107000,492225
