,날짜,시가,고가,저가,종가,거래량
0,2014-11-14,380000,382500,325000,327500,3822084
1,2014-11-17,317500,342500,312000,338500,1568450
2,2014-11-18,342000,375000,340000,366000,1423443
3,2014-11-19,367000,373500,352500,371000,864739
4,2014-11-20,369500,400000,367500,398000,1706709
5,2014-11-21,398500,413000,393000,400000,967753
6,2014-11-24,405000,408500,384000,404000,942445
7,2014-11-25,396000,428000,375500,428000,3022131
8,2014-11-26,413000,429500,410500,410500,909494
9,2014-11-27,412000,419500,378000,378000,834742
10,2014-11-28,368500,374000,345500,347000,1040525
11,2014-12-01,357000,361000,343000,343500,531894
12,2014-12-02,342000,356500,341500,353000,428955
13,2014-12-03,354000,361000,354000,357000,300156
14,2014-12-04,361500,368000,354500,355500,262418
15,2014-12-05,351500,354500,345000,349500,252744
16,2014-12-08,352000,352000,333500,334000,291875
17,2014-12-09,331000,335000,317000,321000,435603
18,2014-12-10,318000,326500,309000,325500,433680
19,2014-12-11,321000,331000,320000,320000,247997
20,2014-12-12,318500,321500,309000,309000,291431
21,2014-12-15,300000,307500,299000,299500,391426
22,2014-12-16,296500,298500,286000,286500,486239
23,2014-12-17,293500,306500,288000,290000,599116
24,2014-12-18,296000,297500,271500,280500,640148
25,2014-12-19,285000,292500,279000,287500,698457
26,2014-12-22,286000,287500,275000,281500,394511
27,2014-12-23,282000,292500,280500,283000,359697
28,2014-12-24,287500,287500,280500,283000,234835
29,2014-12-26,283500,286000,279000,283500,249542
30,2014-12-29,289000,297500,287000,295000,632051
31,2014-12-30,299000,302000,292000,293500,409522
32,2015-01-02,298000,319000,295000,318000,684126
33,2015-01-05,322500,327500,308000,310000,553675
34,2015-01-06,305500,307500,292500,294000,404667
35,2015-01-07,292500,298000,290500,290500,176350
36,2015-01-08,293500,300500,292000,294000,186261
37,2015-01-09,299500,302500,296500,300500,228505
38,2015-01-12,296000,299500,289000,289000,280549
39,2015-01-13,286000,286500,260500,264000,975579
40,2015-01-14,266500,271000,262500,264000,266692
41,2015-01-15,265500,269500,264500,267500,145924
42,2015-01-16,265000,266500,262500,264000,98113
43,2015-01-19,264500,268500,255000,257500,183261
44,2015-01-20,258000,260500,248000,249000,355279
45,2015-01-21,249000,249000,227000,229500,820033
46,2015-01-22,228000,235000,226500,227500,354100
47,2015-01-23,232500,239500,230500,238500,391438
48,2015-01-26,237500,244000,234500,236500,229739
49,2015-01-27,239000,242500,238500,242000,182275
50,2015-01-28,255500,275000,252000,271000,860609
51,2015-01-29,274000,276500,260500,268000,344243
52,2015-01-30,273000,273500,256500,264500,309643
53,2015-02-02,261000,263000,252500,254000,190321
54,2015-02-03,254000,256500,247000,255500,229661
55,2015-02-04,258000,263000,255500,261500,182413
56,2015-02-05,258000,263000,254500,260000,147272
57,2015-02-06,260500,263500,255000,255000,181803
58,2015-02-09,253000,255500,245000,246000,191976
59,2015-02-10,244500,245000,238000,238500,183025
60,2015-02-11,236500,250000,236500,244500,211622
61,2015-02-12,244000,245000,236000,237500,166730
62,2015-02-13,238000,246000,234000,242000,303008
63,2015-02-16,240000,260000,239000,256500,726401
64,2015-02-17,255000,258500,252000,255000,190610
65,2015-02-23,259000,259000,254000,257000,158027
66,2015-02-24,259000,271000,257000,268000,404175
67,2015-02-25,272000,282500,271500,276000,448168
68,2015-02-26,278000,280000,271000,279500,205892
69,2015-02-27,281000,290000,277500,289500,353285
70,2015-03-02,290500,294500,276000,286000,401795
71,2015-03-03,286500,288000,276500,285000,287315
72,2015-03-04,284500,290000,283000,283500,188903
73,2015-03-05,283000,288500,279500,287500,206684
74,2015-03-06,289000,293000,286000,292500,206715
75,2015-03-09,289500,297000,288500,297000,271535
76,2015-03-10,299000,300000,294000,299500,319047
77,2015-03-11,284500,288500,272500,277000,1054134
78,2015-03-12,278500,284000,271500,279500,1267555
79,2015-03-13,277500,280000,266500,270000,468581
80,2015-03-16,266000,267500,255500,260000,393273
81,2015-03-17,265000,279000,264000,279000,408616
82,2015-03-18,277000,280000,272000,277500,255936
83,2015-03-19,280000,281000,273000,281000,268731
84,2015-03-20,279000,282000,276000,279000,143441
85,2015-03-23,276500,278000,270000,270000,208959
86,2015-03-24,267000,273000,266500,269000,85981
87,2015-03-25,268500,273000,266500,268500,92105
88,2015-03-26,263500,273000,263000,266000,99008
89,2015-03-27,267000,271000,266000,271000,91849
90,2015-03-30,272000,274500,266000,272000,86477
91,2015-03-31,274500,274500,265500,267500,110262
92,2015-04-01,267500,268000,263500,263500,71961
93,2015-04-02,265000,265000,260000,260500,99656
94,2015-04-03,260000,265500,260000,265000,70984
95,2015-04-06,266000,267000,261000,261000,68686
