,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,4313,4980,4313,4981,508940
1,2000-01-05,4980,5548,4675,5143,1938140
2,2000-01-06,5292,5348,4563,4663,862810
3,2000-01-07,4681,5174,4581,5024,1315290
4,2000-01-10,5186,5292,4862,4862,1405480
5,2000-01-11,4743,4962,4694,4763,1043980
6,2000-01-12,4687,4856,4588,4613,683270
7,2000-01-13,4500,4612,4494,4582,464010
8,2000-01-14,4594,4675,4457,4551,657350
9,2000-01-17,4644,4669,4494,4519,563490
10,2000-01-18,4519,4644,4401,4426,667100
11,2000-01-19,4363,4425,4114,4145,685520
12,2000-01-20,4120,4201,3808,3990,522890
13,2000-01-21,3871,4238,3864,4021,540480
14,2000-01-24,3989,4251,3989,4052,580370
15,2000-01-25,3977,4145,3927,3958,450650
16,2000-01-26,4051,4170,4002,4052,595570
17,2000-01-27,4145,4581,4126,4488,1301220
18,2000-01-28,4425,4544,4288,4370,631130
19,2000-01-31,4295,4450,4176,4320,651790
20,2000-02-01,4488,4488,4288,4376,592970
21,2000-02-02,4363,4612,4319,4613,969560
22,2000-02-03,4743,4800,4513,4513,779110
23,2000-02-07,4513,4563,4425,4445,667350
24,2000-02-08,4369,4594,4320,4357,935150
25,2000-02-09,4369,4425,4176,4177,721530
26,2000-02-10,4108,4157,3989,3996,523080
27,2000-02-11,4020,4176,3927,4083,790190
28,2000-02-14,4051,4164,3908,3915,595380
29,2000-02-15,3858,3958,3777,3927,750040
30,2000-02-16,4101,4145,3771,3927,472120
31,2000-02-17,3802,3927,3783,3921,514460
32,2000-02-18,3927,4326,3921,4064,1467950
33,2000-02-21,3908,3933,3677,3678,668760
34,2000-02-22,3677,3740,3490,3510,616060
35,2000-02-23,3559,4033,3553,3909,1434590
36,2000-02-24,3677,3765,3553,3597,971010
37,2000-02-25,3553,3709,3490,3678,643360
38,2000-02-28,3490,3665,3459,3535,612920
39,2000-02-29,3709,3709,3515,3547,522370
40,2000-03-02,3547,3677,3490,3609,680110
41,2000-03-03,3621,3665,3465,3472,687490
42,2000-03-06,3497,3983,3497,3865,1523270
43,2000-03-07,3796,3989,3646,3896,1316410
44,2000-03-08,3852,4407,3802,4052,2642500
45,2000-03-09,4114,4263,3995,4083,1153800
46,2000-03-10,4170,4207,3864,3884,861720
47,2000-03-13,4045,4108,3896,3934,1075070
48,2000-03-14,3864,4051,3808,3865,949870
49,2000-03-15,3833,3833,3628,3672,621430
50,2000-03-16,3746,3796,3540,3566,589310
51,2000-03-17,3628,3796,3628,3703,753040
52,2000-03-20,3808,3858,3721,3728,715810
53,2000-03-21,3771,3771,3603,3609,384810
54,2000-03-22,3677,3802,3640,3728,654430
55,2000-03-23,3709,3771,3646,3665,463380
56,2000-03-24,3677,3727,3571,3616,552580
57,2000-03-27,3652,3652,3553,3647,486000
58,2000-03-28,3615,3659,3584,3603,412990
59,2000-03-29,3621,3634,3522,3522,417460
60,2000-03-30,3522,3553,3403,3429,439090
61,2000-03-31,3428,3428,3335,3335,383500
62,2000-04-03,3434,3553,3216,3235,524120
63,2000-04-04,3247,3272,3085,3154,546490
64,2000-04-06,3154,3154,3035,3036,389460
65,2000-04-07,3060,3104,3023,3073,519720
66,2000-04-10,3091,3403,3091,3298,1193580
67,2000-04-11,3241,3291,3073,3073,476180
68,2000-04-12,3085,3179,3067,3086,380000
69,2000-04-14,2961,3110,2929,3042,314600
70,2000-04-17,2805,2823,2599,2621,524080
71,2000-04-18,2755,2861,2683,2712,354950
72,2000-04-19,2755,2830,2711,2712,327370
73,2000-04-20,2724,2823,2680,2724,323230
74,2000-04-21,2774,2798,2692,2762,359240
75,2000-04-24,2774,2798,2677,2677,252600
76,2000-04-25,2643,2780,2618,2696,583760
77,2000-04-26,2792,2798,2524,2525,399900
78,2000-04-27,2493,2524,2399,2431,320030
79,2000-04-28,2406,2512,2406,2506,290860
80,2000-05-02,2505,2521,2446,2494,263580
81,2000-05-03,2481,2587,2462,2497,203770
82,2000-05-04,2484,2505,2468,2494,267280
83,2000-05-08,2555,2668,2499,2587,594390
84,2000-05-09,2611,2711,2593,2618,684820
85,2000-05-10,2618,2618,2527,2543,241550
86,2000-05-12,2505,2543,2434,2459,293940
87,2000-05-15,2400,2431,2256,2278,273610
88,2000-05-16,2281,2337,2206,2306,342600
89,2000-05-17,2250,2337,2025,2076,333900
90,2000-05-18,1941,1976,1857,1898,407230
91,2000-05-19,1873,1976,1801,1939,431150
92,2000-05-22,1935,1935,1745,1745,352170
93,2000-05-23,1664,1838,1664,1786,283140
94,2000-05-24,1773,2038,1695,1964,684650
95,2000-05-25,1994,2250,1994,2213,761930
96,2000-05-26,2119,2156,1907,1914,613060
97,2000-05-29,1826,2057,1814,2026,741740
98,2000-05-30,2113,2200,2075,2138,484050
99,2000-05-31,2169,2287,2150,2225,1062170
100,2000-06-01,2125,2212,2057,2095,499180
101,2000-06-02,2156,2225,2100,2144,697170
102,2000-06-05,2244,2465,2244,2465,586290
103,2000-06-07,2795,2833,2652,2833,1879660
104,2000-06-08,3020,3098,2555,2681,2146010
105,2000-06-09,2618,2714,2437,2637,1231580
106,2000-06-12,2749,2767,2555,2712,1112510
107,2000-06-13,2680,2792,2431,2469,971410
108,2000-06-14,2509,2717,2384,2494,1191940
109,2000-06-15,2524,2537,2197,2197,603230
110,2000-06-16,2206,2297,2119,2176,471800
111,2000-06-19,2066,2216,2066,2172,433660
112,2000-06-20,2128,2244,2119,2244,556660
113,2000-06-21,2275,2328,2209,2213,749830
114,2000-06-22,2259,2362,2231,2266,536760
115,2000-06-23,2300,2325,2203,2232,587330
116,2000-06-26,2244,2269,2197,2225,411920
117,2000-06-27,2250,2337,2212,2300,951680
118,2000-06-28,2300,2449,2269,2325,1028350
119,2000-06-29,2368,2387,2250,2272,493630
120,2000-06-30,2275,2303,2247,2288,401190
121,2000-07-03,2294,2493,2294,2494,1173110
122,2000-07-04,2527,2618,2449,2459,1204120
123,2000-07-05,2443,2524,2412,2506,729200
124,2000-07-06,2649,2880,2593,2880,3121880
125,2000-07-07,3023,3166,2880,2930,4959870
126,2000-07-10,3054,3085,2917,2992,1447790
127,2000-07-11,2936,3222,2914,2942,2802130
128,2000-07-12,2967,3007,2680,2762,1137330
129,2000-07-13,2817,2830,2649,2743,1127790
130,2000-07-14,2680,2830,2624,2643,838940
131,2000-07-18,2587,2621,2468,2490,759390
132,2000-07-19,2493,2512,2381,2475,708160
133,2000-07-20,2471,2493,2403,2419,459680
134,2000-07-21,2481,2499,2406,2431,488730
135,2000-07-24,2443,2443,2188,2191,504240
136,2000-07-25,2181,2265,2088,2232,466020
