,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,76000,85900,75500,81000,607520
1,2000-01-05,77000,82000,77000,78800,492588
2,2000-01-06,79000,80000,75100,76000,473870
3,2000-01-07,73600,75500,73000,75000,294910
4,2000-01-10,75000,77000,74100,76300,321110
5,2000-01-11,76500,81700,76500,79900,739761
6,2000-01-12,78000,79000,76000,76200,295561
7,2000-01-13,76000,78500,74500,77000,305524
8,2000-01-14,77000,78400,75100,76000,195540
9,2000-01-17,76100,80700,76000,80000,399958
10,2000-01-18,80000,88400,79700,85000,1163710
11,2000-01-19,84500,87700,82700,83100,796020
12,2000-01-20,83100,85500,73100,85000,492354
13,2000-01-21,85000,85700,83000,84000,281447
14,2000-01-24,84600,86000,83100,84000,247402
15,2000-01-25,82000,83500,80500,80500,287280
16,2000-01-26,80500,81000,76100,78500,211596
17,2000-01-27,77100,79400,76300,78100,214730
18,2000-01-28,78500,81700,77800,80900,274000
19,2000-01-31,80000,82300,79400,82000,283620
20,2000-02-01,81500,83000,79800,80300,245011
21,2000-02-02,80000,83200,80000,81700,381528
22,2000-02-03,82900,82900,81100,81700,207425
23,2000-02-07,82000,88500,82000,85700,571324
24,2000-02-08,87000,89100,85700,85700,576920
25,2000-02-09,86300,94000,85800,88600,845535
26,2000-02-10,87200,90700,86200,88600,446032
27,2000-02-11,89500,89500,85800,86000,261981
28,2000-02-14,84100,84100,81300,82500,401061
29,2000-02-15,82500,83000,79000,80000,333620
30,2000-02-16,80400,80500,75100,79900,347096
31,2000-02-17,80000,84000,79500,82400,420231
32,2000-02-18,82400,85000,80000,80000,482862
33,2000-02-21,80000,81500,77000,79900,228370
34,2000-02-22,77100,80600,77000,77000,230460
35,2000-02-23,80000,80100,77000,77000,297113
36,2000-02-24,77500,79800,76200,77500,236498
37,2000-02-25,76800,78600,75700,76000,215029
38,2000-02-28,73600,74900,70000,70500,236389
39,2000-02-29,71000,72100,65800,68600,370610
40,2000-03-02,72500,78500,70500,78500,551951
41,2000-03-03,80000,80000,74200,77600,306680
42,2000-03-06,79000,83000,77600,82500,485205
43,2000-03-07,81000,81000,79200,80300,237130
44,2000-03-08,79500,81500,78000,80200,199650
45,2000-03-09,80500,80700,76200,76200,421510
46,2000-03-10,79900,81500,77600,79200,433050
47,2000-03-13,80200,80300,76500,79900,299995
48,2000-03-14,79000,79900,77700,78800,269960
49,2000-03-15,78500,79300,77500,78900,276023
50,2000-03-16,81800,82800,80500,81400,645320
51,2000-03-17,82900,84000,81000,83300,278520
52,2000-03-20,84700,84900,80600,81500,182740
