,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,6000,6110,5660,6110,1483967
1,2000-01-05,5800,6060,5520,5580,1493604
2,2000-01-06,5750,5780,5580,5620,1087810
3,2000-01-07,5560,5670,5360,5540,806195
4,2000-01-10,5600,5770,5580,5770,937615
5,2000-01-11,5820,6100,5770,5770,1194974
6,2000-01-12,5610,5740,5600,5720,584492
7,2000-01-13,5600,5740,5560,5710,823830
8,2000-01-14,5720,5880,5680,5830,987576
9,2000-01-17,6000,6180,5920,6100,1270138
10,2000-01-18,6160,6160,5980,6100,905231
11,2000-01-19,6000,6040,5960,5960,804159
12,2000-01-20,5860,6040,5820,6040,746360
13,2000-01-21,5950,5980,5880,5880,650728
14,2000-01-24,5800,5900,5700,5700,687183
15,2000-01-25,5520,5640,5440,5440,885067
16,2000-01-26,5500,5520,5410,5480,585734
17,2000-01-27,5480,5620,5430,5520,558083
18,2000-01-28,5640,5880,5540,5820,766398
19,2000-01-31,5640,5730,5560,5580,792689
20,2000-02-01,5600,5680,5260,5320,1429402
21,2000-02-02,5220,5370,5110,5250,1282143
22,2000-02-03,5250,5460,4970,5130,2855355
23,2000-02-07,5140,5330,5040,5240,1282835
24,2000-02-08,5340,5480,5310,5430,1169244
25,2000-02-09,5560,5720,5480,5720,1021023
26,2000-02-10,5660,5880,5600,5760,1236979
27,2000-02-11,5960,5960,5680,5700,693257
28,2000-02-14,5600,5660,5340,5380,882889
29,2000-02-15,5380,5420,5140,5200,766393
30,2000-02-16,5180,5200,4780,5000,1462389
31,2000-02-17,4939,5099,4910,5080,1303738
32,2000-02-18,5370,5630,5160,5300,2175083
33,2000-02-21,5200,5260,5030,5070,529722
34,2000-02-22,5000,5240,5000,5120,483669
35,2000-02-23,5220,5260,5100,5140,554497
36,2000-02-24,5120,5240,5060,5070,521526
37,2000-02-25,5080,5150,4980,5120,557527
38,2000-02-28,5000,5050,4800,4800,602864
39,2000-02-29,4900,5140,4840,5120,1036420
40,2000-03-02,5880,5880,5520,5880,2355092
41,2000-03-03,6200,6250,5880,6000,2819891
42,2000-03-06,6000,6050,5600,5640,783020
43,2000-03-07,5600,5640,5480,5620,601414
44,2000-03-08,5520,6000,5500,5920,649288
45,2000-03-09,5970,5980,5620,5620,1117890
46,2000-03-10,5790,5800,5520,5540,572199
47,2000-03-13,5480,5490,5160,5180,644358
48,2000-03-14,5170,5380,5160,5210,601241
49,2000-03-15,5200,5400,5120,5400,922141
50,2000-03-16,5480,5520,5360,5400,575981
51,2000-03-17,5540,5560,5400,5480,481685
52,2000-03-20,5600,5710,5530,5660,527321
53,2000-03-21,5700,5940,5610,5880,898587
54,2000-03-22,5960,6300,5880,6200,1739537
55,2000-03-23,6480,6580,6200,6200,1299012
56,2000-03-24,6320,7120,6180,6800,1805280
57,2000-03-27,6960,7040,6700,6800,1354691
