,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,3792,4436,3792,4113,4059112
1,2000-01-05,4038,4103,3923,4078,3667839
2,2000-01-06,4313,4399,3974,3998,4659204
3,2000-01-07,3975,4090,3968,4005,3070957
4,2000-01-10,4083,4112,3902,3947,3475730
5,2000-01-11,3902,4004,3852,3875,3238224
6,2000-01-12,3800,3829,3684,3687,4047950
7,2000-01-13,3698,3821,3557,3759,5440367
8,2000-01-14,3792,3865,3698,3702,4086720
9,2000-01-17,3686,3968,3650,3817,7137414
10,2000-01-18,3829,3887,3670,3738,3295474
11,2000-01-19,3780,4098,3758,3839,12217074
12,2000-01-20,3981,4031,3467,3745,8895322
13,2000-01-21,3648,3887,3576,3680,6177241
14,2000-01-24,3691,3872,3656,3753,5656696
15,2000-01-25,3831,4191,3779,3983,18343760
16,2000-01-26,4046,4069,3874,3940,6000263
17,2000-01-27,3961,4315,3939,4251,10960847
18,2000-01-28,4248,4385,4131,4157,9811094
19,2000-01-31,4081,4212,4045,4107,6173989
20,2000-02-01,4162,4214,3975,4005,5111751
21,2000-02-02,3981,4140,3944,4085,7217929
22,2000-02-03,4081,4190,4053,4113,6372821
23,2000-02-07,4053,4140,3988,3998,4873900
24,2000-02-08,4011,4061,3874,3897,4896820
25,2000-02-09,3903,3997,3794,3831,7601760
26,2000-02-10,3721,3750,3621,3629,6011231
27,2000-02-11,3613,3772,3584,3615,8879718
28,2000-02-14,3469,3613,3396,3402,9414303
29,2000-02-15,3389,3465,3122,3181,5408858
30,2000-02-16,3259,3287,2998,3174,5763546
31,2000-02-17,3013,3180,3013,3138,4793981
32,2000-02-18,3106,3124,2997,3000,5075013
33,2000-02-21,2890,2927,2760,2777,5334249
34,2000-02-22,2710,2922,2612,2849,7568812
35,2000-02-23,2890,3273,2873,3181,9160766
36,2000-02-24,3041,3093,2873,2892,5728676
37,2000-02-25,2817,2947,2756,2884,5516579
38,2000-02-28,2818,2984,2749,2960,6309001
39,2000-02-29,2939,3106,2889,2979,9301878
40,2000-03-02,3026,3040,2925,3043,6303524
41,2000-03-03,3034,3034,2864,2950,4410673
