,날짜,시가,고가,저가,종가,거래량
0,2007-06-27,62200,63200,58300,61200,6559871
1,2007-06-28,60500,60800,57700,58000,1761128
2,2007-06-29,58000,59800,56600,56800,1161880
3,2007-07-02,56500,57500,56200,57000,605419
4,2007-07-03,57600,59800,57000,59700,1067955
5,2007-07-04,60400,60500,59300,59500,606237
6,2007-07-05,58700,59200,58200,58800,570849
7,2007-07-06,59000,59300,57700,57700,508565
8,2007-07-09,57500,58400,57500,58000,451870
9,2007-07-10,58300,59000,58000,58100,529867
10,2007-07-11,58100,58800,58000,58800,391310
11,2007-07-12,58800,62000,58500,62000,1260237
12,2007-07-13,63000,65500,61300,65000,2134277
13,2007-07-16,65400,68100,64000,66400,1212094
14,2007-07-18,66400,68100,65600,66900,1038298
15,2007-07-19,66900,68000,66200,68000,523756
16,2007-07-20,68200,68400,66700,67900,484453
17,2007-07-23,67800,67900,66200,67700,378322
18,2007-07-24,67300,67600,66000,66200,402467
19,2007-07-25,65200,66200,64100,64700,590451
20,2007-07-26,65000,65900,62800,63600,489630
21,2007-07-27,61500,62500,60100,61700,504882
22,2007-07-30,60800,62100,60300,61700,318672
23,2007-07-31,62200,66900,62000,66900,589377
24,2007-08-01,65600,66000,62600,63100,359886
25,2007-08-02,64200,64500,60500,62300,409772
26,2007-08-03,63500,63600,61400,61800,330542
27,2007-08-06,60300,62800,60300,61700,263706
28,2007-08-07,62500,62700,61100,61400,238743
29,2007-08-08,61800,62900,61300,62800,433847
30,2007-08-09,63600,63600,61500,61900,239450
31,2007-08-10,60600,61000,59100,59700,295459
32,2007-08-13,59800,59900,57800,58600,290282
33,2007-08-14,58600,59500,57500,58400,198740
34,2007-08-16,55900,55900,53000,54200,636446
35,2007-08-17,54500,55000,52000,52000,419749
36,2007-08-20,53500,55600,53300,55000,222529
37,2007-08-21,55300,55400,53800,53900,196233
38,2007-08-22,54300,55100,53900,55100,215969
39,2007-08-23,56300,57400,55900,57200,222411
40,2007-08-24,56900,57200,55800,57200,99427
41,2007-08-27,58200,58500,55400,56000,189409
42,2007-08-28,55400,56300,54800,55600,150396
43,2007-08-29,53400,55200,53200,55000,377098
44,2007-08-30,55500,57500,55500,57300,346507
45,2007-08-31,56800,57800,56700,57600,206368
46,2007-09-03,57800,58500,57500,58500,148795
47,2007-09-04,58300,59200,57200,57200,104149
48,2007-09-05,57800,57900,57100,57400,162479
49,2007-09-06,56900,57200,56000,56400,149504
50,2007-09-07,56700,56900,55700,56000,157393
51,2007-09-10,54800,55100,54000,54500,183951
52,2007-09-11,54700,54900,53100,53800,243300
53,2007-09-12,54100,54400,53600,53700,105313
54,2007-09-13,53300,54300,53100,54300,179978
55,2007-09-14,54700,54700,53300,53300,258121
56,2007-09-17,53600,55200,53500,55200,205565
57,2007-09-18,55400,56100,54500,55500,172476
