,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,34151,39245,34151,38207,255900
1,2000-01-05,38208,38679,36321,36320,252900
2,2000-01-06,36887,37217,33019,33396,202350
3,2000-01-07,33679,34717,33679,34716,245660
4,2000-01-10,36792,39906,35943,39905,744820
5,2000-01-11,40094,40566,38208,39056,949760
6,2000-01-12,37642,38208,35472,35566,520370
7,2000-01-13,36792,38679,36132,37641,564980
8,2000-01-14,38113,38396,36321,36367,293750
9,2000-01-17,35943,37075,35377,36981,265330
10,2000-01-18,36132,36368,34670,36132,653190
11,2000-01-19,35377,35472,34245,34339,254410
12,2000-01-20,33396,35283,32925,33962,357970
13,2000-01-21,33491,35189,33208,35188,372880
14,2000-01-24,34434,34906,33443,33490,376790
15,2000-01-25,33019,33302,31981,31981,318700
16,2000-01-26,32075,32925,29906,30660,519830
17,2000-01-27,30189,33302,29811,32075,692200
18,2000-01-28,32170,34340,31698,33066,678410
19,2000-01-31,32264,36792,32123,36792,700970
20,2000-02-01,37736,38585,35991,36462,612980
21,2000-02-02,36321,41415,36321,40566,1367590
22,2000-02-03,41226,45519,40849,44245,1727550
23,2000-02-07,42547,44811,41604,42452,881460
24,2000-02-08,42358,44245,41509,42264,504010
25,2000-02-09,43113,43113,41557,42264,614250
26,2000-02-10,40849,41509,38208,39150,501650
27,2000-02-11,38774,40472,37264,38207,465440
28,2000-02-14,38113,38113,35943,36226,419870
29,2000-02-15,36226,37642,35425,35849,575050
30,2000-02-16,37358,40566,36415,37547,1225450
31,2000-02-17,37736,37736,35943,37358,384120
32,2000-02-18,36038,37075,35943,36132,390680
33,2000-02-21,36132,36132,33774,33773,325190
34,2000-02-22,33868,35000,31887,32075,514940
35,2000-02-23,33774,36274,32642,33962,718160
36,2000-02-24,32925,33491,32075,32735,310590
37,2000-02-25,31792,33019,31604,32358,325740
38,2000-02-28,31226,31604,30708,30707,348320
39,2000-02-29,31226,31981,29670,30330,355160
40,2000-03-02,29858,32453,29858,30849,420690
41,2000-03-03,31132,31792,30283,30943,346900
42,2000-03-06,31226,33019,30991,33018,527210
43,2000-03-07,32170,32642,28066,31509,424080
44,2000-03-08,30943,32453,30660,31132,403200
45,2000-03-09,31321,31557,30660,31132,398530
46,2000-03-10,31132,31509,30000,30047,593180
47,2000-03-13,30047,30660,28208,28584,555030
48,2000-03-14,28774,29528,27830,28207,437390
49,2000-03-15,27830,28585,27453,27500,335300
50,2000-03-16,28208,28774,27406,27594,444130
51,2000-03-17,28679,30660,28113,28867,799480
52,2000-03-20,29057,29245,28113,28207,310760
53,2000-03-21,28113,28491,27170,27452,355800
54,2000-03-22,27736,28585,27170,28066,645750
55,2000-03-23,28302,28396,27358,27405,490160
56,2000-03-24,27453,27783,26887,27264,369260
57,2000-03-27,27972,29245,27406,29245,783410
58,2000-03-28,29245,29858,28962,29622,661820
59,2000-03-29,29528,30566,29057,30000,886280
60,2000-03-30,30000,30700,28500,28700,474660
61,2000-03-31,28000,28700,27100,27100,386980
62,2000-04-03,27000,28000,26000,26500,519400
63,2000-04-04,26800,27300,25000,25000,414670
64,2000-04-06,24000,24600,23000,23300,449310
65,2000-04-07,23550,23800,22300,22700,1419730
66,2000-04-10,23200,24900,22200,24100,1431850
67,2000-04-11,24500,24500,23100,23650,545890
68,2000-04-12,23200,25400,22900,24750,1113020
69,2000-04-14,24600,27500,24300,27000,1875310
70,2000-04-17,24150,25700,23200,23300,1147050
71,2000-04-18,25600,26750,24800,25950,2535340
72,2000-04-19,26600,27700,25550,26000,1527720
73,2000-04-20,26150,26700,25000,25100,525750
74,2000-04-21,25200,25700,24300,25100,483240
75,2000-04-24,24500,24800,23800,24100,311340
76,2000-04-25,23100,23600,22700,23000,324730
77,2000-04-26,24000,24000,20350,20700,839230
78,2000-04-27,21000,21800,20600,21350,1004330
79,2000-04-28,21500,23750,21500,22700,1434510
80,2000-05-02,23000,23500,22250,22800,750060
81,2000-05-03,23000,23400,22900,23050,498820
82,2000-05-04,23100,23950,22500,22850,939220
83,2000-05-08,22950,23300,22500,22500,530670
84,2000-05-09,22600,22750,22100,22500,333020
85,2000-05-10,22700,23500,22400,22700,955720
86,2000-05-12,22800,22950,21850,22100,405810
87,2000-05-15,22200,22350,20550,20900,447840
88,2000-05-16,20900,21950,20900,21950,476020
89,2000-05-17,22450,22450,21000,21000,697560
90,2000-05-18,21000,21400,20300,21100,694000
91,2000-05-19,22600,22750,21200,22600,532290
92,2000-05-22,22600,23800,22100,22700,673170
93,2000-05-23,22700,23700,22050,22700,636050
94,2000-05-24,23000,26100,22300,25500,1611150
95,2000-05-25,25800,27500,24300,24800,1586200
96,2000-05-26,24800,24900,22500,22500,788190
97,2000-05-29,22500,24450,22300,23800,943960
98,2000-05-30,24500,26500,24100,25200,1067050
99,2000-05-31,25200,26900,25200,25700,1196060
100,2000-06-01,26000,26100,24700,25400,623970
101,2000-06-02,26300,28400,26000,26300,1515160
102,2000-06-05,27800,29500,27100,29200,1672430
103,2000-06-07,28700,31950,28600,30400,1918670
104,2000-06-08,29900,31250,27900,28500,1121030
105,2000-06-09,28500,32750,28100,32750,1673580
106,2000-06-12,34150,34300,32100,33700,1520820
107,2000-06-13,33000,33700,31000,31750,1018760
108,2000-06-14,31750,32300,29350,29800,624370
109,2000-06-15,29800,30200,27100,27100,671300
110,2000-06-16,27100,28550,26500,27400,547470
111,2000-06-19,27400,28200,26800,27300,384140
112,2000-06-20,28050,28950,26800,28950,678590
113,2000-06-21,28950,30900,28150,28550,1649600
114,2000-06-22,29400,29400,27950,28300,504570
115,2000-06-23,28300,29500,27450,29500,438210
116,2000-06-26,29500,30100,28800,29300,423720
117,2000-06-27,29800,31900,29400,31800,1176410
118,2000-06-28,31800,32800,30800,31150,1068850
119,2000-06-29,32000,32000,30200,30550,765950
120,2000-06-30,30550,31350,30150,31000,689870
121,2000-07-03,31000,31000,30200,30950,745120
122,2000-07-04,31000,34000,30500,31500,2195920
123,2000-07-05,31500,31850,30000,31600,751050
124,2000-07-06,31600,33200,31000,32300,963590
125,2000-07-07,32700,33300,31700,32200,986940
126,2000-07-10,32500,32650,32050,32550,839020
127,2000-07-11,32650,33300,31000,31000,988450
128,2000-07-12,31000,31300,29500,30300,604100
129,2000-07-13,30300,30700,29400,30400,356890
130,2000-07-14,29700,30200,28300,28750,485910
131,2000-07-18,28100,28500,26700,27100,408270
132,2000-07-19,27100,28300,26800,27500,455180
133,2000-07-20,27500,28350,27000,27000,639060
134,2000-07-21,27500,27500,26100,26850,301030
135,2000-07-24,26850,26850,25200,25200,378990
136,2000-07-25,25200,25800,24300,25500,279820
137,2000-07-26,25500,25800,24800,25600,239700
138,2000-07-27,25600,25600,24800,25000,274400
139,2000-07-28,25000,25100,23750,23900,409930
140,2000-07-31,23900,26000,23900,25900,291190
141,2000-08-01,25100,26700,25100,26300,489810
142,2000-08-02,26350,27150,25800,26950,302870
143,2000-08-03,26900,27500,26850,27000,260310
144,2000-08-04,26450,27300,26350,27000,136980
145,2000-08-07,26500,27050,26300,26500,148630
146,2000-08-08,26600,27200,26100,26100,158610
147,2000-08-09,26200,27550,26200,27550,348230
148,2000-08-10,27600,29700,27200,29500,720280
149,2000-08-11,29000,30700,28750,29500,727040
150,2000-08-14,30400,30500,29050,29050,359220
151,2000-08-16,29000,29850,29000,29500,342440
152,2000-08-17,29500,29800,29100,29400,358600
153,2000-08-18,29000,29500,28300,28600,263090
154,2000-08-21,28200,28850,28000,28800,255570
155,2000-08-22,28400,29850,28300,29850,424780
156,2000-08-23,29800,29850,29000,29000,189600
157,2000-08-24,29150,29500,28000,29000,144440
158,2000-08-25,29300,29400,28750,29400,126660
159,2000-08-28,29400,31200,29100,30800,436890
160,2000-08-29,30700,30900,30100,30500,218540
161,2000-08-30,30400,30600,30000,30200,185380
162,2000-08-31,29800,30400,29000,29600,440410
163,2000-09-01,29100,30200,29100,29850,146580
164,2000-09-04,29800,30250,29500,29700,135580
165,2000-09-05,29600,30200,29500,30000,101480
166,2000-09-06,30050,31400,30050,30500,410200
167,2000-09-07,30100,30400,29800,30150,252980
168,2000-09-08,30000,31300,29650,31300,217970
169,2000-09-14,30300,31500,29900,31300,536880
170,2000-09-15,31000,31800,29900,30000,611390
171,2000-09-18,29300,29300,25500,27000,997280
172,2000-09-19,25600,27800,25600,27000,250820
173,2000-09-20,27900,28000,27400,27500,241300
174,2000-09-21,27600,28400,26600,28000,186290
175,2000-09-22,28100,28700,26950,27800,599260
176,2000-09-25,28500,29700,28050,29400,252860
177,2000-09-26,29400,29900,29000,29300,185200
178,2000-09-27,29250,30000,28900,30000,167940
179,2000-09-28,29500,30100,29100,29500,130810
180,2000-09-29,29200,29400,28800,29000,213250
181,2000-10-02,27500,28500,27500,28300,103300
182,2000-10-04,28000,28800,27600,28800,99130
183,2000-10-05,28800,29600,28500,29250,204330
184,2000-10-06,28800,29250,28700,28700,70800
185,2000-10-09,28600,28800,27600,27900,313200
186,2000-10-10,27100,27700,27100,27450,174540
187,2000-10-11,27400,27400,25800,26300,327640
188,2000-10-12,25800,26800,25150,25150,174920
189,2000-10-13,25150,26100,24600,26050,402980
190,2000-10-16,27000,27400,26600,26900,327410
191,2000-10-17,26300,26800,26000,26000,181760
192,2000-10-18,26000,26600,25150,26600,157070
193,2000-10-19,26900,27500,26300,26500,179800
194,2000-10-20,27400,27850,27000,27500,278980
195,2000-10-23,27900,27900,26350,26600,195910
196,2000-10-24,26500,27100,26200,27000,142730
197,2000-10-25,26100,26950,26100,26850,162540
198,2000-10-26,26800,26800,25950,26150,142110
199,2000-10-27,26050,26700,26050,26050,207190
200,2000-10-30,26200,26500,25900,26200,136700
201,2000-10-31,26000,26400,25700,26400,147110
202,2000-11-01,26800,27850,26500,27800,268950
203,2000-11-02,27600,28900,27300,28150,237690
204,2000-11-03,28150,28750,27400,28600,193890
205,2000-11-06,28400,29900,27800,28500,353870
206,2000-11-07,28100,29300,28000,29100,304810
207,2000-11-08,29200,29600,28600,29500,249330
208,2000-11-09,29300,30950,29100,30800,736820
