,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,7000,9200,7000,9200,5530
1,2000-01-05,8950,8950,8100,8610,4240
2,2000-01-06,8500,8500,7790,7790,3550
3,2000-01-07,8950,8950,7510,8200,5810
4,2000-01-10,8700,8700,8270,8420,1890
5,2000-01-11,8500,8500,8000,8200,3520
6,2000-01-12,8200,8300,8200,8300,4460
7,2000-01-13,8500,9400,8500,8800,10470
8,2000-01-14,9200,9200,8500,8600,4690
9,2000-01-17,9850,9850,8260,8800,6890
10,2000-01-18,8250,8400,8250,8400,830
11,2000-01-19,8900,8900,7700,7700,4610
12,2000-01-20,7500,7700,7000,7700,1910
13,2000-01-21,7500,7700,7500,7600,2870
14,2000-01-24,7650,8200,7600,7600,1610
15,2000-01-25,8000,8200,7850,7850,1760
16,2000-01-26,7120,8010,7120,8000,520
17,2000-01-27,8000,8000,7500,7500,2710
18,2000-01-28,7600,7790,7500,7500,2250
19,2000-01-31,7500,7550,7500,7500,3100
20,2000-02-01,7500,7750,7500,7510,960
21,2000-02-02,7110,7700,7110,7600,3580
22,2000-02-03,7900,8500,7900,8100,7330
23,2000-02-07,8100,8600,8100,8350,3870
24,2000-02-08,8300,8300,8050,8050,3980
25,2000-02-09,8000,8000,7710,7730,2530
26,2000-02-10,6700,8000,6700,7910,4150
27,2000-02-11,7500,7800,7500,7800,2530
28,2000-02-14,7410,7900,7410,7450,1090
29,2000-02-15,6810,7700,6810,7600,550
30,2000-02-16,7500,7500,6700,6700,4250
31,2000-02-17,6500,6950,6500,6710,5490
32,2000-02-18,6800,6800,6510,6700,4100
33,2000-02-21,6250,6470,6000,6000,3900
34,2000-02-22,6400,6400,6100,6100,4330
35,2000-02-23,6600,6600,6110,6220,3450
36,2000-02-24,6500,6500,6000,6400,3890
37,2000-02-25,6390,6390,6110,6160,700
38,2000-02-28,6000,6100,6000,6010,5330
39,2000-02-29,5830,6200,5830,6200,9250
40,2000-03-02,5600,6110,5600,5710,7250
41,2000-03-03,5750,5950,5750,5900,2740
42,2000-03-06,5750,6300,5750,6250,8250
43,2000-03-07,6300,7180,6300,7180,11340
44,2000-03-08,7500,8250,7200,7200,14660
45,2000-03-09,7200,7300,6850,7300,5990
46,2000-03-10,7300,7300,6300,6600,3430
47,2000-03-13,6700,7190,6700,7000,1650
48,2000-03-14,8050,8050,7000,7100,7090
49,2000-03-15,7100,7100,6710,7010,4110
50,2000-03-16,7010,7010,6830,7000,2840
51,2000-03-17,6500,7000,6500,7000,3100
52,2000-03-20,7000,7000,6400,6400,1850
53,2000-03-21,6600,6600,5800,6000,3550
54,2000-03-22,6100,6600,6100,6600,3040
55,2000-03-23,6600,6800,6600,6700,2930
56,2000-03-24,6310,6800,6310,6560,470
57,2000-03-27,6560,6560,6300,6300,1060
58,2000-03-28,6300,6900,6300,6420,3640
59,2000-03-29,6900,6900,5980,5980,5230
60,2000-03-30,5880,6600,5880,6250,3570
61,2000-03-31,6450,6450,5820,6230,1930
62,2000-04-03,5800,6190,5800,6000,4200
63,2000-04-04,6000,6000,5700,5720,1670
64,2000-04-06,5700,5700,5300,5300,3620
65,2000-04-07,5500,5990,5500,5500,1050
66,2000-04-10,6000,6000,5850,5900,1740
67,2000-04-11,5900,5900,5300,5300,3140
68,2000-04-12,5500,5500,5300,5300,4050
69,2000-04-14,5540,5540,5000,5280,1360
70,2000-04-17,5200,5200,4700,4700,7730
71,2000-04-18,4730,5370,4730,5260,16150
72,2000-04-19,4800,5400,4800,5250,12360
73,2000-04-20,5200,5250,5000,5100,3540
74,2000-04-21,5000,5400,5000,5370,430
75,2000-04-24,5200,5200,5100,5170,1440
76,2000-04-25,5100,5280,4900,5000,4070
77,2000-04-26,5000,5150,4800,4800,8310
78,2000-04-27,4990,5210,4400,5050,10330
79,2000-04-28,4800,4970,4700,4900,10080
80,2000-05-02,4710,4980,4710,4980,4780
81,2000-05-03,4940,4990,4780,4900,4300
82,2000-05-04,4790,5630,4790,5510,10130
83,2000-05-08,5480,5480,5100,5440,9380
84,2000-05-09,5050,5190,4900,4900,10120
85,2000-05-10,4860,4860,4600,4800,4860
86,2000-05-12,4970,4970,4500,4800,3880
87,2000-05-15,4600,4600,4250,4500,6850
88,2000-05-16,4500,4500,4000,4000,3580
89,2000-05-17,4100,4390,3510,3510,3160
90,2000-05-18,3620,3700,3450,3450,3530
91,2000-05-19,3500,3500,3250,3250,5040
92,2000-05-22,3290,3590,2770,3280,3000
93,2000-05-23,3500,3500,3250,3440,2690
94,2000-05-24,3200,3450,3150,3450,3580
95,2000-05-25,3500,3700,3500,3600,7570
96,2000-05-26,3590,3590,3310,3370,1380
97,2000-05-29,3050,3350,3050,3350,4110
98,2000-05-30,3330,3360,3300,3300,3370
99,2000-05-31,3500,3500,3150,3170,13070
100,2000-06-01,3250,3450,3200,3450,6390
101,2000-06-02,3300,3900,3300,3880,8780
102,2000-06-05,4200,4460,4200,4460,4160
103,2000-06-07,4900,4900,4700,4890,4460
104,2000-06-08,4500,5000,4160,4160,5590
105,2000-06-09,3710,4480,3710,4100,5270
106,2000-06-12,4700,4700,4200,4200,9370
107,2000-06-13,4200,4200,3800,3850,2940
108,2000-06-14,4000,4150,4000,4100,3350
109,2000-06-15,4000,4050,3825,4050,3960
110,2000-06-16,4000,4000,3810,3810,3280
111,2000-06-19,3950,3950,3300,3300,2890
112,2000-06-20,3400,3795,3400,3795,5970
113,2000-06-21,3240,4000,3240,3500,16380
114,2000-06-22,3950,3950,3750,3900,1600
115,2000-06-23,3900,3950,3650,3950,5510
116,2000-06-26,4000,4190,3750,4190,7170
117,2000-06-27,4200,4500,4000,4500,25150
118,2000-06-28,4500,4600,4150,4500,5730
119,2000-06-29,4110,4400,4110,4120,1990
120,2000-06-30,4200,4300,3510,4200,3920
121,2000-07-03,3970,4830,3970,4310,29580
122,2000-07-04,4480,4550,4320,4480,8710
123,2000-07-05,4400,4400,4140,4140,5230
124,2000-07-06,3700,4240,3700,4100,6780
125,2000-07-07,4200,4400,4195,4195,3500
126,2000-07-10,3900,4170,3900,4170,3100
127,2000-07-11,4165,4165,4050,4050,5150
128,2000-07-12,4100,4150,4000,4050,2430
129,2000-07-13,4000,4000,3995,3995,3370
130,2000-07-14,3940,4100,3900,4100,3360
131,2000-07-18,4000,4000,3930,3940,1110
132,2000-07-19,4000,4000,3820,3820,3990
133,2000-07-20,3800,3820,3700,3820,3000
134,2000-07-21,3730,3800,3650,3800,2310
135,2000-07-24,3780,3780,3700,3700,510
136,2000-07-25,3560,3670,3560,3670,830
137,2000-07-26,3670,3800,3670,3800,2580
138,2000-07-27,3950,3950,3700,3700,2180
139,2000-07-28,3600,3800,3600,3800,970
140,2000-07-31,3820,3990,3610,3980,3110
141,2000-08-01,3730,3950,3730,3760,360
142,2000-08-02,3800,3970,3800,3830,6470
143,2000-08-03,3850,4380,3850,4300,11380
144,2000-08-04,4190,4190,3870,3900,6390
