,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,10765,13068,10765,12217,148870
1,2000-01-05,12417,13219,12016,12217,238350
2,2000-01-06,12918,12918,11717,12117,140400
3,2000-01-07,11816,13219,11716,12718,209490
4,2000-01-10,13219,14220,12718,13619,452250
5,2000-01-11,13720,13720,12818,13018,192260
6,2000-01-12,13368,13919,13118,13319,194850
7,2000-01-13,13519,13819,13318,13319,286420
8,2000-01-14,13620,13620,12718,12818,160210
9,2000-01-17,12518,12818,12318,12518,111670
10,2000-01-18,12717,12818,12016,12217,78520
11,2000-01-19,12217,12618,11617,11716,171940
12,2000-01-20,11916,12016,11315,11516,63890
13,2000-01-21,11616,11916,11115,11316,74830
14,2000-01-24,11315,12067,11315,11516,85350
15,2000-01-25,11816,11967,11516,11917,92130
16,2000-01-26,11917,12318,11617,11917,78440
17,2000-01-27,12017,13519,11917,13219,443050
18,2000-01-28,13318,13318,12467,12868,201020
19,2000-01-31,12467,12718,12117,12718,156930
20,2000-02-01,12518,13019,12518,13018,107220
21,2000-02-02,12818,13719,12718,13619,274920
22,2000-02-03,13670,13819,13019,13018,86350
23,2000-02-07,13018,13018,12618,12718,77340
24,2000-02-08,12718,13419,12568,12718,168680
25,2000-02-09,12718,12969,12318,12818,108970
26,2000-02-10,12618,13519,12017,13219,239020
27,2000-02-11,13519,14722,12718,14320,315220
28,2000-02-14,14320,14320,13219,13769,102570
29,2000-02-15,13870,13870,13118,13419,78350
30,2000-02-16,13419,13569,13018,13369,42960
31,2000-02-17,13368,14220,13368,14020,151390
32,2000-02-18,14219,15371,14219,14821,412910
33,2000-02-21,14821,14821,13669,14020,125340
34,2000-02-22,14220,14220,13219,14020,74640
35,2000-02-23,14219,14821,13719,14170,77810
36,2000-02-24,14221,15273,14171,15021,162280
37,2000-02-25,15223,16024,15023,15422,248110
38,2000-02-28,15223,15523,14522,15422,53700
39,2000-02-29,15423,15973,14922,15121,111460
40,2000-03-02,15122,16725,15022,15722,484700
41,2000-03-03,16023,18027,15523,15522,507020
42,2000-03-06,16124,16725,15223,16223,356420
43,2000-03-07,16224,16324,15223,15322,113410
44,2000-03-08,15022,15824,14421,15322,133080
45,2000-03-09,15723,16023,15322,15322,144550
46,2000-03-10,15523,15973,14822,15322,64440
47,2000-03-13,15423,15523,14872,15121,106340
48,2000-03-14,14822,15122,13820,15121,105880
49,2000-03-15,14521,14821,14019,14270,40660
50,2000-03-16,14470,14821,13569,13569,63900
51,2000-03-17,14019,14019,13268,13319,68640
52,2000-03-20,13118,13719,13068,13319,41770
53,2000-03-21,13519,13819,13219,13419,38090
54,2000-03-22,13219,13719,13118,13369,44050
55,2000-03-23,13519,13619,13268,13319,45870
56,2000-03-24,13219,13719,13018,13319,90070
57,2000-03-27,13719,13719,13219,13319,51330
58,2000-03-28,13620,14220,13269,13819,231590
59,2000-03-29,13819,14219,13268,13719,107290
60,2000-03-30,13319,13469,12318,12568,124920
61,2000-03-31,12417,12719,12318,12317,59190
62,2000-04-03,12417,12618,11716,11817,90600
63,2000-04-04,11917,12167,11516,11616,69510
64,2000-04-06,11917,12318,11516,11867,78270
65,2000-04-07,12518,12568,12117,12117,75600
66,2000-04-10,12568,13269,12317,12918,82650
