,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,2315,2365,2250,2300,18500
1,2000-01-05,2340,2340,2200,2200,45900
2,2000-01-06,2230,2285,2090,2195,49300
3,2000-01-07,2100,2200,2100,2135,26000
4,2000-01-10,2100,2200,2100,2175,41500
5,2000-01-11,2185,2250,2140,2140,49500
6,2000-01-12,2170,2200,2130,2150,24700
7,2000-01-13,2200,2200,2060,2120,30000
8,2000-01-14,2120,2220,2120,2220,72800
9,2000-01-17,2200,2290,2200,2220,49500
10,2000-01-18,2200,2200,2055,2055,51200
11,2000-01-19,2100,2100,1980,1980,39800
12,2000-01-20,1980,2000,1950,1950,39400
13,2000-01-21,1715,2000,1715,1900,67800
14,2000-01-24,1725,2040,1725,2040,21200
15,2000-01-25,1990,2000,1950,2000,22000
16,2000-01-26,1950,1950,1920,1950,1900
17,2000-01-27,1950,2040,1900,2040,20200
18,2000-01-28,2010,2045,2000,2000,21300
19,2000-01-31,2000,2050,2000,2050,30900
20,2000-02-01,2050,2090,2000,2000,70800
21,2000-02-02,2200,2300,2100,2300,156900
22,2000-02-03,2390,2645,2330,2645,237100
23,2000-02-07,2840,3040,2780,3040,480700
24,2000-02-08,3140,3140,2620,2700,237200
25,2000-02-09,2520,2825,2505,2515,93700
26,2000-02-10,2500,2720,2320,2400,113100
27,2000-02-11,2500,2500,2220,2340,79200
28,2000-02-14,2160,2400,2160,2400,51800
29,2000-02-15,2400,2540,2400,2400,100300
30,2000-02-16,2410,2550,2200,2200,42100
31,2000-02-17,2200,2290,2100,2200,61600
32,2000-02-18,2150,2300,2110,2160,66500
33,2000-02-21,2160,2390,2100,2200,59500
34,2000-02-22,2120,2330,2120,2290,18800
35,2000-02-23,2310,2630,2250,2600,177700
36,2000-02-24,2600,2600,2310,2500,80900
37,2000-02-25,2410,2585,2340,2490,114600
38,2000-02-28,2485,2760,2365,2600,176200
39,2000-02-29,2735,2750,2500,2550,225900
40,2000-03-02,2560,2740,2560,2665,142700
41,2000-03-03,2710,2995,2610,2710,283700
42,2000-03-06,2800,2950,2750,2800,234600
43,2000-03-07,2750,2830,2680,2750,84800
44,2000-03-08,2700,2700,2470,2655,74500
45,2000-03-09,2750,2750,2600,2745,79600
46,2000-03-10,2590,2800,2590,2725,92800
47,2000-03-13,2800,3130,2620,3130,310800
48,2000-03-14,3130,3350,2900,3000,227000
49,2000-03-15,2900,3070,2850,2930,100200
50,2000-03-16,3250,3365,3100,3365,353200
51,2000-03-17,3400,3820,3300,3490,573700
52,2000-03-20,3480,3480,3200,3200,219700
53,2000-03-21,3210,3350,3030,3050,196500
