,날짜,시가,고가,저가,종가,거래량
0,2005-07-19,5598,6433,5438,6439,499088
1,2005-07-20,6424,6424,5470,5475,422688
2,2005-07-21,5391,5499,4785,4798,182685
3,2005-07-22,4884,4884,4617,4664,69921
4,2005-07-25,4587,4967,4587,4723,61036
5,2005-07-26,4868,4912,4643,4647,39832
6,2005-07-27,4638,4823,4613,4723,44648
7,2005-07-28,4744,4784,4551,4556,41633
8,2005-07-29,4550,4550,4383,4447,57927
9,2005-08-01,4502,4534,4409,4496,28379
10,2005-08-02,4468,4468,4349,4429,41867
11,2005-08-03,4353,4437,4194,4203,31604
12,2005-08-04,4215,4364,4215,4306,18127
13,2005-08-05,4191,4217,4116,4179,17983
14,2005-08-08,4050,4258,4050,4171,9562
15,2005-08-09,4059,4344,4059,4117,25364
16,2005-08-10,4049,4188,4047,4162,29547
17,2005-08-11,4217,4217,4116,4179,14976
18,2005-08-12,4183,4216,3798,4061,20725
19,2005-08-16,4032,4039,3924,4012,13782
20,2005-08-17,3911,4061,3820,3832,14215
21,2005-08-18,3822,3855,3706,3714,18764
22,2005-08-19,3617,3717,3424,3511,65383
23,2005-08-22,3549,3645,3522,3594,19806
24,2005-08-23,3626,3641,3467,3518,23977
25,2005-08-24,3489,3544,3425,3534,27152
26,2005-08-25,3474,3528,3454,3511,17596
27,2005-08-26,3462,3549,3421,3496,36431
28,2005-08-29,3450,3466,3322,3364,41311
29,2005-08-30,3357,3397,3314,3384,17316
30,2005-08-31,3308,3417,3308,3343,15701
31,2005-09-01,3361,3490,3361,3493,40788
32,2005-09-02,3482,3662,3465,3552,26662
33,2005-09-05,3560,3570,3503,3514,12468
34,2005-09-06,3566,3566,3497,3518,26439
35,2005-09-07,3549,3740,3549,3648,69269
36,2005-09-08,3660,3827,3643,3794,46490
37,2005-09-09,3841,3841,3670,3677,19748
38,2005-09-12,3674,3707,3577,3594,30114
39,2005-09-13,3545,3630,3464,3585,29028
40,2005-09-14,3573,4113,3573,4120,159354
41,2005-09-15,4253,4555,4027,4347,346376
42,2005-09-16,4456,4456,4091,4162,103569
43,2005-09-20,4110,4133,3966,3991,134286
44,2005-09-21,3975,4151,3928,4103,111293
45,2005-09-22,4024,4114,3976,3998,100523
46,2005-09-23,3942,4110,3881,3890,65427
47,2005-09-26,3896,3948,3832,3903,27290
48,2005-09-27,3922,4255,3887,4255,156320
49,2005-09-28,4257,4281,4124,4221,92571
50,2005-09-29,4341,4394,4175,4179,111836
51,2005-09-30,4184,4423,4161,4429,94051
52,2005-10-04,4507,4518,4384,4488,84287
53,2005-10-05,4416,4701,4416,4588,131484
54,2005-10-06,4758,4951,4584,4588,312595
55,2005-10-07,4597,4765,4597,4681,109101
56,2005-10-10,4717,4775,4525,4664,88609
57,2005-10-11,4589,4715,4523,4580,78990
