,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,36281,36530,34532,34969,110259
1,2000-01-05,34532,35594,32721,32722,141267
2,2000-01-06,35281,35281,31221,31472,155633
3,2000-01-07,31284,32159,30597,31223,199390
4,2000-01-10,32470,35904,31284,35906,291430
5,2000-01-11,37466,40401,37466,39028,447731
6,2000-01-12,37529,38716,36904,38717,150340
7,2000-01-13,39902,39902,37466,37530,130865
8,2000-01-14,38154,39527,37216,37218,119250
9,2000-01-17,37717,38904,35905,38717,142948
10,2000-01-18,38715,39214,37028,37467,140997
11,2000-01-19,37466,37591,33533,34969,151650
12,2000-01-20,32658,34282,32658,33721,128236
13,2000-01-21,31346,33969,31284,33346,121090
14,2000-01-24,31908,34282,31908,32784,168575
15,2000-01-25,32470,32470,31845,31910,98350
16,2000-01-26,31909,32784,31221,31535,109280
17,2000-01-27,31284,32782,31159,32784,79970
18,2000-01-28,33095,33907,32533,33658,96690
19,2000-01-31,32783,34407,32470,34158,77360
20,2000-02-01,34968,35593,34219,34470,94080
21,2000-02-02,34031,35967,34031,35782,78520
22,2000-02-03,35906,36031,35157,35594,59060
23,2000-02-07,34969,40216,34844,37156,257944
24,2000-02-08,37279,37404,34343,34345,210820
25,2000-02-09,34468,35342,33158,34345,187961
26,2000-02-10,34469,34657,32470,33097,359040
27,2000-02-11,33219,33595,31783,31910,258690
28,2000-02-14,32034,32721,28224,28413,306810
29,2000-02-15,28724,30160,26538,27102,249100
30,2000-02-16,28037,29286,27475,28101,203260
31,2000-02-17,28725,32284,28475,32284,220870
32,2000-02-18,32907,34343,30659,31348,279870
33,2000-02-21,29972,30097,28411,29349,133500
34,2000-02-22,28411,31035,28411,28912,141650
35,2000-02-23,29348,31222,29348,29693,122850
36,2000-02-24,29973,30911,29724,30599,171104
37,2000-02-25,30285,33095,29848,31785,352050
38,2000-02-28,30691,31097,28412,28413,110400
39,2000-02-29,29411,30286,28163,29037,107891
40,2000-03-02,29067,30286,28444,29599,151033
41,2000-03-03,29661,29974,28162,28382,151437
42,2000-03-06,29411,32098,28725,30161,250361
43,2000-03-07,31221,32097,30597,31535,220241
44,2000-03-08,30598,32034,30036,31410,121460
45,2000-03-09,30911,31847,30036,30037,209010
46,2000-03-10,31096,31096,29348,29349,117650
47,2000-03-13,28224,29974,28224,29662,182648
48,2000-03-14,28849,29661,28849,29287,71408
49,2000-03-15,28474,28662,28100,28101,98830
50,2000-03-16,29661,29661,28100,28163,82240
51,2000-03-17,29223,29223,28163,28725,109790
52,2000-03-20,28131,28600,27850,27914,50320
53,2000-03-21,27788,27912,27349,27539,62230
54,2000-03-22,28037,28536,27786,28225,103400
55,2000-03-23,28101,28101,27225,27476,61220
56,2000-03-24,27475,28474,26975,27788,100310
57,2000-03-27,27601,27787,27288,27726,69260
58,2000-03-28,28037,28037,27287,27788,132170
