,날짜,시가,고가,저가,종가,거래량
0,2011-07-14,103000,118000,100500,118000,1968850
1,2011-07-15,123000,134500,119500,128000,1313533
2,2011-07-18,130000,133500,126000,129000,338058
3,2011-07-19,129000,129000,122000,124000,211359
4,2011-07-20,126000,127500,116500,117500,154631
5,2011-07-21,118000,127000,117000,126500,197359
6,2011-07-22,125500,130000,123500,127000,132296
7,2011-07-25,126000,129000,121000,123000,94341
8,2011-07-26,125000,133500,122000,133500,103074
9,2011-07-27,134000,140000,132000,136500,129473
10,2011-07-28,135500,139000,132500,134000,115577
11,2011-07-29,131000,139000,127500,137500,183478
12,2011-08-01,138000,146000,134000,143500,146304
13,2011-08-02,142500,145000,138500,141000,77308
14,2011-08-03,136500,141500,132500,140500,77684
15,2011-08-04,142000,145500,134500,136500,76354
16,2011-08-05,124000,133000,116500,133000,162065
17,2011-08-08,132000,133000,117000,131000,92067
18,2011-08-09,126000,128000,116500,117500,116925
19,2011-08-10,124500,128500,121000,124000,125493
20,2011-08-11,119500,129000,117000,128000,90941
21,2011-08-12,131000,132500,126000,129500,73311
22,2011-08-16,127000,132000,124500,125000,192996
23,2011-08-17,125000,134000,118500,132500,176724
24,2011-08-18,134000,135000,129500,134000,116550
25,2011-08-19,130500,139000,128000,132000,146311
26,2011-08-22,134500,135000,124000,124000,74574
27,2011-08-23,127000,130000,125000,129500,47650
28,2011-08-24,129500,130500,126000,127500,33664
29,2011-08-25,131000,131500,126000,126000,27530
30,2011-08-26,125000,128000,122500,123500,39699
31,2011-08-29,125500,125500,121500,123000,61042
32,2011-08-30,124500,127500,124000,126000,42244
33,2011-08-31,126500,128500,123500,128500,70069
34,2011-09-01,128500,129500,124500,126500,87721
35,2011-09-02,126000,126000,122500,124000,76213
36,2011-09-05,121000,125000,121000,121000,41745
37,2011-09-06,119000,121000,115500,117000,32316
38,2011-09-07,119500,132000,118500,127500,91058
39,2011-09-08,129000,131000,122500,124000,49810
40,2011-09-09,123000,125500,121000,123000,35419
41,2011-09-14,123500,124000,120500,120500,16835
42,2011-09-15,122500,124000,119000,121000,18219
43,2011-09-16,123500,123500,120500,121000,23618
44,2011-09-19,120500,126000,119500,119500,28376
45,2011-09-20,119500,120000,114500,114500,51174
46,2011-09-21,115000,117000,107000,110000,116818
47,2011-09-22,108000,108500,103000,104000,84052
48,2011-09-23,97000,107500,96200,105000,90578
49,2011-09-26,105000,108000,97000,104000,83767
50,2011-09-27,105000,118500,104500,116500,94017
51,2011-09-28,122000,124000,119000,120000,86398
52,2011-09-29,118000,124000,115500,123000,52142
53,2011-09-30,123000,125000,120500,122000,35583
54,2011-10-04,116000,124000,107000,122000,70440
55,2011-10-05,122000,122000,109000,109000,78592
56,2011-10-06,114000,114000,110000,111500,49119
57,2011-10-07,113000,115000,110000,112000,52221
58,2011-10-10,111500,113000,107500,108500,47114
59,2011-10-11,111500,111500,106000,107500,63814
60,2011-10-12,107000,113500,105000,112000,61807
61,2011-10-13,114000,120500,113500,119000,90157
62,2011-10-14,117500,121500,115000,119500,41367
63,2011-10-17,120000,121500,118500,121500,36906
64,2011-10-18,118000,127000,116000,125000,57097
65,2011-10-19,126000,141500,122000,134000,134138
