,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,167,203,167,205,23070
1,2000-01-05,210,210,185,212,41310
2,2000-01-06,201,210,179,181,24980
3,2000-01-07,185,194,185,191,15100
4,2000-01-10,194,197,189,195,22740
5,2000-01-11,197,202,186,200,7900
6,2000-01-12,190,194,189,195,13650
7,2000-01-13,194,194,185,194,8380
8,2000-01-14,185,196,185,191,7380
9,2000-01-17,192,192,189,194,11990
10,2000-01-18,192,192,189,193,27480
11,2000-01-19,191,191,178,181,11700
12,2000-01-20,169,173,168,176,4620
13,2000-01-21,175,176,167,172,7700
14,2000-01-24,155,174,155,170,5190
15,2000-01-25,167,167,160,162,13880
16,2000-01-26,164,171,164,171,10230
17,2000-01-27,168,173,168,175,11300
18,2000-01-28,174,174,170,174,12470
19,2000-01-31,170,174,170,177,6790
20,2000-02-01,173,180,173,182,14490
21,2000-02-02,180,207,180,209,48800
22,2000-02-03,207,238,207,240,106950
23,2000-02-07,252,270,252,258,144610
24,2000-02-08,245,245,217,246,90670
25,2000-02-09,240,240,223,226,47700
26,2000-02-10,223,223,212,215,15520
27,2000-02-11,217,240,206,242,35620
28,2000-02-14,253,253,228,237,14050
29,2000-02-15,244,244,231,234,32290
30,2000-02-16,234,236,232,238,16580
31,2000-02-17,235,268,235,259,62020
32,2000-02-18,278,278,257,264,68180
33,2000-02-21,261,283,252,286,81560
34,2000-02-22,311,311,269,272,41010
35,2000-02-23,269,269,257,264,31200
36,2000-02-24,252,270,252,265,26400
37,2000-02-25,261,278,261,281,62540
38,2000-02-28,269,305,269,301,56360
39,2000-02-29,288,298,287,294,52600
40,2000-03-02,286,321,286,322,61180
41,2000-03-03,311,325,311,326,69420
42,2000-03-06,325,374,325,376,98090
43,2000-03-07,427,430,388,391,165640
44,2000-03-08,357,431,357,433,57740
45,2000-03-09,448,448,389,426,61570
46,2000-03-10,422,422,388,401,51730
47,2000-03-13,410,431,405,417,62460
48,2000-03-14,406,406,352,354,24080
49,2000-03-15,322,405,322,365,41860
50,2000-03-16,405,405,360,382,43540
51,2000-03-17,363,380,322,324,30510
52,2000-03-20,291,330,291,315,18880
53,2000-03-21,283,330,283,287,32850
54,2000-03-22,283,327,283,329,14810
55,2000-03-23,376,376,376,378,27440
56,2000-03-24,355,422,355,375,89380
57,2000-03-27,380,418,380,391,20230
58,2000-03-28,380,380,363,365,10040
59,2000-03-29,380,381,350,353,25410
60,2000-03-30,355,363,337,364,9210
61,2000-03-31,364,371,336,349,16470
62,2000-04-03,346,346,298,323,13510
63,2000-04-04,273,330,273,331,34170
64,2000-04-06,379,379,286,340,62360
65,2000-04-07,311,313,300,313,18920
66,2000-04-10,309,319,271,307,25300
67,2000-04-11,291,291,283,286,18240
68,2000-04-12,285,305,285,291,13080
69,2000-04-14,291,306,291,297,8930
70,2000-04-17,269,269,252,256,11330
71,2000-04-18,270,273,261,275,11000
72,2000-04-19,275,283,274,276,7010
73,2000-04-20,274,278,274,276,2570
74,2000-04-21,270,274,261,276,10800
75,2000-04-24,261,261,252,256,15030
76,2000-04-25,249,266,249,266,7180
77,2000-04-26,265,277,265,266,12870
78,2000-04-27,244,274,244,256,3030
79,2000-04-28,252,274,250,264,6000
80,2000-05-02,263,269,253,256,8670
81,2000-05-03,262,262,255,264,4200
82,2000-05-04,261,278,261,279,17940
83,2000-05-08,311,311,283,290,3360
84,2000-05-09,286,286,271,280,5470
85,2000-05-10,277,277,252,264,7970
86,2000-05-12,252,271,252,256,12950
87,2000-05-15,261,261,244,256,4800
88,2000-05-16,249,249,219,246,3560
89,2000-05-17,252,270,252,257,4960
90,2000-05-18,252,252,231,238,8120
91,2000-05-19,203,252,203,256,4870
92,2000-05-22,227,227,218,220,8620
93,2000-05-23,199,209,199,211,7400
94,2000-05-24,208,215,204,217,4940
95,2000-05-25,215,247,215,249,11680
96,2000-05-26,261,261,235,242,10210
97,2000-05-29,228,240,228,242,5740
98,2000-05-30,240,252,234,256,7530
99,2000-05-31,270,291,252,293,22500
100,2000-06-01,335,335,335,337,118060
101,2000-06-02,335,337,305,306,50410
102,2000-06-05,305,349,295,351,44510
103,2000-06-07,403,403,397,404,124690
104,2000-06-08,427,427,342,345,46350
105,2000-06-09,380,380,295,349,15470
106,2000-06-12,336,371,330,349,15830
107,2000-06-13,321,346,311,320,5790
108,2000-06-14,305,317,305,320,17300
109,2000-06-15,333,336,305,323,9810
110,2000-06-16,296,336,296,339,14740
111,2000-06-19,321,346,321,343,12800
112,2000-06-20,339,350,330,331,16390
113,2000-06-21,332,345,332,345,8380
114,2000-06-22,296,340,296,343,15160
115,2000-06-23,337,346,337,345,3840
116,2000-06-26,355,360,346,361,27780
117,2000-06-27,360,371,340,344,27630
118,2000-06-28,346,350,339,352,8020
119,2000-06-29,350,355,341,357,11470
120,2000-06-30,355,355,346,352,13860
121,2000-07-03,350,350,341,348,11210
122,2000-07-04,337,348,337,350,14390
123,2000-07-05,350,350,295,329,57440
124,2000-07-06,336,355,336,357,14940
125,2000-07-07,355,355,341,355,17650
126,2000-07-10,353,353,336,352,8660
127,2000-07-11,330,346,330,340,11590
128,2000-07-12,336,354,336,349,7660
129,2000-07-13,337,338,337,340,9290
130,2000-07-14,336,346,335,349,9050
131,2000-07-18,346,355,346,357,36970
132,2000-07-19,356,408,356,410,82570
133,2000-07-20,416,416,363,387,36500
134,2000-07-21,392,410,380,382,22060
135,2000-07-24,402,406,388,407,26440
136,2000-07-25,405,405,393,396,24990
137,2000-07-26,381,382,376,378,11380
138,2000-07-27,372,372,355,357,3200
139,2000-07-28,408,408,363,382,1800
140,2000-07-31,330,380,330,357,2080
141,2000-08-01,350,385,350,375,8080
142,2000-08-02,381,381,371,381,3420
143,2000-08-03,371,392,371,387,9500
144,2000-08-04,397,397,380,382,13710
145,2000-08-07,372,397,372,375,2440
146,2000-08-08,372,372,364,374,3900
147,2000-08-09,361,370,361,365,1070
148,2000-08-10,337,363,337,365,4500
149,2000-08-11,364,364,355,357,3200
150,2000-08-14,363,363,357,365,1030
151,2000-08-16,337,380,337,382,1500
152,2000-08-17,380,380,355,365,330
153,2000-08-18,380,380,380,382,2680
154,2000-08-21,380,397,380,395,13480
155,2000-08-22,388,397,376,378,4270
156,2000-08-23,388,388,388,390,9610
157,2000-08-24,349,389,349,382,7500
158,2000-08-25,380,388,376,391,15880
159,2000-08-28,380,388,373,391,8240
160,2000-08-29,388,397,385,391,10360
161,2000-08-30,388,388,372,384,8130
162,2000-08-31,379,379,364,366,15300
163,2000-09-01,372,372,359,360,5610
164,2000-09-04,363,380,363,365,27510
165,2000-09-05,371,371,361,363,11630
166,2000-09-06,366,366,355,357,3430
167,2000-09-07,355,367,351,356,11980
168,2000-09-08,351,361,351,357,9310
169,2000-09-14,337,351,330,353,3300
170,2000-09-15,299,353,299,340,5810
171,2000-09-18,326,333,296,306,3200
172,2000-09-19,291,336,291,331,9630
173,2000-09-20,329,346,329,334,3940
174,2000-09-21,330,331,322,332,1850
175,2000-09-22,333,337,329,330,4980
176,2000-09-25,330,334,330,336,5230
177,2000-09-26,330,330,312,316,170
178,2000-09-27,321,327,312,323,19020
179,2000-09-28,321,321,305,307,10980
180,2000-09-29,305,350,305,349,10450
181,2000-10-02,346,362,330,340,24200
182,2000-10-04,337,362,337,357,5280
183,2000-10-05,355,355,346,352,4650
184,2000-10-06,341,361,341,362,10040
185,2000-10-09,346,414,346,416,27990
186,2000-10-10,388,414,372,375,38120
187,2000-10-11,406,406,322,323,15970
188,2000-10-12,336,369,336,370,10110
189,2000-10-13,380,380,336,365,7140
190,2000-10-16,337,371,337,374,4130
191,2000-10-17,350,372,341,345,8690
192,2000-10-18,341,367,341,365,9260
193,2000-10-19,378,392,354,365,13500
194,2000-10-20,380,418,354,420,29440
195,2000-10-23,405,405,360,390,33780
196,2000-10-24,393,402,380,395,12130
197,2000-10-25,397,397,369,391,13240
198,2000-10-26,355,388,355,357,21420
199,2000-10-27,361,397,352,354,18420
200,2000-10-30,355,388,355,383,11470
201,2000-10-31,388,388,360,365,11460
202,2000-11-01,380,393,371,392,20540
203,2000-11-02,385,423,380,416,46350
204,2000-11-03,398,441,388,407,31470
