,날짜,시가,고가,저가,종가,거래량
0,2001-09-10,10797,11324,9885,10894,1254910
1,2001-09-11,11037,11277,10894,11181,1239210
2,2001-09-12,9549,10509,9549,9694,1468150
3,2001-09-13,10173,10749,10029,10366,1916800
4,2001-09-14,10077,10317,9549,9742,1323690
5,2001-09-17,9741,9789,9501,9550,620390
6,2001-09-18,9693,9981,9587,9838,602350
7,2001-09-19,9885,9981,9741,9790,764310
8,2001-09-20,9789,9885,9597,9790,924140
9,2001-09-21,9558,9558,9117,9166,1591080
10,2001-09-24,9118,9262,8936,9233,884070
11,2001-09-25,9405,9453,8992,9022,1278900
12,2001-09-26,9117,9453,9059,9310,808430
13,2001-09-27,9357,9549,9222,9550,1382880
14,2001-09-28,9462,9539,9386,9483,1641830
15,2001-10-04,9558,9885,9558,9694,2507140
16,2001-10-05,9693,9885,9645,9790,1192070
17,2001-10-08,9933,10029,9789,9886,1055830
18,2001-10-09,10077,10605,10029,10414,1758340
19,2001-10-10,10557,10940,10365,10750,2111790
20,2001-10-11,10749,10893,10653,10798,1305670
21,2001-10-12,10893,10893,10461,10846,1175910
22,2001-10-15,10702,10941,10702,10941,603660
23,2001-10-16,10941,10989,10846,10941,584450
24,2001-10-17,10940,10988,10701,10750,787800
25,2001-10-18,10653,10653,10461,10606,1209910
26,2001-10-19,10461,10557,10221,10270,1924400
27,2001-10-22,10365,10365,10173,10366,470120
28,2001-10-23,10365,10557,10317,10366,439180
29,2001-10-24,10461,10749,10317,10750,881130
30,2001-10-25,10798,11277,10654,11229,1197270
31,2001-10-26,11229,11229,10894,10941,1101740
32,2001-10-29,11133,11181,10798,10941,745010
33,2001-10-30,10605,10797,10605,10654,708220
34,2001-10-31,10605,10797,10413,10702,839540
35,2001-11-01,10797,10845,10557,10702,656760
36,2001-11-02,10653,11180,10653,10894,1357800
37,2001-11-05,11037,11469,11037,11373,1685760
38,2001-11-06,11469,11901,11373,11613,2644240
39,2001-11-07,11613,11757,11421,11421,1275250
40,2001-11-08,11613,12381,11613,12141,2600770
41,2001-11-09,12381,12381,11517,12189,2278660
42,2001-11-12,12141,12477,11805,12477,1504800
43,2001-11-13,12381,12573,12189,12477,1100050
44,2001-11-14,12477,12717,12237,12285,1571590
45,2001-11-15,12333,12669,12285,12477,1518280
46,2001-11-16,12477,12765,12381,12477,2432360
47,2001-11-19,12477,12717,12333,12477,1909260
48,2001-11-20,12573,12909,12045,12189,2380840
49,2001-11-21,12284,13532,12236,13341,5728730
50,2001-11-22,13532,14252,13484,14061,4392670
51,2001-11-23,14300,14492,14108,14397,4121440
52,2001-11-26,14877,16124,14733,15980,4365020
53,2001-11-27,15980,15980,15165,15644,2767440
54,2001-11-28,15451,15451,14492,15021,2924150
55,2001-11-29,14780,14972,14156,14637,2612560
56,2001-11-30,14924,15451,14780,15213,2559040
57,2001-12-03,15260,15403,14588,15069,1635070
58,2001-12-04,14780,15260,14684,15261,1208340
59,2001-12-05,15452,16076,15069,15452,2905980
60,2001-12-06,16027,16027,15116,15117,2602620
61,2001-12-07,15261,15836,15117,15740,1677100
62,2001-12-10,16028,16124,15165,15356,1453660
63,2001-12-11,14972,15308,14684,14925,977020
64,2001-12-12,14492,15308,14396,15213,1584540
65,2001-12-13,15403,15547,15068,15213,2550720
66,2001-12-14,14972,15403,14780,15261,1464850
67,2001-12-17,14684,15260,14588,14829,792790
68,2001-12-18,15164,15355,14444,14877,971460
69,2001-12-19,14972,15068,14540,14589,1094010
70,2001-12-20,14588,15355,14444,15261,1345460
71,2001-12-21,15020,15020,14636,14973,1162240
72,2001-12-24,14876,15212,14780,14877,951220
73,2001-12-26,14925,15692,14925,15692,1504680
74,2001-12-27,15309,16460,15069,16316,2481240
75,2001-12-28,16796,17324,16652,16844,2691700
76,2002-01-02,16892,17468,16700,17468,1776540
77,2002-01-03,17467,18859,17371,18620,3224395
78,2002-01-04,18619,19435,18619,19388,3003346
79,2002-01-07,19387,20058,18475,19628,2850214
80,2002-01-08,19627,19627,17947,18332,1882952
81,2002-01-09,17995,19483,17851,19196,2201196
82,2002-01-10,19195,19195,17899,17900,1898220
83,2002-01-11,17948,18236,16508,16892,3277825
84,2002-01-14,16604,17516,16604,17468,1743672
85,2002-01-15,16988,17084,16172,16364,2512579
86,2002-01-16,16412,16604,15932,16028,1730102
87,2002-01-17,15836,17228,15740,16988,3090626
88,2002-01-18,16988,17756,16796,17228,2406794
89,2002-01-21,17467,17947,17179,17948,2102912
90,2002-01-22,17660,17948,17180,17276,1782055
91,2002-01-23,17180,17900,16988,17468,2045730
92,2002-01-24,17947,18187,17611,18140,1962061
93,2002-01-25,18619,19195,18427,19100,3562564
94,2002-01-28,19339,19435,18427,19196,2819544
95,2002-01-29,19195,19291,18331,18428,1430281
96,2002-01-30,17948,17948,16988,17276,1835656
97,2002-01-31,17660,17756,16892,16940,1804603
98,2002-02-01,17132,17372,16652,16700,1535645
99,2002-02-04,16796,16796,16028,16076,1589818
100,2002-02-05,16124,17036,15932,16988,1920357
101,2002-02-06,16604,16844,16460,16460,1432567
102,2002-02-07,16508,16652,16316,16316,1278313
103,2002-02-08,16604,16700,16172,16556,983208
104,2002-02-14,17275,17755,16987,17756,2194180
105,2002-02-15,17324,17372,17036,17132,2032402
106,2002-02-18,17132,17324,16892,16940,1440134
107,2002-02-19,17276,17468,16892,16892,2292304
108,2002-02-20,16700,16892,16412,16460,1415119
109,2002-02-21,16796,16988,16508,16796,1473497
110,2002-02-22,16508,16940,16460,16892,1545568
111,2002-02-25,17276,17564,17084,17324,1811065
112,2002-02-26,17516,17756,17036,17036,2066603
113,2002-02-27,17084,17516,17084,17420,1781457
114,2002-02-28,17372,17372,16892,17180,2739290
115,2002-03-04,17468,17612,16844,16892,2780601
116,2002-03-05,17276,17372,16940,16940,1646600
117,2002-03-06,17228,17276,16988,17036,1157767
118,2002-03-07,17036,17132,16364,16460,2316866
119,2002-03-08,16364,16460,15644,15740,2880117
120,2002-03-11,15836,15836,15452,15644,2090682
121,2002-03-12,15692,16172,15692,16076,1806016
122,2002-03-13,16316,16940,16172,16748,2070191
123,2002-03-14,16748,16988,16556,16988,2147247
124,2002-03-15,16892,17132,16748,16940,2174189
125,2002-03-18,17084,17084,16700,16796,1767667
126,2002-03-19,16796,17132,16508,17084,2080439
127,2002-03-20,17276,17468,16892,16940,2721175
128,2002-03-21,16796,17180,16796,16796,2016448
129,2002-03-22,16891,17995,16795,17708,3594540
130,2002-03-25,17852,17948,16892,16892,2183601
131,2002-03-26,16844,16892,16556,16796,1321238
132,2002-03-27,16700,17180,16556,16556,1106762
