,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,4951,5574,4951,5423,932000
1,2000-01-05,5324,5324,5102,5148,785590
2,2000-01-06,5307,5413,4934,5059,1002650
3,2000-01-07,5076,5209,4988,5094,742250
4,2000-01-10,5269,5269,5057,5112,826510
5,2000-01-11,5110,5110,4950,4961,761300
6,2000-01-12,4879,4896,4612,4615,719550
7,2000-01-13,4560,4613,4347,4349,1305730
8,2000-01-14,4365,4577,4311,4331,910260
9,2000-01-17,4347,4417,4125,4171,733090
10,2000-01-18,4099,4348,4011,4047,1233710
11,2000-01-19,3982,3992,3735,3737,1283980
12,2000-01-20,3727,3817,3585,3781,1183920
13,2000-01-21,3743,4027,3636,3834,1117000
14,2000-01-24,3718,4171,3683,3941,1485960
15,2000-01-25,3903,3982,3779,3834,677100
16,2000-01-26,3816,4224,3744,4225,2143020
17,2000-01-27,4595,4852,4435,4855,3867680
18,2000-01-28,5129,5219,4650,4740,3466020
19,2000-01-31,4614,5146,4471,4810,2488760
20,2000-02-01,4826,4932,4595,4597,1852200
21,2000-02-02,4454,4739,4454,4624,1417300
22,2000-02-03,4880,5146,4810,4988,2822830
23,2000-02-07,4987,5094,4881,4882,1605490
24,2000-02-08,4808,4879,4631,4677,1127240
25,2000-02-09,4579,4668,4401,4473,1048420
26,2000-02-10,4320,4346,4080,4083,1167250
27,2000-02-11,3904,4349,3904,4189,1624800
28,2000-02-14,4098,4257,3903,4011,992790
29,2000-02-15,3903,4009,3867,3905,1015000
30,2000-02-16,4082,4171,3869,4056,988620
31,2000-02-17,4081,4170,3993,4020,766690
32,2000-02-18,4045,4054,3876,3905,1030860
33,2000-02-21,3860,4082,3585,3701,2181480
34,2000-02-22,3851,4198,3638,3861,2879280
35,2000-02-23,3991,4435,3947,4420,2420150
36,2000-02-24,4169,4382,3911,4011,1305280
37,2000-02-25,4010,4189,3869,4038,1549830
38,2000-02-28,3993,4161,3921,4029,1578120
39,2000-02-29,4098,4311,3920,4011,1241130
40,2000-03-02,4116,4595,4097,4597,3201160
41,2000-03-03,4524,4932,4294,4438,5054060
42,2000-03-06,4595,4772,4523,4597,3015430
