,날짜,시가,고가,저가,종가,거래량
0,2014-11-27,18575,18575,15800,15801,298837
1,2014-11-28,15230,16251,14400,14733,3377836
2,2014-12-01,14685,14946,13641,14021,1224674
3,2014-12-02,14234,14400,13665,13974,901086
4,2014-12-03,13973,14305,13831,14116,679329
5,2014-12-04,14020,14210,12715,12811,1179223
6,2014-12-05,12811,13024,12241,12479,986535
7,2014-12-08,12715,13760,12644,13286,1141743
8,2014-12-09,13807,13878,13356,13404,531908
9,2014-12-10,13214,13641,12953,13523,282158
10,2014-12-11,13451,13522,13119,13120,169862
11,2014-12-12,13214,13214,12075,12194,414706
12,2014-12-15,12573,12573,12099,12242,220502
13,2014-12-16,12336,12336,11316,11435,479480
14,2014-12-17,11529,12099,11411,11934,343904
15,2014-12-18,11980,12502,11766,12052,236250
16,2014-12-19,12099,12549,11886,12313,145072
17,2014-12-22,12265,13238,12146,12930,263381
18,2014-12-23,13024,13238,12668,12692,162380
19,2014-12-24,12858,13332,12715,13167,134092
20,2014-12-26,13166,13475,13166,13357,149126
21,2014-12-29,13119,13143,12502,12598,160223
22,2014-12-30,12715,12953,12407,12550,146765
23,2015-01-02,12478,12621,12289,12550,77763
24,2015-01-05,12668,13309,12644,13143,179879
25,2015-01-06,13000,13285,12811,13238,131410
26,2015-01-07,13238,13261,12906,12906,118530
27,2015-01-08,12953,13214,12740,12740,122565
28,2015-01-09,12858,13000,12644,12692,90548
29,2015-01-12,12740,12763,12241,12313,120613
30,2015-01-13,12217,12289,11766,11886,132550
31,2015-01-14,11909,12170,11886,11957,71503
32,2015-01-15,12099,12455,12004,12337,93527
33,2015-01-16,12241,12977,12194,12788,179789
34,2015-01-19,13000,13048,12549,12598,90189
35,2015-01-20,12692,12787,12431,12526,79897
36,2015-01-21,12526,12526,11886,11934,158577
37,2015-01-22,11980,12834,11980,12289,253437
38,2015-01-23,12502,12597,12004,12029,135377
39,2015-01-26,12075,13143,12051,13049,338852
