,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1290,1363,1240,1317,48710
1,2000-01-05,1333,1440,1333,1395,56610
2,2000-01-06,1373,1390,1339,1341,161690
3,2000-01-07,1346,1390,1312,1368,28200
4,2000-01-10,1373,1447,1349,1368,48160
5,2000-01-11,1380,1406,1339,1361,52880
6,2000-01-12,1373,1373,1312,1361,48390
7,2000-01-13,1339,1460,1333,1428,101990
8,2000-01-14,1420,1420,1359,1368,27770
9,2000-01-17,1373,1427,1339,1364,59360
10,2000-01-18,1343,1363,1336,1341,95280
11,2000-01-19,1339,1339,1240,1274,42790
12,2000-01-20,1273,1306,1250,1274,51430
13,2000-01-21,1250,1339,1219,1341,47940
14,2000-01-24,1353,1359,1312,1341,37320
15,2000-01-25,1370,1370,1273,1334,14110
16,2000-01-26,1359,1410,1333,1401,55940
17,2000-01-27,1420,1464,1413,1425,39370
18,2000-01-28,1450,1450,1376,1408,24930
19,2000-01-31,1380,1400,1353,1388,23320
20,2000-02-01,1383,1420,1366,1408,43470
21,2000-02-02,1440,1521,1386,1509,26690
22,2000-02-03,1507,1534,1440,1515,28320
23,2000-02-07,1514,1534,1440,1442,27160
24,2000-02-08,1433,1501,1406,1452,27150
25,2000-02-09,1450,1450,1390,1401,44940
26,2000-02-10,1356,1390,1306,1307,41130
27,2000-02-11,1339,1339,1280,1300,30080
28,2000-02-14,1283,1319,1240,1280,25070
29,2000-02-15,1306,1306,1229,1240,31440
30,2000-02-16,1213,1263,1149,1186,81860
31,2000-02-17,1186,1206,1098,1173,152510
32,2000-02-18,1159,1196,1145,1149,75580
33,2000-02-21,1109,1139,1011,1033,46340
34,2000-02-22,1004,1058,971,1053,249130
35,2000-02-23,1072,1172,1051,1139,69290
36,2000-02-24,1125,1206,1088,1173,133180
37,2000-02-25,1199,1206,1166,1173,53840
38,2000-02-28,1199,1260,1186,1220,59930
39,2000-02-29,1256,1256,1145,1200,22020
40,2000-03-02,1192,1219,1172,1203,39030
41,2000-03-03,1233,1233,1105,1119,34690
42,2000-03-06,1145,1240,1139,1223,40840
43,2000-03-07,1206,1300,1186,1297,52450
44,2000-03-08,1226,1380,1219,1361,48010
45,2000-03-09,1287,1406,1172,1173,54350
46,2000-03-10,1240,1333,1233,1307,31480
47,2000-03-13,1312,1433,1243,1408,96770
48,2000-03-14,1406,1413,1349,1405,54500
49,2000-03-15,1333,1390,1319,1364,34570
50,2000-03-16,1380,1406,1326,1334,21220
51,2000-03-17,1393,1393,1333,1368,25590
52,2000-03-20,1406,1406,1326,1341,32960
53,2000-03-21,1370,1400,1326,1334,13920
54,2000-03-22,1319,1353,1300,1341,26670
55,2000-03-23,1319,1333,1300,1307,40120
56,2000-03-24,1319,1319,1297,1307,64990
57,2000-03-27,1319,1326,1293,1304,31480
58,2000-03-28,1333,1346,1300,1341,29930
59,2000-03-29,1373,1373,1256,1257,32660
60,2000-03-30,1260,1293,1253,1253,46060
61,2000-03-31,1287,1293,1240,1260,28470
62,2000-04-03,1260,1287,1246,1274,30640
63,2000-04-04,1273,1302,1253,1253,20190
64,2000-04-06,1240,1246,1172,1190,15840
65,2000-04-07,1189,1219,1162,1206,28600
66,2000-04-10,1172,1226,1159,1206,31680
