,날짜,시가,고가,저가,종가,거래량
0,2006-06-29,38009,40510,37509,38510,119565
1,2006-06-30,39610,40960,39010,40961,68951
2,2006-07-03,41310,41710,39910,41461,20742
3,2006-07-04,41560,44311,41560,44011,27737
4,2006-07-05,42710,44011,42710,44011,18284
5,2006-07-06,44011,44811,43661,44411,22780
6,2006-07-07,45061,45911,44411,45812,29445
7,2006-07-10,44611,45861,44611,45762,13958
8,2006-07-11,45361,45711,44811,45512,20227
9,2006-07-12,44811,45111,43261,44511,19906
10,2006-07-13,43811,44411,42160,43011,18178
11,2006-07-14,42710,45861,41660,43061,9963
12,2006-07-18,43011,43011,40510,40510,20868
13,2006-07-19,40160,41010,40160,40510,11919
14,2006-07-20,40760,40910,40010,40811,12361
15,2006-07-21,40210,40710,39360,39410,11183
16,2006-07-24,39410,40060,39410,40060,23297
17,2006-07-25,41460,41460,39810,40010,17459
18,2006-07-26,40010,40310,39510,39510,39637
19,2006-07-27,39960,40310,39810,39960,20455
20,2006-07-28,39960,40010,39460,40010,10743
21,2006-07-31,40060,40260,39810,40110,9932
22,2006-08-01,40110,40110,39810,40110,7077
23,2006-08-02,40210,40310,39910,40210,6782
24,2006-08-03,40810,40810,39510,40460,6803
25,2006-08-04,40460,41110,40360,41111,16447
26,2006-08-07,41010,41210,40710,40961,4343
27,2006-08-08,40560,41510,40560,41511,7183
28,2006-08-09,40510,41860,40510,41861,7046
29,2006-08-10,41560,41910,41260,41911,5033
30,2006-08-11,41910,42010,41210,41861,4544
31,2006-08-14,41910,41910,41410,41811,4609
32,2006-08-16,41810,41860,41560,41561,6585
33,2006-08-17,41110,41560,40510,41461,14130
34,2006-08-18,40910,41510,40560,40560,11315
35,2006-08-21,40510,40660,40110,40410,16482
36,2006-08-22,40410,41510,40160,40911,11435
37,2006-08-23,40710,41810,40560,41461,8112
38,2006-08-24,41160,41510,41010,41211,8222
39,2006-08-25,41510,41560,40760,41561,24952
40,2006-08-28,41460,41610,41010,41611,7044
41,2006-08-29,41510,41560,41160,41411,6569
42,2006-08-30,41060,41710,41060,41661,8380
43,2006-08-31,41660,41810,41110,41811,11137
44,2006-09-01,41510,41610,41260,41361,5823
45,2006-09-04,41610,41610,40810,41111,7419
46,2006-09-05,41110,41360,40560,40911,5361
47,2006-09-06,40660,40710,40410,40510,9757
48,2006-09-07,40210,40410,39910,40160,10990
49,2006-09-08,40010,40310,39960,40260,6748
50,2006-09-11,40210,40210,39810,39810,10453
51,2006-09-12,39560,39610,38759,38960,20404
52,2006-09-13,39760,39860,39010,39810,12104
53,2006-09-14,39760,40110,39510,40010,15368
54,2006-09-15,40060,42110,40060,41511,24776
55,2006-09-18,41510,42110,41410,42011,24835
56,2006-09-19,42110,43361,42110,43311,42207
57,2006-09-20,43411,43411,42460,43011,11122
58,2006-09-21,42761,43161,42610,42911,14243
59,2006-09-22,42911,44361,42911,43761,21289
60,2006-09-25,43461,43711,42610,43011,5415
61,2006-09-26,43211,43561,42911,43161,9848
62,2006-09-27,44411,44411,43161,43811,15963
63,2006-09-28,43811,43811,43111,43311,21197
64,2006-09-29,43361,44761,43111,44011,11229
65,2006-10-02,44011,44961,43811,44962,8091
66,2006-10-04,44761,46011,44011,45562,13551
67,2006-10-09,45361,45711,43361,45562,11847
68,2006-10-10,45011,46011,44711,46012,15808
69,2006-10-11,45911,46011,45411,46012,4486
70,2006-10-12,46011,46461,45761,46412,16777
71,2006-10-13,46461,46611,45811,46612,6368
72,2006-10-16,46561,46662,45711,46662,7556
73,2006-10-17,46762,47162,46061,46662,7525
74,2006-10-18,46311,46662,45911,46662,4213
75,2006-10-19,47012,47812,46361,47012,14248
76,2006-10-20,47462,47462,46611,46912,6652
77,2006-10-23,47012,47012,46461,46812,14359
78,2006-10-24,46712,47762,46712,47762,18487
79,2006-10-25,47312,47712,47212,47362,3843
80,2006-10-26,47362,48312,47362,47912,21220
81,2006-10-27,48012,48362,47412,48112,2787
82,2006-10-30,48112,48312,48012,48112,19449
83,2006-10-31,48362,49612,48012,48813,24435
84,2006-11-01,49512,49812,49362,49563,12411
85,2006-11-02,49562,50713,49562,50013,16728
86,2006-11-03,51013,51013,49712,50513,23620
87,2006-11-06,50913,50913,50312,50513,9027
88,2006-11-07,50513,51813,50513,51513,14310
89,2006-11-08,51813,51813,49712,51013,6860
90,2006-11-09,51013,51713,50813,51513,5895
91,2006-11-10,52313,52313,50212,51513,6344
92,2006-11-13,51213,51213,50513,51213,1894
93,2006-11-14,51013,51413,50613,50913,4888
94,2006-11-15,50513,50913,49912,50913,8312
95,2006-11-16,50513,50713,50112,50613,6904
96,2006-11-17,50813,50813,49512,49913,4982
97,2006-11-20,49912,50012,49662,50013,26062
98,2006-11-21,50713,51113,49762,50813,2266
99,2006-11-22,50813,51113,50412,50413,14138
100,2006-11-23,50012,52313,49112,50513,22438
101,2006-11-24,50513,51713,49762,51713,6631
102,2006-11-27,51313,51813,50513,51713,8745
103,2006-11-28,50813,51413,50412,50813,19430
104,2006-11-29,50412,51113,50412,50413,11485
105,2006-11-30,50513,51513,50012,50513,5724
106,2006-12-01,50312,52013,50312,50513,6180
107,2006-12-04,50913,51913,50913,51513,13753
108,2006-12-05,51913,55114,51513,54014,22107
109,2006-12-06,54113,57014,54013,56915,17378
110,2006-12-07,55014,57014,54113,54714,16229
111,2006-12-08,56714,56714,53313,53814,3481
112,2006-12-11,54213,57014,54113,55514,4320
113,2006-12-12,56514,57014,55314,55314,7113
114,2006-12-13,56714,56714,55214,55914,5972
115,2006-12-14,55214,55914,53913,54714,18383
116,2006-12-15,54514,54914,53513,53714,9034
117,2006-12-18,53113,54213,53113,53714,10887
118,2006-12-19,53513,54414,53313,53714,7347
119,2006-12-20,53713,55314,53513,55314,13316
120,2006-12-21,56414,56414,54514,55714,6739
121,2006-12-22,55314,56514,54614,56515,4764
122,2006-12-26,55414,56614,55414,56314,3295
123,2006-12-27,56914,57014,55914,56314,3163
124,2006-12-28,56314,58014,55514,58015,12110
125,2007-01-02,57414,57514,56114,56314,3801
126,2007-01-03,56514,57014,53813,53814,10799
127,2007-01-04,55414,55414,52413,52514,15858
128,2007-01-05,52713,52713,51313,52514,26145
129,2007-01-08,52713,53813,52513,53414,5128
130,2007-01-09,53513,55214,53013,53414,5978
131,2007-01-10,53313,54013,51613,52914,9008
132,2007-01-11,52913,54414,52913,54414,5810
133,2007-01-12,53613,55214,53613,55014,6574
134,2007-01-15,54113,55214,54113,55214,5263
135,2007-01-16,54814,55214,54514,54814,3857
136,2007-01-17,54313,55514,54313,55514,9315
137,2007-01-18,54514,55514,54514,55514,6984
138,2007-01-19,54514,55114,54514,55014,2422
139,2007-01-22,55014,55414,54714,55014,4308
140,2007-01-23,55314,55614,55014,55414,11612
141,2007-01-24,55714,55914,54814,55914,7853
142,2007-01-25,55914,56214,55414,56214,26241
143,2007-01-26,56214,56314,56114,56214,11728
144,2007-01-29,56214,56214,55114,56014,5504
145,2007-01-30,55214,56014,55114,56014,7541
146,2007-01-31,56114,56214,55414,56214,3626
147,2007-02-01,56214,56514,55014,55514,11866
148,2007-02-02,55214,55614,54313,55214,31971
149,2007-02-05,54814,55714,54814,55214,22552
150,2007-02-06,55214,55514,53213,53714,27772
151,2007-02-07,53113,54814,53113,54314,6660
152,2007-02-08,54313,55014,54313,55014,3172
153,2007-02-09,55414,55914,54914,55814,2417
154,2007-02-12,55914,55914,54614,55814,4925
155,2007-02-13,55514,56014,55414,55614,24168
156,2007-02-14,56514,56914,56214,56615,5740
157,2007-02-15,57114,57714,56514,57715,7018
158,2007-02-16,57714,57714,56514,57615,6508
159,2007-02-20,57014,57814,57014,57815,3848
160,2007-02-21,57314,57514,56814,56915,12204
161,2007-02-22,56414,56914,55114,56915,15755
162,2007-02-23,56314,57214,55014,55314,9603
163,2007-02-26,54814,55714,54814,55414,6906
164,2007-02-27,55114,55614,55014,55414,5158
165,2007-02-28,54013,55414,53913,55414,8503
166,2007-03-02,55114,56114,54614,55014,9190
167,2007-03-05,54313,54514,53213,53214,9307
168,2007-03-06,53113,53913,52313,53914,20190
169,2007-03-07,53513,54514,53413,53914,11469
170,2007-03-08,54414,54614,54013,54514,9939
171,2007-03-09,54514,54814,54113,54814,12690
172,2007-03-12,54514,54614,54313,54414,4444
173,2007-03-13,54414,54414,53613,54014,6006
174,2007-03-14,53513,54013,52213,52213,15582
175,2007-03-15,52513,53513,52513,52714,9369
176,2007-03-16,52613,53013,51813,52914,9968
177,2007-03-19,52513,54313,52513,54314,9528
178,2007-03-20,54113,54113,53113,53414,4297
179,2007-03-21,53013,53113,52113,52213,17803
180,2007-03-22,51713,52913,51713,52313,6973
181,2007-03-23,52313,52613,52213,52313,7808
182,2007-03-26,52413,53113,52213,52814,6686
183,2007-03-27,53013,54313,53013,54014,9491
184,2007-03-28,53713,54013,51913,51913,50429
185,2007-03-29,51913,52013,50713,51813,20593
186,2007-03-30,51813,51813,50613,51813,19909
187,2007-04-02,51813,52113,51613,51713,6965
188,2007-04-03,51413,51713,51213,51213,10818
189,2007-04-04,51713,51813,51213,51513,12199
190,2007-04-05,51613,51913,51513,51513,5111
191,2007-04-06,51513,51713,51213,51513,7923
192,2007-04-09,51513,52013,51313,51413,7283
193,2007-04-10,51613,52013,51413,51913,16593
194,2007-04-11,52813,52813,51713,52514,17003
195,2007-04-12,52513,54013,52313,53114,32524
196,2007-04-13,53013,53613,53013,53214,8265
197,2007-04-16,53213,54213,52713,54014,9932
198,2007-04-17,53713,56714,53713,55514,19117
199,2007-04-18,56414,57214,55514,56915,10330
200,2007-04-19,56914,56914,55614,56415,6315
201,2007-04-20,55914,57914,55914,57915,6684
202,2007-04-23,58014,60015,57714,58715,11312
203,2007-04-24,59715,60515,58815,60316,6727
204,2007-04-25,60615,60615,58615,59015,7894
205,2007-04-26,59015,59315,58915,59115,6312
206,2007-04-27,59815,59815,58715,59315,7414
207,2007-04-30,59815,61415,59515,60216,19589
208,2007-05-02,60415,60815,60215,60616,6622
209,2007-05-03,60615,60815,60015,60716,18726
210,2007-05-04,60815,62015,60515,62016,8445
211,2007-05-07,62416,65116,62416,64917,11970
212,2007-05-08,65316,66217,64016,65017,8617
213,2007-05-09,65916,65916,64016,65417,10006
214,2007-05-10,66016,68217,65516,65517,9958
215,2007-05-11,65016,67017,64816,66217,23077
216,2007-05-14,67217,67217,65916,66617,26997
217,2007-05-15,65616,67517,65516,67317,35285
218,2007-05-16,68617,68617,66817,68618,36652
219,2007-05-17,70018,71018,67617,69018,14251
220,2007-05-18,68517,69918,68417,69118,5793
221,2007-05-21,68217,70618,68217,70018,6945
222,2007-05-22,69217,69918,66617,67917,27001
223,2007-05-23,66817,67917,64316,65217,21048
224,2007-05-25,65116,67117,64616,66817,25893
225,2007-05-28,67617,71218,67617,70718,10892
226,2007-05-29,73318,80020,72718,75019,18252
227,2007-05-30,77319,77720,70918,75019,59942
228,2007-05-31,74819,78020,74319,78020,11707
229,2007-06-01,77920,77920,73618,74319,11276
230,2007-06-04,73118,73819,69517,71218,34664
231,2007-06-05,69517,71918,69317,69518,8643
232,2007-06-07,69918,71318,69617,70018,20471
233,2007-06-08,68717,70018,68517,69518,18295
234,2007-06-11,69617,71218,68017,70018,14198
235,2007-06-12,69117,71318,69117,69518,27148
236,2007-06-13,69417,70118,67617,68918,10660
237,2007-06-14,68017,73718,67917,73719,24145
238,2007-06-15,73418,73418,70818,72019,8081
239,2007-06-18,72018,72518,70018,71118,11601
240,2007-06-19,71118,71718,70118,71118,7470
241,2007-06-20,70718,73218,70618,72219,24092
242,2007-06-21,71118,74019,71118,72019,12778
243,2007-06-22,70918,70918,70018,70018,8742
244,2007-06-25,70018,72918,70018,72819,4662
245,2007-06-26,73218,73218,72018,72519,6317
246,2007-06-27,73018,73218,70518,71618,5964
247,2007-06-28,72818,72818,70718,70718,7109
248,2007-06-29,71318,73218,70618,73219,13636
249,2007-07-02,72918,72918,71018,71518,8314
250,2007-07-03,71518,71918,70018,70018,24018
251,2007-07-04,70118,71518,68317,71318,18062
252,2007-07-05,70318,71218,69617,69618,3923
253,2007-07-06,70018,70018,67417,68518,11378
254,2007-07-09,68817,69317,67617,67717,9090
255,2007-07-10,68117,68817,66417,66417,13111
256,2007-07-11,65916,69517,65116,68118,20919
257,2007-07-12,68417,68817,66217,67317,11708
258,2007-07-13,68517,68517,67217,67217,7333
259,2007-07-16,66317,67317,65516,65617,14761
260,2007-07-18,66517,66517,63916,63916,19373
261,2007-07-19,64316,65016,64016,64617,8638
262,2007-07-20,64016,65016,63916,65017,13911
263,2007-07-23,65016,66817,64516,66817,11897
264,2007-07-24,68117,68217,66517,67317,17785
265,2007-07-25,67317,67617,65416,65417,10816
266,2007-07-26,65516,67517,65516,66817,8585
267,2007-07-27,67017,67017,64616,65017,19806
268,2007-07-30,65016,66717,62916,66717,17157
269,2007-07-31,66817,66817,65316,66217,3572
270,2007-08-01,66117,66117,64016,64717,7820
271,2007-08-02,64116,65516,61715,62516,8148
272,2007-08-03,62516,65416,62516,65417,5450
273,2007-08-06,64316,64916,62115,63416,5471
274,2007-08-07,63416,64116,61615,61616,15861
275,2007-08-08,62216,62816,61415,62516,32951
276,2007-08-09,62115,62316,60715,61216,11183
277,2007-08-10,60015,60815,59515,59515,6954
278,2007-08-13,59615,60115,58615,59315,4315
279,2007-08-14,59415,61615,59115,61516,14204
280,2007-08-16,59515,60015,55114,55114,20402
281,2007-08-17,55214,57714,54814,54814,23913
282,2007-08-20,54814,57914,54814,57015,14777
283,2007-08-21,58214,58214,56314,57515,8015
284,2007-08-22,57914,58214,57514,58015,8103
285,2007-08-23,58114,59115,58114,58515,9265
286,2007-08-24,58515,59615,58114,59415,19771
287,2007-08-27,60415,61315,60015,60816,14477
288,2007-08-28,60015,61415,60015,61416,3047
289,2007-08-29,60015,64516,60015,63016,28182
290,2007-08-30,64516,65716,62816,63916,8417
291,2007-08-31,64616,66517,63716,66517,19847
292,2007-09-03,66617,66817,65516,65917,2550
293,2007-09-04,65916,67317,65916,67317,12399
294,2007-09-05,67317,67917,65716,67317,8086
295,2007-09-06,67517,67517,66117,66717,1575
296,2007-09-07,66717,67317,65916,67017,5103
297,2007-09-10,65916,66617,65516,66117,2427
298,2007-09-11,66917,67517,66117,66817,3426
299,2007-09-12,66917,67317,65716,66017,1055
300,2007-09-13,66817,68917,66517,67617,5503
301,2007-09-14,68317,68317,67217,68318,20589
302,2007-09-17,68317,68617,67817,68018,4158
303,2007-09-18,68317,68317,67217,67517,3072
304,2007-09-19,67517,69817,67517,69818,8952
305,2007-09-20,69717,69717,68017,68618,10075
306,2007-09-21,68617,68617,67017,67317,2865
307,2007-09-27,67017,69817,66917,67517,8287
308,2007-09-28,67517,68717,67317,68318,3407
309,2007-10-01,67417,67917,66517,67217,4880
310,2007-10-02,67617,68017,66217,66217,9054
311,2007-10-04,66317,67017,62816,64016,16868
312,2007-10-05,63916,64016,63116,63516,10749
313,2007-10-08,63516,64316,61615,61716,7184
314,2007-10-09,62716,65616,62316,64917,13659
315,2007-10-10,65716,69517,65016,69418,16405
316,2007-10-11,69417,70218,68317,69918,9332
317,2007-10-12,69918,69918,67917,68318,6260
318,2007-10-15,70018,70018,68517,69218,9759
319,2007-10-16,70218,70218,68017,68918,14577
320,2007-10-17,69017,69017,65016,67417,10923
321,2007-10-18,66317,69017,65516,66017,14265
322,2007-10-19,66317,68817,65916,68718,22804
323,2007-10-22,66517,66917,65916,66717,11879
324,2007-10-23,67317,67517,65516,67117,11603
