,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,25224,25652,22445,23087,0
1,2000-01-05,22660,22873,21420,21805,0
2,2000-01-06,22232,22403,19197,19197,0
3,2000-01-07,19196,20735,17529,19795,0
4,2000-01-10,19880,20051,18384,18598,0
5,2000-01-11,18640,19153,17828,18769,0
6,2000-01-12,18170,18170,16887,16973,0
7,2000-01-13,17486,17529,16117,16674,0
8,2000-01-14,17315,17700,16716,17230,0
9,2000-01-17,17229,17229,16331,16802,0
10,2000-01-18,16674,16674,15990,16247,0
11,2000-01-19,16246,16246,14322,14494,0
12,2000-01-20,14108,14108,12826,13895,0
13,2000-01-21,13808,14707,12954,13895,0
14,2000-01-24,13937,14707,13937,14622,0
15,2000-01-25,14194,14450,13552,13681,0
16,2000-01-26,13808,14023,13467,13767,0
17,2000-01-27,13681,15177,13510,14579,0
18,2000-01-28,14622,15092,14237,14451,0
19,2000-01-31,14108,14750,13895,14323,0
20,2000-02-01,14579,15092,14450,14579,0
21,2000-02-02,14579,15135,14579,14793,0
22,2000-02-03,14664,14964,14365,14451,0
23,2000-02-07,14450,15989,14322,15562,0
24,2000-02-08,15647,15775,14450,14536,0
25,2000-02-09,14536,15348,14322,14451,0
26,2000-02-10,14151,14151,13637,13724,0
27,2000-02-11,13681,13937,13210,13339,0
28,2000-02-14,13040,13168,12441,12698,0
29,2000-02-15,12398,13681,12313,12741,0
30,2000-02-16,12741,13254,12312,12399,0
31,2000-02-17,12269,13851,12013,13296,0
32,2000-02-18,13253,13595,12739,12826,0
33,2000-02-21,12826,12826,11884,11971,0
34,2000-02-22,11970,12183,11286,11415,0
35,2000-02-23,11158,12782,10944,12783,0
36,2000-02-24,13252,14280,12484,14280,0
37,2000-02-25,15391,15990,14664,15990,0
38,2000-02-28,17743,17743,14109,14109,0
39,2000-02-29,14151,15177,12911,14237,0
40,2000-03-02,14536,15391,14151,14408,0
41,2000-03-03,14322,14535,13167,13681,0
42,2000-03-06,14108,14707,13680,14023,0
