,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,2197,2576,2197,2435,13620
1,2000-01-05,2442,2442,2256,2373,67310
2,2000-01-06,2310,2432,2252,2279,7690
3,2000-01-07,2201,2362,2189,2273,14740
4,2000-01-10,2131,2311,2131,2248,15160
5,2000-01-11,2160,2249,2160,2161,5340
6,2000-01-12,2190,2247,2127,2204,18140
7,2000-01-13,2214,2214,2003,2042,28380
8,2000-01-14,2051,2353,2006,2129,45210
9,2000-01-17,2012,2218,2012,2129,23980
10,2000-01-18,2093,2093,1938,2023,40690
11,2000-01-19,1974,2064,1820,1892,50590
12,2000-01-20,1705,1898,1705,1873,7880
13,2000-01-21,1640,1922,1640,1917,35410
14,2000-01-24,1756,1941,1756,1904,43420
15,2000-01-25,1785,1874,1778,1792,14020
16,2000-01-26,1796,1878,1782,1873,18020
17,2000-01-27,1631,1944,1631,1932,28140
18,2000-01-28,1940,1979,1812,1967,36320
19,2000-01-31,1972,1972,1883,1967,14440
20,2000-02-01,1911,1975,1911,1970,17110
21,2000-02-02,1979,2010,1921,1954,26190
22,2000-02-03,1960,1998,1940,1967,28140
23,2000-02-07,1942,1968,1897,1892,24440
24,2000-02-08,1876,1940,1748,1845,28900
25,2000-02-09,1810,1874,1721,1810,48420
26,2000-02-10,1757,1905,1731,1758,40460
27,2000-02-11,1873,1873,1725,1726,37960
28,2000-02-14,1699,1730,1660,1655,14860
29,2000-02-15,1587,1600,1498,1499,43670
30,2000-02-16,1465,1560,1465,1549,39890
31,2000-02-17,1516,1529,1388,1517,26500
32,2000-02-18,1506,1519,1377,1436,89410
33,2000-02-21,1375,1394,1285,1287,22940
34,2000-02-22,1102,1442,1102,1187,76250
35,2000-02-23,1139,1364,1139,1364,98110
36,2000-02-24,1469,1469,1372,1386,22080
37,2000-02-25,1283,1533,1283,1386,64800
38,2000-02-28,1514,1597,1443,1592,71110
39,2000-02-29,1675,1828,1675,1830,68430
40,2000-03-02,1960,2106,1940,2101,156540
41,2000-03-03,2248,2313,1999,2186,144510
42,2000-03-06,2315,2315,1878,2123,83120
43,2000-03-07,2188,2220,1976,2060,80910
44,2000-03-08,2127,2127,1896,1924,60770
45,2000-03-09,1928,2216,1876,2211,122690
46,2000-03-10,2540,2540,2162,2298,140190
47,2000-03-13,2156,2624,2124,2547,139970
48,2000-03-14,2502,2618,2374,2407,113150
49,2000-03-15,2502,2502,2187,2188,54020
50,2000-03-16,2189,2278,2028,2029,46340
51,2000-03-17,2033,2179,1942,2123,55830
52,2000-03-20,2033,2379,2033,2123,45920
53,2000-03-21,2065,2128,1962,1970,38380
54,2000-03-22,1939,2029,1844,1889,68450
55,2000-03-23,1879,1969,1841,1855,51560
56,2000-03-24,1933,2131,1824,2133,153830
57,2000-03-27,2149,2450,2059,2451,224090
58,2000-03-28,2436,2494,2340,2341,97140
59,2000-03-29,2346,2481,2065,2092,64160
60,2000-03-30,2123,2180,1995,2092,28320
61,2000-03-31,2010,2126,1991,1992,50120
62,2000-04-03,1942,2283,1942,2123,32810
63,2000-04-04,2062,2191,1909,1935,37600
64,2000-04-06,1911,1968,1846,1873,21600
65,2000-04-07,1840,2000,1840,1904,24470
66,2000-04-10,1918,2142,1918,2092,51160
67,2000-04-11,2035,2035,1914,1998,23380
68,2000-04-12,1998,2075,1940,1967,24450
69,2000-04-14,1974,2051,1910,1904,9890
70,2000-04-17,1629,1815,1623,1623,56520
71,2000-04-18,1659,1825,1659,1705,33160
72,2000-04-19,1755,1870,1723,1717,26840
73,2000-04-20,1702,1792,1702,1748,30940
74,2000-04-21,1748,1811,1690,1748,46050
75,2000-04-24,1749,1807,1640,1686,39440
76,2000-04-25,1629,1668,1597,1611,33880
77,2000-04-26,1625,1688,1535,1536,36470
78,2000-04-27,1561,1561,1388,1530,36150
79,2000-04-28,1528,1566,1496,1542,24210
80,2000-05-02,1421,1561,1421,1499,64570
81,2000-05-03,1541,1586,1496,1536,21070
82,2000-05-04,1535,1560,1496,1536,25950
83,2000-05-08,1535,1585,1496,1561,34050
84,2000-05-09,1517,1542,1446,1499,41840
85,2000-05-10,1502,1502,1431,1464,51800
86,2000-05-12,1465,1465,1317,1317,96220
87,2000-05-15,1319,1376,1249,1333,39410
88,2000-05-16,1310,1329,1247,1312,44150
89,2000-05-17,1317,1336,1266,1312,31510
90,2000-05-18,1266,1266,1170,1267,41490
91,2000-05-19,1312,1312,1189,1267,19490
92,2000-05-22,1300,1300,1205,1205,35570
93,2000-05-23,1252,1252,1129,1123,45530
