,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,18150,21650,18150,21450,827220
1,2000-01-05,20500,20850,18500,19650,515508
2,2000-01-06,20500,20800,18500,19000,445542
3,2000-01-07,18800,19600,18200,18800,508348
4,2000-01-10,19250,19400,18500,19000,502660
5,2000-01-11,19050,20700,18400,19900,842060
6,2000-01-12,19150,20300,19050,19400,351180
7,2000-01-13,19550,19850,19050,19700,319210
8,2000-01-14,19800,20000,18800,18800,272570
9,2000-01-17,18500,18900,18400,18600,445400
10,2000-01-18,18600,19050,18100,18400,423540
11,2000-01-19,17800,18200,16100,16200,388880
12,2000-01-20,15800,16000,14500,15150,355470
13,2000-01-21,14900,16900,14600,15700,671990
14,2000-01-24,15700,16900,15700,16500,323560
15,2000-01-25,16000,17500,15900,16200,251760
16,2000-01-26,16450,16900,15950,16000,197330
17,2000-01-27,15700,17100,15700,16400,315230
18,2000-01-28,16500,17900,16500,17050,373100
19,2000-01-31,16500,17500,16500,17050,166690
20,2000-02-01,17300,18300,16850,17650,388450
21,2000-02-02,17750,19450,17450,18700,398330
22,2000-02-03,19100,19200,18350,18550,247530
23,2000-02-07,18500,19600,18000,19000,478060
24,2000-02-08,19200,19200,18300,18600,251240
25,2000-02-09,18500,18950,18150,18700,291070
26,2000-02-10,18700,21200,18400,20000,1397080
27,2000-02-11,21000,22000,19800,19800,1027890
28,2000-02-14,19500,20800,19500,19500,560800
29,2000-02-15,20500,20700,17200,18000,298350
30,2000-02-16,17600,18200,16500,17300,283910
31,2000-02-17,16750,18900,16750,18450,302330
32,2000-02-18,18900,19900,18500,19300,454940
33,2000-02-21,19000,19000,18000,18200,231080
34,2000-02-22,18200,19300,17500,19100,392780
35,2000-02-23,19600,20450,19150,19700,456510
36,2000-02-24,19600,20150,18950,19700,340080
37,2000-02-25,19450,20700,19000,20250,448830
38,2000-02-28,19800,23250,19500,23250,1223640
39,2000-02-29,24250,24900,22300,22400,1745170
40,2000-03-02,23000,23850,21800,23000,967220
41,2000-03-03,23100,24900,22700,23500,1178110
42,2000-03-06,24200,24600,23250,24000,777110
43,2000-03-07,24000,24000,22000,22700,448820
44,2000-03-08,21500,23500,21500,22300,511820
45,2000-03-09,22000,24550,22000,24000,929170
46,2000-03-10,24400,24400,23500,23700,419000
47,2000-03-13,23300,25900,22700,24500,1075350
48,2000-03-14,24200,24700,23100,23700,346330
49,2000-03-15,22900,23700,22200,23500,420470
50,2000-03-16,23800,24200,21800,21800,382840
51,2000-03-17,22000,22250,20000,20000,484500
52,2000-03-20,19250,20350,19000,19400,264810
53,2000-03-21,19000,19200,18350,18500,249420
54,2000-03-22,18700,20600,18600,19900,521680
55,2000-03-23,19200,19950,19000,19000,329720
56,2000-03-24,19000,19250,18700,19000,214880
57,2000-03-27,19000,19500,18700,19500,242190
58,2000-03-28,19400,20500,18950,19900,412930
59,2000-03-29,19600,19950,18500,19200,286520
60,2000-03-30,19000,19000,17800,17900,168470
61,2000-03-31,17850,17900,16450,16900,608140
62,2000-04-03,17500,17900,16000,16500,427080
63,2000-04-04,16600,17100,15900,16950,278270
64,2000-04-06,16500,17200,16500,16750,100640
65,2000-04-07,16500,17300,16500,16950,168500
66,2000-04-10,17300,17900,17100,17600,356640
67,2000-04-11,17000,18000,17000,17800,217480
68,2000-04-12,17700,18450,17350,17600,195740
69,2000-04-14,17300,17400,16800,17000,115030
70,2000-04-17,14450,15250,14450,14450,383190
71,2000-04-18,15450,16100,14750,15600,532990
72,2000-04-19,16000,16400,15400,15500,257880
73,2000-04-20,15100,15750,15000,15300,190660
74,2000-04-21,15300,15800,15200,15650,245880
75,2000-04-24,15750,15900,15200,15200,168490
76,2000-04-25,14900,15450,14750,14850,213790
77,2000-04-26,15200,15800,15050,15500,566480
78,2000-04-27,15300,15400,14650,15200,462770
79,2000-04-28,15000,15350,14900,14900,161100
80,2000-05-02,15000,15300,14650,15200,230320
81,2000-05-03,14850,15450,14800,15100,168630
82,2000-05-04,15000,15800,14900,15800,234140
83,2000-05-08,16600,16800,15900,16150,324350
84,2000-05-09,15950,16300,15800,16200,135380
85,2000-05-10,16200,16200,15900,15950,91620
86,2000-05-12,15550,15900,15100,15450,77050
87,2000-05-15,15100,15200,14600,15100,180110
88,2000-05-16,14750,15600,14600,15200,178720
89,2000-05-17,15400,15450,14700,14800,154920
90,2000-05-18,14800,15100,14550,14800,212740
91,2000-05-19,14600,14800,14000,14250,82580
92,2000-05-22,14000,14000,12350,13300,191960
93,2000-05-23,11800,13050,11800,12300,162520
94,2000-05-24,12500,12700,11550,11850,294340
95,2000-05-25,12300,13350,12050,12650,371570
96,2000-05-26,12800,13250,12500,12550,398620
97,2000-05-29,12500,12850,11800,12300,130490
98,2000-05-30,12800,13700,12450,13200,233410
99,2000-05-31,13600,15100,13400,15100,719970
100,2000-06-01,14850,15400,14350,14750,424940
101,2000-06-02,15100,15800,14600,14800,570910
102,2000-06-05,15100,15900,14600,15100,485080
103,2000-06-07,15500,17000,15150,16750,1048670
104,2000-06-08,16900,16900,14850,15200,426010
105,2000-06-09,15300,16550,15050,16000,567130
106,2000-06-12,16200,16900,15900,16500,875350
107,2000-06-13,16700,17300,16000,16050,876260
108,2000-06-14,16500,16600,15900,16000,252470
109,2000-06-15,15500,15700,14800,15450,269170
110,2000-06-16,14650,15750,14600,15500,196970
111,2000-06-19,15050,15400,14700,15200,232040
112,2000-06-20,14850,15250,14650,15000,370330
113,2000-06-21,15000,15800,15000,15300,497250
114,2000-06-22,15300,15600,14600,15000,446380
115,2000-06-23,14650,15000,14400,15000,159270
