,날짜,시가,고가,저가,종가,거래량
0,2000-07-11,78400,78400,78400,78400,8
1,2000-07-12,87800,87800,87800,87800,206
2,2000-07-13,98300,98300,98300,98300,92439
3,2000-07-14,110000,110000,104500,110000,166400
4,2000-07-18,123000,123000,123000,123000,9918
5,2000-07-19,137500,137500,137500,137500,11883
6,2000-07-20,154000,154000,121000,121000,519116
7,2000-07-21,121000,125000,106500,112000,273233
8,2000-07-24,109000,119000,99000,99900,191698
9,2000-07-25,99000,111500,98100,111500,92951
10,2000-07-26,116500,122000,102000,104000,406347
11,2000-07-27,104000,107500,96500,97000,181413
12,2000-07-28,94900,99000,89500,90500,294538
13,2000-07-31,87800,96400,85500,93200,264721
14,2000-08-01,95900,104000,94000,104000,140622
15,2000-08-02,109500,116000,101500,103000,418896
16,2000-08-03,103000,111000,103000,106500,242620
17,2000-08-04,108500,109000,99400,102000,165594
18,2000-08-07,99500,107500,99500,101500,146432
19,2000-08-08,103000,113500,101500,106000,507487
20,2000-08-09,106000,108000,101500,104500,131162
21,2000-08-10,104500,107500,99700,101500,137316
22,2000-08-11,99500,100000,91500,95700,203264
23,2000-08-14,97000,98900,93500,94000,99410
24,2000-08-16,93000,97500,91100,95300,207982
25,2000-08-17,96000,96700,89200,90900,174214
26,2000-08-18,91000,92500,83500,88900,163811
27,2000-08-21,84100,88400,82000,82700,117309
28,2000-08-22,82000,89000,81400,86000,179600
29,2000-08-23,87900,90500,84500,84500,173773
30,2000-08-24,85100,86900,80600,81600,86434
31,2000-08-25,80100,84000,77400,81100,111874
32,2000-08-28,82200,90800,81100,90800,211208
33,2000-08-29,92000,100500,90100,94000,274930
34,2000-08-30,95100,104000,94900,100500,228389
35,2000-08-31,103000,106000,95000,97600,337800
36,2000-09-01,98500,101500,97800,100000,105311
37,2000-09-04,103000,112000,103000,112000,93818
38,2000-09-05,121000,124000,112500,117500,496038
39,2000-09-06,115000,126000,112500,116000,400184
40,2000-09-07,115000,120500,111000,114500,493063
41,2000-09-08,116000,128000,101500,107000,937357
42,2000-09-14,101000,105500,97200,103500,141655
43,2000-09-15,101000,107500,98500,98800,164594
44,2000-09-18,93000,94500,87000,87400,186369
45,2000-09-19,88300,93600,86000,90400,211556
46,2000-09-20,94400,101000,94000,101000,139492
47,2000-09-21,106000,108500,92000,100000,521497
48,2000-09-22,99500,100000,90500,92000,197326
49,2000-09-25,96000,103000,93100,102500,241708
50,2000-09-26,100000,106000,98500,101500,216219
51,2000-09-27,104000,112000,103500,107000,254900
52,2000-09-28,107000,110000,103500,106500,131954
53,2000-09-29,109000,119000,106500,119000,340548
54,2000-10-02,119000,132000,115000,128000,495711
55,2000-10-04,125000,132000,121500,127500,363393
56,2000-10-05,129500,130000,122500,123500,300033
57,2000-10-06,121000,123000,117000,122000,251763
58,2000-10-09,122000,128500,114000,116000,221952
59,2000-10-10,113000,122500,111000,121000,273747
60,2000-10-11,118000,120500,111000,114000,153188
61,2000-10-12,113000,116000,112000,115000,138420
62,2000-10-13,108000,111000,101500,103000,334113
63,2000-10-16,110000,113000,106500,109500,253814
64,2000-10-17,107000,111000,96500,96500,197850
65,2000-10-18,90100,101000,90100,99900,256593
66,2000-10-19,100000,105500,98100,101000,179389
67,2000-10-20,106000,109000,101000,101500,152203
68,2000-10-23,100500,102000,96500,97600,95602
69,2000-10-24,97100,100000,95000,97300,114701
70,2000-10-25,96000,105500,95700,96800,345284
71,2000-10-26,95000,95900,90600,92600,120760
72,2000-10-27,92700,96900,90500,96900,185156
73,2000-10-30,99000,103500,87400,88300,405477
74,2000-10-31,83000,89000,77800,88300,308420
75,2000-11-01,90000,92000,88000,88500,239005
76,2000-11-02,86500,94000,86500,89800,230340
77,2000-11-03,90100,94300,89500,92000,223165
78,2000-11-06,91500,93400,90500,92800,113271
79,2000-11-07,93800,97500,90700,91000,334932
80,2000-11-08,89900,91000,87200,89000,86673
81,2000-11-09,88000,89900,87000,88700,60598
82,2000-11-10,87500,91600,87500,90400,74214
83,2000-11-13,88500,89800,86800,87500,59655
84,2000-11-14,88600,89500,87200,88400,71147
85,2000-11-15,91000,95900,89300,92000,219313
86,2000-11-16,95000,95500,92100,92800,125267
87,2000-11-17,91800,92000,90100,91200,56466
88,2000-11-20,90200,90900,89000,90000,43189
89,2000-11-21,87600,88800,85600,87600,53101
90,2000-11-22,87600,88500,85200,86700,51379
91,2000-11-23,84600,85400,81100,81900,57808
92,2000-11-24,80100,88800,80000,85200,84255
93,2000-11-27,85500,87900,85500,86500,52353
94,2000-11-28,84200,85000,81500,82300,51550
95,2000-11-29,80000,80200,72500,72600,162759
96,2000-11-30,72100,73800,65300,68000,165609
97,2000-12-01,64100,70500,63500,68700,157656
98,2000-12-04,70600,71700,65500,67400,142336
99,2000-12-05,67000,70000,65800,70000,90304
100,2000-12-06,75200,76500,71000,71400,193823
101,2000-12-07,70100,72200,69100,70000,75477
102,2000-12-08,71000,72900,70500,72000,71961
103,2000-12-11,73100,80000,72500,79400,189009
104,2000-12-12,79800,80900,75100,76000,114071
105,2000-12-13,77100,83000,76400,80500,179107
106,2000-12-14,79000,83900,78100,82100,147871
107,2000-12-15,80500,81500,78100,78700,53188
108,2000-12-18,77000,78000,75200,76700,65186
109,2000-12-19,74500,76500,70600,72100,90211
110,2000-12-20,70000,70500,65100,65400,75922
111,2000-12-21,60600,63000,57600,58200,229658
112,2000-12-22,59000,60500,51700,52100,136531
113,2000-12-26,54500,54600,50200,53500,119564
114,2001-01-02,50500,59900,50500,59900,134058
115,2001-01-03,58100,65500,56100,62000,309784
116,2001-01-04,67500,69400,66500,69400,175456
117,2001-01-05,68500,77700,67600,76200,227279
118,2001-01-08,74000,80300,73000,76100,158942
119,2001-01-09,76100,78500,74500,76500,215601
120,2001-01-10,76500,83000,68500,68800,345084
121,2001-01-11,76000,76600,70000,76500,238275
122,2001-01-12,81800,85600,80100,85600,214012
123,2001-01-15,90000,95800,90000,95800,336704
124,2001-01-16,94500,98000,89800,93200,274252
125,2001-01-17,92000,95000,85000,89500,180115
126,2001-01-18,88500,92000,87000,89500,105190
127,2001-01-19,91000,93000,90600,92000,105158
128,2001-01-22,95000,100500,94000,99000,163402
129,2001-01-26,98100,99000,89000,89500,173847
130,2001-01-29,85100,91000,85100,86000,145727
131,2001-01-30,88000,89300,85200,85500,136759
132,2001-01-31,84000,89700,82100,88000,102801
133,2001-02-01,88000,98500,86600,96100,230709
134,2001-02-02,97000,103500,97000,100000,212408
135,2001-02-05,93500,97000,89800,93500,64001
136,2001-02-06,90600,94300,90500,93400,65367
137,2001-02-07,92900,96800,91600,92500,50404
138,2001-02-08,92500,96200,92500,94400,53762
139,2001-02-09,95000,97600,93600,96000,87104
140,2001-02-12,94800,98400,93800,96000,82984
141,2001-02-13,98000,99800,96100,97000,72016
142,2001-02-14,97100,97100,95000,96000,50584
143,2001-02-15,99000,107500,98500,107500,192434
144,2001-02-16,110000,118500,107000,116500,202632
145,2001-02-19,113500,120000,112500,116500,71227
146,2001-02-20,116500,118000,108000,110000,72987
147,2001-02-21,103000,109000,103000,105500,93507
148,2001-02-22,101000,107500,96100,98000,110009
149,2001-02-23,95100,97800,93200,93900,119425
150,2001-02-26,94500,105000,94300,105000,94260
151,2001-02-27,107000,107500,92600,99000,97671
152,2001-02-28,90200,98000,90100,95100,48056
153,2001-03-02,95200,96300,86800,88500,58216
154,2001-03-05,85400,89500,82600,88000,110743
155,2001-03-06,89000,94600,89000,89000,113649
156,2001-03-07,92100,96500,92100,94500,122428
157,2001-03-08,95700,98500,94700,95100,80561
158,2001-03-09,93100,101000,92000,95500,75190
159,2001-03-12,92000,98500,88900,91000,67381
160,2001-03-13,85000,89000,83700,85500,119148
161,2001-03-14,90000,93500,89900,92500,79302
162,2001-03-15,86500,92200,86500,90600,60369
163,2001-03-16,91000,92600,90600,91400,45103
164,2001-03-19,90000,92000,88600,89500,37222
165,2001-03-20,90600,91900,87500,88900,53459
166,2001-03-21,86000,92800,86000,91600,81096
167,2001-03-22,92700,94000,90500,90900,50724
168,2001-03-23,91500,92700,90700,91500,29673
169,2001-03-26,94000,97700,92300,95500,62294
170,2001-03-27,97000,97000,93000,93100,42036
171,2001-03-28,95000,95000,90500,90500,46703
172,2001-03-29,87500,90200,87000,87900,85070
173,2001-03-30,88900,89200,84500,86600,56633
174,2001-04-02,86600,87500,85000,86000,30254
175,2001-04-03,83100,85800,83100,85500,37386
176,2001-04-04,85500,89500,85000,86800,61778
177,2001-04-06,95000,95000,89700,90000,80507
178,2001-04-09,89500,89800,86600,87000,25594
179,2001-04-10,88000,89400,85500,86400,33346
180,2001-04-11,89000,91500,87600,91000,65979
181,2001-04-12,92000,94000,90100,93500,54353
182,2001-04-13,95200,95200,92100,92900,29887
183,2001-04-16,93400,97800,92900,94700,64159
184,2001-04-17,94000,95500,93200,94300,17877
185,2001-04-18,96100,103500,96100,100000,103512
186,2001-04-19,106500,112000,106000,112000,298620
187,2001-04-20,115000,116000,104500,107000,124898
188,2001-04-23,106500,114000,105000,108000,87225
189,2001-04-24,105000,106000,102500,104500,42892
190,2001-04-25,104000,117000,102000,117000,118728
191,2001-04-26,120000,129000,115500,117000,232130
192,2001-04-27,117000,122500,115500,120000,45332
193,2001-04-30,122000,126500,119000,120000,96513
