,날짜,시가,고가,저가,종가,거래량
0,2009-07-30,9800,9800,8330,8330,2022740
1,2009-07-31,8600,8660,8030,8350,932115
2,2009-08-03,8450,8790,8290,8410,988780
3,2009-08-04,8420,8520,8100,8270,1779674
4,2009-08-05,8300,8400,7990,7990,687364
5,2009-08-06,7840,8130,7700,7750,748416
6,2009-08-07,7840,8010,7750,7950,468962
7,2009-08-10,8070,8110,7940,8060,466993
8,2009-08-11,8080,8090,7860,7920,258892
9,2009-08-12,7860,7860,7600,7800,643721
10,2009-08-13,7820,7830,7640,7800,602275
11,2009-08-14,7850,8010,7810,7890,552306
12,2009-08-17,7890,7890,7610,7610,284553
13,2009-08-18,7590,7700,7450,7470,368342
14,2009-08-19,7590,7880,7200,7250,1720120
15,2009-08-20,7270,7330,6940,7050,781695
16,2009-08-21,7150,7300,7010,7180,771645
17,2009-08-24,7280,7980,7280,7900,1548471
18,2009-08-25,7940,8000,7600,7800,534614
19,2009-08-26,8050,8460,7960,8300,1594356
20,2009-08-27,8200,8350,8050,8150,797534
21,2009-08-28,8310,8330,7930,8100,586849
22,2009-08-31,8180,8180,7650,7780,412045
23,2009-09-01,7850,8450,7800,8290,939225
24,2009-09-02,8110,8400,8080,8400,379132
25,2009-09-03,8400,8820,8310,8620,820471
26,2009-09-04,8660,8660,8260,8350,402334
27,2009-09-07,8270,8460,8170,8250,319924
28,2009-09-08,8200,8340,8050,8080,410122
29,2009-09-09,8170,8200,7950,8030,252335
30,2009-09-10,7950,8100,7930,8090,357045
31,2009-09-11,8200,8260,7940,8000,488524
32,2009-09-14,8030,8030,7500,7500,818528
33,2009-09-15,7610,7610,7370,7380,470467
34,2009-09-16,7460,7690,7350,7350,637213
35,2009-09-17,7420,7440,7210,7340,488133
36,2009-09-18,7420,7600,7300,7600,402377
37,2009-09-21,7710,7710,7520,7630,248284
38,2009-09-22,7630,8060,7560,7920,1463768
39,2009-09-23,7920,7970,7550,7550,593288
40,2009-09-24,7400,7690,7310,7460,374372
41,2009-09-25,7350,7450,7320,7350,201852
42,2009-09-28,7320,7500,7300,7410,146431
43,2009-09-29,7400,7500,7260,7300,297121
44,2009-09-30,7350,7440,7240,7410,464417
45,2009-10-01,7460,7460,7260,7380,169467
46,2009-10-05,7290,7480,7220,7450,161745
47,2009-10-06,7460,7500,7350,7400,189653
48,2009-10-07,7430,7670,7430,7650,393120
49,2009-10-08,7680,7810,7590,7760,378004
50,2009-10-09,7830,7890,7660,7720,375289
51,2009-10-12,7760,7760,7630,7630,185963
52,2009-10-13,7640,7860,7640,7670,296572
53,2009-10-14,7720,7910,7700,7910,421167
54,2009-10-15,7950,8010,7800,7810,499560
55,2009-10-16,7810,7910,7740,7740,271628
56,2009-10-19,7770,7840,7650,7670,244331
57,2009-10-20,7790,8390,7730,8240,1403329
58,2009-10-21,8240,8830,8240,8360,2348398
59,2009-10-22,8450,8530,8240,8460,784518
60,2009-10-23,8470,8590,8200,8200,586235
61,2009-10-26,8200,8270,8090,8210,409969
62,2009-10-27,8170,8350,8130,8300,371792
