,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,2637,2812,2637,2724,942800
1,2000-01-05,2724,3119,2724,3120,3534900
2,2000-01-06,3030,3338,2898,2900,2260300
3,2000-01-07,2944,3339,2724,3340,1365000
4,2000-01-10,3207,3251,3076,3252,1577900
5,2000-01-11,3030,3162,3030,3032,901400
6,2000-01-12,2900,3077,2857,3076,1255500
7,2000-01-13,3252,3296,3032,3076,2091400
8,2000-01-14,2987,2987,2767,2769,540300
9,2000-01-17,2856,2856,2636,2769,716300
10,2000-01-18,2678,2810,2678,2680,610200
11,2000-01-19,2679,2679,2504,2549,980400
12,2000-01-20,2504,2504,2328,2416,452800
13,2000-01-21,2240,2679,2240,2549,664100
14,2000-01-24,2547,2767,2547,2593,711800
15,2000-01-25,2592,2592,2416,2549,543300
16,2000-01-26,2548,2548,2328,2416,1008500
17,2000-01-27,2460,2679,2460,2549,880200
18,2000-01-28,2592,2592,2416,2504,937700
19,2000-01-31,2547,2592,2547,2549,383800
20,2000-02-01,2636,2636,2416,2504,867400
21,2000-02-02,2504,2592,2504,2549,1278300
22,2000-02-03,2548,2592,2460,2504,737200
23,2000-02-07,2503,2723,2503,2680,1510200
24,2000-02-08,2680,2900,2593,2724,2927900
25,2000-02-09,2724,2899,2724,2769,1482400
26,2000-02-10,2679,2724,2592,2636,1162000
27,2000-02-11,2547,2636,2460,2549,668400
28,2000-02-14,2460,2460,2372,2373,703400
29,2000-02-15,2416,2460,2328,2373,835800
30,2000-02-16,2373,2461,2373,2462,344900
31,2000-02-17,2460,2636,2372,2416,907000
32,2000-02-18,2460,2636,2460,2593,805200
33,2000-02-21,2724,2724,2416,2504,1310700
34,2000-02-22,2504,2504,2372,2416,793000
35,2000-02-23,2767,2767,2767,2769,366000
36,2000-02-24,3163,3163,2856,3163,4657800
37,2000-02-25,3295,3647,3295,3647,4625300
38,2000-02-28,3735,4174,3735,4174,3525600
39,2000-02-29,4787,4787,4787,4789,2005000
40,2000-03-02,5494,5494,5494,5493,1031700
41,2000-03-03,6283,6283,4656,4658,10672900
42,2000-03-06,4349,4745,4042,4570,9034300
43,2000-03-07,4569,4656,4217,4570,5054300
44,2000-03-08,4351,5274,4219,4746,4527600
45,2000-03-09,4746,4746,4350,4351,2444200
46,2000-03-10,4350,4482,4174,4174,3131000
47,2000-03-13,3866,4437,3866,3999,5989400
48,2000-03-14,4262,4569,4087,4174,5447900
49,2000-03-15,4041,4261,4041,4043,3110400
50,2000-03-16,3998,3998,3471,3472,3546700
51,2000-03-17,3515,3647,3339,3340,3231100
52,2000-03-20,3295,3339,3163,3252,2170200
53,2000-03-21,3208,3208,3077,3076,2184500
54,2000-03-22,2988,3340,2988,3208,2999400
55,2000-03-23,3252,3428,3077,3076,2160800
56,2000-03-24,3075,3557,3075,3559,3218300
57,2000-03-27,3692,4087,3692,4087,3291400
58,2000-03-28,4656,4656,4656,4658,492600
59,2000-03-29,5360,5360,5360,5361,1185700
60,2000-03-30,6107,6107,4569,4570,15063400
61,2000-03-31,4263,4263,3867,3867,5833700
62,2000-04-03,3823,4437,3823,4174,4124800
63,2000-04-04,4087,4175,3604,3603,2502600
64,2000-04-06,3516,3956,3340,3955,2396900
65,2000-04-07,4130,4218,3998,3999,1840500
66,2000-04-10,3382,4217,3382,3911,3669000
67,2000-04-11,3910,3910,3471,3515,2098100
68,2000-04-12,3735,3822,3603,3647,2145600
69,2000-04-14,3821,3909,3514,3691,1840700
70,2000-04-17,3515,3515,3339,3383,2275300
71,2000-04-18,3690,3690,3515,3515,1365200
72,2000-04-19,3690,4041,3602,4043,2558600
73,2000-04-20,4174,4174,3735,3734,1977200
74,2000-04-21,3867,4043,3736,3955,1694100
75,2000-04-24,3954,3954,3735,3734,898100
76,2000-04-25,3515,3867,3515,3734,1406700
77,2000-04-26,3559,3778,3559,3734,1356000
78,2000-04-27,3867,3867,3515,3515,2106300
79,2000-04-28,3514,4041,3514,4043,2567000
80,2000-05-02,4481,4481,3735,3734,5642500
81,2000-05-03,3824,3999,3692,3955,3704100
82,2000-05-04,3866,4217,3822,4043,5025700
83,2000-05-08,4173,4173,4041,4043,1691200
84,2000-05-09,3999,3999,3779,3867,1362000
85,2000-05-10,3602,3866,3602,3691,2663700
86,2000-05-12,3690,3778,3647,3647,1426400
87,2000-05-15,3558,3558,3339,3427,1398600
