,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,55700,65000,55700,58000,60
1,2000-01-05,52500,56800,50800,50800,310
2,2000-01-06,51800,51800,51800,51800,80
3,2000-01-07,52000,53000,51800,53000,300
4,2000-01-10,53000,55900,53000,55900,60
5,2000-01-11,53100,53500,53100,53500,40
6,2000-01-12,51100,51100,50200,50500,100
7,2000-01-13,50000,50000,50000,50000,0
8,2000-01-14,46600,50000,46600,50000,200
9,2000-01-17,47000,47000,47000,47000,100
10,2000-01-18,46300,46500,46300,46500,120
11,2000-01-19,46500,46500,46500,46500,60
12,2000-01-20,46800,46800,42600,46000,50
13,2000-01-21,46000,46000,46000,46000,50
14,2000-01-24,46000,48500,46000,48500,20
15,2000-01-25,48500,48500,48500,48500,0
16,2000-01-26,43500,48100,43500,48100,40
17,2000-01-27,49500,49500,49400,49500,90
18,2000-01-28,43600,46000,43600,46000,120
19,2000-01-31,52600,52600,47000,47100,150
20,2000-02-01,47000,47000,47000,47000,170
21,2000-02-02,47000,49500,47000,49500,200
22,2000-02-03,47100,47500,47000,47500,250
23,2000-02-07,48100,48100,48100,48100,100
24,2000-02-08,45500,45600,45500,45600,40
25,2000-02-09,45600,45600,45200,45200,50
26,2000-02-10,46600,46600,46600,46600,20
27,2000-02-11,47000,47000,46600,46600,130
28,2000-02-14,46600,46600,46600,46600,0
29,2000-02-15,45000,45000,45000,45000,100
30,2000-02-16,45000,45000,45000,45000,0
31,2000-02-17,45000,45000,45000,45000,0
32,2000-02-18,45000,45500,45000,45500,120
33,2000-02-21,42100,43000,41900,41900,60
34,2000-02-22,41900,43500,41900,43000,210
35,2000-02-23,44600,49000,44600,48500,300
36,2000-02-24,46200,46200,46200,46200,50
37,2000-02-25,45500,53100,44600,53100,1130
38,2000-02-28,50500,54000,45200,54000,310
39,2000-02-29,53900,60000,48000,48100,940
40,2000-03-02,49000,50000,46500,50000,250
41,2000-03-03,47000,49600,45500,49600,380
42,2000-03-06,49700,51900,46800,51400,320
43,2000-03-07,49000,49000,48050,48050,130
44,2000-03-08,47100,47100,47000,47000,170
45,2000-03-09,47000,49000,47000,49000,30
46,2000-03-10,47100,52000,45600,49000,340
47,2000-03-13,50000,56300,50000,55000,1230
48,2000-03-14,51500,51500,51000,51000,80
49,2000-03-15,46100,50600,46000,50600,270
50,2000-03-16,43600,47000,43600,47000,270
51,2000-03-17,46400,47000,46400,47000,40
52,2000-03-20,51000,51000,49000,49000,280
53,2000-03-21,47200,47200,46000,46000,110
54,2000-03-22,46300,49900,46300,47000,100
55,2000-03-23,47300,47300,47200,47200,170
56,2000-03-24,47500,54200,47300,54200,770
57,2000-03-27,62300,62300,62300,62300,500
58,2000-03-28,71600,71600,56400,58000,1540
59,2000-03-29,50100,55900,50100,52000,1190
60,2000-03-30,55500,57000,50100,50200,750
61,2000-03-31,50300,51300,49000,51200,140
62,2000-04-03,50000,50000,46100,46100,470
63,2000-04-04,47200,47200,45100,45500,800
64,2000-04-06,47900,47900,42000,42000,840
65,2000-04-07,45500,48300,44500,44500,1190
66,2000-04-10,43000,49000,43000,47500,1360
67,2000-04-11,47500,49000,47500,47600,730
68,2000-04-12,47600,47600,47000,47500,280
69,2000-04-14,47500,52900,47500,52000,900
70,2000-04-17,50000,59800,46500,59800,2220
71,2000-04-18,62000,68700,52100,68700,2440
72,2000-04-19,79000,79000,71000,73600,7900
73,2000-04-20,83000,83000,62600,62700,4150
74,2000-04-21,62700,66500,55600,57000,1170
75,2000-04-24,61900,62500,54500,60000,970
76,2000-04-25,56500,56800,53700,55800,670
77,2000-04-26,57000,59900,54100,54100,810
78,2000-04-27,50000,54800,50000,54000,520
79,2000-04-28,50300,55500,50000,51500,700
80,2000-05-02,52000,52900,49500,49500,400
81,2000-05-03,52900,53000,50000,52000,320
82,2000-05-04,52000,57100,50000,52100,560
83,2000-05-08,52100,57000,52100,53000,380
84,2000-05-09,51100,53400,51100,51100,1240
85,2000-05-10,50500,54100,50000,51100,720
86,2000-05-12,55900,58000,52500,55100,940
87,2000-05-15,53100,63300,52100,56200,1350
88,2000-05-16,52000,56500,52000,52800,180
89,2000-05-17,51000,54400,51000,54000,740
90,2000-05-18,52100,53000,50000,52000,870
91,2000-05-19,50200,58000,50200,55500,820
92,2000-05-22,52100,53900,50500,50600,560
93,2000-05-23,50000,54700,49600,49600,750
94,2000-05-24,51000,51000,45600,48000,210
95,2000-05-25,50000,52000,48100,50000,530
96,2000-05-26,50000,50500,48000,48000,410
97,2000-05-29,49750,50000,48400,49600,230
98,2000-05-30,50000,51000,49000,50000,240
99,2000-05-31,53000,53000,48500,50100,340
100,2000-06-01,49000,51500,49000,50100,210
101,2000-06-02,50100,50900,49500,50500,320
102,2000-06-05,51400,52500,49600,50600,480
103,2000-06-07,52000,58100,50400,58100,1850
104,2000-06-08,60000,65000,57000,60700,660
105,2000-06-09,60000,65000,54000,63500,890
106,2000-06-12,58300,60000,55500,59700,290
107,2000-06-13,59700,59700,53400,57000,250
108,2000-06-14,53000,56500,53000,56500,70
109,2000-06-15,55300,55400,52000,52000,180
110,2000-06-16,51100,52000,51100,52000,160
111,2000-06-19,51500,53900,51500,53900,20
112,2000-06-20,52100,56700,51700,54900,240
113,2000-06-21,54900,54900,52500,54900,130
114,2000-06-22,54000,55500,54000,55500,90
115,2000-06-23,54400,56800,54400,56800,280
116,2000-06-26,57900,59500,53400,58600,570
117,2000-06-27,55500,58900,52400,58300,610
118,2000-06-28,54100,56200,52500,52500,2310
119,2000-06-29,53700,55500,53000,53000,550
120,2000-06-30,52900,53800,51500,52900,590
121,2000-07-03,53500,54100,51600,51800,1370
122,2000-07-04,53200,53200,51800,52700,560
123,2000-07-05,53000,53000,51800,52500,750
124,2000-07-06,52000,52800,51500,52000,600
125,2000-07-07,52700,53000,52300,53000,420
126,2000-07-10,52200,53500,52200,53500,660
127,2000-07-11,53600,55500,51900,54900,580
128,2000-07-12,52700,54600,52600,54100,90
129,2000-07-13,53900,53900,51500,53000,310
130,2000-07-14,51600,54400,51600,54400,450
131,2000-07-18,52700,52700,51800,51800,40
132,2000-07-19,49100,51900,49100,51000,580
133,2000-07-20,49250,50000,49000,49000,270
134,2000-07-21,49000,50000,49000,49600,260
135,2000-07-24,52400,52400,51400,52000,290
136,2000-07-25,50900,50900,46000,48000,90
137,2000-07-26,44100,53700,44100,53700,120
138,2000-07-27,47300,51000,47300,50000,290
139,2000-07-28,51000,51000,51000,51000,10
140,2000-07-31,50500,50500,50500,50500,60
141,2000-08-01,49000,49000,49000,49000,50
142,2000-08-02,48500,49500,48500,49500,280
143,2000-08-03,49500,50000,49300,49300,230
144,2000-08-04,49300,49300,49300,49300,30
145,2000-08-07,44200,49900,44200,48150,210
146,2000-08-08,48150,48150,47300,47500,30
147,2000-08-09,45500,50600,45500,50500,130
148,2000-08-10,50500,51000,49500,50500,280
149,2000-08-11,48200,50900,48200,50900,180
150,2000-08-14,49700,51800,49700,51800,100
151,2000-08-16,50500,50500,50000,50500,150
152,2000-08-17,49200,50000,49200,50000,320
153,2000-08-18,50000,52000,50000,50000,210
154,2000-08-21,52000,52000,49200,50400,30
155,2000-08-22,50000,50000,50000,50000,110
156,2000-08-23,50000,51400,48200,51400,310
157,2000-08-24,52000,52000,44500,49900,260
158,2000-08-25,48700,48700,48700,48700,30
159,2000-08-28,50800,51600,48800,51500,240
160,2000-08-29,45800,51800,45800,50000,480
161,2000-08-30,53500,53500,49800,52900,70
162,2000-08-31,51100,54100,48800,54000,280
163,2000-09-01,50000,54500,50000,50500,100
