,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,14500,15000,14500,14600,5520
1,2000-01-05,14600,14900,14250,14900,23380
2,2000-01-06,15000,15200,14300,14450,10090
3,2000-01-07,14500,15000,14300,14600,13040
4,2000-01-10,15500,15500,14600,14950,12840
5,2000-01-11,14600,15350,13900,14400,69640
6,2000-01-12,14400,14850,14000,14350,12620
7,2000-01-13,14350,14600,13400,13400,40090
8,2000-01-14,13750,14150,13550,13900,44380
9,2000-01-17,14350,14350,13700,13800,30650
10,2000-01-18,13700,13900,13450,13800,21330
11,2000-01-19,13600,13600,13200,13400,22750
12,2000-01-20,12700,13300,12700,13000,24790
13,2000-01-21,12700,13200,12650,13100,11020
14,2000-01-24,12700,13300,12500,12900,53230
15,2000-01-25,12800,13500,12800,13300,23800
16,2000-01-26,13300,13500,13100,13500,20040
17,2000-01-27,13250,14700,13250,14550,32560
18,2000-01-28,14000,14400,13800,14300,7260
19,2000-01-31,14000,14300,13500,14000,4660
20,2000-02-01,14100,15700,14000,15000,43860
21,2000-02-02,15000,15700,14700,15000,24560
22,2000-02-03,15000,15200,14550,14900,12210
23,2000-02-07,14900,15500,14900,15500,57470
24,2000-02-08,15500,15600,15000,15300,15160
25,2000-02-09,15000,15250,14300,14650,15020
26,2000-02-10,14650,14650,13250,13250,10430
27,2000-02-11,13500,15000,13500,15000,15200
28,2000-02-14,14150,15000,14150,14800,4910
29,2000-02-15,14300,16000,14300,16000,121370
30,2000-02-16,16600,16600,15000,15950,73520
31,2000-02-17,15300,16000,15300,16000,12790
32,2000-02-18,16300,17100,15900,17000,53310
33,2000-02-21,17300,17300,16200,17200,22890
34,2000-02-22,17200,17400,16400,16900,24280
35,2000-02-23,16900,17000,16300,17000,46380
36,2000-02-24,17000,19000,16300,17600,65290
37,2000-02-25,17600,17600,16500,17000,19450
38,2000-02-28,17100,17700,16550,16900,27830
39,2000-02-29,16550,17950,16550,17950,61770
40,2000-03-02,18500,20600,18500,20600,82710
41,2000-03-03,20600,20800,18500,18550,73010
42,2000-03-06,19450,19900,18050,18800,47850
43,2000-03-07,18250,18800,17100,17500,26000
44,2000-03-08,18000,18600,17500,17850,37050
45,2000-03-09,17950,20500,17500,17500,133220
46,2000-03-10,18500,18900,17800,18400,36860
47,2000-03-13,19500,20900,18500,20000,86840
48,2000-03-14,19000,20000,19000,19700,100160
49,2000-03-15,19700,21650,19200,21100,113950
50,2000-03-16,20500,21700,20200,21400,102700
51,2000-03-17,21400,21600,20450,21000,60340
52,2000-03-20,20350,21300,19700,20900,37510
53,2000-03-21,20250,21000,20000,20500,24320
54,2000-03-22,20150,21000,19300,21000,64180
55,2000-03-23,21000,21800,20300,20900,15670
56,2000-03-24,20900,23600,20000,23000,170390
57,2000-03-27,23000,23000,21600,22400,25590
58,2000-03-28,22000,22400,21300,22300,18340
59,2000-03-29,21850,22300,21300,22100,18690
