,날짜,시가,고가,저가,종가,거래량
0,2017-07-07,87100,89700,75700,82300,1619864
1,2017-07-10,82300,88000,81000,88000,840451
2,2017-07-11,88000,88000,82700,82800,422303
3,2017-07-12,83700,84600,80000,83500,238407
4,2017-07-13,83400,84000,80800,81600,218138
5,2017-07-14,81000,83200,80500,81000,195088
6,2017-07-17,81800,83000,80900,82200,141369
7,2017-07-18,82400,83300,81500,83300,165584
8,2017-07-19,83400,85100,83200,84600,223083
9,2017-07-20,84600,84900,80000,80500,183151
10,2017-07-21,80500,81700,80200,81200,92821
11,2017-07-24,81900,83000,81300,83000,123728
12,2017-07-25,83400,83800,82600,83300,116806
13,2017-07-26,83300,85400,83100,85100,121061
14,2017-07-27,85100,85600,84100,84200,68816
15,2017-07-28,83700,85500,83300,84800,95657
16,2017-07-31,81800,84500,81800,82100,77011
17,2017-08-01,82500,84900,82400,83500,89377
18,2017-08-02,83100,83600,81900,82900,62216
19,2017-08-03,82000,83800,81000,83700,82484
20,2017-08-04,84500,85300,83800,85300,63572
21,2017-08-07,85600,85800,84300,85600,40097
22,2017-08-08,86000,86000,84600,85000,40475
23,2017-08-09,84100,85900,84100,85600,38950
24,2017-08-10,85000,87300,84500,85300,75619
25,2017-08-11,85200,86900,84600,86500,60086
26,2017-08-14,87200,90000,86600,89400,106552
27,2017-08-16,89400,98500,89200,95300,239188
28,2017-08-17,95200,95200,91000,92200,129941
29,2017-08-18,91900,95800,90900,95400,94515
30,2017-08-21,96400,96400,92400,92500,63817
31,2017-08-22,92700,94800,90800,93600,98102
32,2017-08-23,93000,95400,93000,94300,78239
33,2017-08-24,94400,94800,93100,93900,50476
34,2017-08-25,93800,93800,91100,92200,60684
35,2017-08-28,91400,92000,89000,89600,101907
36,2017-08-29,89300,91000,89300,90800,74316
37,2017-08-30,90300,90800,88600,90300,54611
38,2017-08-31,89700,91400,87300,87300,104709
39,2017-09-01,88000,88800,87300,87400,59116
40,2017-09-04,87500,88700,85500,86400,47663
41,2017-09-05,86900,87600,84300,85200,61294
42,2017-09-06,85300,88700,85100,86300,103961
43,2017-09-07,86900,87700,85400,86900,47383
44,2017-09-08,86200,89000,86200,87300,49147
45,2017-09-11,88400,92300,88400,91700,98648
46,2017-09-12,91800,92600,90200,92500,58778
47,2017-09-13,92100,94500,90400,93300,87262
48,2017-09-14,93400,96700,93400,96000,150398
49,2017-09-15,96000,96600,95300,96600,135228
50,2017-09-18,96700,97500,96200,97000,55832
51,2017-09-19,96300,97300,95600,97100,70406
52,2017-09-20,97400,98700,96500,97500,87986
53,2017-09-21,96200,99400,96100,99100,117504
54,2017-09-22,99500,100500,98400,99400,119851
55,2017-09-25,99900,100000,95500,95900,96876
56,2017-09-26,95700,99400,94400,99000,88680
57,2017-09-27,98500,99100,96400,98000,53926
58,2017-09-28,96300,97700,94000,95100,210687
59,2017-09-29,95500,98400,94900,97000,130721
60,2017-10-10,94700,96000,94200,95000,121490
61,2017-10-11,93400,94700,90500,91000,161332
62,2017-10-12,90600,94000,90600,94000,94760
63,2017-10-13,92800,95300,92300,94300,58961
64,2017-10-16,93500,95200,92400,94800,41409
65,2017-10-17,93800,95100,92800,93800,40727
66,2017-10-18,93800,94000,93000,93800,31656
67,2017-10-19,93700,94000,92600,93000,43544
68,2017-10-20,92100,95100,92100,94700,75668
69,2017-10-23,93300,95500,92500,93100,68072
70,2017-10-24,92600,95700,92600,95600,62675
71,2017-10-25,94400,95600,93500,94600,58262
72,2017-10-26,94000,102000,94000,100500,241723
73,2017-10-27,99800,103500,99800,100500,243765
74,2017-10-30,100500,107000,100000,105500,146117
75,2017-10-31,106000,108500,103000,106000,105842
76,2017-11-01,103500,107500,103000,105500,124938
77,2017-11-02,105000,110000,104000,108000,93491
78,2017-11-03,110000,113500,108500,113500,120532
79,2017-11-06,113500,118000,111000,116500,199183
80,2017-11-07,116500,119000,114500,116000,132135
81,2017-11-08,115000,117500,113000,116500,118817
82,2017-11-09,118000,120500,116000,116500,118710
83,2017-11-10,116500,121000,116500,120500,87490
84,2017-11-13,122000,125500,121000,123500,98567
85,2017-11-14,123500,124500,119500,122000,131763
86,2017-11-15,126500,126500,118500,125000,154148
87,2017-11-16,125500,125500,120500,121000,104990
88,2017-11-17,119500,123000,119000,121000,186969
89,2017-11-20,122000,125000,119000,124000,157660
90,2017-11-21,124500,124500,120500,122000,206877
91,2017-11-22,121000,123500,121000,121500,122145
92,2017-11-23,121000,121500,118500,119500,98245
93,2017-11-24,119000,119000,112500,113000,123943
94,2017-11-27,113500,119500,113500,118000,153777
95,2017-11-28,118000,129000,118000,127000,188897
96,2017-11-29,129000,129500,123500,125000,136688
97,2017-11-30,125500,126000,114500,114500,218274
98,2017-12-01,115500,123500,115500,120000,154816
99,2017-12-04,122000,123000,117500,118500,75335
100,2017-12-05,117500,120500,116000,116500,84061
101,2017-12-06,119000,122000,111500,112000,129920
102,2017-12-07,112500,116000,112000,115000,108304
103,2017-12-08,113500,116000,113000,114000,72500
104,2017-12-11,112000,118500,112000,118500,53082
105,2017-12-12,116500,119000,115500,118500,101288
106,2017-12-13,117000,119500,117000,117500,73418
107,2017-12-14,116000,122500,116000,116500,152132
108,2017-12-15,118000,121000,116500,117000,145418
109,2017-12-18,117000,121000,116500,119500,65204
110,2017-12-19,121000,121000,117000,117500,76008
111,2017-12-20,116500,117000,112500,116000,56203
112,2017-12-21,114500,116500,110500,111000,66789
113,2017-12-22,112000,114000,105500,113500,83414
114,2017-12-26,111500,111500,107500,108500,112219
115,2017-12-27,107000,109000,104000,105000,83970
116,2017-12-28,105500,105500,103500,104500,107434
117,2018-01-02,104500,107500,104500,107000,96061
118,2018-01-03,105000,106500,103500,104000,75566
119,2018-01-04,105000,105000,100000,101000,135389
120,2018-01-05,101000,102000,98400,101500,102044
121,2018-01-08,103000,104000,101500,103000,63501
122,2018-01-09,103000,106500,101000,106500,127783
123,2018-01-10,105000,107000,102500,104500,80737
124,2018-01-11,106500,110500,104500,108500,102912
125,2018-01-12,107500,110000,104500,106000,122191
126,2018-01-15,108000,110500,106500,109500,72874
127,2018-01-16,109000,112000,109000,109500,55818
128,2018-01-17,108000,110500,107000,110500,74176
129,2018-01-18,109500,113500,109000,112500,64537
130,2018-01-19,112000,116000,111500,115000,81720
131,2018-01-22,115000,118500,113000,113500,65413
132,2018-01-23,113500,118000,113500,117000,60130
133,2018-01-24,119000,119000,112000,112500,64454
134,2018-01-25,112000,115000,110500,112500,61180
135,2018-01-26,112000,117500,112000,116000,73178
136,2018-01-29,117500,120000,116500,119000,64836
137,2018-01-30,119500,120500,114500,117000,54387
