,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,1689,1866,1640,1729,23180
1,2000-01-05,1778,1788,1719,1778,27420
2,2000-01-06,1788,1792,1670,1714,26920
3,2000-01-07,1680,1748,1628,1719,28330
4,2000-01-10,1719,1792,1694,1719,17730
5,2000-01-11,1955,1955,1719,1781,55820
6,2000-01-12,1866,1905,1738,1906,74630
7,2000-01-13,1822,1891,1817,1818,27800
8,2000-01-14,1866,1866,1729,1759,14760
9,2000-01-17,1768,1792,1719,1793,88450
10,2000-01-18,1773,1810,1743,1783,46940
11,2000-01-19,1783,1783,1699,1729,61750
12,2000-01-20,1721,1768,1670,1724,18310
13,2000-01-21,1697,1714,1660,1660,13770
14,2000-01-24,1621,1689,1621,1670,60240
15,2000-01-25,1552,1665,1552,1624,14850
16,2000-01-26,1601,1716,1596,1714,19570
17,2000-01-27,1684,1741,1645,1719,38110
18,2000-01-28,1743,1743,1660,1660,26540
19,2000-01-31,1660,1689,1630,1680,16200
20,2000-02-01,1694,1714,1625,1638,13240
21,2000-02-02,1655,1689,1645,1680,13200
22,2000-02-03,1689,1689,1650,1660,28040
23,2000-02-07,1709,1743,1694,1744,16170
24,2000-02-08,1768,1768,1670,1670,8220
25,2000-02-09,1670,1719,1635,1665,49450
26,2000-02-10,1628,1645,1527,1528,42050
27,2000-02-11,1567,1586,1547,1584,22110
28,2000-02-14,1589,1630,1532,1547,19310
29,2000-02-15,1547,1621,1547,1572,47130
30,2000-02-16,1576,1611,1522,1569,33550
31,2000-02-17,1571,1613,1547,1572,32370
32,2000-02-18,1571,1591,1512,1523,47250
33,2000-02-21,1498,1522,1427,1479,52100
34,2000-02-22,1596,1621,1451,1474,113140
35,2000-02-23,1517,1606,1473,1498,100370
36,2000-02-24,1522,1606,1512,1596,92260
37,2000-02-25,1596,1797,1552,1675,78030
38,2000-02-28,1680,1925,1677,1891,156630
39,2000-02-29,1891,2117,1871,1891,164720
40,2000-03-02,1999,1999,1842,1891,125320
41,2000-03-03,1915,1940,1842,1867,100380
42,2000-03-06,1866,1891,1724,1749,108270
43,2000-03-07,1773,1778,1694,1714,82200
44,2000-03-08,1714,1768,1675,1714,69280
45,2000-03-09,1724,1763,1625,1626,94820
46,2000-03-10,1638,1869,1638,1864,128600
47,2000-03-13,1864,2009,1724,1793,54130
48,2000-03-14,1768,1817,1645,1651,36010
49,2000-03-15,1635,1665,1571,1601,51300
50,2000-03-16,1699,1748,1635,1646,44700
51,2000-03-17,1645,1719,1621,1621,16700
52,2000-03-20,1596,1621,1547,1562,33730
53,2000-03-21,1547,1596,1522,1552,17030
54,2000-03-22,1596,1611,1547,1567,30600
55,2000-03-23,1576,1645,1547,1557,21180
56,2000-03-24,1596,1621,1562,1621,30010
57,2000-03-27,1621,1670,1581,1587,20770
58,2000-03-28,1527,1616,1527,1601,17500
59,2000-03-29,1601,1621,1557,1596,37490
60,2000-03-30,1596,1596,1552,1552,11140
61,2000-03-31,1532,1581,1522,1523,16230
62,2000-04-03,1547,1557,1493,1520,47540
63,2000-04-04,1547,1562,1498,1520,27050
64,2000-04-06,1503,1522,1454,1508,18100
65,2000-04-07,1478,1527,1478,1515,16480
66,2000-04-10,1503,1552,1463,1506,107410
67,2000-04-11,1532,1532,1454,1454,41080
68,2000-04-12,1454,1463,1392,1400,30170
69,2000-04-14,1375,1375,1331,1373,32700
70,2000-04-17,1203,1257,1169,1228,55890
71,2000-04-18,1277,1375,1208,1341,78030
72,2000-04-19,1424,1424,1279,1282,33920
73,2000-04-20,1291,1336,1252,1267,56240
74,2000-04-21,1323,1326,1277,1324,34030
75,2000-04-24,1279,1350,1279,1292,17950
76,2000-04-25,1252,1424,1252,1366,75820
77,2000-04-26,1390,1419,1272,1312,51460
78,2000-04-27,1326,1370,1277,1307,18640
79,2000-04-28,1306,1341,1252,1302,58140
80,2000-05-02,1301,1301,1255,1255,27770
81,2000-05-03,1252,1326,1252,1299,74530
82,2000-05-04,1323,1463,1299,1400,78540
83,2000-05-08,1400,1483,1331,1375,58300
84,2000-05-09,1434,1498,1331,1439,85810
85,2000-05-10,1441,1478,1382,1474,112950
86,2000-05-12,1473,1483,1419,1429,51980
87,2000-05-15,1431,1431,1360,1368,34290
88,2000-05-16,1365,1522,1331,1341,149220
89,2000-05-17,1400,1400,1228,1253,93240
90,2000-05-18,1213,1232,1178,1179,43210
91,2000-05-19,1178,1272,1134,1159,38130
92,2000-05-22,1129,1166,1088,1091,38110
93,2000-05-23,1014,1151,1014,1140,54960
94,2000-05-24,1120,1174,1080,1110,59770
95,2000-05-25,1154,1252,1110,1211,111870
96,2000-05-26,1232,1232,1139,1140,32810
97,2000-05-29,1178,1198,1144,1189,42380
98,2000-05-30,1193,1264,1193,1262,50390
99,2000-05-31,1326,1336,1277,1307,49980
100,2000-06-01,1326,1326,1277,1297,28140
101,2000-06-02,1321,1399,1304,1346,45720
102,2000-06-05,1380,1390,1326,1346,97450
103,2000-06-07,1355,1390,1309,1329,78540
104,2000-06-08,1331,1350,1277,1282,91110
105,2000-06-09,1326,1331,1287,1324,69030
106,2000-06-12,1323,1350,1282,1287,45020
107,2000-06-13,1301,1375,1291,1321,47570
108,2000-06-14,1336,1370,1242,1258,43280
109,2000-06-15,1262,1282,1178,1179,36080
110,2000-06-16,1188,1223,1154,1204,29710
111,2000-06-19,1178,1208,1159,1204,23060
112,2000-06-20,1178,1228,1178,1184,18270
113,2000-06-21,1193,1252,1174,1194,46440
114,2000-06-22,1203,1237,1183,1194,17120
115,2000-06-23,1164,1210,1156,1204,33240
116,2000-06-26,1203,1232,1183,1199,14480
117,2000-06-27,1203,1218,1193,1204,11830
118,2000-06-28,1228,1287,1203,1228,37980
119,2000-06-29,1215,1223,1183,1189,13300
120,2000-06-30,1193,1213,1188,1191,18320
121,2000-07-03,1193,1242,1193,1204,36760
122,2000-07-04,1230,1237,1193,1194,41040
123,2000-07-05,1223,1316,1198,1316,68120
124,2000-07-06,1316,1429,1316,1375,100800
125,2000-07-07,1419,1419,1331,1356,26670
126,2000-07-10,1358,1370,1326,1326,25410
127,2000-07-11,1336,1348,1282,1321,23690
128,2000-07-12,1287,1375,1287,1302,42180
