,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,2955,3328,2955,3224,77320
1,2000-01-05,3176,3398,3065,3164,125130
2,2000-01-06,3157,3195,2946,2956,51080
3,2000-01-07,2854,3222,2854,3095,86060
4,2000-01-10,3222,3305,3084,3118,107660
5,2000-01-11,3131,3241,3103,3141,68200
6,2000-01-12,3130,3167,3038,3067,44070
7,2000-01-13,3065,3126,2992,3011,40920
8,2000-01-14,3038,3131,2946,3011,59980
9,2000-01-17,2918,3039,2918,3039,48220
10,2000-01-18,3038,3075,2946,3034,19900
11,2000-01-19,2955,3001,2854,2855,31410
12,2000-01-20,2762,2849,2687,2810,33840
13,2000-01-21,2807,2900,2702,2810,57490
14,2000-01-24,2716,2826,2716,2717,56820
15,2000-01-25,2623,2711,2532,2607,121520
16,2000-01-26,2619,2660,2559,2633,42620
17,2000-01-27,2643,2946,2633,2726,98960
18,2000-01-28,2776,2864,2725,2846,55990
19,2000-01-31,2762,2836,2743,2782,32600
20,2000-02-01,2882,2937,2817,2828,45510
21,2000-02-02,2882,2936,2831,2929,39150
22,2000-02-03,2928,2983,2854,2947,32530
23,2000-02-07,2946,2987,2864,2920,46550
24,2000-02-08,2919,3039,2864,2874,39010
25,2000-02-09,2900,2992,2854,2897,85810
26,2000-02-10,2854,2900,2748,2823,59390
27,2000-02-11,2716,3131,2716,2947,104370
28,2000-02-14,2900,2946,2789,2910,53340
29,2000-02-15,2909,2936,2762,2810,61580
30,2000-02-16,2725,2840,2715,2810,33560
31,2000-02-17,2826,3102,2807,3085,310120
32,2000-02-18,3221,3540,3203,3454,569080
33,2000-02-21,3406,3499,3241,3352,233560
34,2000-02-22,3378,3499,2923,3242,164890
35,2000-02-23,3047,3301,3047,3205,131070
36,2000-02-24,3131,3241,3001,3177,88370
37,2000-02-25,3131,3213,3020,3214,157190
38,2000-02-28,3213,3314,3084,3177,102470
39,2000-02-29,3259,3378,3139,3306,165820
40,2000-03-02,3337,3775,3337,3702,290340
