,날짜,시가,고가,저가,종가,거래량
0,2015-07-17,66600,67700,59900,60500,1024387
1,2015-07-20,62400,63800,60700,61600,328296
2,2015-07-21,61800,63000,60300,61100,237749
3,2015-07-22,62000,62100,60200,60600,156500
4,2015-07-23,61000,61800,60600,61500,155166
5,2015-07-24,61500,62000,60300,60300,118004
6,2015-07-27,60000,60000,57300,57800,159188
7,2015-07-28,57000,58800,56600,56800,101433
8,2015-07-29,57300,58800,56400,57100,63331
9,2015-07-30,57200,58100,56600,56600,53548
10,2015-07-31,57100,61400,56900,61000,273689
11,2015-08-03,61000,62500,60400,61600,130769
12,2015-08-04,61200,62500,60000,62400,83386
13,2015-08-05,62900,63000,61400,62700,59336
14,2015-08-06,62300,62600,60900,61100,51082
15,2015-08-07,61000,62600,59600,62500,59623
16,2015-08-10,62800,62800,60900,61200,42694
17,2015-08-11,61500,61500,59600,60800,54718
18,2015-08-12,60400,60700,58500,59200,62834
19,2015-08-13,59000,60400,58200,58500,36780
20,2015-08-17,58800,60000,57000,59400,75906
21,2015-08-18,59500,60200,57600,57800,49786
22,2015-08-19,57800,58300,53700,56100,77868
23,2015-08-20,55800,56200,54900,55000,21078
24,2015-08-21,53800,53800,49550,51300,164961
25,2015-08-24,50300,53000,50100,51300,85883
26,2015-08-25,52800,52900,50900,51700,70906
27,2015-08-26,51700,52400,51000,51600,83462
28,2015-08-27,52200,57100,52000,56000,160109
29,2015-08-28,57100,59600,55600,58300,82405
30,2015-08-31,58200,59300,57100,58200,48653
31,2015-09-01,58000,58500,56400,56400,16636
32,2015-09-02,55200,58700,54800,58700,46184
33,2015-09-03,58800,59000,57900,58500,30194
34,2015-09-04,56000,57500,54400,55000,47853
35,2015-09-07,54500,55400,53600,54500,24071
36,2015-09-08,55600,58400,55300,57900,66793
37,2015-09-09,58000,58800,56800,58000,45004
38,2015-09-10,56500,58600,56300,58200,19382
39,2015-09-11,57700,58800,57400,58700,32246
40,2015-09-14,58900,59600,58400,58700,26423
41,2015-09-15,58900,59200,58600,58900,17514
42,2015-09-16,59400,60300,58700,59900,69103
43,2015-09-17,60100,60900,59600,59600,32434
44,2015-09-18,60200,60900,60000,60500,22409
45,2015-09-21,60000,60900,59800,60500,17557
46,2015-09-22,60900,61000,60500,60900,26693
47,2015-09-23,60500,61000,59900,59900,17141
48,2015-09-24,59600,60000,58500,59200,17519
49,2015-09-25,59300,59300,57800,59200,13022
50,2015-09-30,58100,60000,56400,59200,70734
51,2015-10-01,59000,60700,58500,60000,28090
52,2015-10-02,59700,60200,59200,59900,16938
53,2015-10-05,59900,59900,58700,59300,32480
54,2015-10-06,59300,60100,58200,59100,38852
55,2015-10-07,58600,59000,58200,58300,9951
56,2015-10-08,58800,59000,57400,57700,22182
57,2015-10-12,57800,58500,57200,57300,14543
58,2015-10-13,57300,58500,57300,58000,24520
59,2015-10-14,58000,58000,57100,57400,21586
60,2015-10-15,56500,58100,56000,57700,49199
61,2015-10-16,58200,58400,56500,58100,33640
62,2015-10-19,58100,58700,57400,58300,36763
63,2015-10-20,58900,59600,58000,59500,45080
64,2015-10-21,59700,60400,58800,59600,66148
65,2015-10-22,60100,60100,58500,60000,34106
66,2015-10-23,60000,62300,59800,61400,114989
67,2015-10-26,61900,63900,60900,63800,121007
68,2015-10-27,63900,64500,62800,63000,62305
69,2015-10-28,63500,64800,62600,63100,132715
70,2015-10-29,64200,64400,62300,63400,91876
71,2015-10-30,63300,63300,61000,62500,57284
72,2015-11-02,62400,65000,61600,65000,77697
73,2015-11-03,65000,67600,64500,67000,186274
74,2015-11-04,66800,68400,66300,68300,136443
75,2015-11-05,68000,75700,67900,71500,552234
76,2015-11-06,71900,72300,70100,70800,132081
77,2015-11-09,70900,70900,68400,69300,81274
78,2015-11-10,68900,71100,68400,70600,66785
79,2015-11-11,70000,71900,69800,70000,80773
80,2015-11-12,69600,70900,68400,69000,63245
81,2015-11-13,68800,69700,68200,69500,47592
82,2015-11-16,68300,72300,68300,71400,96187
83,2015-11-17,72200,73000,71200,72500,108782
84,2015-11-18,72500,73000,71200,72100,62742
85,2015-11-19,72900,72900,69700,70000,64529
86,2015-11-20,69900,70700,66900,67200,65312
87,2015-11-23,67800,70000,65200,69900,125156
88,2015-11-24,69900,70000,67700,69900,54969
89,2015-11-25,69500,70000,68100,69700,50646
90,2015-11-26,69900,70800,69500,70400,65104
91,2015-11-27,70700,70900,68500,69900,50610
