,날짜,시가,고가,저가,종가,거래량
0,2011-06-10,241000,269000,208000,223500,572119
1,2011-06-13,232000,246000,223500,225000,462091
2,2011-06-14,224000,235000,217000,222000,389135
3,2011-06-15,225000,246500,224000,243000,440773
4,2011-06-16,243000,246000,230500,230500,311005
5,2011-06-17,230500,239000,227000,233000,114772
6,2011-06-20,230000,231500,224000,228500,104853
7,2011-06-21,229000,234000,227500,232000,65955
8,2011-06-22,235000,235000,229000,231000,111013
9,2011-06-23,229500,233500,227500,229500,88593
10,2011-06-24,233000,237000,230500,235000,92702
11,2011-06-27,232500,246500,232500,245000,115540
12,2011-06-28,248000,249000,241500,245000,75036
13,2011-06-29,246500,249000,240000,245000,121754
14,2011-06-30,242000,244500,240000,244500,91419
15,2011-07-01,243000,244500,239500,240000,114451
16,2011-07-04,242500,247000,240000,245500,117470
17,2011-07-05,247000,247000,240500,243000,99375
18,2011-07-06,244000,245500,240000,245000,81851
19,2011-07-07,247000,256500,246000,256500,206954
20,2011-07-08,258000,263500,253000,261000,117585
21,2011-07-11,259500,266500,258000,263000,115608
22,2011-07-12,262000,262000,254000,255500,70065
23,2011-07-13,258000,259500,251000,255500,45842
24,2011-07-14,254000,255000,246500,250500,69954
25,2011-07-15,256000,259000,254500,258500,76150
26,2011-07-18,269500,279000,268000,278500,281900
27,2011-07-19,277500,278000,270000,274500,98296
28,2011-07-20,273000,276500,271500,273500,107648
29,2011-07-21,275000,275000,264000,273000,77944
30,2011-07-22,275000,278000,271500,275000,80242
31,2011-07-25,271500,274500,270000,274000,36321
32,2011-07-26,271000,273000,266000,273000,50999
33,2011-07-27,274500,278500,268500,277000,46618
34,2011-07-28,277000,277000,270000,273000,38017
35,2011-07-29,273000,276000,271000,275000,42213
36,2011-08-01,273500,274500,271500,273500,29337
37,2011-08-02,274000,274000,260500,269500,60035
38,2011-08-03,262500,264000,253500,262500,164654
39,2011-08-04,267000,269500,263000,268000,77339
40,2011-08-05,255000,263000,255000,262000,104646
41,2011-08-08,258000,265500,247500,256000,64710
42,2011-08-09,250000,256000,232500,246000,65352
43,2011-08-10,255500,273500,252000,265000,193248
44,2011-08-11,257000,265500,257000,262000,134306
45,2011-08-12,265000,279500,265000,279000,167362
46,2011-08-16,281500,288000,273000,274000,81434
47,2011-08-17,271000,280000,271000,275000,80579
48,2011-08-18,273000,292000,273000,292000,129907
49,2011-08-19,288000,300000,282000,289000,131177
50,2011-08-22,293500,299500,286000,291000,104808
51,2011-08-23,295000,302000,291500,302000,105647
52,2011-08-24,301000,301000,289500,292500,54777
53,2011-08-25,286000,294500,282000,282000,44581
54,2011-08-26,277000,292000,274000,291000,89833
55,2011-08-29,291000,299000,283500,288000,130465
56,2011-08-30,289000,292000,286000,289000,64696
57,2011-08-31,294000,316000,292000,316000,154533
