,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,5176,5938,5176,5938,1773980
1,2000-01-05,6008,6816,5777,6469,3698200
2,2000-01-06,6469,6538,5498,5498,1366720
3,2000-01-07,5591,6307,5359,6307,2735900
4,2000-01-10,6701,6886,5869,6007,3164840
5,2000-01-11,6192,6422,5891,6099,1474540
6,2000-01-12,6284,6376,5868,6238,1207840
7,2000-01-13,6284,6330,5868,5961,825540
8,2000-01-14,5777,5961,5222,5384,972700
9,2000-01-17,5429,5683,5245,5406,828260
10,2000-01-18,5314,5522,5082,5221,471140
11,2000-01-19,5221,5383,4759,4759,764960
12,2000-01-20,4528,4713,4302,4620,516240
13,2000-01-21,4597,4990,4533,4759,626140
14,2000-01-24,4666,5059,4666,4759,759180
15,2000-01-25,4852,4967,4533,4620,466740
16,2000-01-26,4759,4759,4459,4528,426720
17,2000-01-27,4621,5176,4529,4921,1336740
18,2000-01-28,4945,5038,4783,4991,525880
19,2000-01-31,4898,5221,4852,4944,674320
20,2000-02-01,4944,5037,4874,4944,511000
21,2000-02-02,5130,5684,5083,5522,1818800
22,2000-02-03,5637,5683,5245,5291,912080
23,2000-02-07,5406,5637,5198,5498,972880
24,2000-02-08,5683,5891,5452,5614,1077020
25,2000-02-09,5614,6029,5591,5822,1185480
26,2000-02-10,5776,6029,5614,5637,843920
27,2000-02-11,5776,6284,5314,6030,1883540
28,2000-02-14,6216,6238,5545,5707,1100260
29,2000-02-15,5523,5684,4853,4899,712200
30,2000-02-16,4689,5429,4689,5083,932380
31,2000-02-17,5267,5637,5082,5614,1215200
32,2000-02-18,5800,6331,5684,6007,2588280
33,2000-02-21,5822,6145,5498,5637,1586700
34,2000-02-22,5707,5776,4990,5221,767500
35,2000-02-23,5315,5684,5268,5314,744420
36,2000-02-24,5360,5523,5014,5129,628360
37,2000-02-25,4991,5246,4945,5037,503480
38,2000-02-28,4875,5222,4852,4968,466300
39,2000-02-29,5130,5176,4968,4968,480420
40,2000-03-02,5037,5452,4713,5268,1003120
41,2000-03-03,5407,5592,5038,5176,797140
42,2000-03-06,5523,5523,5176,5314,553240
43,2000-03-07,5221,5614,5175,5360,1002760
44,2000-03-08,5407,5684,5291,5384,884180
45,2000-03-09,5476,5523,5315,5314,575960
46,2000-03-10,5429,6099,5290,6099,1521280
47,2000-03-13,6331,7001,6169,7001,2989080
48,2000-03-14,7070,7485,6376,6376,1996780
49,2000-03-15,6470,6747,5869,5915,1272880
50,2000-03-16,6422,6514,5544,5684,1289300
51,2000-03-17,5777,5916,5315,5384,777040
52,2000-03-20,5384,6146,5384,5869,1043500
53,2000-03-21,6146,6169,5545,5730,999720
54,2000-03-22,5777,6216,5684,5915,940680
55,2000-03-23,6053,6376,5822,6238,1206980
56,2000-03-24,6376,7162,6145,7162,2169040
57,2000-03-27,8225,8225,7185,7301,6859380
58,2000-03-28,7300,7347,6654,7024,2067820
59,2000-03-29,6931,8040,6793,7024,2965380
60,2000-03-30,6833,7213,6288,6288,1007020
61,2000-03-31,6216,6596,5979,5980,835780
62,2000-04-03,5837,6264,5362,5647,825040
63,2000-04-04,5694,5932,5481,5695,845600
64,2000-04-06,5552,5789,5457,5505,455540
65,2000-04-07,5742,5861,5600,5742,641700
66,2000-04-10,5742,6122,5647,5932,944200
67,2000-04-11,5742,5884,5481,5529,439060
68,2000-04-12,5647,5647,5362,5458,426280
69,2000-04-14,5220,5362,5125,5220,419200
70,2000-04-17,4437,4603,4437,4437,394500
71,2000-04-18,4555,4864,4366,4651,532640
72,2000-04-19,4840,5149,4769,4841,557640
73,2000-04-20,4722,4959,4650,4793,274040
74,2000-04-21,4745,4959,4745,4888,302880
75,2000-04-24,5030,5291,4816,4936,600500
76,2000-04-25,4935,5077,4840,4912,254480
77,2000-04-26,4911,5077,4560,4603,288680
78,2000-04-27,4603,4731,4356,4366,202660
79,2000-04-28,4271,4546,4271,4461,396160
80,2000-05-02,4508,4603,4461,4508,310820
81,2000-05-03,4513,4555,4413,4466,214260
82,2000-05-04,4437,4911,4437,4722,761860
83,2000-05-08,4888,5030,4717,4746,411140
84,2000-05-09,4736,4888,4627,4841,474220
85,2000-05-10,4840,4840,4665,4746,250720
86,2000-05-12,4660,4864,4617,4646,404580
87,2000-05-15,4646,4745,4555,4603,356600
88,2000-05-16,4741,4888,4598,4599,637060
89,2000-05-17,4598,4745,4033,4077,453000
90,2000-05-18,3891,3891,3469,3479,449800
91,2000-05-19,3488,3502,3179,3498,266460
92,2000-05-22,3464,3464,3013,3061,189700
93,2000-05-23,2752,3084,2728,3037,207880
94,2000-05-24,2861,3227,2814,3132,247200
95,2000-05-25,3298,3583,3227,3526,279760
96,2000-05-26,3535,3701,3231,3232,391220
97,2000-05-29,3089,3412,3089,3251,252780
98,2000-05-30,3260,3454,3260,3412,202020
99,2000-05-31,3440,3677,3440,3474,409920
100,2000-06-01,3511,3749,3350,3583,525980
101,2000-06-02,3630,3749,3421,3512,466320
102,2000-06-05,3606,3749,3535,3702,678380
103,2000-06-07,3772,4095,3725,3967,786760
104,2000-06-08,4038,4171,3559,3702,475220
105,2000-06-09,3701,3796,3640,3664,236040
106,2000-06-12,3758,4209,3758,4209,1117220
107,2000-06-13,4114,4204,3606,3754,615020
108,2000-06-14,3896,3934,3730,3749,245260
109,2000-06-15,3559,3725,3464,3488,181760
110,2000-06-16,3488,3545,3326,3369,172700
111,2000-06-19,3279,3416,3279,3308,140180
112,2000-06-20,3355,3535,3303,3393,202940
113,2000-06-21,3369,3511,3369,3393,179520
114,2000-06-22,3473,3507,3322,3369,213720
115,2000-06-23,3393,3488,3374,3407,143320
116,2000-06-26,3393,3772,3393,3559,347100
117,2000-06-27,3483,3559,3421,3517,277160
118,2000-06-28,3559,3592,3464,3464,183680
119,2000-06-29,3440,3535,3345,3393,144980
120,2000-06-30,3426,3435,3326,3403,146080
121,2000-07-03,3402,3464,3369,3417,259800
122,2000-07-04,3440,3583,3421,3460,367140
123,2000-07-05,3511,3511,3326,3388,200200
124,2000-07-06,3393,3464,3374,3412,290340
125,2000-07-07,3369,3587,3369,3507,445220
126,2000-07-10,3602,3654,3473,3493,441280
127,2000-07-11,3554,3891,3445,3702,1344620
128,2000-07-12,3844,4256,3820,4257,1086040
129,2000-07-13,4304,4423,3825,3939,2208900
130,2000-07-14,3938,4019,3701,3702,607900
131,2000-07-18,3844,4105,3673,3820,1942600
132,2000-07-19,3677,3749,3440,3536,418640
133,2000-07-20,3511,3568,3393,3488,349000
134,2000-07-21,3464,3564,3426,3450,242480
135,2000-07-24,3421,3507,3227,3227,293200
136,2000-07-25,3179,3307,3179,3251,151980
137,2000-07-26,3255,3388,3250,3294,176440
138,2000-07-27,3317,3473,3298,3365,243420
139,2000-07-28,3412,3412,3227,3251,125600
140,2000-07-31,3179,3227,3094,3180,113080
141,2000-08-01,3132,3255,3132,3241,151200
142,2000-08-02,3322,3407,3274,3275,240080
143,2000-08-03,3369,3369,3274,3275,164280
144,2000-08-04,3322,3322,3179,3237,82400
145,2000-08-07,3179,3203,3084,3085,162700
146,2000-08-08,3084,3179,3065,3085,112780
147,2000-08-09,3089,3170,3089,3156,107940
148,2000-08-10,3136,3227,3108,3180,121660
149,2000-08-11,3227,3274,3189,3189,167860
150,2000-08-14,3274,3407,3246,3298,188560
151,2000-08-16,3345,3345,3250,3275,102920
152,2000-08-17,3322,3364,3255,3279,91660
153,2000-08-18,3279,3307,3203,3227,90080
154,2000-08-21,3227,3227,3132,3156,74320
155,2000-08-22,3146,3260,3146,3246,241780
156,2000-08-23,3250,3298,3155,3184,105800
157,2000-08-24,3184,3217,3108,3146,84260
158,2000-08-25,3146,3179,3094,3132,83860
159,2000-08-28,3141,3151,3084,3118,145080
160,2000-08-29,3117,3208,3108,3137,120400
161,2000-08-30,3132,3165,3103,3142,76560
162,2000-08-31,3227,3227,3108,3146,203060
163,2000-09-01,3203,3393,3155,3227,338780
164,2000-09-04,3307,3440,3179,3436,548720
165,2000-09-05,3483,3559,3260,3275,472920
166,2000-09-06,3227,3364,3227,3279,206000
167,2000-09-07,3279,3521,3250,3289,855600
168,2000-09-08,3269,3312,3108,3180,329940
169,2000-09-14,3108,3179,3037,3089,221820
170,2000-09-15,3094,3155,3061,3066,272480
171,2000-09-18,3023,3037,2610,2658,185640
172,2000-09-19,2705,3037,2610,2800,466600
173,2000-09-20,2847,3061,2847,2942,219720
174,2000-09-21,2932,2980,2762,2800,196640
175,2000-09-22,2800,2880,2610,2653,242740
176,2000-09-25,2667,2747,2667,2734,180260
177,2000-09-26,2752,2942,2738,2800,313480
178,2000-09-27,2852,3027,2752,2980,470020
179,2000-09-28,2999,3037,2861,2895,263120
180,2000-09-29,2966,3117,2890,2966,452840
181,2000-10-02,2947,3046,2913,2923,193620
182,2000-10-04,2985,3132,2956,2980,470920
183,2000-10-05,3084,3084,2980,2990,251780
184,2000-10-06,3013,3075,2942,2966,157580
185,2000-10-09,2918,2942,2847,2857,152520
186,2000-10-10,2871,3018,2809,2980,347860
187,2000-10-11,3013,3098,2871,2942,408920
188,2000-10-12,2899,2970,2871,2885,136200
189,2000-10-13,2728,3132,2562,2753,539060
190,2000-10-16,3051,3051,2809,2895,268700
191,2000-10-17,2942,3027,2828,2828,407080
192,2000-10-18,2828,2828,2629,2729,171340
193,2000-10-19,2686,2781,2667,2677,160520
194,2000-10-20,2705,2771,2705,2748,166280
195,2000-10-23,2771,2771,2657,2658,90780
196,2000-10-24,2705,2724,2638,2658,128860
197,2000-10-25,2638,2719,2614,2624,120280
198,2000-10-26,2610,2629,2576,2577,111160
199,2000-10-27,2562,2624,2529,2529,140640
200,2000-10-30,2491,2562,2377,2382,145860
201,2000-10-31,2372,2463,2197,2378,189320
202,2000-11-01,2387,2486,2372,2420,219500
203,2000-11-02,2444,2581,2420,2539,238660
204,2000-11-03,2562,2705,2515,2539,223880
205,2000-11-06,2605,2605,2538,2553,125780
206,2000-11-07,2553,2785,2553,2610,334500
207,2000-11-08,2610,2633,2496,2525,115080
208,2000-11-09,2543,2581,2515,2553,76980
209,2000-11-10,2515,2591,2491,2539,95460
210,2000-11-13,2491,2515,2439,2444,77520
211,2000-11-14,2439,2510,2406,2492,138780
212,2000-11-15,2562,2562,2458,2492,137800
213,2000-11-16,2496,2515,2439,2439,96960
