,날짜,시가,고가,저가,종가,거래량
0,2011-03-04,14812,15200,12973,13651,5188793
1,2011-03-07,13893,15587,13796,14813,4682457
2,2011-03-08,14909,14909,14135,14619,1286775
3,2011-03-09,15151,15684,14764,15297,1923684
4,2011-03-10,15926,16168,14909,15103,1655996
5,2011-03-11,14812,15974,14716,15636,1217067
6,2011-03-14,15200,15393,14328,15394,1043631
7,2011-03-15,15345,15587,13941,14619,951624
8,2011-03-16,14958,15393,14425,15394,702242
9,2011-03-17,14909,15877,14812,15394,944511
10,2011-03-18,15587,15974,15442,15588,742287
11,2011-03-21,15539,17911,15490,17911,2969686
12,2011-03-22,17911,18346,17475,18298,2526775
13,2011-03-23,18104,18250,17669,17766,790457
14,2011-03-24,17911,19605,17620,18686,2457950
15,2011-03-25,18879,19799,18395,18395,1593068
16,2011-03-28,18443,18879,17862,18202,909569
17,2011-03-29,18298,19944,17959,19509,1398165
18,2011-03-30,19460,21299,19363,19847,1450063
19,2011-03-31,20137,20767,19847,20332,669364
20,2011-04-01,20331,21299,19944,21155,1168269
21,2011-04-04,21590,21638,20960,21348,586836
22,2011-04-05,21348,22558,21348,21929,1090741
23,2011-04-06,22219,22364,21541,21929,729149
24,2011-04-07,22267,22558,20960,22123,725102
25,2011-04-08,21832,23768,21832,22268,1096291
26,2011-04-11,22703,23332,22413,22946,539312
27,2011-04-12,23042,23623,22606,23575,627172
28,2011-04-13,23574,24397,23284,23527,789298
29,2011-04-14,23768,25366,22994,25027,1198753
30,2011-04-15,25366,28464,25366,26673,2312888
31,2011-04-18,27496,30448,26915,30013,1326458
32,2011-04-19,29432,30787,27592,28561,1829774
33,2011-04-20,28270,29529,27011,29287,1863916
34,2011-04-21,29674,32530,29141,31950,1478436
35,2011-04-22,32094,33740,31949,33402,1333855
36,2011-04-25,34708,34805,32724,33208,1017177
37,2011-04-26,32917,33208,31417,31417,1234233
38,2011-04-27,31707,32433,29141,31466,1794950
39,2011-04-28,31852,34563,31852,34564,955925
40,2011-04-29,35386,36500,33111,34467,1219545
41,2011-05-02,35338,35338,31078,31466,1369390
42,2011-05-03,31610,33111,30690,32627,1182150
43,2011-05-04,31998,32143,29577,29674,1292984
44,2011-05-06,28657,29045,26624,29045,1487526
45,2011-05-09,29432,31126,28899,30352,851170
46,2011-05-11,31126,32288,30981,30981,735767
47,2011-05-12,30206,31223,29722,30788,433294
48,2011-05-13,31368,32094,27592,30013,1137903
49,2011-05-16,30061,30836,28657,30013,612090
50,2011-05-17,30013,30110,28754,28997,328043
51,2011-05-18,28754,28899,26769,27012,1525981
52,2011-05-19,27350,27786,25511,26044,935477
53,2011-05-20,26576,26915,25608,26576,589587
54,2011-05-23,26237,27302,25946,27206,539290
55,2011-05-24,27205,28706,26963,28513,682255
56,2011-05-25,28996,29141,26431,26625,693551
57,2011-05-26,27108,28270,26188,28222,558256
58,2011-05-27,28270,28754,27641,28029,316539
59,2011-05-30,28464,28609,26866,27012,289324
60,2011-05-31,27399,28076,27108,28077,354919
61,2011-06-01,28076,29480,27592,29142,874966
62,2011-06-02,28270,29432,28173,28271,379004
63,2011-06-03,28367,28706,26285,26576,889686
64,2011-06-07,25898,25946,22703,24059,1682324
65,2011-06-08,24543,26285,24252,26237,642348
66,2011-06-09,25608,26382,25317,25656,360468
67,2011-06-10,25559,26092,24059,24398,323585
68,2011-06-13,23816,24881,23478,23672,260808
69,2011-06-14,23623,25317,23623,24785,348488
70,2011-06-15,25172,26188,25075,25366,306849
71,2011-06-16,24833,24881,24059,24253,284939
72,2011-06-17,24591,24785,22267,23042,602433
73,2011-06-20,23042,23574,20573,20574,1074706
74,2011-06-21,20912,21057,19750,20912,830848
75,2011-06-22,21348,22413,21106,21929,590356
76,2011-06-23,21638,21783,20864,20912,325895
77,2011-06-24,21154,22800,21057,22365,705160
78,2011-06-27,22413,23962,22074,23672,765436
79,2011-06-28,24107,24688,23381,23769,392713
80,2011-06-29,24349,24591,23671,24059,320376
81,2011-06-30,24446,24591,23236,24349,318867
82,2011-07-01,24736,25269,23913,24979,522762
83,2011-07-04,25414,27011,25269,26867,911415
84,2011-07-05,27011,27350,25850,26867,636314
85,2011-07-06,24785,24785,22848,22849,2720422
86,2011-07-07,22267,23236,21396,22510,1683648
87,2011-07-08,22751,23090,21880,22123,1092242
88,2011-07-11,22122,22655,22025,22123,518522
89,2011-07-12,21638,21929,21154,21203,618316
90,2011-07-13,21154,22461,20815,22462,777897
91,2011-07-14,22413,22606,21783,21929,394340
92,2011-07-15,21880,22025,21154,21251,513524
93,2011-07-18,21396,21880,21057,21397,389014
94,2011-07-19,21299,22267,21299,22268,393319
95,2011-07-20,22751,24107,22558,24011,1256765
96,2011-07-21,24107,24155,22751,22752,712750
97,2011-07-22,23332,23623,22848,23236,441870
98,2011-07-25,22945,23042,21977,21977,443185
99,2011-07-26,22122,22655,22025,22413,223798
100,2011-07-27,22074,23139,21541,23139,577474
101,2011-07-28,22703,23574,22509,23188,492305
102,2011-07-29,23429,24349,23090,24059,936595
103,2011-08-01,25027,25269,24107,24204,910844
104,2011-08-02,23865,24155,22364,22800,564872
105,2011-08-03,22074,22122,21202,21493,582808
106,2011-08-04,21832,22219,21202,21251,418076
107,2011-08-05,18927,20234,18540,19363,638586
108,2011-08-08,18927,19895,16458,17233,961411
109,2011-08-09,16362,16555,14667,16362,1517598
110,2011-08-10,17427,17911,16942,17185,589821
111,2011-08-11,15877,17814,15732,17669,501212
112,2011-08-12,18298,18879,17523,17524,472512
113,2011-08-16,18298,19266,18250,19170,351053
114,2011-08-17,19169,20089,18685,19460,531934
115,2011-08-18,19557,20041,19363,19363,498270
116,2011-08-19,18201,18588,17233,17233,333127
117,2011-08-22,16942,18104,16458,16507,511955
118,2011-08-23,16749,18976,16749,18976,548260
119,2011-08-24,19411,19653,18201,18976,407916
120,2011-08-25,19460,19750,18734,18782,412544
121,2011-08-26,18637,19460,18637,18976,299957
122,2011-08-29,19460,19605,19024,19218,342519
123,2011-08-30,19557,19750,17717,18637,765540
124,2011-08-31,18734,18782,17717,17960,379495
125,2011-09-01,18007,18346,17378,17427,590689
126,2011-09-02,17185,17620,16797,17282,345147
127,2011-09-05,16652,16846,16265,16314,278255
128,2011-09-06,15781,16120,15055,15249,405177
129,2011-09-07,15926,15974,15345,15878,344276
130,2011-09-08,16216,16797,15684,15975,359959
131,2011-09-09,15877,16216,15587,16168,179502
132,2011-09-14,16216,16313,15151,15152,179510
133,2011-09-15,15587,15877,14038,14910,405053
134,2011-09-16,15297,16120,14764,15830,799057
135,2011-09-19,15442,15684,14522,14523,496079
136,2011-09-20,14135,14667,13748,14281,956576
137,2011-09-21,14328,14861,13990,14716,903405
138,2011-09-22,14135,14328,13748,13942,422512
139,2011-09-23,12973,13118,12247,12247,792145
140,2011-09-26,12392,12489,10456,10553,2040078
141,2011-09-27,10988,11569,10698,11473,1604575
142,2011-09-28,11618,11714,10891,10892,776246
143,2011-09-29,10988,12489,10940,12441,1437599
144,2011-09-30,12247,12828,12005,12393,737615
145,2011-10-04,11521,11860,11327,11763,565821
146,2011-10-05,12005,12150,10795,10940,668507
147,2011-10-06,11521,12053,11279,11376,807544
148,2011-10-07,11860,13070,11811,12441,2291037
149,2011-10-10,12537,14038,12489,13603,1244063
150,2011-10-11,14377,14377,13554,13603,1000413
151,2011-10-12,13796,15635,13505,15636,1316240
152,2011-10-13,16168,17185,15781,16120,1796355
153,2011-10-14,16120,17088,15442,16846,1071441
154,2011-10-17,17330,17378,16507,16798,804755
155,2011-10-18,16120,16216,15684,15781,838678
156,2011-10-19,16120,16652,15732,15878,665173
157,2011-10-20,15974,16362,14328,14377,762125
158,2011-10-21,15055,16507,14570,16507,1100137
159,2011-10-24,16894,18976,16797,18976,1936225
160,2011-10-25,19266,20089,18492,19267,1775150
161,2011-10-26,19121,19944,18879,19702,1134755
162,2011-10-27,20041,20089,18395,19025,955677
163,2011-10-28,19363,19508,17669,18250,1123645
164,2011-10-31,18201,18879,17620,18444,627539
165,2011-11-01,17959,18540,17475,17911,631827
166,2011-11-02,16942,18104,16700,18105,754673
167,2011-11-03,18201,19557,17814,18637,1122159
168,2011-11-04,19363,19460,18976,18976,592084
169,2011-11-07,19460,19847,19072,19363,533201
170,2011-11-08,19702,19799,18927,18928,464950
171,2011-11-09,19508,21444,19363,20622,1640435
172,2011-11-10,19847,19992,18976,19121,764348
173,2011-11-11,19702,20186,19218,20186,608870
174,2011-11-14,20525,20573,19750,19944,813235
175,2011-11-15,19750,20476,18879,19073,628914
176,2011-11-16,19411,19557,17814,17911,667265
177,2011-11-17,18346,18830,17717,18686,415141
178,2011-11-18,18201,18734,18007,18734,316246
179,2011-11-21,18395,18734,17911,18153,259845
180,2011-11-22,17765,18637,17717,18250,255018
181,2011-11-23,18298,18879,17717,17718,344186
182,2011-11-24,17717,18007,17136,17475,376400
183,2011-11-25,17475,17717,16313,16556,354875
184,2011-11-28,17136,18298,16942,18056,587762
185,2011-11-29,18153,18201,17620,18105,336664
186,2011-11-30,18056,18734,17911,18395,415078
187,2011-12-01,19363,19363,18443,18492,396524
188,2011-12-02,18588,18588,18007,18056,227664
189,2011-12-05,18056,18298,17911,18153,193436
190,2011-12-06,18153,18250,17378,17572,252236
191,2011-12-07,17717,18298,17523,18298,249656
192,2011-12-08,18346,18346,17620,17814,232664
193,2011-12-09,17475,18298,17330,18105,269360
194,2011-12-12,18588,19169,18540,19025,657391
195,2011-12-13,18879,18879,18298,18492,297403
196,2011-12-14,18443,18588,17717,17718,242137
197,2011-12-15,17281,17620,17136,17427,198725
198,2011-12-16,17620,17717,17281,17330,126314
199,2011-12-19,17330,17330,15297,16072,412502
200,2011-12-20,15974,16652,15974,16362,244154
201,2011-12-21,16942,17136,16797,16798,218363
202,2011-12-22,16652,16894,16458,16459,151288
