,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,3293,3610,3293,3550,93965
1,2000-01-05,3447,3728,3391,3490,89750
2,2000-01-06,3648,3708,3447,3450,136760
3,2000-01-07,3510,3590,3457,3530,50197
4,2000-01-10,3610,3650,3469,3530,57950
5,2000-01-11,3588,4049,3568,4052,144598
6,2000-01-12,3851,4332,3851,3971,190927
7,2000-01-13,4009,4210,3889,4172,72986
8,2000-01-14,4210,4490,4169,4413,174772
9,2000-01-17,4412,4613,4151,4613,109252
10,2000-01-18,4530,4571,4129,4493,103607
11,2000-01-19,4813,4813,4292,4332,196870
12,2000-01-20,4332,4573,4171,4573,80483
13,2000-01-21,4571,4731,4410,4413,52660
14,2000-01-24,4290,4390,4169,4172,39695
15,2000-01-25,4069,4069,3808,3811,64540
16,2000-01-26,3814,3931,3770,3879,47829
17,2000-01-27,3931,3991,3875,3911,25195
18,2000-01-28,3931,4091,3931,3979,18909
19,2000-01-31,4212,4212,3983,4011,45627
20,2000-02-01,4009,4189,3989,4052,33123
21,2000-02-02,4131,4553,4031,4553,59838
22,2000-02-03,4811,5232,4651,5235,323557
23,2000-02-07,5234,5455,4853,5034,157961
24,2000-02-08,5052,5172,4871,4894,67082
25,2000-02-09,5014,5616,4974,5616,221265
26,2000-02-10,5774,5934,5493,5576,173390
27,2000-02-11,5575,5816,5014,5014,95508
28,2000-02-14,5092,5172,4671,5135,66678
29,2000-02-15,5214,5255,4934,5014,44853
30,2000-02-16,4932,5012,4751,4814,61611
31,2000-02-17,4731,5192,4651,4814,70720
32,2000-02-18,5014,5415,4974,5255,90220
33,2000-02-21,5255,5595,5034,5415,77419
34,2000-02-22,5413,5734,5313,5556,77300
35,2000-02-23,5553,5714,5433,5476,32445
36,2000-02-24,5393,5734,5393,5536,44145
37,2000-02-25,5816,6257,5716,6077,150223
38,2000-02-28,6217,6578,6057,6097,159130
39,2000-02-29,6338,6338,5696,5736,58600
40,2000-03-02,6215,6576,6055,6579,89245
41,2000-03-03,6576,6657,6215,6278,34309
42,2000-03-06,6338,6538,6017,6037,39945
43,2000-03-07,6175,6616,6175,6559,118886
44,2000-03-08,6556,6777,6255,6559,45450
45,2000-03-09,6737,7459,6657,7301,80035
46,2000-03-10,7481,7481,7120,7160,35271
