,날짜,시가,고가,저가,종가,거래량
0,2019-10-30,67056,82931,66600,75724,1309394
1,2019-10-31,74264,80103,74264,77093,232291
2,2019-11-01,77092,80103,76636,79100,195471
3,2019-11-04,79373,80012,77366,78826,90370
4,2019-11-05,78552,78552,74355,75998,118025
5,2019-11-06,75997,77001,72987,75542,86512
6,2019-11-07,74173,74902,73169,74629,72763
7,2019-11-08,75450,77001,72622,75542,140363
8,2019-11-11,76636,80285,74811,79830,287217
9,2019-11-12,79829,80285,76910,78005,92280
10,2019-11-13,78004,79829,75267,79373,82915
11,2019-11-14,79829,84208,79373,83753,196040
12,2019-11-15,84208,85850,82292,85486,115388
13,2019-11-18,85486,85577,82749,83935,76815
14,2019-11-19,83113,83661,79920,80742,93959
15,2019-11-20,81836,81836,77366,77640,89121
16,2019-11-21,77183,83478,77001,80377,109569
17,2019-11-22,80833,84208,80833,83935,88420
18,2019-11-25,84026,85850,83661,85486,80738
19,2019-11-26,85668,86215,84208,85577,63888
20,2019-11-27,86215,86215,82840,83388,50486
21,2019-11-28,83478,85303,82840,83570,36202
22,2019-11-29,83752,84847,80285,82475,61220
23,2019-12-02,82475,82475,77092,79100,122904
24,2019-12-03,78917,79373,77092,79373,61158
25,2019-12-04,78278,80194,77548,78279,30897
26,2019-12-05,78278,79647,77366,78187,35726
27,2019-12-06,78461,78917,76818,77093,59574
28,2019-12-09,77639,77639,73808,76636,115178
29,2019-12-10,76727,76727,74811,75542,43707
30,2019-12-11,76271,76362,75176,76089,47787
31,2019-12-12,75724,79555,75359,79008,79362
32,2019-12-13,81015,82201,80103,80833,99605
33,2019-12-16,81015,81927,77639,80468,45772
34,2019-12-17,80012,81106,78917,79100,45064
35,2019-12-18,79373,79555,77731,79008,61873
36,2019-12-19,79373,79464,77731,78917,24300
37,2019-12-20,79190,79190,78004,78826,42727
38,2019-12-23,78096,78552,77548,77549,67841
39,2019-12-24,77731,78369,76910,78279,68485
40,2019-12-26,77639,82201,77548,81654,136056
41,2019-12-27,82475,85303,82475,84209,125965
42,2019-12-30,84208,85486,83113,84665,54268
43,2020-01-02,84756,85121,83570,84118,44243
44,2020-01-03,84117,85942,84026,85121,94405
45,2020-01-06,85121,85486,82840,83753,41167
46,2020-01-07,84573,87401,83752,87402,128353
47,2020-01-08,86763,87310,82110,84847,88524
48,2020-01-09,87401,87401,85394,85486,47545
49,2020-01-10,85850,88314,85212,87402,75733
50,2020-01-13,87493,92602,87128,89774,96918
51,2020-01-14,90868,94883,90686,93515,120781
52,2020-01-15,92602,94426,91233,93515,70504
53,2020-01-16,93514,95795,91233,93515,79562
54,2020-01-17,93514,94883,91233,91234,63348
55,2020-01-20,91233,92602,91051,92146,48947
56,2020-01-21,91689,95339,91233,95339,61659
57,2020-01-22,95339,95795,93514,95339,31742
58,2020-01-23,95339,95795,93058,95339,44781
59,2020-01-28,91233,93970,87766,93515,104816
60,2020-01-29,93970,97163,92146,94883,95736
61,2020-01-30,93970,98988,92602,98076,138976
62,2020-01-31,99900,100357,97620,97620,102555
63,2020-02-03,95339,98988,93514,98532,65532
64,2020-02-04,98532,104918,98532,101269,148784
65,2020-02-05,102637,103550,99444,101269,93023
66,2020-02-06,101725,104006,95795,98532,127015
67,2020-02-07,98988,100357,96707,98076,65660
68,2020-02-10,96707,99900,91689,94427,143374
69,2020-02-11,94426,96251,92602,95339,102711
70,2020-02-12,93970,95339,91689,93058,144086
71,2020-02-13,93514,95339,92602,94883,96977
72,2020-02-14,94883,98532,93058,98076,77547
73,2020-02-17,97163,98988,95339,96708,69754
74,2020-02-18,97163,98076,95795,98076,51917
75,2020-02-19,99444,99900,97163,98989,76506
