,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,35692,36272,30383,30383,299705
1,2000-01-05,26769,26769,26769,26769,11735
2,2000-01-06,25429,26679,23556,23556,287096
3,2000-01-07,20746,20746,20746,20746,12935
4,2000-01-10,20746,21861,18292,20969,748874
5,2000-01-11,23467,23467,22396,23467,158638
6,2000-01-12,20656,26189,20656,22040,835796
7,2000-01-13,20790,22039,19407,19407,481144
8,2000-01-14,20076,21727,17087,20835,685501
9,2000-01-17,22306,23333,19986,23333,498122
10,2000-01-18,23646,26100,23467,26100,257945
11,2000-01-19,28909,29132,22976,23110,748278
12,2000-01-20,23199,25608,20968,25073,678076
13,2000-01-21,25073,26590,23645,24538,539470
14,2000-01-24,24181,25341,24137,24360,303779
15,2000-01-25,21861,23021,21460,21460,254165
16,2000-01-26,21860,22306,19005,19630,394786
17,2000-01-27,18291,18737,17310,17310,247224
18,2000-01-28,16150,19363,15793,19363,515977
19,2000-01-31,19006,21683,18381,21683,206802
20,2000-02-01,24270,24270,24270,24270,35182
21,2000-02-02,25028,26679,24091,24895,578226
22,2000-02-03,27840,27840,26590,27840,201794
23,2000-02-07,31141,31141,31141,31141,12519
24,2000-02-08,34800,34800,30160,34800,600859
25,2000-02-09,36583,38904,35691,38904,225518
26,2000-02-10,40867,43544,39260,43544,163733
27,2000-02-11,48720,48720,48720,48720,55360
28,2000-02-14,47113,53181,42919,44080,1254125
29,2000-02-15,44615,46221,38815,38815,648619
30,2000-02-16,37476,43455,35691,43455,871486
31,2000-02-17,43900,47738,41938,43455,1019885
32,2000-02-18,44704,45775,40153,40689,912308
33,2000-02-21,37476,40688,35959,36852,588638
34,2000-02-22,38368,39617,34085,34978,481754
35,2000-02-23,33372,34443,30784,32123,461574
36,2000-02-24,35514,35960,33907,35960,198168
37,2000-02-25,39171,39528,35334,35692,505172
38,2000-02-28,33907,36584,32747,32837,472014
39,2000-02-29,34086,34800,31855,32837,277474
40,2000-03-02,33907,34800,30873,32034,309043
41,2000-03-03,28197,29446,28197,28197,616721
42,2000-03-06,29445,29891,25340,26233,476923
43,2000-03-07,25252,28375,24092,27840,583977
44,2000-03-08,26411,29802,26232,28553,765858
45,2000-03-09,29267,31944,27660,31944,657180
46,2000-03-10,33014,34977,30159,31587,805770
47,2000-03-13,31587,32122,27839,28018,480702
48,2000-03-14,25520,27661,25162,25966,432507
49,2000-03-15,24983,27482,23913,25430,620710
50,2000-03-16,25876,28285,24716,26233,1060110
51,2000-03-17,25519,25875,23109,23110,354337
52,2000-03-20,22306,22306,20344,20344,282628
53,2000-03-21,18202,20968,17934,19630,721601
54,2000-03-22,20522,21949,20165,20433,663165
55,2000-03-23,21325,21949,18916,19630,479646
56,2000-03-24,20255,20701,18738,19452,294750
57,2000-03-27,19808,21236,18827,20612,626061
58,2000-03-28,20701,21325,20344,20612,272204
59,2000-03-29,19630,20343,18202,18381,239908
60,2000-03-30,17221,20523,16239,20523,588454
61,2000-03-31,19898,21771,18202,18292,655624
62,2000-04-03,18737,19184,16364,17221,369369
63,2000-04-04,16417,16685,15275,15668,525347
64,2000-04-06,15703,17274,15525,15918,688677
65,2000-04-07,16775,17828,16418,17828,413924
66,2000-04-10,19273,19898,18916,19898,104221
67,2000-04-11,17935,20879,17756,17846,822622
68,2000-04-12,17310,17845,16774,17310,297372
69,2000-04-14,16060,16417,15240,15240,236537
70,2000-04-17,13420,13420,13420,13420,7533
71,2000-04-18,13759,14794,11813,12028,631180
72,2000-04-19,12527,13366,11795,12135,649251
73,2000-04-20,11956,12188,10707,11207,424136
74,2000-04-21,11527,12545,10956,12545,789166
75,2000-04-24,12455,12812,11064,11064,460887
76,2000-04-25,10546,11349,10225,10921,475086
77,2000-04-26,11474,11742,10600,10707,415691
78,2000-04-27,10260,10617,9422,9422,261597
79,2000-04-28,9636,9886,9012,9369,416303
80,2000-05-02,9654,10493,9493,10493,332684
81,2000-05-03,10689,11331,10564,11064,558891
82,2000-05-04,11189,12206,10814,11332,444634
83,2000-05-08,11795,12134,11153,11189,430612
84,2000-05-09,10724,10795,10224,10457,262254
85,2000-05-10,10439,10706,9993,10243,343443
86,2000-05-12,9975,10189,9207,9279,299407
87,2000-05-15,8922,9190,8173,8182,302507
88,2000-05-16,8182,9155,7852,9155,437778
89,2000-05-17,9475,9636,8066,8209,629814
90,2000-05-18,8030,9065,7405,8423,946746
91,2000-05-19,8833,9422,8226,9422,887775
92,2000-05-22,9636,10546,8744,9119,1720376
93,2000-05-23,9458,10208,9208,10208,615444
94,2000-05-24,10689,11421,10439,11421,1163564
95,2000-05-25,11599,12777,11063,12420,915709
96,2000-05-26,11938,13830,11260,11778,1274576
97,2000-05-29,11778,12313,11153,11475,744024
98,2000-05-30,11778,12849,11617,12849,837302
99,2000-05-31,13811,14383,13526,14383,911870
100,2000-06-01,14383,15151,13794,14027,1171028
101,2000-06-02,14775,15203,13437,13937,769922
102,2000-06-05,14829,15597,14544,15597,613921
103,2000-06-07,15882,17453,15704,17453,825567
104,2000-06-08,18559,19541,17595,19541,1214861
105,2000-06-09,18737,21146,17220,17774,1432711
106,2000-06-12,17667,18470,16239,17025,816050
107,2000-06-13,16953,18292,15615,16204,1032702
108,2000-06-14,16828,17221,15650,16222,697344
109,2000-06-15,15882,16060,14276,14276,474702
110,2000-06-16,13741,15990,13384,15990,1330680
