,날짜,시가,고가,저가,종가,거래량
0,2010-02-01,46478,47881,40587,43112,1212477
1,2010-02-02,43953,44982,40212,41008,543547
2,2010-02-03,42083,44888,40587,42878,486500
3,2010-02-04,42831,44327,41615,42785,356454
4,2010-02-05,40727,41522,40400,41055,299920
5,2010-02-08,42083,43766,41849,43346,512594
6,2010-02-09,43018,43299,40493,43019,426073
7,2010-02-10,43579,43579,41475,41475,258670
8,2010-02-11,41007,41989,40867,41475,169212
9,2010-02-12,41522,43205,41148,42972,224215
10,2010-02-16,42971,42971,41989,42551,134349
11,2010-02-17,42550,43673,42363,42785,187192
12,2010-02-18,43018,43158,41802,41990,137887
13,2010-02-19,41756,41756,39698,40026,331924
14,2010-02-22,40306,40914,39932,40774,150204
15,2010-02-23,40493,41101,40166,40681,99060
16,2010-02-24,40400,40400,39184,39278,192870
17,2010-02-25,39698,39838,38436,39138,199438
18,2010-02-26,39090,40727,38903,40447,91437
19,2010-03-02,40493,40680,39605,40306,94275
20,2010-03-03,39932,40306,39277,39465,110222
21,2010-03-04,39558,40306,39277,39652,95505
22,2010-03-05,39745,40119,39418,40026,94565
23,2010-03-08,40400,40774,39792,40634,166393
24,2010-03-09,40400,40633,39979,39979,87643
25,2010-03-10,40025,40259,39418,39745,140898
26,2010-03-11,39745,40540,39651,40494,167599
27,2010-03-12,40680,42270,40493,42083,377052
28,2010-03-15,42644,43252,42083,42317,317725
29,2010-03-16,42691,42691,41756,42411,120771
30,2010-03-17,42597,43766,42130,43299,330807
31,2010-03-18,43205,43953,42925,43486,135414
32,2010-03-19,43299,43860,42784,43393,128573
33,2010-03-22,43252,43299,42363,42504,84258
34,2010-03-23,42550,44374,42317,44375,236274
35,2010-03-24,44608,44935,44047,44375,143177
36,2010-03-25,44327,44888,43626,44889,131836
37,2010-03-26,44701,44701,43953,43954,100741
38,2010-03-29,43673,44140,42550,42644,152576
39,2010-03-30,42925,43486,42270,43019,147540
40,2010-03-31,42691,43439,42317,43393,189277
41,2010-04-01,43392,43486,42784,42878,168185
42,2010-04-02,42878,42878,40446,40914,277289
43,2010-04-05,41148,41241,39792,40681,684270
44,2010-04-06,40680,41943,40680,41896,132417
45,2010-04-07,41896,42223,41709,42083,76449
46,2010-04-08,41756,42083,41428,42083,58071
47,2010-04-09,41709,42083,40961,41756,54249
48,2010-04-12,41522,41896,40400,40681,92646
49,2010-04-13,40867,40961,40072,40961,88120
50,2010-04-14,40727,41194,40446,40494,101261
