,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,2800,2950,2700,2890,357906
1,2000-01-05,2790,2880,2680,2700,571847
2,2000-01-06,2810,2820,2500,2590,515094
3,2000-01-07,2550,2550,2290,2320,318877
4,2000-01-10,2350,2420,2220,2280,430553
5,2000-01-11,2260,2520,2180,2420,744249
6,2000-01-12,2350,2350,2160,2200,357636
7,2000-01-13,2070,2160,1970,2010,383989
8,2000-01-14,1960,2160,1960,2030,514308
9,2000-01-17,2160,2240,2000,2110,394693
10,2000-01-18,2110,2200,2050,2110,234829
11,2000-01-19,2150,2150,1860,1900,359235
12,2000-01-20,1850,1850,1680,1730,262381
13,2000-01-21,1760,1930,1700,1930,397326
14,2000-01-24,1900,2160,1900,2160,493117
15,2000-01-25,2100,2220,2020,2120,402236
16,2000-01-26,2290,2300,2050,2180,359563
17,2000-01-27,2110,2300,2040,2190,482398
18,2000-01-28,2190,2280,2050,2240,314718
19,2000-01-31,2190,2200,2130,2180,231796
20,2000-02-01,2200,2390,2150,2290,778054
21,2000-02-02,2300,2550,2240,2480,957830
22,2000-02-03,2580,2650,2300,2430,878530
23,2000-02-07,2430,2700,2400,2630,1353555
24,2000-02-08,2600,2600,2330,2350,498281
25,2000-02-09,2350,2400,2200,2270,480950
26,2000-02-10,2100,2150,2000,2030,525192
27,2000-02-11,2060,2210,2060,2110,568000
28,2000-02-14,2120,2130,1980,1990,390562
29,2000-02-15,2050,2160,2010,2060,472309
30,2000-02-16,2020,2050,1940,2020,331567
31,2000-02-17,2060,2260,2000,2260,983779
32,2000-02-18,2300,2500,2250,2350,945236
33,2000-02-21,2220,2280,2100,2200,464318
34,2000-02-22,2200,2460,2100,2450,847257
35,2000-02-23,2740,2740,2170,2370,1394730
36,2000-02-24,2470,2600,2300,2500,1567471
37,2000-02-25,2500,2560,2350,2400,1075521
38,2000-02-28,2490,2680,2400,2680,651007
39,2000-02-29,3000,3000,2860,3000,1396608
40,2000-03-02,3360,3360,3360,3360,69944
41,2000-03-03,3760,3760,3010,3220,2893275
42,2000-03-06,3400,3600,3230,3600,2285099
43,2000-03-07,3480,3580,3170,3260,1094530
44,2000-03-08,3000,3190,2910,3060,811660
45,2000-03-09,3150,3400,3000,3320,1428143
46,2000-03-10,3520,3550,3110,3220,1084087
47,2000-03-13,3220,3600,3050,3600,2136449
48,2000-03-14,3600,3950,3500,3810,2075339
49,2000-03-15,3700,4200,3610,3880,1769372
50,2000-03-16,3750,3850,3420,3420,715126
51,2000-03-17,3130,3350,3010,3010,833831
52,2000-03-20,2800,2810,2650,2650,472632
53,2000-03-21,2340,2500,2340,2360,938174
54,2000-03-22,2420,2640,2420,2640,508060
55,2000-03-23,2750,2760,2450,2610,824503
56,2000-03-24,2610,2800,2510,2660,292139
57,2000-03-27,2680,2870,2620,2820,575140
58,2000-03-28,2830,2920,2680,2740,675386
59,2000-03-29,2630,2700,2570,2570,368976
60,2000-03-30,2570,2670,2400,2670,238123
61,2000-03-31,2430,2770,2430,2660,356391
62,2000-04-03,2680,2800,2350,2370,448677
63,2000-04-04,2210,2630,2100,2520,697666
64,2000-04-06,2500,2620,2450,2590,467773
65,2000-04-07,2600,2800,2600,2770,490770
66,2000-04-10,2800,3050,2750,2980,963930
67,2000-04-11,2650,2740,2630,2630,214121
68,2000-04-12,2500,2700,2420,2640,219696
69,2000-04-14,2500,2590,2460,2500,246535
70,2000-04-17,2200,2250,2200,2200,153712
71,2000-04-18,2210,2420,2110,2280,465601
72,2000-04-19,2310,2500,2180,2270,565075
73,2000-04-20,2300,2460,2270,2420,756203
74,2000-04-21,2400,2570,2350,2500,781338
75,2000-04-24,2410,2500,2300,2350,341165
76,2000-04-25,2310,2380,2270,2350,236970
77,2000-04-26,2450,2500,2250,2280,356173
78,2000-04-27,2200,2260,2100,2110,268901
79,2000-04-28,2140,2180,2080,2120,283346
80,2000-05-02,2200,2280,2190,2250,342649
81,2000-05-03,2230,2270,2160,2210,231438
82,2000-05-04,2240,2380,2230,2270,461849
83,2000-05-08,2360,2430,2270,2320,421955
84,2000-05-09,2300,2370,2220,2280,256266
85,2000-05-10,2230,2330,2210,2300,318122
86,2000-05-12,2270,2500,2220,2320,957241
87,2000-05-15,2320,2350,2160,2220,454342
88,2000-05-16,2290,2290,2130,2190,220345
89,2000-05-17,2250,2250,1970,2010,276064
90,2000-05-18,2010,2240,1860,2020,1234807
91,2000-05-19,2000,2080,1900,2010,385194
92,2000-05-22,2050,2050,1770,1770,315534
93,2000-05-23,1610,1780,1570,1740,401316
94,2000-05-24,1700,1830,1550,1750,338371
95,2000-05-25,1850,1960,1800,1960,384292
96,2000-05-26,1880,2000,1820,1820,231207
97,2000-05-29,1710,1910,1700,1860,159897
98,2000-05-30,1870,2050,1870,1980,371298
99,2000-05-31,2190,2190,2040,2070,729644
100,2000-06-01,2000,2030,1870,1990,478127
101,2000-06-02,2070,2090,1990,2030,637519
102,2000-06-05,2050,2270,2050,2270,838745
103,2000-06-07,2300,2350,2210,2290,626367
104,2000-06-08,2320,2430,2160,2260,614750
105,2000-06-09,2260,2400,2250,2330,452279
106,2000-06-12,2200,2450,2200,2440,367063
107,2000-06-13,2460,2580,2270,2300,343142
108,2000-06-14,2380,2390,2160,2190,150580
109,2000-06-15,2190,2290,1980,2060,480888
110,2000-06-16,2060,2130,2010,2080,196398
111,2000-06-19,2060,2100,2000,2040,229754
112,2000-06-20,2010,2100,2000,2050,196487
113,2000-06-21,2050,2100,2020,2080,279043
114,2000-06-22,2060,2150,2020,2050,238296
115,2000-06-23,2030,2030,1980,2000,150047
