,날짜,시가,고가,저가,종가,거래량
0,2014-08-06,27818,31990,26504,31991,5634945
1,2014-08-07,33536,36781,32840,36782,2971840
2,2014-08-08,37786,41572,33613,33691,3078765
3,2014-08-11,34231,36163,32531,34309,1704690
4,2014-08-12,35390,36009,33536,33691,571575
5,2014-08-13,33304,33768,31913,31991,712565
6,2014-08-14,31990,33227,30986,31450,540030
7,2014-08-18,31450,34772,30754,33923,751305
8,2014-08-19,33690,34772,33072,33150,623640
9,2014-08-20,33150,33381,31604,31605,315135
10,2014-08-21,30754,30908,28900,29441,949395
11,2014-08-22,29518,29595,28049,28745,409390
12,2014-08-25,28745,29054,27509,27586,442925
13,2014-08-26,27818,29827,27818,28745,989665
14,2014-08-27,29054,30059,27509,29286,551095
15,2014-08-28,29595,32300,29208,31218,767515
16,2014-08-29,31295,31527,29827,30214,224465
17,2014-09-01,30831,31681,30290,30291,189600
18,2014-09-02,30754,31527,30368,30677,247845
19,2014-09-03,30831,32145,30831,30986,319180
20,2014-09-04,31527,31681,28745,28900,515785
21,2014-09-05,27045,28590,27045,28591,3974525
22,2014-09-11,28281,28359,27740,27973,816625
23,2014-09-12,27972,27972,26813,27432,565795
24,2014-09-15,28050,28436,27586,28282,595410
25,2014-09-16,28127,29981,27354,29673,955490
26,2014-09-17,29981,30754,29672,30600,691555
27,2014-09-18,30600,30986,30136,30600,376380
28,2014-09-19,30909,32608,30445,30600,809275
29,2014-09-22,30600,30908,29672,30368,283385
30,2014-09-23,30290,31604,30059,31450,422165
31,2014-09-24,31295,32686,30986,32609,460475
32,2014-09-25,32840,33072,32145,32223,361350
33,2014-09-26,31681,33227,31681,32686,309900
34,2014-09-29,32995,34463,32531,33614,593940
35,2014-09-30,33768,34077,32840,33305,292905
36,2014-10-01,33381,33999,32917,33227,296905
37,2014-10-02,32995,34618,32686,34309,261445
38,2014-10-06,34618,36318,34000,34155,618545
39,2014-10-07,34540,34540,32609,34386,229915
40,2014-10-08,34077,34231,33381,33382,212285
41,2014-10-10,33072,33381,30445,31682,452715
42,2014-10-13,31681,32068,30445,31295,301075
43,2014-10-14,31218,31604,30445,30755,187800
44,2014-10-15,30754,31836,29750,31682,273540
45,2014-10-16,31063,32995,30831,32609,191385
46,2014-10-17,33304,33304,31990,32686,163480
47,2014-10-20,33072,34077,32918,33382,257505
48,2014-10-21,34000,34154,33227,34000,135855
49,2014-10-22,34309,35854,33613,35777,262635
50,2014-10-23,35699,36936,34386,34695,315370
51,2014-10-24,35313,36704,33459,34695,363130
52,2014-10-27,34540,34927,33459,33691,145655
53,2014-10-28,34695,35931,33845,35932,262475
54,2014-10-29,35931,36240,34850,35005,160770
55,2014-10-30,34695,35854,33690,34695,238455
56,2014-10-31,35004,35081,33536,33923,141925
57,2014-11-03,34077,34618,32840,34541,163480
58,2014-11-04,34540,34540,32763,33614,205895
59,2014-11-05,32995,33690,30831,31295,692360
60,2014-11-06,31372,31681,30522,30755,253875
61,2014-11-07,30600,31372,30600,30909,142365
62,2014-11-10,31063,31295,29054,29055,684170
63,2014-11-11,29517,32995,29517,30909,1263330
64,2014-11-12,31450,31450,30290,30523,263230
65,2014-11-13,30290,30754,29518,29595,296385
66,2014-11-14,29750,30059,28590,28745,307630
67,2014-11-17,29054,29440,28822,28823,184275
68,2014-11-18,28822,29595,28822,29132,118645
69,2014-11-19,29131,30600,29131,30291,181430
70,2014-11-20,30600,30677,29363,29673,190450
71,2014-11-21,30059,30290,29672,29827,98205
72,2014-11-24,30213,30754,29131,29364,246205
73,2014-11-25,29440,30754,28822,30600,275390
74,2014-11-26,30522,32222,30522,32223,384145
75,2014-11-27,32222,32763,31295,32455,303570
76,2014-11-28,31372,31372,29209,30600,905780
77,2014-12-01,30522,30600,29750,30600,294455
78,2014-12-02,30831,31372,30677,31295,287340
79,2014-12-03,31295,31372,30445,31218,196040
80,2014-12-04,31372,32763,31372,32532,324020
81,2014-12-05,32222,32454,31604,31991,111210
82,2014-12-08,32222,32300,30677,31218,173850
83,2014-12-09,31372,31527,30213,30214,159200
84,2014-12-10,30522,30831,29518,29750,109250
85,2014-12-11,29750,30445,29595,30291,179525
86,2014-12-12,30290,30522,29363,30368,171540
87,2014-12-15,29595,30059,29595,29827,118340
88,2014-12-16,29672,29672,27972,28359,414045
89,2014-12-17,28590,28668,27122,27586,406890
90,2014-12-18,27740,27740,26581,27045,342625
91,2014-12-19,27277,28204,27200,27664,334185
92,2014-12-22,28050,28513,27895,28205,114335
93,2014-12-23,28436,28436,27663,27818,63030
94,2014-12-24,27895,28281,27818,28127,87980
95,2014-12-26,28436,28977,28204,28591,110565
96,2014-12-29,28513,28513,27509,27973,166655
97,2014-12-30,27972,28281,27045,27509,217605
98,2015-01-02,27509,27895,27200,27509,88445
99,2015-01-05,27663,27740,27354,27509,109070
100,2015-01-06,27200,27354,26581,26736,142870
101,2015-01-07,26427,27818,26427,27818,201740
102,2015-01-08,28050,28127,26968,27123,151595
103,2015-01-09,27122,27509,26890,27200,112660
104,2015-01-12,26968,28513,26968,27664,407285
105,2015-01-13,27663,28050,27431,27664,222180
106,2015-01-14,27895,28049,26968,27045,191070
107,2015-01-15,26890,27586,26890,27200,135525
108,2015-01-16,27122,27354,26813,27200,113120
109,2015-01-19,27895,28127,27277,27432,225625
110,2015-01-20,27663,27972,27200,27432,123550
111,2015-01-21,27586,27818,27122,27123,164170
