,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,454000,454000,382000,399000,80
1,2000-01-05,385000,385000,378000,378500,70
2,2000-01-06,372500,372500,370000,370000,40
3,2000-01-07,370000,381000,370000,381000,300
4,2000-01-10,384000,384500,372000,372500,100
5,2000-01-11,371000,380000,370000,380000,240
6,2000-01-12,380000,380000,372500,380000,220
7,2000-01-13,370000,421500,370000,385000,510
8,2000-01-14,381000,390000,381000,390000,100
9,2000-01-17,415000,415000,373000,373500,190
10,2000-01-18,372000,380000,371500,371500,150
11,2000-01-19,370500,370500,361000,362000,210
12,2000-01-20,353500,360000,337000,350500,330
13,2000-01-21,350500,350500,350500,350500,30
14,2000-01-24,360000,365000,331000,365000,120
15,2000-01-25,364000,364000,364000,364000,100
16,2000-01-26,360000,364000,360000,364000,50
17,2000-01-27,364000,364000,360000,360000,20
18,2000-01-28,368000,368000,368000,368000,10
19,2000-01-31,368000,374500,360000,360000,130
20,2000-02-01,368000,380000,368000,378000,210
21,2000-02-02,379000,388000,379000,381000,160
22,2000-02-03,381000,393000,381000,392000,120
23,2000-02-07,400000,439000,400000,430000,610
24,2000-02-08,429500,429500,390500,393000,150
25,2000-02-09,394000,397000,385000,397000,100
26,2000-02-10,390000,390000,385000,385500,260
27,2000-02-11,385000,385000,370000,370000,80
28,2000-02-14,360000,365000,349000,349000,70
29,2000-02-15,352500,352500,350000,350000,80
30,2000-02-16,360000,360000,345000,345000,190
31,2000-02-17,347000,347000,347000,347000,0
32,2000-02-18,347000,350000,345000,345000,410
33,2000-02-21,340000,340000,333000,333000,90
34,2000-02-22,333000,367000,322000,346000,550
35,2000-02-23,365000,397000,363000,381000,1450
36,2000-02-24,381000,381000,342000,350000,1230
37,2000-02-25,350000,400000,340000,367500,560
38,2000-02-28,371000,371000,347000,363000,430
39,2000-02-29,393000,393000,361000,383000,390
40,2000-03-02,400000,415000,400000,414000,1050
41,2000-03-03,414000,414000,400000,400000,250
42,2000-03-06,420000,420000,400000,410000,150
43,2000-03-07,430000,430000,400000,406000,360
44,2000-03-08,381000,415000,376000,415000,230
45,2000-03-09,402000,411500,401000,401000,200
46,2000-03-10,415000,415000,400000,400000,150
47,2000-03-13,400000,420000,352500,388000,400
