,날짜,시가,고가,저가,종가,거래량
0,2007-09-21,266597,306400,241064,306402,113087737
1,2007-09-27,352210,352210,352210,352212,21836024
2,2007-09-28,404780,404780,360471,370235,213015456
3,2007-10-01,375491,376993,345451,371737,82603799
4,2007-10-02,376993,376993,342448,342449,60117907
5,2007-10-04,333436,349207,320670,331935,53390929
6,2007-10-05,333436,345451,317665,322923,36643460
7,2007-10-08,336439,370986,327429,370986,74436372
8,2007-10-09,383001,399524,364977,372488,111244031
9,2007-10-10,383001,394266,372488,372488,36347832
10,2007-10-11,382236,428061,379231,414543,135323998
11,2007-10-12,423554,470866,419798,461104,119232385
12,2007-10-15,489640,530194,484369,530195,59866011
13,2007-10-16,569245,609048,554976,609048,137521393
14,2007-10-17,624817,660865,530194,598534,172973163
15,2007-10-18,623315,625568,561734,590274,75960649
16,2007-10-19,578257,607545,557980,563238,59700846
17,2007-10-22,519681,536202,503158,510669,48082631
18,2007-10-23,544462,587269,540708,587270,48600607
19,2007-10-24,630825,674382,601536,608297,92728064
20,2007-10-25,653354,699164,651853,699166,132572326
21,2007-10-26,735964,769006,683395,723198,128331533
22,2007-10-29,766002,766002,663118,693158,75990127
23,2007-10-30,693909,735964,688651,722447,45620028
24,2007-10-31,727702,744974,698399,705925,36201121
25,2007-11-01,715687,717940,650351,651103,50061415
26,2007-11-02,608296,684145,600036,663870,41437435
27,2007-11-05,678889,705923,661616,662368,29749389
28,2007-11-06,676636,695410,654106,663870,21367428
29,2007-11-07,685648,686398,632327,638337,25079579
30,2007-11-08,623315,651101,603789,623317,25147054
31,2007-11-09,632328,639087,533949,551973,49515298
32,2007-11-12,540693,548219,483633,490393,43752860
33,2007-11-13,510669,563238,505411,563238,68059813
34,2007-11-14,615806,647346,603038,647348,59828623
35,2007-11-15,659363,669876,600785,603791,49567344
36,2007-11-16,585766,626320,554226,606795,41747602
37,2007-11-19,615806,621814,578257,579009,26003921
38,2007-11-20,555726,610548,545964,603791,38641758
39,2007-11-21,599285,617309,564740,564740,27522490
40,2007-11-22,557229,587270,551222,571499,29538182
41,2007-11-23,571499,579008,535451,542962,24127417
42,2007-11-26,569246,612803,566241,593278,43907216
43,2007-11-27,563238,606044,553475,586519,47173615
44,2007-11-28,605292,610549,563238,563238,25121451
45,2007-11-29,595529,600035,563237,563989,18930163
46,2007-11-30,571499,578258,561735,564740,16085144
47,2007-12-03,567744,576754,548218,551973,16563830
48,2007-12-04,548219,561735,537704,540709,17336142
49,2007-12-05,542208,542960,519680,529444,20499250
50,2007-12-06,542209,547467,508416,510669,26418994
51,2007-12-07,514422,533196,491892,531697,28251397
52,2007-12-10,525688,536953,500155,502408,20994199
53,2007-12-11,506913,514423,492645,493397,14695038
54,2007-12-12,476124,486623,456597,475373,18813382
55,2007-12-13,476874,535451,476124,492646,42090596
56,2007-12-14,497901,505410,479126,479128,18519253
57,2007-12-17,467112,473119,444582,445334,19755992
58,2007-12-18,438575,468614,437072,449089,25035945
59,2007-12-20,455846,482115,451340,459602,29477245
60,2007-12-21,475372,482866,449824,450591,21855122
61,2007-12-24,458085,462606,446068,447587,15367491
62,2007-12-26,449840,474621,449088,451342,26633824
63,2007-12-27,460353,463356,451341,453595,11606418
64,2007-12-28,447587,455096,447587,449089,8136840
65,2008-01-02,441577,446083,419049,421302,17490386
66,2008-01-03,410037,434819,404780,422804,12769516
67,2008-01-04,426557,427308,406281,407033,14890386
68,2008-01-07,389759,401775,383000,394267,12973899
69,2008-01-08,399523,409285,391261,395018,13139277
70,2008-01-09,385253,416795,379245,416045,21308206
