,날짜,시가,고가,저가,종가,거래량
0,2001-03-23,3786,3786,3220,3220,79910
1,2001-03-26,2740,2740,2740,2739,2790
2,2001-03-27,2326,2326,2326,2328,470
3,2001-03-28,1981,1981,1981,1983,14740
4,2001-03-29,1685,2280,1685,1738,7564330
5,2001-03-30,1766,1784,1478,1482,3616560
6,2001-04-02,1446,1512,1332,1374,2090700
7,2001-04-03,1297,1330,1212,1228,1704610
8,2001-04-04,1143,1285,1134,1209,1795760
9,2001-04-06,1228,1355,1223,1303,3396870
10,2001-04-09,1282,1495,1274,1492,5675780
11,2001-04-10,1490,1538,1349,1388,2898150
12,2001-04-11,1454,1454,1341,1350,1950780
13,2001-04-12,1369,1548,1369,1548,4594180
14,2001-04-13,1698,1778,1670,1780,3606790
15,2001-04-16,1871,1988,1785,1837,16723830
16,2001-04-17,1836,1869,1561,1563,6105490
17,2001-04-18,1586,1595,1478,1520,3497190
18,2001-04-19,1519,1585,1453,1464,1994370
19,2001-04-20,1463,1520,1350,1383,1514290
20,2001-04-23,1369,1577,1369,1540,3964410
21,2001-04-24,1501,1624,1445,1474,4183320
22,2001-04-25,1501,1529,1454,1487,1347380
23,2001-04-26,1491,1534,1468,1487,881240
24,2001-04-27,1500,1623,1490,1596,3063530
25,2001-04-30,1652,1671,1558,1573,2459750
26,2001-05-02,1572,1586,1515,1553,1249020
27,2001-05-03,1572,1638,1567,1586,1819000
28,2001-05-04,1586,1619,1562,1573,1031050
29,2001-05-07,1586,1746,1524,1644,3328650
30,2001-05-08,1633,1733,1624,1672,2229960
31,2001-05-09,1643,1680,1610,1614,1131820
32,2001-05-10,1613,1854,1613,1856,4849520
33,2001-05-11,1854,2019,1783,1785,7419370
34,2001-05-14,1774,1906,1774,1851,2620590
35,2001-05-15,1871,2054,1851,1941,3814250
36,2001-05-16,1893,1959,1799,1804,1915880
37,2001-05-17,1822,1832,1723,1771,1984140
38,2001-05-18,1746,1803,1746,1756,1296980
39,2001-05-21,1756,1870,1756,1842,2226520
40,2001-05-22,1888,1969,1808,1814,1253210
41,2001-05-23,1837,1936,1822,1842,3068100
42,2001-05-24,1812,1859,1807,1851,933060
43,2001-05-25,1889,1960,1875,1903,1129070
44,2001-05-28,1946,1975,1899,1903,1086830
45,2001-05-29,1907,1936,1879,1880,959510
46,2001-05-30,1882,1892,1812,1856,473450
47,2001-05-31,1817,1837,1746,1756,1281380
48,2001-06-01,1766,1775,1680,1710,912710
49,2001-06-04,1713,1742,1699,1705,704840
50,2001-06-05,1705,1889,1705,1766,2559770
51,2001-06-07,1795,1917,1776,1898,2004490
52,2001-06-08,1915,2077,1882,1983,1914930
53,2001-06-11,1982,2068,1954,2012,1029560
54,2001-06-12,2012,2031,1946,2030,566510
55,2001-06-13,2029,2114,1991,2049,1264900
56,2001-06-14,2020,2356,2020,2356,2293540
57,2001-06-15,2450,2559,2247,2404,6226970
58,2001-06-18,2404,2763,2371,2762,4016140
59,2001-06-19,2871,3173,2833,3174,6044740
60,2001-06-20,3211,3363,2702,2701,10358910
61,2001-06-21,2700,3002,2482,2786,12374330
62,2001-06-22,2784,3134,2728,2928,8331460
63,2001-06-25,2878,3053,2775,2781,3333460
64,2001-06-26,2828,2871,2365,2417,3201750
65,2001-06-27,2294,2483,2285,2389,3086330
66,2001-06-28,2360,2743,2360,2744,5054270
67,2001-06-29,2834,3117,2673,2767,5724310
68,2001-07-02,2822,3040,2738,2956,3405930
69,2001-07-03,3022,3141,2758,2833,5213770
70,2001-07-04,3135,3163,2795,2946,3622300
71,2001-07-05,2928,2971,2834,2942,1552160
72,2001-07-06,2846,2904,2729,2777,1368680
73,2001-07-09,2690,2718,2359,2361,1861700
74,2001-07-10,2360,2559,2360,2470,2919610
75,2001-07-11,2181,2559,2181,2366,1486000
76,2001-07-12,2456,2720,2409,2531,6086060
77,2001-07-13,2653,2663,2360,2389,2061410
78,2001-07-16,2390,2475,2333,2342,1091010
79,2001-07-18,2360,2398,2219,2247,882340
80,2001-07-19,2181,2356,2162,2267,1192230
81,2001-07-20,2272,2314,2120,2177,1065830
82,2001-07-23,2151,2454,1892,2049,2636700
83,2001-07-24,2096,2124,1916,2115,1220030
84,2001-07-25,1983,2097,1975,1974,741840
85,2001-07-26,2012,2036,1908,1941,892020
86,2001-07-27,1963,2010,1963,1993,948400
87,2001-07-30,2010,2010,1887,1889,767940
88,2001-07-31,1917,2173,1903,2172,3394940
89,2001-08-01,2237,2293,2128,2191,2630560
90,2001-08-02,2238,2266,2124,2148,1210690
91,2001-08-03,2173,2239,2125,2134,689850
92,2001-08-06,2085,2156,2085,2125,499540
93,2001-08-07,2040,2342,2040,2201,2269930
94,2001-08-08,2218,2317,2199,2224,1126270
95,2001-08-09,2223,2299,2172,2214,1312990
96,2001-08-10,2227,2265,2171,2191,724680
97,2001-08-13,2181,2332,2181,2313,1573270
98,2001-08-14,2313,2436,2247,2313,2046250
99,2001-08-16,2294,2384,2276,2333,803850
100,2001-08-17,2359,2374,2232,2257,688470
101,2001-08-20,2125,2206,2107,2111,714510
102,2001-08-21,2112,2163,2012,2078,533500
103,2001-08-22,2067,2138,2029,2049,567840
104,2001-08-23,2120,2239,2054,2111,1186710
105,2001-08-24,2133,2199,2014,2016,505170
106,2001-08-27,2059,2107,2036,2040,422600
107,2001-08-28,2039,2052,2010,2016,229000
108,2001-08-29,2011,2011,1907,1926,332970
109,2001-08-30,1870,1907,1775,1842,304820
110,2001-08-31,1747,1814,1738,1766,318160
111,2001-09-03,1784,1799,1709,1710,214920
112,2001-09-04,1708,1944,1694,1917,906610
113,2001-09-05,1832,1912,1813,1822,262470
114,2001-09-06,1871,1917,1814,1870,325110
115,2001-09-07,1798,1935,1798,1917,526110
116,2001-09-10,1878,2044,1859,1917,777710
117,2001-09-11,1944,1977,1821,1851,404890
118,2001-09-12,1577,1577,1577,1578,32610
119,2001-09-13,1374,1652,1374,1586,885840
