,날짜,시가,고가,저가,종가,거래량
0,2009-10-19,40100,43100,40100,42450,3654021
1,2009-10-20,42850,43200,41500,43000,1023750
2,2009-10-21,43150,44650,43000,43950,1072252
3,2009-10-22,44000,44400,42950,43300,308393
4,2009-10-23,43450,43550,42800,42800,203419
5,2009-10-26,42500,42950,41850,42700,221696
6,2009-10-27,42700,43700,42350,43500,246122
7,2009-10-28,43700,44000,43000,43450,288794
8,2009-10-29,42800,43700,42050,43350,160863
9,2009-10-30,43900,43900,43450,43600,146669
10,2009-11-02,42650,43500,42650,43300,162229
11,2009-11-03,43500,43650,43000,43650,146035
12,2009-11-04,43800,44250,43700,44250,235042
13,2009-11-05,44150,44150,43400,44000,105594
14,2009-11-06,44000,44200,43500,43500,91914
15,2009-11-09,43200,43300,42550,42650,192923
16,2009-11-10,42650,42850,42050,42400,211630
17,2009-11-11,42500,42500,41900,42250,177229
18,2009-11-12,42450,42650,42250,42250,253304
19,2009-11-13,42200,42450,41500,41900,147561
20,2009-11-16,42000,42200,41550,41950,163216
21,2009-11-17,42050,42300,41900,41950,122350
22,2009-11-18,41650,42700,41550,42250,156338
23,2009-11-19,42000,42100,40550,41600,322405
24,2009-11-20,41200,41700,41050,41300,145612
25,2009-11-23,41300,41300,40700,41000,137117
26,2009-11-24,41050,42250,40950,42000,233157
27,2009-11-25,41800,42050,41300,41800,95462
28,2009-11-26,42000,42400,41300,41300,108464
29,2009-11-27,41100,41750,40500,40700,94732
30,2009-11-30,40800,41250,40250,40650,114156
31,2009-12-01,40650,40850,40400,40550,100671
32,2009-12-02,40800,40800,40100,40450,132569
33,2009-12-03,40600,42250,40500,41700,389514
34,2009-12-04,41450,42050,41250,41750,234839
35,2009-12-07,41750,41750,41200,41500,111457
36,2009-12-08,41500,41500,40950,41100,93456
37,2009-12-09,41100,41100,40550,41000,164822
38,2009-12-10,41000,41100,40500,40650,94538
39,2009-12-11,40600,41450,40450,41250,136194
40,2009-12-14,41500,41500,40800,40850,80604
41,2009-12-15,41250,41750,40850,41700,130429
42,2009-12-16,42100,42100,41100,41250,69139
43,2009-12-17,41400,41400,40700,40700,118617
44,2009-12-18,40600,41550,40500,41500,158512
45,2009-12-21,41400,41750,41200,41500,195346
46,2009-12-22,41500,41850,41000,41700,133450
47,2009-12-23,41800,41900,41400,41400,77664
48,2009-12-24,41200,41500,41150,41300,105697
49,2009-12-28,41600,41750,41000,41550,162514
50,2009-12-29,40900,40900,40000,40000,249592
51,2009-12-30,40200,40550,39800,39800,143231
52,2010-01-04,40100,40300,39600,39950,100021
53,2010-01-05,39900,40200,39650,40200,116732
54,2010-01-06,40200,40200,39150,39150,193081
55,2010-01-07,39650,39650,37500,37600,354686
56,2010-01-08,37700,38100,36900,36900,210028
57,2010-01-11,36900,37300,36600,37300,117544
58,2010-01-12,36950,38000,36950,37250,135085
59,2010-01-13,37250,37950,37000,37700,69886
60,2010-01-14,37700,38000,37500,37800,75760
61,2010-01-15,37800,38000,37400,37650,102394
62,2010-01-18,37600,37650,37150,37600,90677
63,2010-01-19,37700,37950,37550,37800,84740
64,2010-01-20,38000,38550,37850,38150,123018
65,2010-01-21,38400,38750,38150,38650,94639
66,2010-01-22,38550,38550,37850,38300,87680
67,2010-01-25,37800,38300,37700,38050,46606
68,2010-01-26,38250,38300,37950,38100,71606
69,2010-01-27,38100,38400,37850,37900,47917
70,2010-01-28,37900,38400,37500,37900,77479
71,2010-01-29,37700,38100,37500,38050,84638
72,2010-02-01,37700,38350,37700,38100,45244
73,2010-02-02,38300,38300,37850,38050,67124
74,2010-02-03,38300,38350,37900,38050,66640
75,2010-02-04,38050,39600,37900,39000,197418
76,2010-02-05,38400,38600,37650,37700,99833
77,2010-02-08,37400,37400,34650,35000,192381
78,2010-02-09,34950,34950,32500,33750,305205
79,2010-02-10,34000,34750,33800,34550,104980
