,날짜,시가,고가,저가,종가,거래량
0,2000-01-04,28226,28323,28226,28227,602360
1,2000-01-05,28226,28275,27163,27985,1303320
2,2000-01-06,27550,27936,27066,27743,790950
3,2000-01-07,27163,27743,27163,27743,953550
4,2000-01-10,27743,31803,27550,31803,2179450
5,2000-01-11,27260,28226,27260,27840,1005140
6,2000-01-12,27308,31803,26921,31803,2920310
7,2000-01-13,27405,28420,27163,27163,634130
8,2000-01-14,26728,26970,23103,23103,700120
9,2000-01-17,23345,24118,22088,23828,620600
10,2000-01-18,23876,23876,23006,23200,198360
11,2000-01-19,22716,22910,21363,21557,217450
12,2000-01-20,20396,22426,19526,21267,246720
13,2000-01-21,20300,22136,20300,21943,150470
14,2000-01-24,22136,23780,22136,23490,243390
15,2000-01-25,23538,24456,23490,23877,237800
16,2000-01-26,24166,24359,24021,24070,146810
17,2000-01-27,24215,24360,23200,23973,308220
18,2000-01-28,24166,24166,23973,24118,184420
19,2000-01-31,23490,23731,22716,23538,47260
20,2000-02-01,23683,24070,23635,24070,83760
21,2000-02-02,24070,25568,24070,25423,191500
22,2000-02-03,25520,26003,25423,25858,127050
23,2000-02-07,26100,27453,26100,26293,168450
24,2000-02-08,26245,26583,25616,25617,107720
25,2000-02-09,26099,26534,26099,26342,147110
26,2000-02-10,26438,26776,26438,26438,246850
27,2000-02-11,26486,26486,26438,26438,196530
28,2000-02-14,25616,26196,25036,25472,57300
29,2000-02-15,25616,26341,25616,26052,236370
30,2000-02-16,24650,25810,24650,25133,53150
31,2000-02-17,25375,26051,25230,26003,134010
32,2000-02-18,26148,26680,26148,26487,225710
33,2000-02-21,26486,26583,24746,25907,126310
34,2000-02-22,25181,25713,24746,25617,67610
35,2000-02-23,28033,28033,25906,27453,212330
36,2000-02-24,27066,27356,26293,27357,68600
37,2000-02-25,27550,28710,27550,28178,339430
38,2000-02-28,28178,28323,26825,27115,252340
39,2000-02-29,27453,28130,27405,27598,107170
40,2000-03-02,27743,28033,27646,27888,122680
41,2000-03-03,27985,28033,26921,26970,220870
42,2000-03-06,26390,27211,26148,27115,28040
43,2000-03-07,27646,27743,26390,27308,238730
44,2000-03-08,27308,28226,27308,27840,185150
45,2000-03-09,27936,28033,27888,27937,60150
46,2000-03-10,27115,27549,26970,27115,18760
47,2000-03-13,26583,26970,26245,26583,56250
48,2000-03-14,26680,27453,26680,27018,90600
49,2000-03-15,27066,27840,26970,26970,147930
